ko:K10026	sir:SiRe_1385
ko:K22223	sir:SiRe_1903
ko:K15495	sir:SiRe_1066
ko:K15016	sir:SiRe_0307
ko:K18978	sir:SiRe_2042
ko:K18882	sir:SiRe_1446
ko:K18828	sir:SiRe_0809
ko:K01439	sir:SiRe_0807
ko:K10196	sir:SiRe_2180
ko:K03146	sir:SiRe_1566
ko:K07050	sir:SiRe_1551
ko:K01683	sir:SiRe_2125
ko:K00761	sir:SiRe_1762
ko:K13057	sir:SiRe_2596
ko:K00573	sir:SiRe_2607
ko:K03707	sir:SiRe_2608
ko:K01803	sir:SiRe_2615
ko:K09147	sir:SiRe_2616
ko:K01647	sir:SiRe_2618
ko:K01720	sir:SiRe_2621
ko:K00024	sir:SiRe_2622
ko:K06206	sir:SiRe_2633
ko:K04719	sir:SiRe_2639
ko:K00382	sir:SiRe_2640
ko:K01915	sir:SiRe_2644
ko:K02575	sir:SiRe_0445
ko:K07133	sir:SiRe_0451
ko:K01061	sir:SiRe_0481
ko:K01236	sir:SiRe_0486
ko:K06044	sir:SiRe_0490
ko:K03752	sir:SiRe_1337
ko:K03750	sir:SiRe_1338
ko:K03753	sir:SiRe_1339
ko:K00331	sir:SiRe_1348
ko:K07566	sir:SiRe_1349
ko:K03524	sir:SiRe_1350
ko:K03592	sir:SiRe_1352
ko:K03568	sir:SiRe_1353
ko:K07722	sir:SiRe_1354
ko:K00003	sir:SiRe_1356
ko:K04069	sir:SiRe_1360
ko:K09129	sir:SiRe_1361
ko:K07477	sir:SiRe_1367
ko:K01955	sir:SiRe_1369
ko:K01956	sir:SiRe_1370
ko:K01755	sir:SiRe_1371
ko:K01940	sir:SiRe_1372
ko:K01933	sir:SiRe_1375
ko:K01945	sir:SiRe_1376
ko:K00764	sir:SiRe_1377
ko:K00764	sir:SiRe_1378
ko:K01952	sir:SiRe_1379
ko:K01952	sir:SiRe_1380
ko:K01923	sir:SiRe_1382
ko:K06878	sir:SiRe_1383
ko:K06943	sir:SiRe_1384
ko:K01195	sir:SiRe_2206
ko:K01714	sir:SiRe_2207
ko:K05349	sir:SiRe_2208
ko:K01811	sir:SiRe_2222
ko:K00074	sir:SiRe_2247
ko:K07141	sir:SiRe_0221
ko:K15429	sir:SiRe_0230
ko:K01915	sir:SiRe_0231
ko:K02873	sir:SiRe_0233
ko:K07472	sir:SiRe_0238
