ko:K02495	sfe:SFxv_4293
ko:K18838	sfe:SFxv_3295
ko:K18919	sfe:SFxv_0015
ko:K18919	sfe:SFxv_0935
ko:K18919	sfe:SFxv_1529
ko:K18919	sfe:SFxv_1736
ko:K18919	sfe:SFxv_2276
ko:K18928	sfe:SFxv_0275
ko:K18138	sfe:SFxv_0452
ko:K05396	sfe:SFxv_2191
ko:K18922	sfe:SFxv_0545
ko:K21905	sfe:SFxv_3920
ko:K03761	sfe:SFxv_2906
ko:K16345	sfe:SFxv_4022
ko:K10014	sfe:SFxv_2630
ko:K07012	sfe:SFxv_3045
ko:K16371	sfe:SFxv_3478
ko:K03275	sfe:SFxv_3995
ko:K03297	sfe:SFxv_2210
ko:K21907	sfe:SFxv_3865
ko:K21901	sfe:SFxv_3860
ko:K00984	sfe:SFxv_4143
ko:K21908	sfe:SFxv_3864
ko:K21906	sfe:SFxv_3921
ko:K21029	sfe:SFxv_0846
ko:K18922	sfe:SFxv_0544
ko:K02345	sfe:SFxv_2076
ko:K06918	sfe:SFxv_1503
ko:K08990	sfe:SFxv_1504
ko:K03721	sfe:SFxv_1505
ko:K11065	sfe:SFxv_1506
ko:K14054	sfe:SFxv_1508
ko:K01874	sfe:SFxv_2406
ko:K02478	sfe:SFxv_2426
ko:K05846	sfe:SFxv_2444
ko:K05847	sfe:SFxv_2445
ko:K05846	sfe:SFxv_2446
ko:K05845	sfe:SFxv_2447
ko:K05349	sfe:SFxv_2448
ko:K03777	sfe:SFxv_2450
ko:K07262	sfe:SFxv_2451
ko:K05541	sfe:SFxv_2458
ko:K10542	sfe:SFxv_2466
ko:K01460	sfe:SFxv_3331
ko:K04653	sfe:SFxv_3333
ko:K04651	sfe:SFxv_3334
ko:K01061	sfe:SFxv_3342
ko:K03561	sfe:SFxv_3348
ko:K08325	sfe:SFxv_3353
ko:K00655	sfe:SFxv_3361
ko:K02621	sfe:SFxv_3362
ko:K07471	sfe:SFxv_3363
ko:K03923	sfe:SFxv_3369
ko:K02622	sfe:SFxv_3371
