ko:K10773	nmn:NMCC_0472
ko:K11719	nmn:NMCC_1788
ko:K01585	nmn:NMCC_1674
ko:K03602	nmn:NMCC_1884
ko:K18893	nmn:NMCC_1882
ko:K02469	nmn:NMCC_1298
ko:K02622	nmn:NMCC_1595
ko:K02470	nmn:NMCC_1933
ko:K03587	nmn:NMCC_1731
ko:K01687	nmn:NMCC_1068
ko:K02654	nmn:NMCC_1811
ko:K03601	nmn:NMCC_1274
ko:K03269	nmn:NMCC_0485
ko:K00951	nmn:NMCC_1648
ko:K02992	nmn:NMCC_2010
ko:K00484	nmn:NMCC_0380
ko:K01589	nmn:NMCC_0963
ko:K02501	nmn:NMCC_0578
ko:K04485	nmn:NMCC_0748
ko:K00765	nmn:NMCC_1483
ko:K01876	nmn:NMCC_1676
ko:K07001	nmn:NMCC_2098
ko:K03977	nmn:NMCC_0810
ko:K01963	nmn:NMCC_0635
ko:K03666	nmn:NMCC_0712
ko:K03686	nmn:NMCC_0067
ko:K03814	nmn:NMCC_1784
ko:K02341	nmn:NMCC_0733
ko:K03168	nmn:NMCC_2030
ko:K01924	nmn:NMCC_1721
ko:K02884	nmn:NMCC_0535
ko:K03657	nmn:NMCC_1912
ko:K05788	nmn:NMCC_1215
ko:K02990	nmn:NMCC_1238
ko:K02939	nmn:NMCC_1235
ko:K01883	nmn:NMCC_0102
ko:K00334	nmn:NMCC_1901
ko:K02946	nmn:NMCC_2007
ko:K01845	nmn:NMCC_0357
ko:K02906	nmn:NMCC_2005
ko:K02926	nmn:NMCC_2004
ko:K02892	nmn:NMCC_2003
ko:K02961	nmn:NMCC_1996
ko:K04077	nmn:NMCC_0241
ko:K04078	nmn:NMCC_0240
ko:K03500	nmn:NMCC_2036
ko:K01652	nmn:NMCC_1480
ko:K03186	nmn:NMCC_0273
ko:K02886	nmn:NMCC_2002
ko:K02890	nmn:NMCC_2000
ko:K02982	nmn:NMCC_1999
ko:K02878	nmn:NMCC_1998
ko:K02838	nmn:NMCC_1965
ko:K00806	nmn:NMCC_1966
ko:K02904	nmn:NMCC_1997
ko:K00382	nmn:NMCC_0890
ko:K00382	nmn:NMCC_0900
ko:K00382	nmn:NMCC_1256
