ko:K04042	cbb:CLD_0938
ko:K02409	cbb:CLD_1901
ko:K02004	cbb:CLD_2673
ko:K08384	cbb:CLD_3094
ko:K03816	cbb:CLD_0436
ko:K02475	cbb:CLD_0515
ko:K02476	cbb:CLD_0516
ko:K03816	cbb:CLD_3424
ko:K02004	cbb:CLD_0167
ko:K03657	cbb:CLD_3238
ko:K09758	cbb:CLD_3403
ko:K00132	cbb:CLD_2533
ko:K11358	cbb:CLD_3552
ko:K01889	cbb:CLD_1410
ko:K01883	cbb:CLD_1000
ko:K02189	cbb:CLD_3612
ko:K10796	cbb:CLD_2163
ko:K10795	cbb:CLD_2162
ko:K10794	cbb:CLD_2177
ko:K01223	cbb:CLD_3684
ko:K02478	cbb:CLD_1214
ko:K10793	cbb:CLD_2175
ko:K03624	cbb:CLD_0971
ko:K03737	cbb:CLD_3375
ko:K02502	cbb:CLD_2987
ko:K00954	cbb:CLD_2144
ko:K06402	cbb:CLD_1551
ko:K05873	cbb:CLD_0588
ko:K03786	cbb:CLD_2739
ko:K03789	cbb:CLD_1199
ko:K03091	cbb:CLD_1005
ko:K07568	cbb:CLD_1471
ko:K01448	cbb:CLD_1062
ko:K03547	cbb:CLD_0272
ko:K00575	cbb:CLD_1825
ko:K01808	cbb:CLD_0642
ko:K00609	cbb:CLD_1290
ko:K03497	cbb:CLD_0836
ko:K07455	cbb:CLD_2014
ko:K03737	cbb:CLD_1814
ko:K01880	cbb:CLD_0973
ko:K01246	cbb:CLD_0096
ko:K03652	cbb:CLD_3302
ko:K05366	cbb:CLD_1457
ko:K00558	cbb:CLD_2435
ko:K03602	cbb:CLD_2753
ko:K02863	cbb:CLD_1013
ko:K02867	cbb:CLD_1012
ko:K03449	cbb:CLD_2513
ko:K00648	cbb:CLD_0882
ko:K02935	cbb:CLD_1015
ko:K02864	cbb:CLD_1014
ko:K09458	cbb:CLD_0887
ko:K03411	cbb:CLD_1823
ko:K02913	cbb:CLD_1009
ko:K03660	cbb:CLD_1220
ko:K03060	cbb:CLD_2124
ko:K03498	cbb:CLD_3240
ko:K02120	cbb:CLD_1942
ko:K02109	cbb:CLD_0633
ko:K02118	cbb:CLD_1941
ko:K02124	cbb:CLD_1936
ko:K02123	cbb:CLD_1935
