ko:K18929	heg:HPGAM_00715
ko:K18928	heg:HPGAM_00720
ko:K14219	heg:HPGAM_t08549
ko:K07316	heg:HPGAM_01470
ko:K18682	heg:HPGAM_03930
ko:K00215	heg:HPGAM_02600
ko:K01915	heg:HPGAM_02615
ko:K02939	heg:HPGAM_02625
ko:K01419	heg:HPGAM_02630
ko:K03667	heg:HPGAM_02635
ko:K01776	heg:HPGAM_02810
ko:K03628	heg:HPGAM_02815
ko:K02909	heg:HPGAM_02820
ko:K03218	heg:HPGAM_02835
ko:K03570	heg:HPGAM_07100
ko:K03569	heg:HPGAM_07105
ko:K03544	heg:HPGAM_07110
ko:K00677	heg:HPGAM_07115
ko:K02372	heg:HPGAM_07120
ko:K13626	heg:HPGAM_07125
ko:K05807	heg:HPGAM_07135
ko:K01338	heg:HPGAM_07140
ko:K01173	heg:HPGAM_07155
ko:K01012	heg:HPGAM_07170
ko:K07058	heg:HPGAM_07175
ko:K09457	heg:HPGAM_07220
ko:K09710	heg:HPGAM_07225
ko:K00791	heg:HPGAM_07230
ko:K00075	heg:HPGAM_07250
ko:K02420	heg:HPGAM_07255
ko:K02412	heg:HPGAM_07260
ko:K01870	heg:HPGAM_07270
ko:K02528	heg:HPGAM_07305
ko:K06041	heg:HPGAM_07315
ko:K06941	heg:HPGAM_07320
ko:K01154	heg:HPGAM_07335
ko:K03070	heg:HPGAM_04055
ko:K01154	heg:HPGAM_04075
ko:K01534	heg:HPGAM_04080
ko:K07391	heg:HPGAM_04085
ko:K01462	heg:HPGAM_04090
ko:K01358	heg:HPGAM_04095
ko:K03545	heg:HPGAM_04100
ko:K15846	heg:HPGAM_04110
ko:K03637	heg:HPGAM_04115
ko:K03831	heg:HPGAM_04120
ko:K03636	heg:HPGAM_04130
ko:K14652	heg:HPGAM_04145
ko:K07270	heg:HPGAM_04150
ko:K07043	heg:HPGAM_04155
ko:K00997	heg:HPGAM_04170
ko:K02415	heg:HPGAM_04175
ko:K02556	heg:HPGAM_04205
ko:K02557	heg:HPGAM_04210
ko:K05847	heg:HPGAM_04225
ko:K03703	heg:HPGAM_04235
ko:K00003	heg:HPGAM_04240
ko:K07460	heg:HPGAM_04245
ko:K03671	heg:HPGAM_04250
ko:K00384	heg:HPGAM_04255
ko:K07270	heg:HPGAM_04260
ko:K02108	heg:HPGAM_04275
ko:K00859	heg:HPGAM_04290
ko:K00797	heg:HPGAM_04295
ko:K03977	heg:HPGAM_04305
ko:K03530	heg:HPGAM_04310
ko:K01628	heg:HPGAM_00605
ko:K02406	heg:HPGAM_00620
ko:K03168	heg:HPGAM_00625
ko:K01868	heg:HPGAM_00650
ko:K02520	heg:HPGAM_00655
ko:K02916	heg:HPGAM_00660
ko:K02887	heg:HPGAM_00665
ko:K01752	heg:HPGAM_00685
ko:K03837	heg:HPGAM_00690
ko:K01626	heg:HPGAM_00695
ko:K03564	heg:HPGAM_00705
ko:K00782	heg:HPGAM_00710
ko:K03303	heg:HPGAM_00725
ko:K03303	heg:HPGAM_00730
ko:K03575	heg:HPGAM_00735
ko:K00404	heg:HPGAM_00745
ko:K00405	heg:HPGAM_00750
ko:K00407	heg:HPGAM_00755
ko:K00406	heg:HPGAM_00760
ko:K01689	heg:HPGAM_00800
ko:K00891	heg:HPGAM_00815
ko:K01698	heg:HPGAM_00840
ko:K08303	heg:HPGAM_00870
ko:K02836	heg:HPGAM_00880
ko:K03750	heg:HPGAM_00885
ko:K15257	heg:HPGAM_05330
ko:K01772	heg:HPGAM_05335
ko:K01874	heg:HPGAM_05340
ko:K00574	heg:HPGAM_05345
ko:K15846	heg:HPGAM_05365
ko:K01951	heg:HPGAM_05370
ko:K02503	heg:HPGAM_05395
ko:K01889	heg:HPGAM_05400
ko:K01890	heg:HPGAM_05405
ko:K00800	heg:HPGAM_05410
ko:K03527	heg:HPGAM_05415
ko:K02945	heg:HPGAM_05420
ko:K03182	heg:HPGAM_05435
ko:K06997	heg:HPGAM_05440
ko:K03269	heg:HPGAM_05445
ko:K03415	heg:HPGAM_05450
ko:K03407	heg:HPGAM_05455
ko:K03408	heg:HPGAM_05460
ko:K11065	heg:HPGAM_05465
ko:K04564	heg:HPGAM_05470
ko:K15256	heg:HPGAM_05475
ko:K04066	heg:HPGAM_05480
ko:K07241	heg:HPGAM_02015
ko:K03798	heg:HPGAM_02055
ko:K02687	heg:HPGAM_02060
ko:K03413	heg:HPGAM_02065
ko:K06950	heg:HPGAM_02080
ko:K03501	heg:HPGAM_02085
ko:K07568	heg:HPGAM_02090
ko:K03118	heg:HPGAM_02095
ko:K03117	heg:HPGAM_02100
ko:K03551	heg:HPGAM_02105
ko:K00606	heg:HPGAM_02110
ko:K03610	heg:HPGAM_02135
ko:K02535	heg:HPGAM_02140
ko:K00872	heg:HPGAM_02150
ko:K02519	heg:HPGAM_02160
ko:K02834	heg:HPGAM_02165
ko:K09748	heg:HPGAM_02170
ko:K02400	heg:HPGAM_02195
ko:K02956	heg:HPGAM_02200
ko:K03786	heg:HPGAM_02210
ko:K00950	heg:HPGAM_02220
ko:K02404	heg:HPGAM_02225
ko:K04562	heg:HPGAM_02230
ko:K02405	heg:HPGAM_02235
ko:K02416	heg:HPGAM_02240
ko:K02417	heg:HPGAM_02245
ko:K07478	heg:HPGAM_02265
ko:K05516	heg:HPGAM_02275
ko:K00337	heg:HPGAM_06560
ko:K00338	heg:HPGAM_06565
ko:K00339	heg:HPGAM_06570
ko:K00340	heg:HPGAM_06575
ko:K00341	heg:HPGAM_06580
ko:K00342	heg:HPGAM_06585
ko:K00343	heg:HPGAM_06590
ko:K15778	heg:HPGAM_06600
ko:K01695	heg:HPGAM_06610
ko:K01696	heg:HPGAM_06615
ko:K13498	heg:HPGAM_06620
ko:K00766	heg:HPGAM_06625
ko:K01657	heg:HPGAM_06635
ko:K03707	heg:HPGAM_06655
ko:K03811	heg:HPGAM_06670
ko:K02879	heg:HPGAM_06680
ko:K03040	heg:HPGAM_06685
ko:K02986	heg:HPGAM_06690
