ko:K19405	ctln:L2BCAN2_00711
ko:K01921	ctln:L2BCAN2_00809
ko:K01924	ctln:L2BCAN2_00809
ko:K02433	ctln:L2BCAN2_00004
ko:K03471	ctln:L2BCAN2_00009
ko:K02035	ctln:L2BCAN2_00141
ko:K06889	ctln:L2BCAN2_00153
ko:K00033	ctln:L2BCAN2_00066
ko:K11707	ctln:L2BCAN2_00070
ko:K11710	ctln:L2BCAN2_00071
ko:K11708	ctln:L2BCAN2_00072
ko:K11709	ctln:L2BCAN2_00073
ko:K03177	ctln:L2BCAN2_00095
ko:K06179	ctln:L2BCAN2_00107
ko:K00939	ctln:L2BCAN2_00130
ko:K14233	ctln:L2BCAN2_00889
ko:K11645	ctln:L2BCAN2_00219
ko:K09779	ctln:L2BCAN2_00002
ko:K02435	ctln:L2BCAN2_00003
ko:K02434	ctln:L2BCAN2_00005
ko:K02517	ctln:L2BCAN2_00011
ko:K00425	ctln:L2BCAN2_00014
ko:K00426	ctln:L2BCAN2_00015
ko:K07175	ctln:L2BCAN2_00016
ko:K01870	ctln:L2BCAN2_00021
ko:K03100	ctln:L2BCAN2_00022
ko:K02909	ctln:L2BCAN2_00024
ko:K02835	ctln:L2BCAN2_00025
ko:K02493	ctln:L2BCAN2_00026
ko:K03106	ctln:L2BCAN2_00027
ko:K02959	ctln:L2BCAN2_00028
ko:K00554	ctln:L2BCAN2_00029
ko:K02884	ctln:L2BCAN2_00030
ko:K03470	ctln:L2BCAN2_00031
ko:K00942	ctln:L2BCAN2_00032
ko:K01874	ctln:L2BCAN2_00034
ko:K03581	ctln:L2BCAN2_00035
ko:K00161	ctln:L2BCAN2_00251
ko:K00162	ctln:L2BCAN2_00252
ko:K00627	ctln:L2BCAN2_00253
ko:K00688	ctln:L2BCAN2_00254
ko:K02313	ctln:L2BCAN2_00256
ko:K03217	ctln:L2BCAN2_00257
ko:K04487	ctln:L2BCAN2_00264
ko:K07083	ctln:L2BCAN2_00268
ko:K01962	ctln:L2BCAN2_00271
ko:K01448	ctln:L2BCAN2_00274
ko:K01928	ctln:L2BCAN2_00275
ko:K03587	ctln:L2BCAN2_00276
ko:K03438	ctln:L2BCAN2_00278
ko:K02313	ctln:L2BCAN2_00281
ko:K00347	ctln:L2BCAN2_00284
ko:K00348	ctln:L2BCAN2_00285
ko:K00349	ctln:L2BCAN2_00286
ko:K00350	ctln:L2BCAN2_00287
ko:K02437	ctln:L2BCAN2_00288
ko:K03800	ctln:L2BCAN2_00291
ko:K03696	ctln:L2BCAN2_00292
ko:K00566	ctln:L2BCAN2_00293
ko:K01963	ctln:L2BCAN2_00299
ko:K04564	ctln:L2BCAN2_00300
ko:K03671	ctln:L2BCAN2_00567
ko:K03216	ctln:L2BCAN2_00568
ko:K01876	ctln:L2BCAN2_00570
ko:K01892	ctln:L2BCAN2_00571
ko:K07783	ctln:L2BCAN2_00572
ko:K02337	ctln:L2BCAN2_00573
ko:K03311	ctln:L2BCAN2_00582
ko:K00382	ctln:L2BCAN2_00585
ko:K03644	ctln:L2BCAN2_00586
ko:K03222	ctln:L2BCAN2_00587
ko:K03223	ctln:L2BCAN2_00589
ko:K03226	ctln:L2BCAN2_00590
ko:K03228	ctln:L2BCAN2_00592
ko:K02455	ctln:L2BCAN2_00598
ko:K02453	ctln:L2BCAN2_00600
ko:K03572	ctln:L2BCAN2_00603
ko:K01868	ctln:L2BCAN2_00609
ko:K01867	ctln:L2BCAN2_00613
ko:K03702	ctln:L2BCAN2_00614
ko:K01689	ctln:L2BCAN2_00615
ko:K00240	ctln:L2BCAN2_00619
ko:K00239	ctln:L2BCAN2_00620
ko:K01494	ctln:L2BCAN2_00041
ko:K03551	ctln:L2BCAN2_00042
ko:K01255	ctln:L2BCAN2_00047
ko:K02340	ctln:L2BCAN2_00049
ko:K07056	ctln:L2BCAN2_00050
ko:K00164	ctln:L2BCAN2_00056
ko:K00658	ctln:L2BCAN2_00057
ko:K05810	ctln:L2BCAN2_00058
ko:K03526	ctln:L2BCAN2_00059
ko:K02400	ctln:L2BCAN2_00063
ko:K02405	ctln:L2BCAN2_00064
ko:K01866	ctln:L2BCAN2_00065
ko:K03596	ctln:L2BCAN2_00067
ko:K03301	ctln:L2BCAN2_00068
ko:K00099	ctln:L2BCAN2_00074
ko:K03629	ctln:L2BCAN2_00077
ko:K02338	ctln:L2BCAN2_00078
ko:K03664	ctln:L2BCAN2_00079
ko:K03734	ctln:L2BCAN2_00080
ko:K01491	ctln:L2BCAN2_00081
ko:K02902	ctln:L2BCAN2_00087
ko:K00705	ctln:L2BCAN2_00088
ko:K03685	ctln:L2BCAN2_00303
ko:K04485	ctln:L2BCAN2_00304
ko:K01749	ctln:L2BCAN2_00305
ko:K01873	ctln:L2BCAN2_00308
ko:K03046	ctln:L2BCAN2_00320
ko:K03043	ctln:L2BCAN2_00321
ko:K02935	ctln:L2BCAN2_00322
ko:K02864	ctln:L2BCAN2_00323
ko:K02863	ctln:L2BCAN2_00324
ko:K02867	ctln:L2BCAN2_00325
ko:K02601	ctln:L2BCAN2_00326
ko:K03073	ctln:L2BCAN2_00327
ko:K02358	ctln:L2BCAN2_00329
ko:K02518	ctln:L2BCAN2_00331
ko:K01803	ctln:L2BCAN2_00338
ko:K03601	ctln:L2BCAN2_00339
ko:K03602	ctln:L2BCAN2_00340
ko:K01662	ctln:L2BCAN2_00342
ko:K00873	ctln:L2BCAN2_00343
ko:K03701	ctln:L2BCAN2_00344
ko:K02343	ctln:L2BCAN2_00345
ko:K09747	ctln:L2BCAN2_00346
ko:K11381	ctln:L2BCAN2_00352
ko:K03686	ctln:L2BCAN2_00353
ko:K02970	ctln:L2BCAN2_00354
ko:K03424	ctln:L2BCAN2_00623
ko:K03562	ctln:L2BCAN2_00625
ko:K03641	ctln:L2BCAN2_00628
ko:K03640	ctln:L2BCAN2_00629
ko:K03648	ctln:L2BCAN2_00638
ko:K03657	ctln:L2BCAN2_00639
ko:K03092	ctln:L2BCAN2_00640
ko:K06137	ctln:L2BCAN2_00641
ko:K13941	ctln:L2BCAN2_00644
ko:K01633	ctln:L2BCAN2_00645
ko:K03086	ctln:L2BCAN2_00646
ko:K02968	ctln:L2BCAN2_00648
ko:K03980	ctln:L2BCAN2_00655
ko:K01151	ctln:L2BCAN2_00656
ko:K02986	ctln:L2BCAN2_00657
ko:K07146	ctln:L2BCAN2_00658
ko:K13789	ctln:L2BCAN2_00659
ko:K01698	ctln:L2BCAN2_00665
ko:K00346	ctln:L2BCAN2_00666
ko:K03582	ctln:L2BCAN2_00672
ko:K03583	ctln:L2BCAN2_00673
ko:K01338	ctln:L2BCAN2_00356
ko:K03733	ctln:L2BCAN2_00359
ko:K06287	ctln:L2BCAN2_00361
ko:K03075	ctln:L2BCAN2_00364
ko:K01462	ctln:L2BCAN2_00365
ko:K02528	ctln:L2BCAN2_00366
ko:K06888	ctln:L2BCAN2_00368
ko:K03523	ctln:L2BCAN2_00372
ko:K01714	ctln:L2BCAN2_00375
ko:K00928	ctln:L2BCAN2_00376
ko:K00133	ctln:L2BCAN2_00377
ko:K00215	ctln:L2BCAN2_00378
ko:K00800	ctln:L2BCAN2_00380
ko:K00891	ctln:L2BCAN2_00381
ko:K01736	ctln:L2BCAN2_00382
ko:K01735	ctln:L2BCAN2_00383
ko:K13832	ctln:L2BCAN2_00384
ko:K03758	ctln:L2BCAN2_00388
ko:K00024	ctln:L2BCAN2_00390
ko:K01810	ctln:L2BCAN2_00392
ko:K03665	ctln:L2BCAN2_00393
ko:K06167	ctln:L2BCAN2_00394
ko:K09996	ctln:L2BCAN2_00395
ko:K06966	ctln:L2BCAN2_00402
ko:K09131	ctln:L2BCAN2_00403
ko:K10206	ctln:L2BCAN2_00405
ko:K01881	ctln:L2BCAN2_00408
ko:K03168	ctln:L2BCAN2_00676
ko:K02221	ctln:L2BCAN2_00678
ko:K03581	ctln:L2BCAN2_00685
ko:K06861	ctln:L2BCAN2_00687
ko:K01627	ctln:L2BCAN2_00689
ko:K06180	ctln:L2BCAN2_00693
ko:K06960	ctln:L2BCAN2_00694
ko:K02469	ctln:L2BCAN2_00695
ko:K02470	ctln:L2BCAN2_00696
ko:K02492	ctln:L2BCAN2_00697
ko:K03224	ctln:L2BCAN2_00704
ko:K02417	ctln:L2BCAN2_00707
ko:K03219	ctln:L2BCAN2_00709
ko:K02838	ctln:L2BCAN2_00715
