ko:K01699	lmow:AX10_14270
ko:K22010	lmow:AX10_14365
ko:K01977	lmow:AX10_02625
ko:K01977	lmow:AX10_05890
ko:K01977	lmow:AX10_09660
ko:K01977	lmow:AX10_09600
ko:K01977	lmow:AX10_07065
ko:K01977	lmow:AX10_03105
ko:K11741	lmow:AX10_12795
ko:K11741	lmow:AX10_12800
ko:K18926	lmow:AX10_11115
ko:K01980	lmow:AX10_02620
ko:K01980	lmow:AX10_05875
ko:K01980	lmow:AX10_03100
ko:K01980	lmow:AX10_07050
ko:K01980	lmow:AX10_09665
ko:K01980	lmow:AX10_09605
ko:K19975	lmow:AX10_03470
ko:K19973	lmow:AX10_03480
ko:K09692	lmow:AX10_13950
ko:K01992	lmow:AX10_12325
ko:K18692	lmow:AX10_01330
ko:K08221	lmow:AX10_01125
ko:K01271	lmow:AX10_01975
ko:K08316	lmow:AX10_04505
ko:K01101	lmow:AX10_06070
ko:K22597	lmow:AX10_08385
ko:K22597	lmow:AX10_07850
ko:K05352	lmow:AX10_14015
ko:K09017	lmow:AX10_04050
ko:K22579	lmow:AX10_10615
ko:K02538	lmow:AX10_10685
ko:K03483	lmow:AX10_07405
ko:K01297	lmow:AX10_02280
ko:K01246	lmow:AX10_02285
ko:K01681	lmow:AX10_02295
ko:K03547	lmow:AX10_02320
ko:K00655	lmow:AX10_02325
ko:K02357	lmow:AX10_02380
ko:K02967	lmow:AX10_02385
ko:K01869	lmow:AX10_02395
ko:K07139	lmow:AX10_02400
ko:K01953	lmow:AX10_02410
ko:K00789	lmow:AX10_02415
ko:K00016	lmow:AX10_02430
ko:K08998	lmow:AX10_02445
ko:K09815	lmow:AX10_02450
ko:K01911	lmow:AX10_02455
ko:K01661	lmow:AX10_02460
ko:K08680	lmow:AX10_02465
ko:K02551	lmow:AX10_02470
ko:K02552	lmow:AX10_02475
ko:K02548	lmow:AX10_02480
ko:K01760	lmow:AX10_02490
ko:K01739	lmow:AX10_02495
ko:K00549	lmow:AX10_02500
ko:K02111	lmow:AX10_06725
ko:K02113	lmow:AX10_06730
ko:K02109	lmow:AX10_06735
ko:K02110	lmow:AX10_06740
ko:K02108	lmow:AX10_06745
ko:K02116	lmow:AX10_06750
ko:K01791	lmow:AX10_06755
ko:K00761	lmow:AX10_06760
ko:K00600	lmow:AX10_06765
ko:K07566	lmow:AX10_06775
ko:K02493	lmow:AX10_06780
ko:K02835	lmow:AX10_06785
ko:K00872	lmow:AX10_06795
ko:K01733	lmow:AX10_06800
ko:K00003	lmow:AX10_06805
ko:K02909	lmow:AX10_06810
ko:K03628	lmow:AX10_06825
ko:K00790	lmow:AX10_06830
ko:K07027	lmow:AX10_06835
ko:K13678	lmow:AX10_06840
ko:K01937	lmow:AX10_06865
ko:K03048	lmow:AX10_06870
ko:K01887	lmow:AX10_06880
ko:K01821	lmow:AX10_06895
ko:K06885	lmow:AX10_06900
ko:K02035	lmow:AX10_06925
ko:K08281	lmow:AX10_06935
ko:K16264	lmow:AX10_06955
ko:K02003	lmow:AX10_06985
ko:K01652	lmow:AX10_04270
ko:K17318	lmow:AX10_04275
ko:K17320	lmow:AX10_04280
ko:K17319	lmow:AX10_04285
ko:K07720	lmow:AX10_04290
ko:K07718	lmow:AX10_04295
ko:K09704	lmow:AX10_04305
ko:K01191	lmow:AX10_04310
ko:K01191	lmow:AX10_04315
