ko:K22306	aacn:AANUM_0700
ko:K21449	aacn:AANUM_1110
ko:K19591	aacn:AANUM_0525
ko:K01139	aacn:AANUM_0170
ko:K06148	aacn:AANUM_0370
ko:K07076	aacn:AANUM_0843
ko:K12509	aacn:AANUM_1026
ko:K10094	aacn:AANUM_1989
ko:K21498	aacn:AANUM_0601
ko:K00525	aacn:AANUM_1704
ko:K21636	aacn:AANUM_1109
ko:K02967	aacn:AANUM_0783
ko:K02357	aacn:AANUM_0784
ko:K03584	aacn:AANUM_0785
ko:K03215	aacn:AANUM_0786
ko:K00951	aacn:AANUM_0787
ko:K00901	aacn:AANUM_0788
ko:K01560	aacn:AANUM_0789
ko:K18138	aacn:AANUM_0791
ko:K03585	aacn:AANUM_0792
ko:K18136	aacn:AANUM_0793
ko:K03591	aacn:AANUM_0794
ko:K04066	aacn:AANUM_0795
ko:K07270	aacn:AANUM_0799
ko:K02909	aacn:AANUM_0800
ko:K07270	aacn:AANUM_0801
ko:K10563	aacn:AANUM_0804
ko:K02913	aacn:AANUM_0805
ko:K02902	aacn:AANUM_0806
ko:K03630	aacn:AANUM_0807
ko:K13038	aacn:AANUM_0808
ko:K05501	aacn:AANUM_0810
ko:K10914	aacn:AANUM_0811
ko:K00383	aacn:AANUM_0812
ko:K07115	aacn:AANUM_0813
ko:K05366	aacn:AANUM_0814
ko:K02507	aacn:AANUM_0819
ko:K00891	aacn:AANUM_0820
ko:K01735	aacn:AANUM_0821
ko:K03111	aacn:AANUM_0829
ko:K03701	aacn:AANUM_0830
ko:K07483	aacn:AANUM_0831
ko:K03070	aacn:AANUM_0837
ko:K03574	aacn:AANUM_0838
ko:K10110	aacn:AANUM_1638
ko:K10109	aacn:AANUM_1639
ko:K10108	aacn:AANUM_1640
ko:K10111	aacn:AANUM_1641
ko:K02024	aacn:AANUM_1642
ko:K05775	aacn:AANUM_1643
ko:K01792	aacn:AANUM_1644
ko:K03722	aacn:AANUM_1645
ko:K14742	aacn:AANUM_1646
ko:K07285	aacn:AANUM_1647
ko:K01897	aacn:AANUM_1648
ko:K01897	aacn:AANUM_1649
ko:K03684	aacn:AANUM_1650
ko:K00428	aacn:AANUM_1651
ko:K07340	aacn:AANUM_1657
ko:K02517	aacn:AANUM_1660
ko:K03272	aacn:AANUM_1661
ko:K02426	aacn:AANUM_1662
ko:K01766	aacn:AANUM_1663
ko:K14058	aacn:AANUM_1665
ko:K15977	aacn:AANUM_1666
ko:K02014	aacn:AANUM_1667
ko:K02016	aacn:AANUM_1669
ko:K02015	aacn:AANUM_1670
ko:K02013	aacn:AANUM_1671
ko:K19611	aacn:AANUM_1674
ko:K19611	aacn:AANUM_1675
ko:K02016	aacn:AANUM_1677
ko:K02013	aacn:AANUM_1678
ko:K02015	aacn:AANUM_1679
ko:K03639	aacn:AANUM_1685
ko:K03637	aacn:AANUM_1686
ko:K03636	aacn:AANUM_1687
ko:K03635	aacn:AANUM_1688
ko:K03599	aacn:AANUM_1689
ko:K03600	aacn:AANUM_1690
ko:K01893	aacn:AANUM_1691
ko:K02340	aacn:AANUM_0839
ko:K03643	aacn:AANUM_0840
ko:K01869	aacn:AANUM_0841
ko:K01525	aacn:AANUM_0845
ko:K02528	aacn:AANUM_0846
ko:K03771	aacn:AANUM_0847
ko:K02825	aacn:AANUM_0848
ko:K09796	aacn:AANUM_0849
ko:K07153	aacn:AANUM_0850
ko:K01756	aacn:AANUM_0851
ko:K00121	aacn:AANUM_0855
ko:K01070	aacn:AANUM_0856
ko:K01070	aacn:AANUM_0857
ko:K03106	aacn:AANUM_0859
ko:K03561	aacn:AANUM_0862
ko:K03559	aacn:AANUM_0863
ko:K03832	aacn:AANUM_0864
ko:K01507	aacn:AANUM_0866
ko:K03835	aacn:AANUM_0867
ko:K03788	aacn:AANUM_0869
ko:K01419	aacn:AANUM_0870
ko:K03667	aacn:AANUM_0871
ko:K15584	aacn:AANUM_0872
ko:K04754	aacn:AANUM_0873
ko:K09161	aacn:AANUM_0874
ko:K11904	aacn:AANUM_0876
ko:K07126	aacn:AANUM_0879
ko:K07126	aacn:AANUM_0880
ko:K07733	aacn:AANUM_0894
ko:K15545	aacn:AANUM_1692
ko:K01935	aacn:AANUM_1693
ko:K11216	aacn:AANUM_1694
ko:K11531	aacn:AANUM_1695
ko:K10558	aacn:AANUM_1696
ko:K10556	aacn:AANUM_1697
ko:K10557	aacn:AANUM_1698
ko:K10555	aacn:AANUM_1699
ko:K08321	aacn:AANUM_1700
ko:K11530	aacn:AANUM_1701
ko:K00873	aacn:AANUM_1702
ko:K01695	aacn:AANUM_1705
ko:K01696	aacn:AANUM_1706
ko:K16066	aacn:AANUM_1707
ko:K16087	aacn:AANUM_1710
ko:K01572	aacn:AANUM_1711
ko:K01571	aacn:AANUM_1712
ko:K01573	aacn:AANUM_1713
ko:K04653	aacn:AANUM_1716
ko:K13498	aacn:AANUM_1718
ko:K00766	aacn:AANUM_1722
ko:K01658	aacn:AANUM_1724
ko:K01657	aacn:AANUM_1725
ko:K03270	aacn:AANUM_1726
ko:K06041	aacn:AANUM_1727
ko:K03799	aacn:AANUM_1730
ko:K01889	aacn:AANUM_1731
ko:K01890	aacn:AANUM_1732
ko:K04764	aacn:AANUM_1733
ko:K01992	aacn:AANUM_1737
ko:K13926	aacn:AANUM_1738
ko:K01993	aacn:AANUM_1739
ko:K00813	aacn:AANUM_1741
ko:K01256	aacn:AANUM_1742
ko:K00254	aacn:AANUM_1743
ko:K07053	aacn:AANUM_1744
ko:K05595	aacn:AANUM_0901
ko:K06158	aacn:AANUM_0902
ko:K03565	aacn:AANUM_0904
ko:K09022	aacn:AANUM_0905
ko:K00615	aacn:AANUM_0906
ko:K00616	aacn:AANUM_0907
ko:K07507	aacn:AANUM_0910
ko:K06181	aacn:AANUM_0911
ko:K03308	aacn:AANUM_0912
ko:K02858	aacn:AANUM_0913
ko:K01867	aacn:AANUM_0914
ko:K01091	aacn:AANUM_0915
ko:K01783	aacn:AANUM_0916
ko:K05589	aacn:AANUM_0917
ko:K00991	aacn:AANUM_0918
ko:K01770	aacn:AANUM_0919
ko:K06176	aacn:AANUM_0920
ko:K03787	aacn:AANUM_0921
ko:K06194	aacn:AANUM_0924
ko:K18831	aacn:AANUM_0925
ko:K12373	aacn:AANUM_0926
ko:K00940	aacn:AANUM_0927
ko:K07751	aacn:AANUM_0928
ko:K02518	aacn:AANUM_0929
ko:K03820	aacn:AANUM_0930
ko:K06189	aacn:AANUM_0931
ko:K01910	aacn:AANUM_0932
ko:K01646	aacn:AANUM_0933
ko:K01644	aacn:AANUM_0934
ko:K01643	aacn:AANUM_0935
ko:K13927	aacn:AANUM_0936
ko:K03319	aacn:AANUM_0937
ko:K01785	aacn:AANUM_0940
ko:K00849	aacn:AANUM_0941
ko:K00965	aacn:AANUM_0942
ko:K02529	aacn:AANUM_0943
ko:K10540	aacn:AANUM_0944
ko:K10542	aacn:AANUM_0945
ko:K10542	aacn:AANUM_0946
ko:K03168	aacn:AANUM_1745
ko:K14055	aacn:AANUM_1747
ko:K02217	aacn:AANUM_1750
ko:K02217	aacn:AANUM_1751
ko:K01141	aacn:AANUM_1752
ko:K03632	aacn:AANUM_1754
ko:K03804	aacn:AANUM_1755
ko:K05939	aacn:AANUM_1756
ko:K03633	aacn:AANUM_1757
ko:K07262	aacn:AANUM_1758
ko:K02897	aacn:AANUM_1760
ko:K00688	aacn:AANUM_1762
ko:K00703	aacn:AANUM_1763
ko:K00975	aacn:AANUM_1764
ko:K02438	aacn:AANUM_1765
ko:K00700	aacn:AANUM_1766
ko:K15738	aacn:AANUM_1773
ko:K01129	aacn:AANUM_1776
ko:K07726	aacn:AANUM_1779
ko:K05995	aacn:AANUM_1784
ko:K03151	aacn:AANUM_1785
ko:K07821	aacn:AANUM_1786
ko:K07812	aacn:AANUM_1787
ko:K03319	aacn:AANUM_1789
ko:K18923	aacn:AANUM_1790
ko:K06218	aacn:AANUM_1791
ko:K06218	aacn:AANUM_1792
ko:K06173	aacn:AANUM_1793
ko:K02996	aacn:AANUM_1794
ko:K02871	aacn:AANUM_1795
ko:K03581	aacn:AANUM_1797
ko:K10541	aacn:AANUM_0947
ko:K07648	aacn:AANUM_0948
ko:K00647	aacn:AANUM_0949
ko:K15461	aacn:AANUM_0950
ko:K16087	aacn:AANUM_0951
ko:K16087	aacn:AANUM_0952
ko:K03687	aacn:AANUM_0953
ko:K00858	aacn:AANUM_0955
ko:K03631	aacn:AANUM_0956
ko:K07275	aacn:AANUM_0957
ko:K06190	aacn:AANUM_0958
ko:K10806	aacn:AANUM_0959
ko:K09780	aacn:AANUM_0960
ko:K08309	aacn:AANUM_0961
ko:K03720	aacn:AANUM_0962
ko:K03814	aacn:AANUM_0963
ko:K03814	aacn:AANUM_0964
ko:K03075	aacn:AANUM_0967
ko:K03169	aacn:AANUM_0968
ko:K06187	aacn:AANUM_0969
ko:K09747	aacn:AANUM_0970
ko:K07098	aacn:AANUM_0971
ko:K02016	aacn:AANUM_0972
ko:K02015	aacn:AANUM_0973
ko:K02015	aacn:AANUM_0974
ko:K02013	aacn:AANUM_0975
ko:K04568	aacn:AANUM_0976
ko:K00244	aacn:AANUM_0977
ko:K00245	aacn:AANUM_0978
ko:K00246	aacn:AANUM_0979
ko:K00247	aacn:AANUM_0980
ko:K12297	aacn:AANUM_0981
ko:K07133	aacn:AANUM_0983
ko:K06920	aacn:AANUM_0984
ko:K03651	aacn:AANUM_0988
ko:K01515	aacn:AANUM_0989
ko:K01439	aacn:AANUM_0991
ko:K04079	aacn:AANUM_0993
ko:K14170	aacn:AANUM_0994
ko:K02535	aacn:AANUM_0995
ko:K03531	aacn:AANUM_0996
ko:K03590	aacn:AANUM_0997
ko:K03589	aacn:AANUM_0998
ko:K01921	aacn:AANUM_0999
ko:K01924	aacn:AANUM_1000
ko:K03582	aacn:AANUM_1798
ko:K06039	aacn:AANUM_1799
ko:K01716	aacn:AANUM_1800
