ko:K12340	yep:YE105_C3363
ko:K19168	yep:YE105_C0879
ko:K09476	yep:YE105_C2563
ko:K19092	yep:YE105_P0053
ko:K15581	yep:YE105_C2277
ko:K08351	yep:YE105_C0932
ko:K18923	yep:YE105_C0482
ko:K16345	yep:YE105_C0041
ko:K15548	yep:YE105_C3505
ko:K01664	yep:YE105_C3673
ko:K03297	yep:YE105_C2087
ko:K13060	yep:YE105_C2520
ko:K16371	yep:YE105_C1876
ko:K01271	yep:YE105_C0270
ko:K08723	yep:YE105_C2118
ko:K01150	yep:YE105_C3183
ko:K01173	yep:YE105_C1315
ko:K01139	yep:YE105_C0046
ko:K00557	yep:YE105_C0136
ko:K02056	yep:YE105_C0140
ko:K02056	yep:YE105_C1524
ko:K02056	yep:YE105_C1533
ko:K14218	yep:YE105_Ct0003
ko:K14218	yep:YE105_Ct0069
ko:K14218	yep:YE105_Ct0065
ko:K14218	yep:YE105_Ct0016
ko:K14233	yep:YE105_Ct0027
ko:K00884	yep:YE105_C2457
ko:K21029	yep:YE105_C1450
ko:K15396	yep:YE105_C3037
ko:K01497	yep:YE105_C2242
ko:K14226	yep:YE105_Ct0007
ko:K14221	yep:YE105_Ct0063
ko:K14219	yep:YE105_Ct0006
ko:K14225	yep:YE105_Ct0019
ko:K14225	yep:YE105_Ct0046
ko:K01759	yep:YE105_C2039
ko:K00568	yep:YE105_C2725
ko:K00638	yep:YE105_C1811
ko:K16013	yep:YE105_C2601
ko:K13409	yep:YE105_C2474
ko:K13408	yep:YE105_C2473
ko:K02016	yep:YE105_C0357
ko:K07225	yep:YE105_C0358
ko:K03641	yep:YE105_C1307
ko:K03758	yep:YE105_C2104
ko:K00324	yep:YE105_C2106
ko:K00325	yep:YE105_C2107
ko:K14055	yep:YE105_C2108
ko:K01420	yep:YE105_C2109
ko:K00567	yep:YE105_C2110
ko:K07470	yep:YE105_C2112
ko:K00059	yep:YE105_C2113
ko:K01077	yep:YE105_C2114
ko:K00852	yep:YE105_C2115
ko:K02429	yep:YE105_C2116
ko:K01653	yep:YE105_C2119
ko:K01652	yep:YE105_C2120
ko:K07783	yep:YE105_C2126
ko:K01092	yep:YE105_C2127
ko:K01241	yep:YE105_C2129
ko:K01482	yep:YE105_C2136
ko:K06987	yep:YE105_C2141
ko:K01993	yep:YE105_C2143
ko:K11209	yep:YE105_C2145
ko:K07685	yep:YE105_C2936
ko:K09136	yep:YE105_C2939
ko:K01439	yep:YE105_C2942
ko:K14744	yep:YE105_C2948
ko:K06999	yep:YE105_C2950
ko:K06957	yep:YE105_C2953
ko:K01923	yep:YE105_C2955
ko:K07287	yep:YE105_C2956
ko:K01714	yep:YE105_C2957
ko:K03567	yep:YE105_C2958
ko:K03564	yep:YE105_C2959
ko:K03548	yep:YE105_C2960
ko:K10763	yep:YE105_C2963
ko:K02824	yep:YE105_C2964
ko:K00761	yep:YE105_C2965
ko:K01933	yep:YE105_C2966
ko:K11175	yep:YE105_C2967
ko:K00657	yep:YE105_C2968
ko:K02036	yep:YE105_C2971
ko:K02038	yep:YE105_C2972
ko:K02037	yep:YE105_C2973
ko:K00937	yep:YE105_C2974
ko:K01524	yep:YE105_C2975
ko:K06213	yep:YE105_C2977
ko:K04046	yep:YE105_C2979
ko:K07799	yep:YE105_C2980
ko:K07788	yep:YE105_C2981
ko:K07789	yep:YE105_C2982
ko:K07642	yep:YE105_C2984
ko:K07664	yep:YE105_C2985
ko:K09946	yep:YE105_C2986
ko:K08303	yep:YE105_C2987
ko:K02783	yep:YE105_C2989
ko:K11103	yep:YE105_C3785
ko:K00694	yep:YE105_C3793
ko:K12372	yep:YE105_C3799
ko:K12371	yep:YE105_C3800
ko:K12370	yep:YE105_C3801
ko:K12369	yep:YE105_C3802
ko:K12368	yep:YE105_C3803
ko:K12975	yep:YE105_C3807
ko:K07686	yep:YE105_C3808
ko:K07783	yep:YE105_C3810
ko:K00847	yep:YE105_C3824
ko:K02759	yep:YE105_C3825
ko:K02761	yep:YE105_C3826
ko:K02760	yep:YE105_C3827
ko:K02761	yep:YE105_C3828
ko:K01809	yep:YE105_C3831
ko:K07347	yep:YE105_C3834
ko:K01712	yep:YE105_C3836
ko:K01745	yep:YE105_C3837
ko:K04564	yep:YE105_C2035
ko:K07390	yep:YE105_C2037
ko:K03683	yep:YE105_C2038
ko:K10680	yep:YE105_C2040
ko:K03760	yep:YE105_C2042
ko:K06938	yep:YE105_C2043
ko:K06075	yep:YE105_C2048
ko:K06077	yep:YE105_C2049
ko:K02197	yep:YE105_C2838
ko:K02196	yep:YE105_C2839
ko:K02195	yep:YE105_C2840
ko:K02194	yep:YE105_C2841
ko:K02193	yep:YE105_C2842
ko:K06919	yep:YE105_C2849
ko:K07733	yep:YE105_C2856
ko:K06193	yep:YE105_C2857
ko:K01223	yep:YE105_C2860
ko:K02752	yep:YE105_C2861
ko:K02753	yep:YE105_C2861
ko:K03487	yep:YE105_C2862
ko:K02067	yep:YE105_C2866
ko:K02065	yep:YE105_C2867
ko:K02066	yep:YE105_C2868
ko:K08167	yep:YE105_C2869
ko:K08305	yep:YE105_C2873
ko:K02012	yep:YE105_C2874
ko:K02011	yep:YE105_C2875
ko:K03329	yep:YE105_C2877
ko:K14261	yep:YE105_C2881
ko:K02478	yep:YE105_C2884
ko:K08177	yep:YE105_C2886
ko:K06915	yep:YE105_C3674
ko:K01222	yep:YE105_C3676
ko:K06141	yep:YE105_C3678
ko:K00362	yep:YE105_C3680
ko:K00363	yep:YE105_C3681
ko:K02598	yep:YE105_C3682
ko:K02302	yep:YE105_C3683
ko:K01867	yep:YE105_C3684
ko:K01091	yep:YE105_C3685
ko:K01783	yep:YE105_C3686
ko:K06223	yep:YE105_C3687
ko:K03112	yep:YE105_C3688
ko:K01735	yep:YE105_C3689
ko:K00891	yep:YE105_C3690
ko:K02507	yep:YE105_C3691
ko:K12291	yep:YE105_C3692
ko:K12290	yep:YE105_C3693
ko:K12289	yep:YE105_C3694
ko:K12288	yep:YE105_C3695
ko:K05366	yep:YE105_C3696
ko:K08312	yep:YE105_C3697
ko:K04762	yep:YE105_C3700
ko:K04083	yep:YE105_C3701
ko:K01610	yep:YE105_C3702
ko:K07638	yep:YE105_C3705
ko:K07659	yep:YE105_C3706
ko:K04760	yep:YE105_C3707
ko:K06959	yep:YE105_C3712
ko:K04758	yep:YE105_C3713
ko:K04759	yep:YE105_C3714
ko:K07490	yep:YE105_C3715
ko:K02170	yep:YE105_C3717
ko:K07400	yep:YE105_C3719
ko:K00705	yep:YE105_C3720
ko:K00688	yep:YE105_C3721
ko:K03556	yep:YE105_C3722
ko:K02439	yep:YE105_C3724
ko:K02441	yep:YE105_C3725
ko:K02444	yep:YE105_C3726
ko:K00111	yep:YE105_C3727
ko:K00688	yep:YE105_C3728
ko:K07227	yep:YE105_C0362
ko:K01754	yep:YE105_C0364
ko:K03838	yep:YE105_C0365
ko:K00656	yep:YE105_C0367
ko:K00865	yep:YE105_C0369
ko:K04084	yep:YE105_C0370
ko:K03926	yep:YE105_C0371
ko:K07791	yep:YE105_C0372
ko:K01744	yep:YE105_C0373
ko:K07113	yep:YE105_C0374
ko:K04078	yep:YE105_C0375
ko:K04077	yep:YE105_C0376
ko:K02356	yep:YE105_C0379
ko:K03098	yep:YE105_C0382
ko:K00247	yep:YE105_C0383
