ko:K02433	ctra:BN442_0031
ko:K03471	ctra:BN442_0081
ko:K09779	ctra:BN442_0011
ko:K19405	ctra:BN442_6851
ko:K02435	ctra:BN442_0021
ko:K02434	ctra:BN442_0041
ko:K02517	ctra:BN442_0101
ko:K06910	ctra:BN442_7461
ko:K07117	ctra:BN442_7471
ko:K00033	ctra:BN442_0641
ko:K11707	ctra:BN442_0681
ko:K11710	ctra:BN442_0691
ko:K11708	ctra:BN442_0701
ko:K11709	ctra:BN442_0711
ko:K03177	ctra:BN442_0951
ko:K06179	ctra:BN442_1071
ko:K00939	ctra:BN442_1291
ko:K02035	ctra:BN442_1401
ko:K06889	ctra:BN442_1501
ko:K02035	ctra:BN442_1741
ko:K02049	ctra:BN442_1791
ko:K01409	ctra:BN442_1961
ko:K15582	ctra:BN442_1991
ko:K10823	ctra:BN442_2001
ko:K15583	ctra:BN442_2011
ko:K06889	ctra:BN442_2051
ko:K00059	ctra:BN442_2371
ko:K07052	ctra:BN442_2541
ko:K02342	ctra:BN442_2611
ko:K02806	ctra:BN442_2901
ko:K02806	ctra:BN442_2911
ko:K02124	ctra:BN442_3041
ko:K02123	ctra:BN442_3051
ko:K02120	ctra:BN442_3061
ko:K02118	ctra:BN442_3071
ko:K02117	ctra:BN442_3081
ko:K02121	ctra:BN442_3101
ko:K00616	ctra:BN442_3131
ko:K08483	ctra:BN442_3381
ko:K11189	ctra:BN442_3391
ko:K07098	ctra:BN442_4681
ko:K00567	ctra:BN442_4841
ko:K02033	ctra:BN442_4861
ko:K02035	ctra:BN442_4871
ko:K02030	ctra:BN442_4931
ko:K02342	ctra:BN442_5441
ko:K07258	ctra:BN442_5591
ko:K03227	ctra:BN442_5711
ko:K02454	ctra:BN442_5791
ko:K01262	ctra:BN442_5821
ko:K07315	ctra:BN442_5961
ko:K03386	ctra:BN442_6111
ko:K02428	ctra:BN442_6141
ko:K00970	ctra:BN442_7141
ko:K01596	ctra:BN442_7201
ko:K00972	ctra:BN442_7251
ko:K01834	ctra:BN442_7321
ko:K00813	ctra:BN442_6461
ko:K01934	ctra:BN442_6581
ko:K01507	ctra:BN442_7821
ko:K01082	ctra:BN442_7841
ko:K01909	ctra:BN442_7861
ko:K00652	ctra:BN442_7871
ko:K01679	ctra:BN442_8691
ko:K04763	ctra:BN442_8781
ko:K00700	ctra:BN442_8801
ko:K03856	ctra:BN442_3851
ko:K00784	ctra:BN442_3491
ko:K00970	ctra:BN442_4141
ko:K09815	ctra:BN442_4191
ko:K01719	ctra:BN442_4391
ko:K00380	ctra:BN442_4411
ko:K01885	ctra:BN442_4521
ko:K11645	ctra:BN442_2141
ko:K03559	ctra:BN442_6051
ko:K13941	ctra:BN442_6221
ko:K01633	ctra:BN442_6231
ko:K03086	ctra:BN442_6241
ko:K02968	ctra:BN442_6261
ko:K03980	ctra:BN442_6331
ko:K01151	ctra:BN442_6341
ko:K02986	ctra:BN442_6351
ko:K07146	ctra:BN442_6361
ko:K13789	ctra:BN442_6371
ko:K01698	ctra:BN442_6421
ko:K00346	ctra:BN442_6431
ko:K03582	ctra:BN442_6481
ko:K03583	ctra:BN442_6491
ko:K03168	ctra:BN442_6521
ko:K02221	ctra:BN442_6541
ko:K03581	ctra:BN442_6611
ko:K06861	ctra:BN442_6631
ko:K01627	ctra:BN442_6651
ko:K06180	ctra:BN442_6681
ko:K06960	ctra:BN442_6691
ko:K02469	ctra:BN442_6701
ko:K02470	ctra:BN442_6711
ko:K02492	ctra:BN442_6721
ko:K00231	ctra:BN442_7551
ko:K01599	ctra:BN442_7571
ko:K03723	ctra:BN442_7581
ko:K01872	ctra:BN442_7591
ko:K00615	ctra:BN442_7601
ko:K01241	ctra:BN442_7611
ko:K02356	ctra:BN442_7621
ko:K01929	ctra:BN442_7661
ko:K01000	ctra:BN442_7671
ko:K01925	ctra:BN442_7681
ko:K03588	ctra:BN442_7701
ko:K02563	ctra:BN442_7711
ko:K06960	ctra:BN442_7731
ko:K00791	ctra:BN442_7761
ko:K09710	ctra:BN442_7791
ko:K09458	ctra:BN442_7801
ko:K00263	ctra:BN442_7831
ko:K00655	ctra:BN442_7851
ko:K04066	ctra:BN442_7881
ko:K04567	ctra:BN442_7911
ko:K01883	ctra:BN442_7921
ko:K03536	ctra:BN442_7941
ko:K02914	ctra:BN442_7951
ko:K02919	ctra:BN442_7961
ko:K02954	ctra:BN442_7971
ko:K03703	ctra:BN442_8011
ko:K03555	ctra:BN442_8021
ko:K01265	ctra:BN442_8651
ko:K03321	ctra:BN442_8701
ko:K03527	ctra:BN442_8731
ko:K01870	ctra:BN442_0191
ko:K03100	ctra:BN442_0201
ko:K00425	ctra:BN442_0131
ko:K00426	ctra:BN442_0141
ko:K07175	ctra:BN442_0151
ko:K02909	ctra:BN442_0221
ko:K02835	ctra:BN442_0231
