ko:K19416	sbt:Sbal678_2315
ko:K22317	sbt:Sbal678_1617
ko:K02028	sbt:Sbal678_1011
ko:K00632	sbt:Sbal678_2865
ko:K18928	sbt:Sbal678_1409
ko:K18138	sbt:Sbal678_4418
ko:K19591	sbt:Sbal678_1571
ko:K21029	sbt:Sbal678_0138
ko:K16013	sbt:Sbal678_0933
ko:K16012	sbt:Sbal678_0934
ko:K12543	sbt:Sbal678_4134
ko:K00130	sbt:Sbal678_1381
ko:K11741	sbt:Sbal678_2980
ko:K01436	sbt:Sbal678_4290
ko:K21429	sbt:Sbal678_4071
ko:K08679	sbt:Sbal678_4498
ko:K12542	sbt:Sbal678_4133
ko:K01271	sbt:Sbal678_0021
ko:K12541	sbt:Sbal678_4132
ko:K03111	sbt:Sbal678_0592
ko:K10716	sbt:Sbal678_2643
ko:K15984	sbt:Sbal678_4409
ko:K15986	sbt:Sbal678_0449
ko:K01915	sbt:Sbal678_0318
ko:K06207	sbt:Sbal678_0319
ko:K01761	sbt:Sbal678_0323
ko:K07058	sbt:Sbal678_0326
ko:K01259	sbt:Sbal678_0327
ko:K07560	sbt:Sbal678_0329
ko:K01118	sbt:Sbal678_0331
ko:K05782	sbt:Sbal678_0335
ko:K03829	sbt:Sbal678_0336
ko:K09458	sbt:Sbal678_0339
ko:K00059	sbt:Sbal678_0340
ko:K00647	sbt:Sbal678_0342
ko:K07107	sbt:Sbal678_0347
ko:K01745	sbt:Sbal678_0348
ko:K02078	sbt:Sbal678_0353
ko:K02078	sbt:Sbal678_0354
ko:K03655	sbt:Sbal678_0358
ko:K07693	sbt:Sbal678_0359
ko:K07778	sbt:Sbal678_0360
ko:K07301	sbt:Sbal678_0362
ko:K03060	sbt:Sbal678_0366
ko:K12573	sbt:Sbal678_0755
ko:K03218	sbt:Sbal678_0756
ko:K07283	sbt:Sbal678_0758
ko:K02990	sbt:Sbal678_0759
ko:K02686	sbt:Sbal678_0760
ko:K02963	sbt:Sbal678_0761
ko:K02939	sbt:Sbal678_0762
ko:K02379	sbt:Sbal678_0114
ko:K07112	sbt:Sbal678_0115
ko:K05595	sbt:Sbal678_0131
ko:K09607	sbt:Sbal678_0132
ko:K03181	sbt:Sbal678_0133
ko:K02415	sbt:Sbal678_0134
ko:K06970	sbt:Sbal678_0135
ko:K09712	sbt:Sbal678_0136
ko:K03750	sbt:Sbal678_0139
ko:K02217	sbt:Sbal678_0140
ko:K02858	sbt:Sbal678_0142
ko:K01354	sbt:Sbal678_0143
ko:K07461	sbt:Sbal678_0144
ko:K01610	sbt:Sbal678_0154
ko:K04083	sbt:Sbal678_0155
ko:K04762	sbt:Sbal678_0156
ko:K02452	sbt:Sbal678_0157
ko:K02453	sbt:Sbal678_0158
ko:K02454	sbt:Sbal678_0159
ko:K02455	sbt:Sbal678_0160
ko:K00124	sbt:Sbal678_0109
ko:K02380	sbt:Sbal678_0111
ko:K01042	sbt:Sbal678_0112
ko:K03833	sbt:Sbal678_0113
ko:K02456	sbt:Sbal678_0161
ko:K02517	sbt:Sbal678_0971
ko:K03272	sbt:Sbal678_0972
ko:K00325	sbt:Sbal678_0977
ko:K00324	sbt:Sbal678_0978
ko:K00380	sbt:Sbal678_0979
ko:K00381	sbt:Sbal678_0980
ko:K00390	sbt:Sbal678_0981
ko:K03814	sbt:Sbal678_0983
ko:K01058	sbt:Sbal678_0987
ko:K00957	sbt:Sbal678_0989
ko:K00860	sbt:Sbal678_0992
ko:K00230	sbt:Sbal678_1000
ko:K10679	sbt:Sbal678_1004
ko:K03790	sbt:Sbal678_1005
ko:K05786	sbt:Sbal678_1009
ko:K07262	sbt:Sbal678_1019
ko:K07300	sbt:Sbal678_1021
ko:K14979	sbt:Sbal678_2255
ko:K02313	sbt:Sbal678_0001
ko:K02338	sbt:Sbal678_0002
ko:K03629	sbt:Sbal678_0003
ko:K02470	sbt:Sbal678_0004
ko:K01879	sbt:Sbal678_0012
ko:K01878	sbt:Sbal678_0013
ko:K01246	sbt:Sbal678_0014
ko:K04085	sbt:Sbal678_0017
ko:K01825	sbt:Sbal678_0020
ko:K03498	sbt:Sbal678_0023
ko:K00230	sbt:Sbal678_0024
ko:K00230	sbt:Sbal678_0026
ko:K03498	sbt:Sbal678_0027
ko:K03499	sbt:Sbal678_0028
ko:K03500	sbt:Sbal678_0029
ko:K00604	sbt:Sbal678_0030
ko:K02419	sbt:Sbal678_3069
ko:K02418	sbt:Sbal678_3070
ko:K14978	sbt:Sbal678_2256
ko:K02417	sbt:Sbal678_3071
ko:K02416	sbt:Sbal678_3072
ko:K02415	sbt:Sbal678_3073
ko:K02414	sbt:Sbal678_3074
ko:K03219	sbt:Sbal678_2258
ko:K03220	sbt:Sbal678_2259
ko:K02413	sbt:Sbal678_3075
ko:K02412	sbt:Sbal678_3076
ko:K02411	sbt:Sbal678_3077
ko:K15350	sbt:Sbal678_2270
ko:K02410	sbt:Sbal678_3078
ko:K02409	sbt:Sbal678_3079
ko:K02408	sbt:Sbal678_3080
ko:K10943	sbt:Sbal678_3081
ko:K10942	sbt:Sbal678_3082
ko:K10941	sbt:Sbal678_3083
ko:K02422	sbt:Sbal678_3084
ko:K02407	sbt:Sbal678_3086
ko:K06603	sbt:Sbal678_3087
ko:K02406	sbt:Sbal678_3088
ko:K02406	sbt:Sbal678_3091
ko:K02406	sbt:Sbal678_3093
ko:K02406	sbt:Sbal678_3094
ko:K02397	sbt:Sbal678_3095
ko:K02396	sbt:Sbal678_3096
ko:K02395	sbt:Sbal678_3097
ko:K02394	sbt:Sbal678_3098
ko:K02393	sbt:Sbal678_3099
ko:K02392	sbt:Sbal678_3100
ko:K02391	sbt:Sbal678_3101
ko:K03221	sbt:Sbal678_2273
ko:K03222	sbt:Sbal678_2276
ko:K03230	sbt:Sbal678_2283
ko:K03224	sbt:Sbal678_2284
ko:K02390	sbt:Sbal678_3102
ko:K03225	sbt:Sbal678_2287
ko:K02389	sbt:Sbal678_3103
ko:K03226	sbt:Sbal678_2288
ko:K02388	sbt:Sbal678_3104
ko:K02387	sbt:Sbal678_3105
ko:K00575	sbt:Sbal678_3106
ko:K03415	sbt:Sbal678_3107
ko:K03227	sbt:Sbal678_2289
ko:K02386	sbt:Sbal678_3108
ko:K02398	sbt:Sbal678_3109
ko:K02399	sbt:Sbal678_3110
ko:K09860	sbt:Sbal678_3111
ko:K06447	sbt:Sbal678_3908
ko:K00673	sbt:Sbal678_3909
ko:K01664	sbt:Sbal678_3914
ko:K03228	sbt:Sbal678_2290
ko:K03229	sbt:Sbal678_2291
ko:K03600	sbt:Sbal678_3915
ko:K03599	sbt:Sbal678_3916
ko:K00413	sbt:Sbal678_3917
ko:K00412	sbt:Sbal678_3918
ko:K00411	sbt:Sbal678_3919
ko:K04087	sbt:Sbal678_3920
ko:K04088	sbt:Sbal678_3921
ko:K00245	sbt:Sbal678_0657
ko:K00244	sbt:Sbal678_0658
ko:K00246	sbt:Sbal678_0659
ko:K07791	sbt:Sbal678_0660
ko:K01744	sbt:Sbal678_0661
ko:K01424	sbt:Sbal678_0662
ko:K07263	sbt:Sbal678_0664
ko:K01387	sbt:Sbal678_0673
ko:K01785	sbt:Sbal678_0676
ko:K00849	sbt:Sbal678_0677
ko:K04084	sbt:Sbal678_0679
ko:K03926	sbt:Sbal678_0680
ko:K07113	sbt:Sbal678_0681
ko:K04078	sbt:Sbal678_0687
ko:K04077	sbt:Sbal678_0688
ko:K07154	sbt:Sbal678_0692
ko:K01607	sbt:Sbal678_0696
ko:K05776	sbt:Sbal678_0698
ko:K03608	sbt:Sbal678_1939
ko:K03609	sbt:Sbal678_1940
ko:K03610	sbt:Sbal678_1941
ko:K09902	sbt:Sbal678_1942
ko:K08305	sbt:Sbal678_1943
ko:K09160	sbt:Sbal678_1944
ko:K03406	sbt:Sbal678_1945
ko:K01889	sbt:Sbal678_1946
ko:K01890	sbt:Sbal678_1947
ko:K04764	sbt:Sbal678_1948
ko:K02560	sbt:Sbal678_1949
ko:K04651	sbt:Sbal678_1950
ko:K04655	sbt:Sbal678_1951
ko:K04654	sbt:Sbal678_1952
ko:K04653	sbt:Sbal678_1953
ko:K04652	sbt:Sbal678_1954
ko:K04656	sbt:Sbal678_1956
ko:K03620	sbt:Sbal678_1959
ko:K03734	sbt:Sbal678_1965
ko:K03670	sbt:Sbal678_1968
ko:K03669	sbt:Sbal678_1969
ko:K02897	sbt:Sbal678_1973
ko:K09800	sbt:Sbal678_1974
ko:K07278	sbt:Sbal678_1975
ko:K13051	sbt:Sbal678_1976
ko:K01775	sbt:Sbal678_0765
ko:K02553	sbt:Sbal678_2056
ko:K07289	sbt:Sbal678_2057
ko:K08307	sbt:Sbal678_2059
ko:K03469	sbt:Sbal678_2063
ko:K02342	sbt:Sbal678_2064
ko:K06445	sbt:Sbal678_2070
ko:K07443	sbt:Sbal678_2073
ko:K01462	sbt:Sbal678_2074
ko:K02002	sbt:Sbal678_2077
ko:K02001	sbt:Sbal678_2078
ko:K08234	sbt:Sbal678_2082
ko:K02429	sbt:Sbal678_2089
ko:K03500	sbt:Sbal678_2090
ko:K01921	sbt:Sbal678_2092
ko:K03581	sbt:Sbal678_2095
ko:K03582	sbt:Sbal678_2096
ko:K03583	sbt:Sbal678_2097
ko:K07114	sbt:Sbal678_2870
ko:K03088	sbt:Sbal678_2872
ko:K06076	sbt:Sbal678_2875
ko:K14645	sbt:Sbal678_2884
ko:K02304	sbt:Sbal678_2886
ko:K03074	sbt:Sbal678_2889
ko:K03072	sbt:Sbal678_2890
ko:K03210	sbt:Sbal678_2891
ko:K00773	sbt:Sbal678_2892
ko:K07568	sbt:Sbal678_2893
ko:K06177	sbt:Sbal678_2896
ko:K03409	sbt:Sbal678_0766
ko:K03837	sbt:Sbal678_3700
ko:K07116	sbt:Sbal678_3701
ko:K03828	sbt:Sbal678_3703
ko:K00351	sbt:Sbal678_3707
ko:K00350	sbt:Sbal678_3708
ko:K00349	sbt:Sbal678_3709
ko:K00348	sbt:Sbal678_3710
ko:K00347	sbt:Sbal678_3711
ko:K00346	sbt:Sbal678_3712
ko:K02014	sbt:Sbal678_3721
ko:K03406	sbt:Sbal678_3724
ko:K11717	sbt:Sbal678_3725
ko:K02426	sbt:Sbal678_3726
ko:K11312	sbt:Sbal678_3729
ko:K08303	sbt:Sbal678_3732
ko:K06177	sbt:Sbal678_3733
ko:K03718	sbt:Sbal678_3734
ko:K00760	sbt:Sbal678_3740
ko:K03186	sbt:Sbal678_3741
ko:K01305	sbt:Sbal678_2048
ko:K03768	sbt:Sbal678_2052
ko:K02558	sbt:Sbal678_3742
ko:K03665	sbt:Sbal678_3922
ko:K03666	sbt:Sbal678_3923
ko:K00791	sbt:Sbal678_3924
ko:K03572	sbt:Sbal678_3925
ko:K01448	sbt:Sbal678_3926
ko:K06925	sbt:Sbal678_3927
ko:K13288	sbt:Sbal678_3930
ko:K06949	sbt:Sbal678_3931
ko:K01613	sbt:Sbal678_3932
ko:K01126	sbt:Sbal678_3935
ko:K03406	sbt:Sbal678_3938
ko:K02192	sbt:Sbal678_3939
ko:K00569	sbt:Sbal678_3940
ko:K07175	sbt:Sbal678_3945
ko:K03580	sbt:Sbal678_3946
ko:K09893	sbt:Sbal678_3951
ko:K02571	sbt:Sbal678_1980
ko:K02570	sbt:Sbal678_1981
ko:K02567	sbt:Sbal678_1982
ko:K02568	sbt:Sbal678_1983
ko:K02569	sbt:Sbal678_1984
ko:K01893	sbt:Sbal678_1986
ko:K01665	sbt:Sbal678_1989
ko:K01676	sbt:Sbal678_1990
ko:K03528	sbt:Sbal678_2764
ko:K03529	sbt:Sbal678_2765
ko:K06203	sbt:Sbal678_2766
ko:K01738	sbt:Sbal678_2769
ko:K02014	sbt:Sbal678_2772
ko:K06212	sbt:Sbal678_2773
ko:K00656	sbt:Sbal678_2774
ko:K04069	sbt:Sbal678_2775
ko:K09899	sbt:Sbal678_2776
ko:K00925	sbt:Sbal678_2777
ko:K13788	sbt:Sbal678_2778
ko:K03578	sbt:Sbal678_1979
ko:K06969	sbt:Sbal678_2782
ko:K07589	sbt:Sbal678_2784
ko:K07071	sbt:Sbal678_2785
ko:K03312	sbt:Sbal678_2786
ko:K03100	sbt:Sbal678_2787
ko:K02004	sbt:Sbal678_2788
ko:K02003	sbt:Sbal678_2789
ko:K10804	sbt:Sbal678_2790
ko:K14205	sbt:Sbal678_2793
ko:K04774	sbt:Sbal678_2795
ko:K06178	sbt:Sbal678_2801
ko:K06024	sbt:Sbal678_2802
ko:K05896	sbt:Sbal678_2803
ko:K07053	sbt:Sbal678_2805
ko:K01657	sbt:Sbal678_2807
ko:K00766	sbt:Sbal678_2809
ko:K13498	sbt:Sbal678_2810
ko:K01696	sbt:Sbal678_2812
ko:K01695	sbt:Sbal678_2813
ko:K03897	sbt:Sbal678_2816
ko:K07173	sbt:Sbal678_3586
ko:K05527	sbt:Sbal678_3588
ko:K01740	sbt:Sbal678_3592
ko:K00425	sbt:Sbal678_3594
ko:K00426	sbt:Sbal678_3595
ko:K03406	sbt:Sbal678_3600
ko:K03734	sbt:Sbal678_3601
ko:K06183	sbt:Sbal678_3603
ko:K03834	sbt:Sbal678_3611
ko:K03781	sbt:Sbal678_3614
ko:K07004	sbt:Sbal678_3618
ko:K03745	sbt:Sbal678_3621
ko:K01462	sbt:Sbal678_3622
ko:K09859	sbt:Sbal678_3623
ko:K07337	sbt:Sbal678_3624
ko:K01256	sbt:Sbal678_3625
ko:K03406	sbt:Sbal678_3626
ko:K01951	sbt:Sbal678_3632
ko:K03670	sbt:Sbal678_3633
ko:K03782	sbt:Sbal678_3635
ko:K04567	sbt:Sbal678_3637
ko:K03585	sbt:Sbal678_4419
ko:K00799	sbt:Sbal678_4422
ko:K01414	sbt:Sbal678_4424
ko:K00383	sbt:Sbal678_4427
ko:K03307	sbt:Sbal678_4452
ko:K00931	sbt:Sbal678_4453
ko:K00147	sbt:Sbal678_4454
ko:K01638	sbt:Sbal678_4464
ko:K02109	sbt:Sbal678_4540
ko:K02110	sbt:Sbal678_4541
ko:K02108	sbt:Sbal678_4542
ko:K02116	sbt:Sbal678_4543
ko:K01661	sbt:Sbal678_4529
ko:K03501	sbt:Sbal678_4546
ko:K03495	sbt:Sbal678_4547
ko:K06205	sbt:Sbal678_4549
ko:K03650	sbt:Sbal678_4550
ko:K03217	sbt:Sbal678_4551
ko:K08998	sbt:Sbal678_4552
ko:K00820	sbt:Sbal678_4531
ko:K03536	sbt:Sbal678_4553
ko:K02914	sbt:Sbal678_4554
ko:K02014	sbt:Sbal678_4533
ko:K04042	sbt:Sbal678_4534
ko:K02114	sbt:Sbal678_4535
ko:K02112	sbt:Sbal678_4536
ko:K02115	sbt:Sbal678_4537
ko:K02111	sbt:Sbal678_4538
ko:K02113	sbt:Sbal678_4539
ko:K02881	sbt:Sbal678_0221
ko:K02988	sbt:Sbal678_0222
ko:K02907	sbt:Sbal678_0223
ko:K02876	sbt:Sbal678_0224
ko:K03076	sbt:Sbal678_0225
ko:K02919	sbt:Sbal678_0226
ko:K02952	sbt:Sbal678_0227
ko:K02948	sbt:Sbal678_0228
ko:K02986	sbt:Sbal678_0229
ko:K03040	sbt:Sbal678_0230
ko:K02879	sbt:Sbal678_0231
ko:K02197	sbt:Sbal678_0233
ko:K02196	sbt:Sbal678_0234
ko:K02195	sbt:Sbal678_0235
ko:K02194	sbt:Sbal678_0236
ko:K02193	sbt:Sbal678_0237
ko:K02200	sbt:Sbal678_0239
ko:K02198	sbt:Sbal678_0240
ko:K02199	sbt:Sbal678_0241
ko:K02200	sbt:Sbal678_0242
ko:K09983	sbt:Sbal678_0244
ko:K03781	sbt:Sbal678_0259
ko:K02016	sbt:Sbal678_1077
ko:K02982	sbt:Sbal678_0211
ko:K03561	sbt:Sbal678_1079
ko:K03832	sbt:Sbal678_1080
ko:K07227	sbt:Sbal678_1082
ko:K07226	sbt:Sbal678_1083
ko:K02878	sbt:Sbal678_0212
ko:K02904	sbt:Sbal678_0213
ko:K02961	sbt:Sbal678_0214
ko:K06147	sbt:Sbal678_1084
ko:K02014	sbt:Sbal678_1088
ko:K03648	sbt:Sbal678_1094
ko:K02523	sbt:Sbal678_1095
ko:K02888	sbt:Sbal678_1096
ko:K02874	sbt:Sbal678_0215
ko:K02899	sbt:Sbal678_1097
ko:K03979	sbt:Sbal678_1098
ko:K03406	sbt:Sbal678_1103
ko:K01525	sbt:Sbal678_1104
ko:K06195	sbt:Sbal678_1105
ko:K02528	sbt:Sbal678_1106
ko:K00097	sbt:Sbal678_1107
ko:K03771	sbt:Sbal678_1108
ko:K02895	sbt:Sbal678_0216
ko:K02931	sbt:Sbal678_0217
ko:K02954	sbt:Sbal678_0218
ko:K02994	sbt:Sbal678_0219
ko:K02933	sbt:Sbal678_0220
ko:K07102	sbt:Sbal678_1111
ko:K05801	sbt:Sbal678_1113
ko:K06177	sbt:Sbal678_1120
ko:K08289	sbt:Sbal678_1121
ko:K02045	sbt:Sbal678_1125
ko:K02047	sbt:Sbal678_1126
ko:K04744	sbt:Sbal678_1110
ko:K02046	sbt:Sbal678_1127
ko:K02048	sbt:Sbal678_1128
ko:K01433	sbt:Sbal678_1512
ko:K00674	sbt:Sbal678_1514
ko:K00990	sbt:Sbal678_1515
ko:K01265	sbt:Sbal678_1516
ko:K02967	sbt:Sbal678_1517
ko:K02357	sbt:Sbal678_1518
ko:K09903	sbt:Sbal678_1519
ko:K02838	sbt:Sbal678_1520
ko:K00806	sbt:Sbal678_1521
ko:K00981	sbt:Sbal678_1522
ko:K00099	sbt:Sbal678_1523
ko:K11749	sbt:Sbal678_1524
ko:K07277	sbt:Sbal678_1525
ko:K06142	sbt:Sbal678_1526
ko:K02536	sbt:Sbal678_1527
ko:K02372	sbt:Sbal678_1528
ko:K00677	sbt:Sbal678_1529
ko:K00748	sbt:Sbal678_1530
ko:K03470	sbt:Sbal678_1531
ko:K02337	sbt:Sbal678_1532
ko:K04075	sbt:Sbal678_1533
ko:K03455	sbt:Sbal678_1535
