ko:K01006	pacc:PAC1_10445
ko:K19270	pacc:PAC1_00145
ko:K01990	pacc:PAC1_02095
ko:K01990	pacc:PAC1_08175
ko:K15582	pacc:PAC1_10965
ko:K10823	pacc:PAC1_10975
ko:K18930	pacc:PAC1_04175
ko:K18930	pacc:PAC1_04180
ko:K03405	pacc:PAC1_04235
ko:K03404	pacc:PAC1_04240
ko:K05794	pacc:PAC1_04315
ko:K16163	pacc:PAC1_04325
ko:K11189	pacc:PAC1_00765
ko:K03436	pacc:PAC1_00780
ko:K03488	pacc:PAC1_01530
ko:K01719	pacc:PAC1_01570
ko:K07067	pacc:PAC1_01610
ko:K00027	pacc:PAC1_01620
ko:K00010	pacc:PAC1_02410
ko:K07052	pacc:PAC1_02415
ko:K06201	pacc:PAC1_02420
ko:K10843	pacc:PAC1_02430
ko:K02564	pacc:PAC1_02445
ko:K02074	pacc:PAC1_03210
ko:K02077	pacc:PAC1_03215
ko:K00016	pacc:PAC1_00065
ko:K06196	pacc:PAC1_01680
ko:K08483	pacc:PAC1_01805
ko:K03709	pacc:PAC1_02490
ko:K01934	pacc:PAC1_02535
ko:K03635	pacc:PAC1_02570
ko:K02017	pacc:PAC1_02595
ko:K02018	pacc:PAC1_02595
ko:K00374	pacc:PAC1_02610
ko:K00674	pacc:PAC1_03285
ko:K01439	pacc:PAC1_03310
ko:K16148	pacc:PAC1_03325
ko:K03593	pacc:PAC1_03355
ko:K01262	pacc:PAC1_03380
ko:K10440	pacc:PAC1_00080
ko:K10439	pacc:PAC1_00085
ko:K00852	pacc:PAC1_00090
ko:K02775	pacc:PAC1_00110
ko:K03491	pacc:PAC1_00125
ko:K02004	pacc:PAC1_00255
ko:K16012	pacc:PAC1_00920
ko:K16013	pacc:PAC1_00925
ko:K06147	pacc:PAC1_00945
ko:K11189	pacc:PAC1_01810
ko:K07776	pacc:PAC1_01845
ko:K07768	pacc:PAC1_01850
ko:K01424	pacc:PAC1_01880
ko:K13671	pacc:PAC1_03535
ko:K01186	pacc:PAC1_03550
ko:K01186	pacc:PAC1_03555
ko:K02351	pacc:PAC1_03590
ko:K07245	pacc:PAC1_03590
ko:K02274	pacc:PAC1_03645
ko:K00088	pacc:PAC1_03680
ko:K03891	pacc:PAC1_03690
ko:K03890	pacc:PAC1_03695
ko:K03889	pacc:PAC1_03700
ko:K02342	pacc:PAC1_03745
ko:K00845	pacc:PAC1_03755
ko:K01222	pacc:PAC1_00295
ko:K01191	pacc:PAC1_00300
ko:K09704	pacc:PAC1_00315
ko:K12373	pacc:PAC1_00320
ko:K01784	pacc:PAC1_00335
ko:K06994	pacc:PAC1_00345
ko:K01727	pacc:PAC1_01925
ko:K02025	pacc:PAC1_02035
ko:K00639	pacc:PAC1_02050
ko:K07307	pacc:PAC1_02665
ko:K03153	pacc:PAC1_02695
ko:K02428	pacc:PAC1_02815
ko:K09009	pacc:PAC1_02835
ko:K07304	pacc:PAC1_02885
ko:K13787	pacc:PAC1_03805
ko:K03325	pacc:PAC1_03890
ko:K03299	pacc:PAC1_03995
ko:K07048	pacc:PAC1_04655
ko:K03079	pacc:PAC1_04665
ko:K00016	pacc:PAC1_04695
ko:K00027	pacc:PAC1_04700
ko:K02238	pacc:PAC1_04730
ko:K05341	pacc:PAC1_04750
ko:K02549	pacc:PAC1_04760
ko:K02552	pacc:PAC1_04770
ko:K09762	pacc:PAC1_04365
ko:K02798	pacc:PAC1_04855
ko:K02799	pacc:PAC1_04855
ko:K02800	pacc:PAC1_04855
ko:K00972	pacc:PAC1_04870
ko:K00135	pacc:PAC1_00390
ko:K10200	pacc:PAC1_00430
ko:K00368	pacc:PAC1_00475
ko:K03405	pacc:PAC1_00515
ko:K03404	pacc:PAC1_00520
ko:K10254	pacc:PAC1_00560
ko:K06877	pacc:PAC1_01280
ko:K00274	pacc:PAC1_01340
ko:K01507	pacc:PAC1_01365
ko:K02009	pacc:PAC1_02195
ko:K00595	pacc:PAC1_02215
ko:K03475	pacc:PAC1_02265
ko:K02821	pacc:PAC1_02270
ko:K00616	pacc:PAC1_02315
ko:K12503	pacc:PAC1_02935
ko:K01478	pacc:PAC1_03025
ko:K01847	pacc:PAC1_03100
ko:K01847	pacc:PAC1_03105
ko:K07588	pacc:PAC1_03110
ko:K14761	pacc:PAC1_03120
ko:K01206	pacc:PAC1_03165
ko:K02033	pacc:PAC1_07670
ko:K16926	pacc:PAC1_10555
ko:K18682	pacc:PAC1_05325
ko:K15771	pacc:PAC1_08155
ko:K02032	pacc:PAC1_07685
ko:K02031	pacc:PAC1_07680
ko:K18955	pacc:PAC1_08715
ko:K01066	pacc:PAC1_11785
ko:K03710	pacc:PAC1_03510
ko:K08996	pacc:PAC1_03530
ko:K03290	pacc:PAC1_03560
ko:K03644	pacc:PAC1_03580
ko:K03801	pacc:PAC1_03595
ko:K00658	pacc:PAC1_03600
ko:K01255	pacc:PAC1_03605
ko:K03969	pacc:PAC1_03625
ko:K02275	pacc:PAC1_03640
ko:K02003	pacc:PAC1_03660
ko:K02276	pacc:PAC1_03705
ko:K00655	pacc:PAC1_03765
ko:K04762	pacc:PAC1_01090
ko:K02343	pacc:PAC1_01100
ko:K09747	pacc:PAC1_01105
ko:K06187	pacc:PAC1_01110
ko:K02003	pacc:PAC1_01120
ko:K00600	pacc:PAC1_01890
ko:K00874	pacc:PAC1_01895
ko:K01625	pacc:PAC1_01900
ko:K03218	pacc:PAC1_01945
ko:K01883	pacc:PAC1_01950
ko:K03088	pacc:PAC1_01990
ko:K01752	pacc:PAC1_02015
ko:K00060	pacc:PAC1_02045
ko:K05845	pacc:PAC1_02055
ko:K05846	pacc:PAC1_02060
ko:K05846	pacc:PAC1_02065
ko:K05847	pacc:PAC1_02070
ko:K03149	pacc:PAC1_02685
ko:K03154	pacc:PAC1_02690
ko:K07056	pacc:PAC1_02715
ko:K03424	pacc:PAC1_02720
ko:K02528	pacc:PAC1_02725
ko:K00919	pacc:PAC1_02730
ko:K04042	pacc:PAC1_02745
ko:K00948	pacc:PAC1_02750
ko:K02897	pacc:PAC1_02770
ko:K01056	pacc:PAC1_02775
ko:K03723	pacc:PAC1_02805
ko:K01689	pacc:PAC1_02825
ko:K01524	pacc:PAC1_02840
ko:K03308	pacc:PAC1_02890
ko:K03648	pacc:PAC1_02900
ko:K01626	pacc:PAC1_03775
ko:K00297	pacc:PAC1_03810
ko:K01551	pacc:PAC1_03910
ko:K04095	pacc:PAC1_03955
