ko:K19405	ctct:CTW3_03740
ko:K14228	ctct:CTW3_02990
ko:K14230	ctct:CTW3_01115
ko:K14231	ctct:CTW3_02300
ko:K14223	ctct:CTW3_04480
ko:K00350	ctct:CTW3_01515
ko:K02437	ctct:CTW3_01520
ko:K03800	ctct:CTW3_01535
ko:K03696	ctct:CTW3_01545
ko:K00566	ctct:CTW3_01550
ko:K02806	ctct:CTW3_01570
ko:K02806	ctct:CTW3_01575
ko:K01963	ctct:CTW3_01585
ko:K04564	ctct:CTW3_01590
ko:K01840	ctct:CTW3_01595
ko:K03685	ctct:CTW3_01605
ko:K04485	ctct:CTW3_01610
ko:K01749	ctct:CTW3_01615
ko:K01873	ctct:CTW3_01625
ko:K02124	ctct:CTW3_01635
ko:K02123	ctct:CTW3_01640
ko:K02120	ctct:CTW3_01645
ko:K02118	ctct:CTW3_01650
ko:K02117	ctct:CTW3_01655
ko:K02121	ctct:CTW3_01670
ko:K00616	ctct:CTW3_01685
ko:K03046	ctct:CTW3_01690
ko:K03043	ctct:CTW3_01695
ko:K02935	ctct:CTW3_01700
ko:K02864	ctct:CTW3_01705
ko:K02863	ctct:CTW3_01710
ko:K02867	ctct:CTW3_01715
ko:K02601	ctct:CTW3_01720
ko:K03073	ctct:CTW3_01725
ko:K02358	ctct:CTW3_01735
ko:K02518	ctct:CTW3_01745
ko:K01803	ctct:CTW3_01785
ko:K03601	ctct:CTW3_01790
ko:K09779	ctct:CTW3_00010
ko:K02435	ctct:CTW3_00015
ko:K02433	ctct:CTW3_00020
ko:K02434	ctct:CTW3_00025
ko:K03471	ctct:CTW3_00050
ko:K02517	ctct:CTW3_00060
ko:K00425	ctct:CTW3_00075
ko:K00426	ctct:CTW3_00080
ko:K07175	ctct:CTW3_00085
ko:K01870	ctct:CTW3_00105
ko:K03100	ctct:CTW3_00110
ko:K02909	ctct:CTW3_00120
ko:K02835	ctct:CTW3_00125
ko:K02493	ctct:CTW3_00130
ko:K03106	ctct:CTW3_00135
ko:K02959	ctct:CTW3_00140
ko:K00554	ctct:CTW3_00145
ko:K02884	ctct:CTW3_00150
ko:K03470	ctct:CTW3_00155
ko:K00942	ctct:CTW3_00160
