ko:K16238	kpk:A593_15915
ko:K02345	kpk:A593_26500
ko:K18922	kpk:A593_05655
ko:K19586	kpk:A593_05015
ko:K06884	kpk:A593_19650
ko:K21908	kpk:A593_07705
ko:K09690	kpk:A593_02295
ko:K07315	kpk:A593_21410
ko:K19227	kpk:A593_21220
ko:K19162	kpk:A593_16605
ko:K02345	kpk:A593_01415
ko:K02345	kpk:A593_03740
ko:K15634	kpk:A593_22555
ko:K19271	kpk:A593_25000
ko:K03585	kpk:A593_10425
ko:K18842	kpk:A593_01980
ko:K03111	kpk:A593_26510
ko:K18138	kpk:A593_10430
ko:K18139	kpk:A593_10435
ko:K00042	kpk:A593_07945
ko:K19611	kpk:A593_20950
ko:K03293	kpk:A593_22040
ko:K03553	kpk:A593_05335
ko:K00526	kpk:A593_03075
ko:K03111	kpk:A593_12310
ko:K01990	kpk:A593_18595
ko:K19230	kpk:A593_21205
ko:K08348	kpk:A593_24195
ko:K08348	kpk:A593_24200
ko:K19789	kpk:A593_02905
ko:K19745	kpk:A593_01935
ko:K00108	kpk:A593_17370
ko:K00146	kpk:A593_17110
ko:K14225	kpk:A593_06755
ko:K03446	kpk:A593_23675
ko:K04103	kpk:A593_03955
ko:K00001	kpk:A593_11165
ko:K22589	kpk:A593_26250
ko:K21430	kpk:A593_18855
ko:K01007	kpk:A593_00365
ko:K08156	kpk:A593_24160
ko:K14219	kpk:A593_05295
ko:K14219	kpk:A593_05305
ko:K14219	kpk:A593_05310
ko:K14219	kpk:A593_05300
ko:K14219	kpk:A593_11590
ko:K14237	kpk:A593_04010
ko:K14237	kpk:A593_18240
ko:K14237	kpk:A593_04015
ko:K14237	kpk:A593_04020
ko:K14237	kpk:A593_18230
ko:K22550	kpk:A593_14015
ko:K07713	kpk:A593_12020
ko:K04753	kpk:A593_07225
ko:K07660	kpk:A593_02425
ko:K03293	kpk:A593_11585
ko:K02483	kpk:A593_23900
ko:K19587	kpk:A593_05025
ko:K18796	kpk:A593_22675
ko:K00433	kpk:A593_01995
ko:K19504	kpk:A593_14110
ko:K18697	kpk:A593_04655
ko:K18142	kpk:A593_08560
ko:K02592	kpk:A593_02145
ko:K02596	kpk:A593_02150
ko:K13819	kpk:A593_02155
ko:K04487	kpk:A593_02160
ko:K02594	kpk:A593_02165
ko:K02595	kpk:A593_02170
ko:K02597	kpk:A593_02175
ko:K03769	kpk:A593_02180
ko:K03839	kpk:A593_02185
ko:K02584	kpk:A593_02195
ko:K02585	kpk:A593_02200
ko:K15790	kpk:A593_02205
ko:K00765	kpk:A593_02225
ko:K00013	kpk:A593_02230
ko:K00817	kpk:A593_02235
ko:K01089	kpk:A593_02240
ko:K02501	kpk:A593_02245
ko:K01814	kpk:A593_02250
ko:K02500	kpk:A593_02255
ko:K11755	kpk:A593_02260
ko:K01854	kpk:A593_02280
ko:K08679	kpk:A593_02300
ko:K08679	kpk:A593_02305
ko:K00012	kpk:A593_02310
ko:K01840	kpk:A593_02315
ko:K00971	kpk:A593_02320
ko:K00033	kpk:A593_02325
ko:K16692	kpk:A593_02355
ko:K01104	kpk:A593_02360
ko:K01991	kpk:A593_02365
ko:K00963	kpk:A593_02380
ko:K07289	kpk:A593_02395
ko:K01494	kpk:A593_02400
ko:K00876	kpk:A593_02405
ko:K01247	kpk:A593_02410
ko:K04046	kpk:A593_02415
ko:K07347	kpk:A593_06530
ko:K07345	kpk:A593_06540
ko:K07347	kpk:A593_06570
ko:K07357	kpk:A593_06600
ko:K07358	kpk:A593_06605
ko:K07345	kpk:A593_06610
ko:K07351	kpk:A593_06615
ko:K07346	kpk:A593_06620
ko:K07347	kpk:A593_06625
ko:K07348	kpk:A593_06630
ko:K07349	kpk:A593_06635
ko:K07350	kpk:A593_06640
ko:K06975	kpk:A593_06650
ko:K15549	kpk:A593_06665
ko:K15547	kpk:A593_06670
ko:K15550	kpk:A593_06675
ko:K03305	kpk:A593_06685
ko:K00537	kpk:A593_06690
ko:K03893	kpk:A593_06695
ko:K09702	kpk:A593_06710
ko:K01607	kpk:A593_06740
ko:K08169	kpk:A593_06750
ko:K12943	kpk:A593_06760
ko:K01823	kpk:A593_06765
ko:K04567	kpk:A593_06770
ko:K02836	kpk:A593_06775
ko:K07462	kpk:A593_06780
ko:K03981	kpk:A593_06785
ko:K04763	kpk:A593_06790
ko:K03840	kpk:A593_06795
ko:K09159	kpk:A593_06805
ko:K02114	kpk:A593_10815
ko:K02112	kpk:A593_10820
ko:K02115	kpk:A593_10825
ko:K02111	kpk:A593_10830
ko:K02113	kpk:A593_10835
ko:K02109	kpk:A593_10840
ko:K02110	kpk:A593_10845
ko:K02108	kpk:A593_10850
ko:K02116	kpk:A593_10855
ko:K03501	kpk:A593_10860
ko:K03495	kpk:A593_10865
ko:K06205	kpk:A593_10870
ko:K03718	kpk:A593_10875
ko:K01914	kpk:A593_10880
ko:K03924	kpk:A593_10890
ko:K03549	kpk:A593_10895
ko:K06726	kpk:A593_10900
ko:K10441	kpk:A593_10905
ko:K10440	kpk:A593_10910
ko:K10439	kpk:A593_10915
ko:K00852	kpk:A593_10920
ko:K02529	kpk:A593_10925
ko:K03753	kpk:A593_10940
ko:K04027	kpk:A593_04215
ko:K04020	kpk:A593_04220
ko:K04032	kpk:A593_04225
ko:K04030	kpk:A593_04230
ko:K04029	kpk:A593_04235
ko:K04031	kpk:A593_04240
ko:K00029	kpk:A593_04245
ko:K00616	kpk:A593_04250
ko:K00615	kpk:A593_04255
ko:K12945	kpk:A593_04265
ko:K18324	kpk:A593_04275
ko:K01439	kpk:A593_04285
ko:K06999	kpk:A593_04295
ko:K06957	kpk:A593_04300
ko:K07054	kpk:A593_04305
ko:K01923	kpk:A593_04310
ko:K07287	kpk:A593_04315
ko:K01714	kpk:A593_04320
ko:K03567	kpk:A593_04325
ko:K03564	kpk:A593_04330
ko:K03548	kpk:A593_04335
ko:K00537	kpk:A593_04345
ko:K10763	kpk:A593_04355
ko:K02824	kpk:A593_04360
ko:K00761	kpk:A593_04365
ko:K01223	kpk:A593_04370
ko:K18673	kpk:A593_04375
ko:K01933	kpk:A593_04380
ko:K11175	kpk:A593_04385
ko:K00937	kpk:A593_04390
ko:K01524	kpk:A593_04395
ko:K01951	kpk:A593_04435
ko:K00088	kpk:A593_04440
ko:K03601	kpk:A593_04445
ko:K03977	kpk:A593_04460
ko:K17713	kpk:A593_04465
ko:K01892	kpk:A593_04475
ko:K15539	kpk:A593_04485
ko:K05540	kpk:A593_08540
ko:K03557	kpk:A593_08545
ko:K18140	kpk:A593_08550
ko:K18141	kpk:A593_08555
ko:K00014	kpk:A593_08595
ko:K07566	kpk:A593_08600
ko:K07479	kpk:A593_08605
ko:K03747	kpk:A593_08610
ko:K04096	kpk:A593_08615
ko:K01462	kpk:A593_08620
ko:K03500	kpk:A593_08630
