ko:K02428	cpu:cpfrc_01656
ko:K01966	cpu:cpfrc_00491
ko:K01897	cpu:cpfrc_01539
ko:K02313	cpu:cpfrc_00001
ko:K02338	cpu:cpfrc_00002
ko:K03629	cpu:cpfrc_00003
ko:K02470	cpu:cpfrc_00005
ko:K02469	cpu:cpfrc_00009
ko:K02013	cpu:cpfrc_00030
ko:K02015	cpu:cpfrc_00031
ko:K02015	cpu:cpfrc_00032
ko:K02016	cpu:cpfrc_00033
ko:K07052	cpu:cpfrc_00042
ko:K02016	cpu:cpfrc_00045
ko:K02013	cpu:cpfrc_00046
ko:K02015	cpu:cpfrc_00047
ko:K05343	cpu:cpfrc_00049
ko:K03088	cpu:cpfrc_00053
ko:K06213	cpu:cpfrc_00048
ko:K05846	cpu:cpfrc_00057
ko:K05846	cpu:cpfrc_00058
ko:K01012	cpu:cpfrc_00062
ko:K05847	cpu:cpfrc_00059
ko:K01241	cpu:cpfrc_00065
ko:K05606	cpu:cpfrc_00854
ko:K05838	cpu:cpfrc_00856
ko:K02114	cpu:cpfrc_00850
ko:K03521	cpu:cpfrc_00862
ko:K03522	cpu:cpfrc_00863
ko:K04487	cpu:cpfrc_00864
ko:K01992	cpu:cpfrc_00326
ko:K01992	cpu:cpfrc_01098
ko:K01992	cpu:cpfrc_01630
ko:K02109	cpu:cpfrc_00845
ko:K02113	cpu:cpfrc_00846
ko:K02111	cpu:cpfrc_00847
ko:K02115	cpu:cpfrc_00848
ko:K02112	cpu:cpfrc_00849
ko:K02434	cpu:cpfrc_00880
ko:K06895	cpu:cpfrc_00882
ko:K05596	cpu:cpfrc_00883
ko:K01687	cpu:cpfrc_00887
ko:K00566	cpu:cpfrc_00866
ko:K01972	cpu:cpfrc_00869
ko:K02435	cpu:cpfrc_00871
ko:K02015	cpu:cpfrc_00876
ko:K02013	cpu:cpfrc_00877
ko:K02016	cpu:cpfrc_00878
ko:K01652	cpu:cpfrc_00891
ko:K01653	cpu:cpfrc_00893
ko:K00053	cpu:cpfrc_00894
ko:K00052	cpu:cpfrc_00900
ko:K02361	cpu:cpfrc_00904
ko:K01012	cpu:cpfrc_00908
ko:K01703	cpu:cpfrc_00911
ko:K01704	cpu:cpfrc_00912
ko:K00057	cpu:cpfrc_00914
ko:K01921	cpu:cpfrc_00915
ko:K01858	cpu:cpfrc_00068
ko:K02342	cpu:cpfrc_00868
ko:K02433	cpu:cpfrc_00872
ko:K00058	cpu:cpfrc_00898
ko:K07182	cpu:cpfrc_00901
ko:K02342	cpu:cpfrc_00902
ko:K01885	cpu:cpfrc_00905
ko:K03932	cpu:cpfrc_00906
ko:K00859	cpu:cpfrc_00935
ko:K03702	cpu:cpfrc_00937
ko:K03701	cpu:cpfrc_00943
ko:K02520	cpu:cpfrc_00944
ko:K02916	cpu:cpfrc_00945
ko:K02016	cpu:cpfrc_00987
ko:K02015	cpu:cpfrc_00989
ko:K02013	cpu:cpfrc_00990
ko:K03070	cpu:cpfrc_01000
ko:K08999	cpu:cpfrc_01003
ko:K01956	cpu:cpfrc_01132
ko:K00609	cpu:cpfrc_01134
ko:K02825	cpu:cpfrc_01135
ko:K07071	cpu:cpfrc_01136
ko:K03625	cpu:cpfrc_01139
ko:K02356	cpu:cpfrc_01140
ko:K03786	cpu:cpfrc_01142
ko:K01735	cpu:cpfrc_01143
ko:K00891	cpu:cpfrc_01144
ko:K01736	cpu:cpfrc_01145
ko:K02654	cpu:cpfrc_01146
ko:K00014	cpu:cpfrc_01147
ko:K07082	cpu:cpfrc_01148
ko:K07447	cpu:cpfrc_01149
ko:K01872	cpu:cpfrc_01150
ko:K07478	cpu:cpfrc_01151
ko:K01876	cpu:cpfrc_01153
ko:K01421	cpu:cpfrc_01156
ko:K01752	cpu:cpfrc_01160
ko:K01892	cpu:cpfrc_01165
ko:K11065	cpu:cpfrc_01167
ko:K00759	cpu:cpfrc_01171
ko:K03074	cpu:cpfrc_01173
ko:K03072	cpu:cpfrc_01174
ko:K03210	cpu:cpfrc_01175
ko:K03551	cpu:cpfrc_01176
ko:K03550	cpu:cpfrc_01177
ko:K01159	cpu:cpfrc_01178
ko:K10805	cpu:cpfrc_01181
ko:K02600	cpu:cpfrc_01283
ko:K09748	cpu:cpfrc_01284
ko:K00946	cpu:cpfrc_00917
ko:K03648	cpu:cpfrc_00918
ko:K03655	cpu:cpfrc_00920
ko:K00954	cpu:cpfrc_00923
ko:K07090	cpu:cpfrc_00924
ko:K02945	cpu:cpfrc_00932
ko:K02887	cpu:cpfrc_00946
ko:K03437	cpu:cpfrc_00948
ko:K01889	cpu:cpfrc_00949
ko:K01890	cpu:cpfrc_00950
ko:K00145	cpu:cpfrc_00951
ko:K00620	cpu:cpfrc_00952
ko:K00930	cpu:cpfrc_00954
ko:K00611	cpu:cpfrc_00957
ko:K03402	cpu:cpfrc_00958
ko:K01940	cpu:cpfrc_00959
ko:K01755	cpu:cpfrc_00960
ko:K09791	cpu:cpfrc_00961
ko:K01866	cpu:cpfrc_00962
ko:K06442	cpu:cpfrc_00965
ko:K00858	cpu:cpfrc_00966
ko:K03631	cpu:cpfrc_00967
ko:K05896	cpu:cpfrc_00973
ko:K01935	cpu:cpfrc_00975
ko:K03305	cpu:cpfrc_00976
ko:K00833	cpu:cpfrc_00977
ko:K01935	cpu:cpfrc_00978
ko:K06024	cpu:cpfrc_00979
ko:K06178	cpu:cpfrc_00980
ko:K00945	cpu:cpfrc_00981
ko:K03977	cpu:cpfrc_00982
ko:K03284	cpu:cpfrc_01013
ko:K03885	cpu:cpfrc_01015
ko:K00574	cpu:cpfrc_01016
ko:K03820	cpu:cpfrc_01021
ko:K07113	cpu:cpfrc_01022
ko:K02230	cpu:cpfrc_01023
ko:K02229	cpu:cpfrc_01024
ko:K06042	cpu:cpfrc_01025
ko:K02834	cpu:cpfrc_01280
ko:K02519	cpu:cpfrc_01281
ko:K03587	cpu:cpfrc_01403
ko:K03438	cpu:cpfrc_01405
ko:K03925	cpu:cpfrc_01406
ko:K00297	cpu:cpfrc_01410
ko:K01626	cpu:cpfrc_01415
ko:K00655	cpu:cpfrc_01418
ko:K05895	cpu:cpfrc_01027
ko:K05936	cpu:cpfrc_01028
ko:K03118	cpu:cpfrc_01033
ko:K11717	cpu:cpfrc_01091
ko:K09013	cpu:cpfrc_01092
ko:K09015	cpu:cpfrc_01093
ko:K09014	cpu:cpfrc_01094
ko:K02259	cpu:cpfrc_01099
ko:K00615	cpu:cpfrc_01101
ko:K00036	cpu:cpfrc_01103
ko:K01057	cpu:cpfrc_01105
ko:K03075	cpu:cpfrc_01106
ko:K01595	cpu:cpfrc_01107
ko:K01803	cpu:cpfrc_01108
ko:K00927	cpu:cpfrc_01109
ko:K00134	cpu:cpfrc_01110
ko:K06958	cpu:cpfrc_01113
ko:K03703	cpu:cpfrc_01114
ko:K01881	cpu:cpfrc_01286
ko:K09861	cpu:cpfrc_01287
ko:K02224	cpu:cpfrc_01292
ko:K13580	cpu:cpfrc_01294
ko:K00116	cpu:cpfrc_01296
ko:K02232	cpu:cpfrc_01300
ko:K01265	cpu:cpfrc_01301
ko:K00099	cpu:cpfrc_01305
ko:K06941	cpu:cpfrc_01307
ko:K00981	cpu:cpfrc_01310
ko:K02838	cpu:cpfrc_01311
ko:K09903	cpu:cpfrc_01312
ko:K02357	cpu:cpfrc_01313
ko:K02967	cpu:cpfrc_01314
ko:K03733	cpu:cpfrc_01316
ko:K04096	cpu:cpfrc_01317
ko:K07391	cpu:cpfrc_01318
ko:K03470	cpu:cpfrc_01320
ko:K03100	cpu:cpfrc_01321
ko:K02884	cpu:cpfrc_01322
ko:K06959	cpu:cpfrc_01323
ko:K00554	cpu:cpfrc_01326
ko:K02860	cpu:cpfrc_01327
ko:K02959	cpu:cpfrc_01329
ko:K03106	cpu:cpfrc_01330
ko:K00990	cpu:cpfrc_01331
ko:K03116	cpu:cpfrc_01034
ko:K01938	cpu:cpfrc_01045
ko:K01744	cpu:cpfrc_01046
ko:K07791	cpu:cpfrc_01047
ko:K00765	cpu:cpfrc_01049
ko:K00794	cpu:cpfrc_01116
ko:K00793	cpu:cpfrc_01118
ko:K11752	cpu:cpfrc_01119
ko:K01783	cpu:cpfrc_01120
ko:K03500	cpu:cpfrc_01121
ko:K00604	cpu:cpfrc_01122
ko:K01462	cpu:cpfrc_01123
ko:K04066	cpu:cpfrc_01124
ko:K00789	cpu:cpfrc_01125
ko:K13038	cpu:cpfrc_01126
ko:K03060	cpu:cpfrc_01127
ko:K00942	cpu:cpfrc_01128
ko:K01591	cpu:cpfrc_01130
ko:K01955	cpu:cpfrc_01131
ko:K01465	cpu:cpfrc_01133
ko:K01778	cpu:cpfrc_01246
ko:K00791	cpu:cpfrc_01247
ko:K06168	cpu:cpfrc_01252
ko:K03565	cpu:cpfrc_01253
ko:K07742	cpu:cpfrc_01282
ko:K03523	cpu:cpfrc_01256
ko:K00995	cpu:cpfrc_01262
ko:K00806	cpu:cpfrc_01527
ko:K03584	cpu:cpfrc_01528
ko:K06153	cpu:cpfrc_01055
ko:K05881	cpu:cpfrc_01062
ko:K05879	cpu:cpfrc_01063
ko:K05878	cpu:cpfrc_01064
ko:K01772	cpu:cpfrc_01078
ko:K01681	cpu:cpfrc_01081
ko:K01951	cpu:cpfrc_01083
ko:K07166	cpu:cpfrc_01084
ko:K09157	cpu:cpfrc_01085
ko:K00886	cpu:cpfrc_01210
ko:K03086	cpu:cpfrc_01211
ko:K07560	cpu:cpfrc_01217
ko:K09780	cpu:cpfrc_01263
ko:K03466	cpu:cpfrc_01265
ko:K01714	cpu:cpfrc_01268
ko:K00215	cpu:cpfrc_01270
ko:K00962	cpu:cpfrc_01271
ko:K02956	cpu:cpfrc_01272
ko:K11753	cpu:cpfrc_01274
ko:K02501	cpu:cpfrc_01360
ko:K01693	cpu:cpfrc_01363
ko:K00817	cpu:cpfrc_01364
ko:K00013	cpu:cpfrc_01365
ko:K02233	cpu:cpfrc_01434
ko:K00826	cpu:cpfrc_01435
ko:K01255	cpu:cpfrc_01436
ko:K00658	cpu:cpfrc_01438
ko:K02276	cpu:cpfrc_01426
ko:K02275	cpu:cpfrc_01428
ko:K01953	cpu:cpfrc_01429
ko:K02231	cpu:cpfrc_01432
ko:K00768	cpu:cpfrc_01433
ko:K00868	cpu:cpfrc_01530
ko:K07042	cpu:cpfrc_01532
ko:K09761	cpu:cpfrc_01534
ko:K03686	cpu:cpfrc_01535
ko:K03705	cpu:cpfrc_01536
ko:K00705	cpu:cpfrc_01540
ko:K01284	cpu:cpfrc_01543
ko:K00931	cpu:cpfrc_01589
ko:K03979	cpu:cpfrc_01590
ko:K02899	cpu:cpfrc_01591
ko:K02888	cpu:cpfrc_01592
ko:K00281	cpu:cpfrc_01439
ko:K00605	cpu:cpfrc_01440
ko:K02437	cpu:cpfrc_01441
ko:K03801	cpu:cpfrc_01443
ko:K03644	cpu:cpfrc_01444
ko:K01915	cpu:cpfrc_01447
ko:K02227	cpu:cpfrc_01503
