ko:K18917	cgq:CGLAR1_04630
ko:K14230	cgq:CGLAR1_02795
ko:K18926	cgq:CGLAR1_12880
ko:K14237	cgq:CGLAR1_08740
ko:K18926	cgq:CGLAR1_11845
ko:K15733	cgq:CGLAR1_08720
ko:K18955	cgq:CGLAR1_04150
ko:K01156	cgq:CGLAR1_10405
ko:K07316	cgq:CGLAR1_04930
ko:K19745	cgq:CGLAR1_12045
ko:K01007	cgq:CGLAR1_03240
ko:K21687	cgq:CGLAR1_04510
ko:K21688	cgq:CGLAR1_04960
ko:K02021	cgq:CGLAR1_07560
ko:K14231	cgq:CGLAR1_12175
ko:K02483	cgq:CGLAR1_12430
ko:K14228	cgq:CGLAR1_07145
ko:K02476	cgq:CGLAR1_00630
ko:K14227	cgq:CGLAR1_00070
ko:K14227	cgq:CGLAR1_00145
ko:K01977	cgq:CGLAR1_07430
ko:K01977	cgq:CGLAR1_00660
ko:K01977	cgq:CGLAR1_12110
ko:K01977	cgq:CGLAR1_12140
ko:K01977	cgq:CGLAR1_14185
ko:K01977	cgq:CGLAR1_04470
ko:K14221	cgq:CGLAR1_12180
ko:K14221	cgq:CGLAR1_12195
ko:K18701	cgq:CGLAR1_01615
ko:K18700	cgq:CGLAR1_02700
ko:K01978	cgq:CGLAR1_14860
ko:K01985	cgq:CGLAR1_00670
ko:K01985	cgq:CGLAR1_07440
ko:K01985	cgq:CGLAR1_12130
ko:K01985	cgq:CGLAR1_14175
ko:K01985	cgq:CGLAR1_04480
ko:K01985	cgq:CGLAR1_12100
ko:K14218	cgq:CGLAR1_00075
ko:K14218	cgq:CGLAR1_00135
ko:K14218	cgq:CGLAR1_00150
ko:K14230	cgq:CGLAR1_04380
ko:K14230	cgq:CGLAR1_04430
ko:K01980	cgq:CGLAR1_00665
ko:K01980	cgq:CGLAR1_14180
ko:K01980	cgq:CGLAR1_04475
ko:K01980	cgq:CGLAR1_07435
ko:K01980	cgq:CGLAR1_12135
ko:K01980	cgq:CGLAR1_12105
ko:K14237	cgq:CGLAR1_08750
ko:K18701	cgq:CGLAR1_07960
ko:K02886	cgq:CGLAR1_02975
ko:K02965	cgq:CGLAR1_02980
ko:K02890	cgq:CGLAR1_02985
ko:K02982	cgq:CGLAR1_02990
ko:K02878	cgq:CGLAR1_02995
ko:K02904	cgq:CGLAR1_03000
ko:K02961	cgq:CGLAR1_03005
ko:K02874	cgq:CGLAR1_03020
ko:K02895	cgq:CGLAR1_03025
ko:K02931	cgq:CGLAR1_03030
ko:K02379	cgq:CGLAR1_03050
ko:K16927	cgq:CGLAR1_03070
ko:K16786	cgq:CGLAR1_03075
ko:K16787	cgq:CGLAR1_03075
ko:K16785	cgq:CGLAR1_03080
ko:K02994	cgq:CGLAR1_03100
ko:K02933	cgq:CGLAR1_03105
ko:K02881	cgq:CGLAR1_03110
ko:K02988	cgq:CGLAR1_03115
ko:K02907	cgq:CGLAR1_03120
ko:K02876	cgq:CGLAR1_03125
ko:K01912	cgq:CGLAR1_03135
ko:K02614	cgq:CGLAR1_03145
ko:K02609	cgq:CGLAR1_03150
ko:K02610	cgq:CGLAR1_03155
ko:K02611	cgq:CGLAR1_03160
ko:K02612	cgq:CGLAR1_03165
ko:K02613	cgq:CGLAR1_03170
ko:K00074	cgq:CGLAR1_03190
ko:K02618	cgq:CGLAR1_03200
ko:K04755	cgq:CGLAR1_03225
ko:K03076	cgq:CGLAR1_03255
ko:K00939	cgq:CGLAR1_03260
