ko:K19416	amai:I635_11015
ko:K19092	amai:I635_16135
ko:K18923	amai:I635_02805
ko:K12066	amai:I635_05900
ko:K07172	amai:I635_16705
ko:K03297	amai:I635_15565
ko:K01563	amai:I635_09160
ko:K11741	amai:I635_00865
ko:K21430	amai:I635_02635
ko:K03111	amai:I635_01130
ko:K19597	amai:I635_05925
ko:K00254	amai:I635_10745
ko:K19736	amai:I635_07060
ko:K18828	amai:I635_19305
ko:K07577	amai:I635_18675
ko:K01271	amai:I635_02915
ko:K19226	amai:I635_05500
ko:K13693	amai:I635_11295
ko:K18820	amai:I635_19500
ko:K01897	amai:I635_12690
ko:K03559	amai:I635_03560
ko:K03559	amai:I635_17090
ko:K03559	amai:I635_05625
ko:K06075	amai:I635_05725
ko:K07245	amai:I635_01715
ko:K03417	amai:I635_15600
ko:K03790	amai:I635_20874
ko:K03790	amai:I635_21844
ko:K08282	amai:I635_10655
ko:K11209	amai:I635_18705
ko:K14223	amai:I635_t20594
ko:K14223	amai:I635_t20588
ko:K14223	amai:I635_t20582
ko:K17713	amai:I635_13710
ko:K01897	amai:I635_03585
ko:K00951	amai:I635_03715
ko:K00265	amai:I635_15675
ko:K01897	amai:I635_12950
ko:K01190	amai:I635_01330
ko:K02313	amai:I635_00005
ko:K02338	amai:I635_00010
ko:K03629	amai:I635_00015
ko:K02470	amai:I635_00020
ko:K01879	amai:I635_00030
ko:K01878	amai:I635_00035
ko:K01246	amai:I635_00040
ko:K09894	amai:I635_00050
ko:K03978	amai:I635_00065
ko:K03500	amai:I635_00090
ko:K00604	amai:I635_00095
ko:K01462	amai:I635_00100
ko:K03427	amai:I635_04400
ko:K03427	amai:I635_04405
ko:K01154	amai:I635_04410
ko:K01153	amai:I635_04415
ko:K05590	amai:I635_04500
ko:K02451	amai:I635_04515
ko:K01704	amai:I635_04525
ko:K01703	amai:I635_04530
ko:K00052	amai:I635_04535
ko:K01649	amai:I635_04540
ko:K01689	amai:I635_04550
ko:K01937	amai:I635_04555
ko:K03555	amai:I635_04560
ko:K04061	amai:I635_04585
ko:K02194	amai:I635_04600
ko:K02195	amai:I635_04605
ko:K13051	amai:I635_08875
ko:K01083	amai:I635_08885
ko:K03578	amai:I635_08920
ko:K06969	amai:I635_08935
ko:K09810	amai:I635_08965
ko:K09808	amai:I635_08970
ko:K01484	amai:I635_08985
ko:K09747	amai:I635_13145
ko:K02343	amai:I635_13150
ko:K00759	amai:I635_13155
ko:K09929	amai:I635_13160
ko:K09930	amai:I635_13165
ko:K17103	amai:I635_13190
ko:K03777	amai:I635_13210
ko:K03695	amai:I635_13215
ko:K05810	amai:I635_13220
ko:K06180	amai:I635_13225
ko:K05807	amai:I635_13230
ko:K03088	amai:I635_13240
ko:K07157	amai:I635_13245
ko:K09701	amai:I635_13265
ko:K00574	amai:I635_13270
ko:K02557	amai:I635_13275
ko:K02556	amai:I635_13280
