ko:K01139	kps:KPNJ2_00117
ko:K00086	kps:KPNJ2_00713
ko:K02487	kps:KPNJ2_00817
ko:K16238	kps:KPNJ2_04346
ko:K18922	kps:KPNJ2_01175
ko:K06120	kps:KPNJ2_00715
ko:K09690	kps:KPNJ2_01844
ko:K21908	kps:KPNJ2_00721
ko:K19162	kps:KPNJ2_04200
ko:K02345	kps:KPNJ2_02024
ko:K06122	kps:KPNJ2_00717
ko:K06121	kps:KPNJ2_00716
ko:K19271	kps:KPNJ2_02407
ko:K03585	kps:KPNJ2_00074
ko:K08348	kps:KPNJ2_02566
ko:K15634	kps:KPNJ2_02655
ko:K07481	kps:KPNJ2_02145
ko:K00130	kps:KPNJ2_00908
ko:K18138	kps:KPNJ2_00073
ko:K18139	kps:KPNJ2_00072
ko:K03553	kps:KPNJ2_01241
ko:K03111	kps:KPNJ2_05504
ko:K04772	kps:KPNJ2_00556
ko:K00042	kps:KPNJ2_00654
ko:K00146	kps:KPNJ2_03034
ko:K19611	kps:KPNJ2_03255
ko:K03293	kps:KPNJ2_02997
ko:K00526	kps:KPNJ2_01674
ko:K03111	kps:KPNJ2_05143
ko:K01990	kps:KPNJ2_00129
ko:K01990	kps:KPNJ2_03750
ko:K19227	kps:KPNJ2_03199
ko:K19230	kps:KPNJ2_03202
ko:K18768	kps:KPNJ2_05460
ko:K19611	kps:KPNJ2_05140
ko:K19789	kps:KPNJ2_01703
ko:K19745	kps:KPNJ2_01933
ko:K00108	kps:KPNJ2_04045
ko:K03446	kps:KPNJ2_02670
ko:K04103	kps:KPNJ2_01565
ko:K00001	kps:KPNJ2_05347
ko:K21430	kps:KPNJ2_03695
ko:K01007	kps:KPNJ2_02255
ko:K08156	kps:KPNJ2_02574
ko:K19586	kps:KPNJ2_01306
ko:K07713	kps:KPNJ2_00446
ko:K19164	kps:KPNJ2_05623
ko:K04753	kps:KPNJ2_00773
ko:K00433	kps:KPNJ2_01891
ko:K03293	kps:KPNJ2_05253
ko:K02483	kps:KPNJ2_02630
ko:K19587	kps:KPNJ2_01304
ko:K03218	kps:KPNJ2_04997
ko:K12573	kps:KPNJ2_04998
ko:K13771	kps:KPNJ2_04999
ko:K01939	kps:KPNJ2_05000
ko:K09937	kps:KPNJ2_05001
ko:K02035	kps:KPNJ2_02406
ko:K01759	kps:KPNJ2_02408
ko:K01673	kps:KPNJ2_02411
ko:K06966	kps:KPNJ2_02422
ko:K03327	kps:KPNJ2_02424
ko:K00793	kps:KPNJ2_02425
ko:K00574	kps:KPNJ2_02426
ko:K04564	kps:KPNJ2_02431
ko:K07390	kps:KPNJ2_02433
ko:K03683	kps:KPNJ2_02434
ko:K01759	kps:KPNJ2_02435
ko:K10680	kps:KPNJ2_02436
ko:K16137	kps:KPNJ2_02437
ko:K06938	kps:KPNJ2_02438
ko:K06075	kps:KPNJ2_02444
ko:K06077	kps:KPNJ2_02447
ko:K09001	kps:KPNJ2_02448
ko:K00275	kps:KPNJ2_02450
ko:K01866	kps:KPNJ2_02451
ko:K00868	kps:KPNJ2_02452
ko:K00799	kps:KPNJ2_02453
ko:K03305	kps:KPNJ2_02454
ko:K10773	kps:KPNJ2_02456
ko:K11932	kps:KPNJ2_02886
ko:K00040	kps:KPNJ2_02887
ko:K09771	kps:KPNJ2_02889
ko:K00657	kps:KPNJ2_02891
ko:K07309	kps:KPNJ2_02895
ko:K07307	kps:KPNJ2_02896
ko:K07312	kps:KPNJ2_02897
ko:K03281	kps:KPNJ2_02899
ko:K15545	kps:KPNJ2_02900
ko:K08224	kps:KPNJ2_02902
ko:K01299	kps:KPNJ2_02904
ko:K04775	kps:KPNJ2_02909
ko:K11742	kps:KPNJ2_02911
ko:K11743	kps:KPNJ2_02912
ko:K11744	kps:KPNJ2_02914
ko:K11744	kps:KPNJ2_02915
ko:K13929	kps:KPNJ2_02916
ko:K13930	kps:KPNJ2_02917
ko:K13931	kps:KPNJ2_02918
ko:K13932	kps:KPNJ2_02919
ko:K13933	kps:KPNJ2_02920
ko:K13936	kps:KPNJ2_02921
ko:K02313	kps:KPNJ2_00001
ko:K02338	kps:KPNJ2_00002
ko:K03629	kps:KPNJ2_00003
ko:K02470	kps:KPNJ2_00004
ko:K00883	kps:KPNJ2_00009
ko:K01631	kps:KPNJ2_00010
ko:K01684	kps:KPNJ2_00011
ko:K08194	kps:KPNJ2_00012
ko:K13934	kps:KPNJ2_02922
ko:K13935	kps:KPNJ2_02923
ko:K13928	kps:KPNJ2_02924
ko:K00116	kps:KPNJ2_02925
ko:K07106	kps:KPNJ2_02926
ko:K07701	kps:KPNJ2_02928
ko:K07703	kps:KPNJ2_02929
ko:K03734	kps:KPNJ2_02930
ko:K00244	kps:KPNJ2_02931
ko:K11106	kps:KPNJ2_02934
ko:K01676	kps:KPNJ2_02935
ko:K09458	kps:KPNJ2_03424
ko:K02078	kps:KPNJ2_03425
ko:K00059	kps:KPNJ2_03426
ko:K00645	kps:KPNJ2_03427
ko:K00648	kps:KPNJ2_03428
ko:K03621	kps:KPNJ2_03429
ko:K02911	kps:KPNJ2_03430
ko:K07040	kps:KPNJ2_03431
