ko:K07005	bmai:DM57_10060
ko:K12979	bmai:DM57_12670
ko:K16238	bmai:DM57_1675
ko:K15634	bmai:DM57_1127
ko:K05799	bmai:DM57_1235
ko:K18139	bmai:DM57_14
ko:K01458	bmai:DM57_08490
ko:K05375	bmai:DM57_11140
ko:K06893	bmai:DM57_1516
ko:K07497	bmai:DM57_05490
ko:K09695	bmai:DM57_14790
ko:K19416	bmai:DM57_3060
ko:K00102	bmai:DM57_09090
ko:K02483	bmai:DM57_09405
ko:K11209	bmai:DM57_1123
ko:K11209	bmai:DM57_72
ko:K00821	bmai:DM57_764
ko:K07492	bmai:DM57_145
ko:K21449	bmai:DM57_12285
ko:K07346	bmai:DM57_183
ko:K22589	bmai:DM57_934
ko:K21678	bmai:DM57_14645
ko:K08166	bmai:DM57_08730
ko:K21345	bmai:DM57_2088
ko:K05882	bmai:DM57_10205
ko:K01738	bmai:DM57_441
ko:K01697	bmai:DM57_441
ko:K00863	bmai:DM57_196
ko:K15355	bmai:DM57_10965
ko:K00108	bmai:DM57_08895
ko:K05874	bmai:DM57_90
ko:K00344	bmai:DM57_05930
ko:K00091	bmai:DM57_06275
ko:K00108	bmai:DM57_1721
ko:K21757	bmai:DM57_14375
ko:K09771	bmai:DM57_2829
ko:K03798	bmai:DM57_2845
ko:K03762	bmai:DM57_2828
ko:K00645	bmai:DM57_14950
ko:K13930	bmai:DM57_2820
ko:K13934	bmai:DM57_2819
ko:K13933	bmai:DM57_2818
ko:K13932	bmai:DM57_2817
ko:K13931	bmai:DM57_2816
ko:K13929	bmai:DM57_2815
ko:K01596	bmai:DM57_2809
ko:K00381	bmai:DM57_2803
ko:K03703	bmai:DM57_2571
ko:K02427	bmai:DM57_2844
ko:K03624	bmai:DM57_2841
ko:K02356	bmai:DM57_2569
ko:K01207	bmai:DM57_2567
ko:K00997	bmai:DM57_2566
ko:K03474	bmai:DM57_2565
ko:K03584	bmai:DM57_2564
ko:K03685	bmai:DM57_2562
ko:K01955	bmai:DM57_2840
ko:K03100	bmai:DM57_2561
ko:K03596	bmai:DM57_2560
ko:K03598	bmai:DM57_2557
ko:K03597	bmai:DM57_2556
ko:K11250	bmai:DM57_2839
ko:K03088	bmai:DM57_2555
ko:K09458	bmai:DM57_2553
ko:K02078	bmai:DM57_2552
ko:K01956	bmai:DM57_2838
ko:K00059	bmai:DM57_2551
ko:K00645	bmai:DM57_2550
ko:K00648	bmai:DM57_2549
ko:K08307	bmai:DM57_2834
ko:K03621	bmai:DM57_2548
ko:K01069	bmai:DM57_2833
ko:K02911	bmai:DM57_2547
ko:K07040	bmai:DM57_2546
ko:K06287	bmai:DM57_2545
ko:K03469	bmai:DM57_2831
ko:K02342	bmai:DM57_2830
ko:K02279	bmai:DM57_3115
ko:K08178	bmai:DM57_3131
ko:K01897	bmai:DM57_3129
ko:K03666	bmai:DM57_3126
ko:K02278	bmai:DM57_3113
ko:K12511	bmai:DM57_3120
ko:K12510	bmai:DM57_3119
ko:K02651	bmai:DM57_14835
ko:K07090	bmai:DM57_3110
ko:K11074	bmai:DM57_3109
ko:K11075	bmai:DM57_3108
ko:K11076	bmai:DM57_3107
ko:K11073	bmai:DM57_3106
ko:K03322	bmai:DM57_3105
ko:K06938	bmai:DM57_3104
ko:K07275	bmai:DM57_3103
ko:K00459	bmai:DM57_3102
ko:K00128	bmai:DM57_3101
ko:K07290	bmai:DM57_3098
ko:K02068	bmai:DM57_3097
ko:K02069	bmai:DM57_3096
ko:K01079	bmai:DM57_3094
ko:K01760	bmai:DM57_3093
ko:K00626	bmai:DM57_3091
ko:K00874	bmai:DM57_3090
ko:K14441	bmai:DM57_3089
ko:K00023	bmai:DM57_3087
ko:K00626	bmai:DM57_3086
ko:K02282	bmai:DM57_3117
ko:K03821	bmai:DM57_3085
ko:K05810	bmai:DM57_3084
ko:K06180	bmai:DM57_3083
ko:K05807	bmai:DM57_3082
ko:K06959	bmai:DM57_3078
ko:K02038	bmai:DM57_2850
ko:K02280	bmai:DM57_3116
ko:K02037	bmai:DM57_2849
ko:K02040	bmai:DM57_2848
ko:K03431	bmai:DM57_2847
ko:K00796	bmai:DM57_2846
ko:K03332	bmai:DM57_13180
ko:K07056	bmai:DM57_2544
ko:K04773	bmai:DM57_2543
ko:K06179	bmai:DM57_2540
ko:K08300	bmai:DM57_2539
ko:K03639	bmai:DM57_2538
ko:K03752	bmai:DM57_2537
ko:K03750	bmai:DM57_2536
ko:K09760	bmai:DM57_2533
ko:K00782	bmai:DM57_2530
ko:K00763	bmai:DM57_2529
ko:K05524	bmai:DM57_2528
ko:K05805	bmai:DM57_2525
ko:K14761	bmai:DM57_2522
ko:K03327	bmai:DM57_2521
ko:K01679	bmai:DM57_2518
ko:K03688	bmai:DM57_2225
ko:K03690	bmai:DM57_2224
ko:K03183	bmai:DM57_2222
ko:K01754	bmai:DM57_15245
ko:K06879	bmai:DM57_2216
ko:K06015	bmai:DM57_2214
ko:K01753	bmai:DM57_2212
ko:K05520	bmai:DM57_2211
ko:K01991	bmai:DM57_2202
ko:K03606	bmai:DM57_2201
ko:K01192	bmai:DM57_2194
ko:K09136	bmai:DM57_2183
ko:K11103	bmai:DM57_1883
ko:K10126	bmai:DM57_1880
ko:K07391	bmai:DM57_1875
ko:K09806	bmai:DM57_1874
ko:K04752	bmai:DM57_1873
ko:K03320	bmai:DM57_1872
ko:K01919	bmai:DM57_1870
ko:K01920	bmai:DM57_1869
ko:K02821	bmai:DM57_1868
ko:K11189	bmai:DM57_1867
ko:K08483	bmai:DM57_1866
ko:K03797	bmai:DM57_1864
ko:K01834	bmai:DM57_1863
ko:K03071	bmai:DM57_1860
ko:K00057	bmai:DM57_1859
ko:K03216	bmai:DM57_1857
ko:K02169	bmai:DM57_1855
ko:K02275	bmai:DM57_1853
ko:K02274	bmai:DM57_1852
ko:K02258	bmai:DM57_1851
ko:K02276	bmai:DM57_1849
ko:K02259	bmai:DM57_1845
ko:K03406	bmai:DM57_1841
ko:K02073	bmai:DM57_1840
ko:K00425	bmai:DM57_1836
ko:K00426	bmai:DM57_1835
ko:K12373	bmai:DM57_1832
ko:K02803	bmai:DM57_1831
ko:K02804	bmai:DM57_1831
ko:K02768	bmai:DM57_1830
ko:K08483	bmai:DM57_1830
ko:K11183	bmai:DM57_1830
ko:K01443	bmai:DM57_1828
ko:K03710	bmai:DM57_1827
ko:K03599	bmai:DM57_1485
ko:K00413	bmai:DM57_1484
ko:K00412	bmai:DM57_1483
ko:K00411	bmai:DM57_1482
ko:K03118	bmai:DM57_1479
ko:K03117	bmai:DM57_1478
ko:K03116	bmai:DM57_1477
ko:K02503	bmai:DM57_1476
ko:K01523	bmai:DM57_1474
ko:K01496	bmai:DM57_1473
ko:K02500	bmai:DM57_1472
ko:K01814	bmai:DM57_1471
ko:K02501	bmai:DM57_1470
ko:K05595	bmai:DM57_1469
ko:K01693	bmai:DM57_1468
ko:K00817	bmai:DM57_1467
ko:K00013	bmai:DM57_1466
ko:K00765	bmai:DM57_1465
ko:K00790	bmai:DM57_1464
ko:K01992	bmai:DM57_1462
ko:K01990	bmai:DM57_1461
ko:K07122	bmai:DM57_1460
ko:K07323	bmai:DM57_1459
ko:K04754	bmai:DM57_1458
ko:K02067	bmai:DM57_1457
ko:K02066	bmai:DM57_1456
ko:K02065	bmai:DM57_1455
ko:K00788	bmai:DM57_15490
ko:K03149	bmai:DM57_1453
ko:K03154	bmai:DM57_1452
ko:K03153	bmai:DM57_1451
ko:K02471	bmai:DM57_1450
ko:K01975	bmai:DM57_1449
ko:K03310	bmai:DM57_1448
ko:K00266	bmai:DM57_1447
ko:K00265	bmai:DM57_1446
ko:K07491	bmai:DM57_1445
ko:K07275	bmai:DM57_1444
ko:K01126	bmai:DM57_1443
ko:K05816	bmai:DM57_1442
ko:K05815	bmai:DM57_1441
ko:K05814	bmai:DM57_1440
ko:K05813	bmai:DM57_1439
ko:K01129	bmai:DM57_1438
ko:K01735	bmai:DM57_1437
ko:K00891	bmai:DM57_1436
ko:K02666	bmai:DM57_1435
ko:K07266	bmai:DM57_1086
ko:K01991	bmai:DM57_1084
ko:K10107	bmai:DM57_1083
ko:K09688	bmai:DM57_1082
ko:K09689	bmai:DM57_1080
ko:K01711	bmai:DM57_1072
ko:K07031	bmai:DM57_1071
ko:K03271	bmai:DM57_1070
ko:K03273	bmai:DM57_1068
ko:K07265	bmai:DM57_15590
ko:K02535	bmai:DM57_1063
ko:K03694	bmai:DM57_1056
ko:K06891	bmai:DM57_1055
ko:K03704	bmai:DM57_1054
ko:K00939	bmai:DM57_1052
ko:K00979	bmai:DM57_1051
ko:K09791	bmai:DM57_1050
ko:K00912	bmai:DM57_1049
ko:K03601	bmai:DM57_1048
ko:K04564	bmai:DM57_1047
ko:K07240	bmai:DM57_1041
ko:K00077	bmai:DM57_1038
ko:K03710	bmai:DM57_1032
ko:K00337	bmai:DM57_625
ko:K00338	bmai:DM57_624
ko:K00339	bmai:DM57_623
ko:K00340	bmai:DM57_622
ko:K00341	bmai:DM57_621
ko:K00342	bmai:DM57_620
ko:K00343	bmai:DM57_619
ko:K01515	bmai:DM57_617
ko:K00799	bmai:DM57_605
ko:K14287	bmai:DM57_604
ko:K09861	bmai:DM57_602
ko:K07093	bmai:DM57_592
ko:K05800	bmai:DM57_587
ko:K02010	bmai:DM57_586
ko:K02011	bmai:DM57_585
ko:K02012	bmai:DM57_584
ko:K16234	bmai:DM57_582
ko:K03583	bmai:DM57_580
ko:K03582	bmai:DM57_579
ko:K03581	bmai:DM57_578
ko:K15034	bmai:DM57_577
ko:K07152	bmai:DM57_1843
ko:K01945	bmai:DM57_688
ko:K00761	bmai:DM57_686
ko:K00059	bmai:DM57_685
ko:K01734	bmai:DM57_683
ko:K01546	bmai:DM57_680
ko:K01547	bmai:DM57_679
ko:K01548	bmai:DM57_678
ko:K07646	bmai:DM57_676
ko:K07667	bmai:DM57_675
ko:K09712	bmai:DM57_674
ko:K11741	bmai:DM57_673
ko:K06886	bmai:DM57_669
ko:K01426	bmai:DM57_666
ko:K06966	bmai:DM57_661
ko:K00901	bmai:DM57_659
ko:K03088	bmai:DM57_651
ko:K01652	bmai:DM57_650
ko:K01653	bmai:DM57_649
ko:K00053	bmai:DM57_648
ko:K01613	bmai:DM57_647
ko:K17103	bmai:DM57_646
ko:K01673	bmai:DM57_641
ko:K01999	bmai:DM57_639
ko:K02956	bmai:DM57_638
ko:K00962	bmai:DM57_637
ko:K01803	bmai:DM57_635
ko:K03075	bmai:DM57_634
ko:K00330	bmai:DM57_632
ko:K00331	bmai:DM57_631
ko:K00332	bmai:DM57_630
ko:K00333	bmai:DM57_629
ko:K00334	bmai:DM57_628
ko:K07218	bmai:DM57_203
ko:K00376	bmai:DM57_202
ko:K03734	bmai:DM57_201
ko:K01990	bmai:DM57_200
ko:K01992	bmai:DM57_199
ko:K03406	bmai:DM57_198
