ko:K00130	saux:SAI6T6_1019460
ko:K19005	saux:SAI6T6_1005540
ko:K00561	saux:SAI6T6_1006310
ko:K18938	saux:SAI6T6_20070
ko:K18934	saux:SAI6T6_1016040
ko:K18934	saux:SAI6T6_1016050
ko:K11442	saux:SAI6T6_1016090
ko:K08168	saux:SAI6T6_1000920
ko:K18936	saux:SAI6T6_1017840
ko:K18935	saux:SAI6T6_1016070
ko:K03328	saux:SAI6T6_1000870
ko:K03328	saux:SAI6T6_1003740
ko:K18940	saux:SAI6T6_1010200
ko:K19975	saux:SAI6T6_1004830
ko:K19973	saux:SAI6T6_1004850
ko:K09692	saux:SAI6T6_1004900
ko:K19079	saux:SAI6T6_1005090
ko:K02479	saux:SAI6T6_1013650
ko:K02483	saux:SAI6T6_1017450
ko:K14204	saux:SAI6T6_1014670
ko:K01046	saux:SAI6T6_1019980
ko:K03293	saux:SAI6T6_1009560
ko:K22580	saux:SAI6T6_1007460
ko:K21462	saux:SAI6T6_1019970
ko:K21463	saux:SAI6T6_1017410
ko:K05352	saux:SAI6T6_1001970
ko:K17216	saux:SAI6T6_1003350
ko:K17217	saux:SAI6T6_1003360
ko:K02071	saux:SAI6T6_1003370
ko:K02072	saux:SAI6T6_1003380
ko:K02073	saux:SAI6T6_1003390
ko:K00265	saux:SAI6T6_1003450
ko:K00266	saux:SAI6T6_1003460
ko:K02818	saux:SAI6T6_1003480
ko:K02819	saux:SAI6T6_1003480
ko:K01226	saux:SAI6T6_1003490
ko:K03486	saux:SAI6T6_1003500
ko:K02343	saux:SAI6T6_1003520
ko:K06187	saux:SAI6T6_1003530
ko:K00943	saux:SAI6T6_1003580
ko:K02341	saux:SAI6T6_1003590
ko:K07056	saux:SAI6T6_1003620
ko:K01874	saux:SAI6T6_1003630
ko:K03424	saux:SAI6T6_1003640
ko:K05985	saux:SAI6T6_1003650
ko:K02528	saux:SAI6T6_1003660
ko:K00919	saux:SAI6T6_1003670
ko:K09685	saux:SAI6T6_1003680
ko:K04042	saux:SAI6T6_1003690
ko:K00948	saux:SAI6T6_1003700
ko:K02897	saux:SAI6T6_1003710
ko:K01056	saux:SAI6T6_1003720
ko:K03723	saux:SAI6T6_1003730
ko:K02499	saux:SAI6T6_1003750
ko:K04075	saux:SAI6T6_1003760
ko:K00760	saux:SAI6T6_1003770
ko:K03798	saux:SAI6T6_1003780
ko:K04083	saux:SAI6T6_1003790
ko:K01738	saux:SAI6T6_1003800
ko:K00796	saux:SAI6T6_1003810
ko:K04567	saux:SAI6T6_1003820
ko:K09761	saux:SAI6T6_1011430
ko:K02687	saux:SAI6T6_1011440
ko:K03686	saux:SAI6T6_1011450
ko:K04043	saux:SAI6T6_1011460
ko:K03687	saux:SAI6T6_1011470
ko:K03705	saux:SAI6T6_1011480
ko:K03596	saux:SAI6T6_1011500
ko:K02340	saux:SAI6T6_1011510
ko:K02238	saux:SAI6T6_1011520
ko:K02237	saux:SAI6T6_1011540
ko:K00969	saux:SAI6T6_1011570
ko:K00014	saux:SAI6T6_1011580
ko:K06948	saux:SAI6T6_1011590
ko:K07015	saux:SAI6T6_1011600
