ko:K09022	sug:SAPIG0563
ko:K19005	sug:SAPIG0796
ko:K19285	sug:SAPIG0460
ko:K07145	sug:SAPIG0179
ko:K11737	sug:SAPIG1750
ko:K16301	sug:SAPIG0425
ko:K05352	sug:SAPIG0269
ko:K13733	sug:SAPIG2550
ko:K13733	sug:SAPIG2551
ko:K11442	sug:SAPIG2231
ko:K18936	sug:SAPIG2466
ko:K18934	sug:SAPIG2227
ko:K14234	sug:SAPIG0585
ko:K14234	sug:SAPIG1934
ko:K14234	sug:SAPIG1950
ko:K06216	sug:SAPIG0285
ko:K03328	sug:SAPIG0146
ko:K03328	sug:SAPIG0570
ko:K00130	sug:SAPIG2660
ko:K14236	sug:SAPIG2222
ko:K14236	sug:SAPIG1933
ko:K02424	sug:SAPIG2465
ko:K14222	sug:SAPIG1929
ko:K10009	sug:SAPIG2464
ko:K02313	sug:SAPIG0001
ko:K02338	sug:SAPIG0002
ko:K03629	sug:SAPIG0004
ko:K02470	sug:SAPIG0005
ko:K02469	sug:SAPIG0006
ko:K01745	sug:SAPIG0008
ko:K03075	sug:SAPIG0857
ko:K03928	sug:SAPIG0858
ko:K12573	sug:SAPIG0859
ko:K03664	sug:SAPIG0860
ko:K03704	sug:SAPIG0873
ko:K06895	sug:SAPIG0880
ko:K03785	sug:SAPIG0883
ko:K02437	sug:SAPIG0887
ko:K07476	sug:SAPIG0890
ko:K02071	sug:SAPIG0892
ko:K02072	sug:SAPIG0893
ko:K02073	sug:SAPIG0894
ko:K09013	sug:SAPIG0897
ko:K09015	sug:SAPIG0898
ko:K11717	sug:SAPIG0899
ko:K09014	sug:SAPIG0901
ko:K00459	sug:SAPIG0904
ko:K07090	sug:SAPIG0906
ko:K03644	sug:SAPIG0908
ko:K03570	sug:SAPIG1712
ko:K03630	sug:SAPIG1715
ko:K11754	sug:SAPIG1717
ko:K01873	sug:SAPIG1718
ko:K01246	sug:SAPIG1719
ko:K01845	sug:SAPIG1722
ko:K01698	sug:SAPIG1723
ko:K01749	sug:SAPIG1725
ko:K02497	sug:SAPIG1726
ko:K02492	sug:SAPIG1727
ko:K03978	sug:SAPIG1728
ko:K03544	sug:SAPIG1729
ko:K03545	sug:SAPIG1730
ko:K02887	sug:SAPIG1733
ko:K02916	sug:SAPIG1734
ko:K02520	sug:SAPIG1735
ko:K01868	sug:SAPIG1737
ko:K07738	sug:SAPIG1740
ko:K00134	sug:SAPIG1741
ko:K00859	sug:SAPIG1742
ko:K07636	sug:SAPIG1746
ko:K00031	sug:SAPIG1748
ko:K01647	sug:SAPIG1749
ko:K00873	sug:SAPIG1751
ko:K00850	sug:SAPIG1752
ko:K01962	sug:SAPIG1753
ko:K01963	sug:SAPIG1754
ko:K02337	sug:SAPIG1756
ko:K04041	sug:SAPIG2568
ko:K06999	sug:SAPIG2570
ko:K15975	sug:SAPIG2571
ko:K15973	sug:SAPIG2572
ko:K06975	sug:SAPIG2573
ko:K03778	sug:SAPIG2576
ko:K03823	sug:SAPIG2579
ko:K01752	sug:SAPIG2581
ko:K01752	sug:SAPIG2582
ko:K07107	sug:SAPIG2587
ko:K04759	sug:SAPIG2600
ko:K04758	sug:SAPIG2601
ko:K03778	sug:SAPIG2610
ko:K01738	sug:SAPIG0579
ko:K00796	sug:SAPIG0580
ko:K01633	sug:SAPIG0581
ko:K14232	sug:SAPIG0590
