ko:K16238	kpj:N559_4105
ko:K02345	kpj:N559_5318
ko:K18922	kpj:N559_1139
ko:K14218	kpj:N559_t058
ko:K14218	kpj:N559_t081
ko:K14218	kpj:N559_t073
ko:K14230	kpj:N559_t005
ko:K14230	kpj:N559_t011
ko:K14230	kpj:N559_t009
ko:K14230	kpj:N559_t010
ko:K14234	kpj:N559_t003
ko:K14234	kpj:N559_t069
ko:K14232	kpj:N559_t075
ko:K14234	kpj:N559_t072
ko:K14225	kpj:N559_t070
ko:K14225	kpj:N559_t031
ko:K14225	kpj:N559_t066
ko:K14225	kpj:N559_t064
ko:K14225	kpj:N559_t065
ko:K06979	kpj:N559_5182
ko:K02554	kpj:N559_2171
ko:K18141	kpj:N559_0475
ko:K21908	kpj:N559_0693
ko:K19162	kpj:N559_3959
ko:K02345	kpj:N559_1901
ko:K03585	kpj:N559_0105
ko:K00130	kpj:N559_0876
ko:K18138	kpj:N559_0104
ko:K18139	kpj:N559_0103
ko:K03553	kpj:N559_1206
ko:K03111	kpj:N559_5324
ko:K18552	kpj:N559_5247
ko:K19611	kpj:N559_3036
ko:K03293	kpj:N559_2833
ko:K00526	kpj:N559_1611
ko:K18138	kpj:N559_3958
ko:K01096	kpj:N559_3001
ko:K03111	kpj:N559_4852
ko:K02487	kpj:N559_0789
ko:K01990	kpj:N559_3514
ko:K16234	kpj:N559_3539
ko:K01271	kpj:N559_4947
ko:K07274	kpj:N559_3098
ko:K00537	kpj:N559_1436
ko:K07245	kpj:N559_1903
ko:K06075	kpj:N559_2842
ko:K03604	kpj:N559_2289
ko:K07358	kpj:N559_0950
ko:K08302	kpj:N559_0624
ko:K08316	kpj:N559_0323
ko:K00151	kpj:N559_4509
ko:K07245	kpj:N559_5289
ko:K10561	kpj:N559_5072
ko:K17713	kpj:N559_1413
ko:K02446	kpj:N559_0145
ko:K10563	kpj:N559_0172
ko:K12984	kpj:N559_0174
ko:K02849	kpj:N559_0179
ko:K02843	kpj:N559_0185
ko:K00639	kpj:N559_0187
ko:K00101	kpj:N559_0199
ko:K03399	kpj:N559_1045
ko:K02190	kpj:N559_1051
ko:K02009	kpj:N559_1054
ko:K04091	kpj:N559_1081
ko:K03535	kpj:N559_1098
ko:K00932	kpj:N559_1981
ko:K17213	kpj:N559_2032
ko:K17213	kpj:N559_3839
ko:K00010	kpj:N559_3841
ko:K03757	kpj:N559_3849
ko:K11104	kpj:N559_4788
ko:K10440	kpj:N559_4806
ko:K00799	kpj:N559_0287
ko:K00383	kpj:N559_0288
ko:K06149	kpj:N559_0294
ko:K04085	kpj:N559_0318
ko:K04655	kpj:N559_1167
ko:K04652	kpj:N559_1171
ko:K02466	kpj:N559_1196
ko:K00068	kpj:N559_1197
ko:K02782	kpj:N559_1199
ko:K02783	kpj:N559_1199
ko:K02783	kpj:N559_1200
