ko:K19743	zmi:ZCP4_1234
ko:K14235	zmi:ZCP4_0574
ko:K02169	zmi:ZCP4_1266
ko:K01935	zmi:ZCP4_1266
ko:K07448	zmi:ZCP4_1190
ko:K17950	zmi:ZCP4_1823
ko:K14221	zmi:ZCP4_0828
ko:K14228	zmi:ZCP4_0215
ko:K14228	zmi:ZCP4_0208
ko:K14230	zmi:ZCP4_0126
ko:K03297	zmi:ZCP4_1131
ko:K14222	zmi:ZCP4_1113
ko:K14223	zmi:ZCP4_0371
ko:K14223	zmi:ZCP4_0373
ko:K19271	zmi:ZCP4_0188
ko:K11741	zmi:ZCP4_0596
ko:K21681	zmi:ZCP4_0917
ko:K01840	zmi:ZCP4_0930
ko:K00971	zmi:ZCP4_0097
ko:K17836	zmi:ZCP4_1240
ko:K19746	zmi:ZCP4_1691
ko:K09978	zmi:ZCP4_0626
ko:K03630	zmi:ZCP4_0629
ko:K01756	zmi:ZCP4_0630
ko:K03686	zmi:ZCP4_0631
ko:K04043	zmi:ZCP4_0632
ko:K01295	zmi:ZCP4_0634
ko:K00673	zmi:ZCP4_0635
ko:K07101	zmi:ZCP4_0636
ko:K01488	zmi:ZCP4_0637
ko:K02422	zmi:ZCP4_0640
ko:K02407	zmi:ZCP4_0641
ko:K02401	zmi:ZCP4_0642
ko:K02421	zmi:ZCP4_0643
ko:K02420	zmi:ZCP4_0644
ko:K02419	zmi:ZCP4_0645
ko:K02418	zmi:ZCP4_0646
ko:K02417	zmi:ZCP4_0647
ko:K02416	zmi:ZCP4_0648
ko:K02415	zmi:ZCP4_0649
ko:K02412	zmi:ZCP4_0652
ko:K02411	zmi:ZCP4_0653
ko:K02410	zmi:ZCP4_0654
ko:K02409	zmi:ZCP4_0655
ko:K02408	zmi:ZCP4_0656
ko:K10943	zmi:ZCP4_0657
ko:K02406	zmi:ZCP4_0658
ko:K02405	zmi:ZCP4_0661
ko:K04562	zmi:ZCP4_0662
ko:K02400	zmi:ZCP4_0663
ko:K02386	zmi:ZCP4_0666
ko:K02556	zmi:ZCP4_0668
ko:K02387	zmi:ZCP4_0669
ko:K02388	zmi:ZCP4_0670
ko:K02389	zmi:ZCP4_0671
ko:K02390	zmi:ZCP4_0672
ko:K02391	zmi:ZCP4_0673
ko:K02392	zmi:ZCP4_0674
ko:K02393	zmi:ZCP4_0675
ko:K02394	zmi:ZCP4_0676
ko:K02395	zmi:ZCP4_0677
ko:K02396	zmi:ZCP4_0678
ko:K02397	zmi:ZCP4_0679
ko:K03406	zmi:ZCP4_1147
ko:K03409	zmi:ZCP4_1148
ko:K03407	zmi:ZCP4_1149
ko:K00575	zmi:ZCP4_1150
ko:K03412	zmi:ZCP4_1151
ko:K03411	zmi:ZCP4_1152
ko:K03413	zmi:ZCP4_1153
ko:K03408	zmi:ZCP4_1154
ko:K06168	zmi:ZCP4_1155
ko:K07042	zmi:ZCP4_1157
ko:K03675	zmi:ZCP4_1160
ko:K07126	zmi:ZCP4_1162
ko:K07267	zmi:ZCP4_1163
ko:K01093	zmi:ZCP4_1165
ko:K00865	zmi:ZCP4_1167
ko:K00820	zmi:ZCP4_1169
ko:K07090	zmi:ZCP4_1170
ko:K03449	zmi:ZCP4_1173
ko:K06287	zmi:ZCP4_1178
ko:K00014	zmi:ZCP4_1179
ko:K00859	zmi:ZCP4_1180
ko:K02342	zmi:ZCP4_1181
ko:K02806	zmi:ZCP4_1183
ko:K09160	zmi:ZCP4_1186
ko:K00602	zmi:ZCP4_1191
ko:K07126	zmi:ZCP4_1192
ko:K00782	zmi:ZCP4_1197
ko:K02556	zmi:ZCP4_0680
ko:K02557	zmi:ZCP4_0681
ko:K13587	zmi:ZCP4_0683
ko:K01962	zmi:ZCP4_0684
ko:K04763	zmi:ZCP4_0685
ko:K00891	zmi:ZCP4_0688
ko:K01735	zmi:ZCP4_0689
ko:K04485	zmi:ZCP4_0693
ko:K01591	zmi:ZCP4_0695
ko:K01817	zmi:ZCP4_0696
ko:K01696	zmi:ZCP4_0697
ko:K01695	zmi:ZCP4_0698
ko:K01963	zmi:ZCP4_0699
ko:K11754	zmi:ZCP4_0700
ko:K08218	zmi:ZCP4_0701
ko:K06178	zmi:ZCP4_0703
ko:K08316	zmi:ZCP4_0704
ko:K03657	zmi:ZCP4_0705
ko:K03675	zmi:ZCP4_0706
ko:K02049	zmi:ZCP4_0707
ko:K02050	zmi:ZCP4_0708
ko:K02687	zmi:ZCP4_0710
ko:K00241	zmi:ZCP4_0711
ko:K00242	zmi:ZCP4_0712
ko:K01902	zmi:ZCP4_0713
ko:K08224	zmi:ZCP4_0714
ko:K03579	zmi:ZCP4_0715
ko:K02523	zmi:ZCP4_0716
ko:K04092	zmi:ZCP4_0717
ko:K00817	zmi:ZCP4_0718
ko:K06923	zmi:ZCP4_0719
ko:K09748	zmi:ZCP4_0721
ko:K02600	zmi:ZCP4_0722
ko:K07742	zmi:ZCP4_0723
ko:K02519	zmi:ZCP4_0724
ko:K02834	zmi:ZCP4_0725
ko:K03177	zmi:ZCP4_0727
ko:K02956	zmi:ZCP4_0728
ko:K00962	zmi:ZCP4_0729
ko:K03321	zmi:ZCP4_0734
ko:K01783	zmi:ZCP4_1199
ko:K03500	zmi:ZCP4_1200
ko:K03687	zmi:ZCP4_1201
ko:K03705	zmi:ZCP4_1202
ko:K00989	zmi:ZCP4_1203
ko:K02428	zmi:ZCP4_1204
ko:K07043	zmi:ZCP4_1207
ko:K00380	zmi:ZCP4_1208
ko:K00381	zmi:ZCP4_1209
ko:K00390	zmi:ZCP4_1210
ko:K02302	zmi:ZCP4_1211
ko:K00957	zmi:ZCP4_1212
ko:K00860	zmi:ZCP4_1214
ko:K00817	zmi:ZCP4_1215
ko:K02014	zmi:ZCP4_1216
ko:K01599	zmi:ZCP4_1217
ko:K08973	zmi:ZCP4_1218
ko:K03628	zmi:ZCP4_1219
ko:K01061	zmi:ZCP4_1221
ko:K00567	zmi:ZCP4_1222
ko:K03650	zmi:ZCP4_1223
ko:K02352	zmi:ZCP4_1227
ko:K03495	zmi:ZCP4_1228
ko:K03501	zmi:ZCP4_1229
ko:K05596	zmi:ZCP4_1235
ko:K06895	zmi:ZCP4_1236
ko:K01918	zmi:ZCP4_1237
ko:K00606	zmi:ZCP4_1238
ko:K02238	zmi:ZCP4_1242
ko:K01885	zmi:ZCP4_1243
ko:K01647	zmi:ZCP4_1244
ko:K03631	zmi:ZCP4_1251
ko:K01467	zmi:ZCP4_1135
ko:K01609	zmi:ZCP4_0735
ko:K00031	zmi:ZCP4_0736
ko:K01681	zmi:ZCP4_0737
ko:K02879	zmi:ZCP4_0739
ko:K03040	zmi:ZCP4_0740
ko:K02948	zmi:ZCP4_0741
ko:K02952	zmi:ZCP4_0742
ko:K00939	zmi:ZCP4_0743
