ko:K11707	ctg:E11023_00360
ko:K19405	ctg:E11023_03560
ko:K09779	ctg:E11023_00010
ko:K02435	ctg:E11023_00015
ko:K02434	ctg:E11023_00025
ko:K02517	ctg:E11023_00060
ko:K00425	ctg:E11023_00075
ko:K01925	ctg:E11023_04010
ko:K03588	ctg:E11023_04020
ko:K02563	ctg:E11023_04025
ko:K06960	ctg:E11023_04035
ko:K00791	ctg:E11023_04050
ko:K09710	ctg:E11023_04065
ko:K09458	ctg:E11023_04070
ko:K00263	ctg:E11023_04090
ko:K00655	ctg:E11023_04100
ko:K04066	ctg:E11023_04115
ko:K04567	ctg:E11023_04135
ko:K01883	ctg:E11023_04140
ko:K03536	ctg:E11023_04150
ko:K02919	ctg:E11023_04155
ko:K02954	ctg:E11023_04160
ko:K03703	ctg:E11023_04185
ko:K03555	ctg:E11023_04190
ko:K14164	ctg:E11023_04215
ko:K00995	ctg:E11023_04225
ko:K00703	ctg:E11023_04230
ko:K02897	ctg:E11023_04240
ko:K01056	ctg:E11023_04245
ko:K02990	ctg:E11023_04250
ko:K02963	ctg:E11023_04255
ko:K02939	ctg:E11023_04260
ko:K00919	ctg:E11023_04265
ko:K03224	ctg:E11023_03530
ko:K02417	ctg:E11023_03545
ko:K03219	ctg:E11023_03555
ko:K02838	ctg:E11023_03570
ko:K09903	ctg:E11023_03575
ko:K02357	ctg:E11023_03580
ko:K02967	ctg:E11023_03585
ko:K09013	ctg:E11023_03615
ko:K09015	ctg:E11023_03620
ko:K11717	ctg:E11023_03625
ko:K07220	ctg:E11023_03645
ko:K03306	ctg:E11023_03650
ko:K00927	ctg:E11023_03655
ko:K10773	ctg:E11023_03675
ko:K03650	ctg:E11023_03680
ko:K01613	ctg:E11023_03685
ko:K03070	ctg:E11023_03695
ko:K03977	ctg:E11023_03705
ko:K03544	ctg:E11023_03715
ko:K01358	ctg:E11023_03720
ko:K03545	ctg:E11023_03725
ko:K03569	ctg:E11023_03740
ko:K00057	ctg:E11023_03765
ko:K02455	ctg:E11023_02995
ko:K02453	ctg:E11023_03005
ko:K03572	ctg:E11023_03020
ko:K01868	ctg:E11023_03050
ko:K01867	ctg:E11023_03070
ko:K03702	ctg:E11023_03075
ko:K01689	ctg:E11023_03080
ko:K00240	ctg:E11023_03100
ko:K03424	ctg:E11023_03120
ko:K03562	ctg:E11023_03130
ko:K03641	ctg:E11023_03145
ko:K03640	ctg:E11023_03150
ko:K03648	ctg:E11023_03190
ko:K03657	ctg:E11023_03195
ko:K03092	ctg:E11023_03200
ko:K06137	ctg:E11023_03205
ko:K13941	ctg:E11023_03220
ko:K01633	ctg:E11023_03225
ko:K03086	ctg:E11023_03230
ko:K02968	ctg:E11023_03240
ko:K03308	ctg:E11023_01190
ko:K02078	ctg:E11023_01215
ko:K00645	ctg:E11023_01225
ko:K00648	ctg:E11023_01230
ko:K06187	ctg:E11023_01235
ko:K07277	ctg:E11023_01245
ko:K06142	ctg:E11023_01250
ko:K02536	ctg:E11023_01255
ko:K00161	ctg:E11023_01265
ko:K00162	ctg:E11023_01270
ko:K00627	ctg:E11023_01275
ko:K00688	ctg:E11023_01280
ko:K02313	ctg:E11023_01290
ko:K03217	ctg:E11023_01295
ko:K04487	ctg:E11023_01330
ko:K01735	ctg:E11023_01930
ko:K13832	ctg:E11023_01935
ko:K03758	ctg:E11023_01955
ko:K00024	ctg:E11023_01965
ko:K01810	ctg:E11023_01970
ko:K03665	ctg:E11023_01975
ko:K06167	ctg:E11023_01980
ko:K09996	ctg:E11023_01985
ko:K06966	ctg:E11023_02015
ko:K09131	ctg:E11023_02020
ko:K10206	ctg:E11023_02030
ko:K01881	ctg:E11023_02045
ko:K03705	ctg:E11023_02050
ko:K03687	ctg:E11023_02055
ko:K04043	ctg:E11023_02060
ko:K12573	ctg:E11023_02065
ko:K07164	ctg:E11023_02070
ko:K06041	ctg:E11023_02075
ko:K00658	ctg:E11023_02080
ko:K00912	ctg:E11023_02090
ko:K03437	ctg:E11023_02095
ko:K06969	ctg:E11023_02100
ko:K00793	ctg:E11023_02105
