ko:K03602	abau:IX87_04485
ko:K18923	abau:IX87_01230
ko:K20319	abau:IX87_08585
ko:K03297	abau:IX87_07595
ko:K03297	abau:IX87_11105
ko:K21029	abau:IX87_06715
ko:K19302	abau:IX87_14540
ko:K16238	abau:IX87_06495
ko:K07278	abau:IX87_06640
ko:K11741	abau:IX87_17785
ko:K03327	abau:IX87_14130
ko:K01990	abau:IX87_19200
ko:K22617	abau:IX87_11655
ko:K19611	abau:IX87_00625
ko:K11209	abau:IX87_17460
ko:K00821	abau:IX87_21165
ko:K00108	abau:IX87_00900
ko:K00001	abau:IX87_06215
ko:K01007	abau:IX87_06810
ko:K09017	abau:IX87_14705
ko:K22589	abau:IX87_08715
ko:K21449	abau:IX87_00330
ko:K01816	abau:IX87_17355
ko:K01977	abau:IX87_11625
ko:K01978	abau:IX87_22100
ko:K01263	abau:IX87_08530
ko:K03446	abau:IX87_20315
ko:K02650	abau:IX87_12680
ko:K03296	abau:IX87_10970
ko:K21758	abau:IX87_05260
ko:K01800	abau:IX87_14105
ko:K18137	abau:IX87_21690
ko:K00042	abau:IX87_20395
ko:K18698	abau:IX87_12750
ko:K01980	abau:IX87_14360
ko:K01980	abau:IX87_15460
ko:K01980	abau:IX87_14655
ko:K01980	abau:IX87_17635
ko:K01980	abau:IX87_11775
ko:K14221	abau:IX87_10880
ko:K14221	abau:IX87_10890
ko:K14221	abau:IX87_10895
ko:K01985	abau:IX87_11605
ko:K01985	abau:IX87_14660
ko:K01985	abau:IX87_17640
ko:K01985	abau:IX87_15465
ko:K01985	abau:IX87_11770
ko:K01985	abau:IX87_14355
ko:K09790	abau:IX87_00950
ko:K16087	abau:IX87_00975
ko:K07165	abau:IX87_00980
ko:K03088	abau:IX87_00985
ko:K01714	abau:IX87_00995
ko:K08369	abau:IX87_01000
ko:K01153	abau:IX87_01010
ko:K01154	abau:IX87_01015
ko:K03427	abau:IX87_01020
ko:K06899	abau:IX87_01090
ko:K07733	abau:IX87_10660
ko:K06153	abau:IX87_10680
ko:K02616	abau:IX87_10685
ko:K00355	abau:IX87_10705
ko:K06076	abau:IX87_10710
ko:K02203	abau:IX87_10715
ko:K00390	abau:IX87_10720
ko:K16244	abau:IX87_04545
ko:K16242	abau:IX87_04550
ko:K16245	abau:IX87_04555
ko:K16246	abau:IX87_04560
ko:K05549	abau:IX87_04575
ko:K05550	abau:IX87_04580
