ko:K03560	rrh:RPM_02365
ko:K18923	rrh:RPM_07380
ko:K01006	rrh:RPM_03810
ko:K02029	rrh:RPM_00975
ko:K02109	rrh:RPM_00160
ko:K02109	rrh:RPM_00165
ko:K02110	rrh:RPM_00170
ko:K02108	rrh:RPM_00175
ko:K07736	rrh:RPM_00190
ko:K03629	rrh:RPM_00205
ko:K06137	rrh:RPM_00210
ko:K13941	rrh:RPM_00225
ko:K07152	rrh:RPM_00265
ko:K07735	rrh:RPM_00270
ko:K00023	rrh:RPM_00335
ko:K03695	rrh:RPM_00370
ko:K02990	rrh:RPM_00395
ko:K02963	rrh:RPM_00400
ko:K02939	rrh:RPM_00405
ko:K04075	rrh:RPM_00410
ko:K03798	rrh:RPM_00415
ko:K00240	rrh:RPM_00430
ko:K13292	rrh:RPM_00445
ko:K03217	rrh:RPM_00460
ko:K00995	rrh:RPM_00465
ko:K03284	rrh:RPM_05215
ko:K13598	rrh:RPM_05245
ko:K02970	rrh:RPM_05255
ko:K01870	rrh:RPM_05275
ko:K05939	rrh:RPM_05315
ko:K09816	rrh:RPM_05325
ko:K04077	rrh:RPM_05350
ko:K04078	rrh:RPM_05355
ko:K00989	rrh:RPM_05400
ko:K03687	rrh:RPM_05405
ko:K02968	rrh:RPM_05460
ko:K02879	rrh:RPM_05465
ko:K03040	rrh:RPM_05470
ko:K02948	rrh:RPM_05475
ko:K02952	rrh:RPM_05480
ko:K03076	rrh:RPM_05490
ko:K02876	rrh:RPM_05495
ko:K02907	rrh:RPM_05500
ko:K02988	rrh:RPM_05505
ko:K02881	rrh:RPM_05510
ko:K02933	rrh:RPM_05515
ko:K07276	rrh:RPM_00930
ko:K04088	rrh:RPM_00940
ko:K04087	rrh:RPM_00945
ko:K07146	rrh:RPM_00955
ko:K00242	rrh:RPM_00965
ko:K00239	rrh:RPM_00970
ko:K02950	rrh:RPM_00980
ko:K02992	rrh:RPM_00985
ko:K02355	rrh:RPM_00990
ko:K03073	rrh:RPM_00995
ko:K02601	rrh:RPM_01000
ko:K02867	rrh:RPM_01005
ko:K02863	rrh:RPM_01010
ko:K02864	rrh:RPM_01015
ko:K02935	rrh:RPM_01020
ko:K03043	rrh:RPM_01025
ko:K03046	rrh:RPM_01030
ko:K01255	rrh:RPM_01045
ko:K01876	rrh:RPM_01060
ko:K06890	rrh:RPM_01070
ko:K03179	rrh:RPM_05850
ko:K01873	rrh:RPM_05875
ko:K09760	rrh:RPM_05900
ko:K03544	rrh:RPM_05965
ko:K03790	rrh:RPM_05970
ko:K06920	rrh:RPM_05975
ko:K07552	rrh:RPM_06000
ko:K09808	rrh:RPM_06005
ko:K02198	rrh:RPM_06025
ko:K05349	rrh:RPM_06075
ko:K04764	rrh:RPM_06085
ko:K03564	rrh:RPM_06095
ko:K02517	rrh:RPM_06100
ko:K00912	rrh:RPM_06105
ko:K07115	rrh:RPM_06115
ko:K01972	rrh:RPM_06120
ko:K00773	rrh:RPM_06130
ko:K09985	rrh:RPM_06180
ko:K00859	rrh:RPM_06190
ko:K00645	rrh:RPM_06220
ko:K02902	rrh:RPM_00785
ko:K02909	rrh:RPM_00790
ko:K03978	rrh:RPM_00795
ko:K00930	rrh:RPM_00800
ko:K00554	rrh:RPM_00870
ko:K02884	rrh:RPM_00875
ko:K03074	rrh:RPM_00885
ko:K03100	rrh:RPM_00895
ko:K03685	rrh:RPM_00900
ko:K01159	rrh:RPM_00910
ko:K01462	rrh:RPM_00490
ko:K03301	rrh:RPM_00495
