ko:K00033	ctrt:SOTOND6_00066
ko:K11707	ctrt:SOTOND6_00070
ko:K11710	ctrt:SOTOND6_00071
ko:K11708	ctrt:SOTOND6_00072
ko:K11709	ctrt:SOTOND6_00073
ko:K03177	ctrt:SOTOND6_00096
ko:K07258	ctrt:SOTOND6_00583
ko:K01934	ctrt:SOTOND6_00687
ko:K00970	ctrt:SOTOND6_00748
ko:K02342	ctrt:SOTOND6_00270
ko:K02806	ctrt:SOTOND6_00299
ko:K02806	ctrt:SOTOND6_00300
ko:K00970	ctrt:SOTOND6_00429
ko:K09815	ctrt:SOTOND6_00435
ko:K01719	ctrt:SOTOND6_00456
ko:K00380	ctrt:SOTOND6_00458
ko:K03227	ctrt:SOTOND6_00596
ko:K02454	ctrt:SOTOND6_00604
ko:K01262	ctrt:SOTOND6_00607
ko:K07315	ctrt:SOTOND6_00621
ko:K00241	ctrt:SOTOND6_00627
ko:K03386	ctrt:SOTOND6_00637
ko:K02124	ctrt:SOTOND6_00313
ko:K02123	ctrt:SOTOND6_00314
ko:K02120	ctrt:SOTOND6_00315
ko:K02118	ctrt:SOTOND6_00316
ko:K02117	ctrt:SOTOND6_00317
ko:K02121	ctrt:SOTOND6_00319
ko:K00616	ctrt:SOTOND6_00322
ko:K08483	ctrt:SOTOND6_00351
ko:K11189	ctrt:SOTOND6_00352
ko:K01885	ctrt:SOTOND6_00469
ko:K07098	ctrt:SOTOND6_00485
ko:K00567	ctrt:SOTOND6_00504
ko:K02033	ctrt:SOTOND6_00506
ko:K02035	ctrt:SOTOND6_00507
ko:K02030	ctrt:SOTOND6_00515
ko:K02428	ctrt:SOTOND6_00641
ko:K00813	ctrt:SOTOND6_00675
ko:K02035	ctrt:SOTOND6_00178
ko:K02049	ctrt:SOTOND6_00183
ko:K00784	ctrt:SOTOND6_00362
ko:K03856	ctrt:SOTOND6_00400
ko:K02342	ctrt:SOTOND6_00567
ko:K01409	ctrt:SOTOND6_00202
ko:K15582	ctrt:SOTOND6_00205
ko:K10823	ctrt:SOTOND6_00206
ko:K15583	ctrt:SOTOND6_00207
ko:K06889	ctrt:SOTOND6_00211
ko:K00059	ctrt:SOTOND6_00246
ko:K07052	ctrt:SOTOND6_00263
ko:K06179	ctrt:SOTOND6_00108
ko:K02433	ctrt:SOTOND6_00004
