ko:K00054	sah:SaurJH1_2621
ko:K04042	sah:SaurJH1_0534
ko:K02341	sah:SaurJH1_0518
ko:K07462	sah:SaurJH1_1726
ko:K01546	sah:SaurJH1_2152
ko:K01548	sah:SaurJH1_0063
ko:K09762	sah:SaurJH1_0808
ko:K03293	sah:SaurJH1_2383
ko:K01696	sah:SaurJH1_1462
ko:K01695	sah:SaurJH1_1463
ko:K07705	sah:SaurJH1_0252
ko:K00872	sah:SaurJH1_1418
ko:K10773	sah:SaurJH1_1540
ko:K10851	sah:SaurJH1_2465
ko:K10850	sah:SaurJH1_2459
ko:K02337	sah:SaurJH1_1793
ko:K02343	sah:SaurJH1_0512
ko:K02601	sah:SaurJH1_0573
ko:K00794	sah:SaurJH1_1855
ko:K02931	sah:SaurJH1_2306
ko:K03624	sah:SaurJH1_1701
ko:K01547	sah:SaurJH1_0062
ko:K03784	sah:SaurJH1_2212
ko:K01429	sah:SaurJH1_2356
ko:K00954	sah:SaurJH1_1206
ko:K01883	sah:SaurJH1_0566
ko:K02520	sah:SaurJH1_1772
ko:K01657	sah:SaurJH1_1457
ko:K02822	sah:SaurJH1_0389
ko:K07568	sah:SaurJH1_1730
ko:K01447	sah:SaurJH1_1101
ko:K01447	sah:SaurJH1_0376
ko:K03784	sah:SaurJH1_0127
ko:K00609	sah:SaurJH1_1284
ko:K04567	sah:SaurJH1_0553
ko:K01880	sah:SaurJH1_1657
ko:K01546	sah:SaurJH1_0061
ko:K03707	sah:SaurJH1_2169
ko:K03346	sah:SaurJH1_1776
ko:K03500	sah:SaurJH1_1301
ko:K03497	sah:SaurJH1_0419
ko:K03629	sah:SaurJH1_0004
ko:K07455	sah:SaurJH1_0329
ko:K01652	sah:SaurJH1_2128
ko:K03785	sah:SaurJH1_0845
ko:K09699	sah:SaurJH1_1607
ko:K03652	sah:SaurJH1_2414
ko:K03572	sah:SaurJH1_1382
ko:K00208	sah:SaurJH1_1028
ko:K03648	sah:SaurJH1_0618
ko:K10563	sah:SaurJH1_1780
ko:K07042	sah:SaurJH1_1662
ko:K02867	sah:SaurJH1_0574
ko:K03601	sah:SaurJH1_1615
ko:K02863	sah:SaurJH1_0575
ko:K02913	sah:SaurJH1_1423
ko:K05366	sah:SaurJH1_1538
ko:K03294	sah:SaurJH1_2679
ko:K07683	sah:SaurJH1_2464
ko:K07696	sah:SaurJH1_2463
ko:K03665	sah:SaurJH1_1391
ko:K00371	sah:SaurJH1_2468
ko:K02114	sah:SaurJH1_2176
ko:K04517	sah:SaurJH1_1455
ko:K03781	sah:SaurJH1_1422
ko:K03550	sah:SaurJH1_1732
ko:K11039	sah:SaurJH1_2109
ko:K00373	sah:SaurJH1_2467
ko:K19079	sah:SaurJH1_0699
ko:K01962	sah:SaurJH1_1790
ko:K00963	sah:SaurJH1_2576
ko:K09680	sah:SaurJH1_2204
ko:K00567	sah:SaurJH1_2623
ko:K03110	sah:SaurJH1_1319
ko:K09936	sah:SaurJH1_0656
ko:K03546	sah:SaurJH1_1435
ko:K01733	sah:SaurJH1_1417
ko:K02470	sah:SaurJH1_0005
ko:K03470	sah:SaurJH1_1328
ko:K03471	sah:SaurJH1_1221
ko:K02803	sah:SaurJH1_1816
ko:K02804	sah:SaurJH1_1816
ko:K03168	sah:SaurJH1_1335
ko:K03169	sah:SaurJH1_2322
ko:K06180	sah:SaurJH1_1281
ko:K06180	sah:SaurJH1_1938
ko:K01653	sah:SaurJH1_2129
ko:K03424	sah:SaurJH1_0525
ko:K06187	sah:SaurJH1_0514
ko:K03315	sah:SaurJH1_2367
ko:K09747	sah:SaurJH1_0513
ko:K09022	sah:SaurJH1_0531
ko:K02809	sah:SaurJH1_2449
ko:K02810	sah:SaurJH1_2449
ko:K07461	sah:SaurJH1_0522
ko:K03722	sah:SaurJH1_1543
ko:K01588	sah:SaurJH1_1146
ko:K00167	sah:SaurJH1_1608
ko:K01624	sah:SaurJH1_2199
ko:K03530	sah:SaurJH1_1560
ko:K07090	sah:SaurJH1_0073
ko:K03303	sah:SaurJH1_0101
ko:K02837	sah:SaurJH1_1037
ko:K01704	sah:SaurJH1_2134
ko:K07456	sah:SaurJH1_1225
ko:K00648	sah:SaurJH1_1001
ko:K00604	sah:SaurJH1_1300
ko:K00526	sah:SaurJH1_0773
ko:K00111	sah:SaurJH1_1386
ko:K04478	sah:SaurJH1_1962
ko:K02160	sah:SaurJH1_1619
ko:K03685	sah:SaurJH1_1317
ko:K03048	sah:SaurJH1_2202
ko:K03502	sah:SaurJH1_1454
ko:K02346	sah:SaurJH1_1983
