ko:K03293	sagc:DN94_06620
ko:K14230	sagc:DN94_00125
ko:K14230	sagc:DN94_01040
ko:K14230	sagc:DN94_00145
ko:K14230	sagc:DN94_01460
ko:K14230	sagc:DN94_01030
ko:K13677	sagc:DN94_03320
ko:K11704	sagc:DN94_06835
ko:K11705	sagc:DN94_06825
ko:K02032	sagc:DN94_02025
ko:K02031	sagc:DN94_02020
ko:K00983	sagc:DN94_05410
ko:K07462	sagc:DN94_05635
ko:K07124	sagc:DN94_05640
ko:K00784	sagc:DN94_05645
ko:K03665	sagc:DN94_05655
ko:K00791	sagc:DN94_05660
ko:K04486	sagc:DN94_05680
ko:K01126	sagc:DN94_05700
ko:K03703	sagc:DN94_05705
ko:K09765	sagc:DN94_05710
ko:K03327	sagc:DN94_05715
ko:K02003	sagc:DN94_05740
ko:K02935	sagc:DN94_05745
ko:K02864	sagc:DN94_05750
ko:K04086	sagc:DN94_05755
ko:K00547	sagc:DN94_05760
ko:K03978	sagc:DN94_05785
ko:K03544	sagc:DN94_05790
ko:K02424	sagc:DN94_07185
ko:K03624	sagc:DN94_07195
ko:K07082	sagc:DN94_07200
ko:K01924	sagc:DN94_07210
ko:K03977	sagc:DN94_07230
ko:K11144	sagc:DN94_07235
ko:K03346	sagc:DN94_07240
ko:K07738	sagc:DN94_07245
ko:K07040	sagc:DN94_07260
ko:K03799	sagc:DN94_07265
ko:K03744	sagc:DN94_07270
ko:K03501	sagc:DN94_07275
ko:K03499	sagc:DN94_07285
ko:K16785	sagc:DN94_07290
ko:K16786	sagc:DN94_07295
ko:K16787	sagc:DN94_07295
ko:K16924	sagc:DN94_07300
ko:K07862	sagc:DN94_07305
ko:K03311	sagc:DN94_07310
ko:K18369	sagc:DN94_07315
ko:K02072	sagc:DN94_07320
ko:K02071	sagc:DN94_07325
ko:K01439	sagc:DN94_07330
ko:K02073	sagc:DN94_07335
ko:K02030	sagc:DN94_07340
ko:K07010	sagc:DN94_07345
ko:K05879	sagc:DN94_07365
ko:K02440	sagc:DN94_07375
ko:K09710	sagc:DN94_07405
ko:K00969	sagc:DN94_07420
ko:K07574	sagc:DN94_07425
ko:K06948	sagc:DN94_07430
ko:K07015	sagc:DN94_07435
ko:K02434	sagc:DN94_07445
ko:K02433	sagc:DN94_07450
ko:K02435	sagc:DN94_07455
ko:K01006	sagc:DN94_07460
ko:K01641	sagc:DN94_05810
ko:K00054	sagc:DN94_05815
ko:K11068	sagc:DN94_05825
ko:K01823	sagc:DN94_05845
ko:K00938	sagc:DN94_05850
ko:K01597	sagc:DN94_05855
ko:K00869	sagc:DN94_05860
ko:K01081	sagc:DN94_05895
ko:K15738	sagc:DN94_05920
ko:K00974	sagc:DN94_05925
ko:K00882	sagc:DN94_05955
ko:K03436	sagc:DN94_05960
ko:K07035	sagc:DN94_05985
ko:K00554	sagc:DN94_05995
ko:K02860	sagc:DN94_06000
ko:K06960	sagc:DN94_06020
ko:K02959	sagc:DN94_06025
ko:K02004	sagc:DN94_06030
ko:K02003	sagc:DN94_06035
ko:K02005	sagc:DN94_06040
ko:K01955	sagc:DN94_06045
ko:K01956	sagc:DN94_06050
ko:K02825	sagc:DN94_06055
ko:K06180	sagc:DN94_06060
ko:K03101	sagc:DN94_06065
ko:K02899	sagc:DN94_06075
ko:K07584	sagc:DN94_06080
ko:K02888	sagc:DN94_06085
ko:K09773	sagc:DN94_07465
ko:K00074	sagc:DN94_07475
ko:K03706	sagc:DN94_07485
ko:K14260	sagc:DN94_07490
ko:K01424	sagc:DN94_07505
ko:K00014	sagc:DN94_07510
ko:K03655	sagc:DN94_07520
ko:K01775	sagc:DN94_07530
ko:K00997	sagc:DN94_07535
ko:K01626	sagc:DN94_07540
ko:K03070	sagc:DN94_07545
ko:K01809	sagc:DN94_07550
ko:K00847	sagc:DN94_07555
ko:K02808	sagc:DN94_07560
ko:K02809	sagc:DN94_07560
ko:K02810	sagc:DN94_07560
ko:K01193	sagc:DN94_07565
ko:K03484	sagc:DN94_07570
ko:K03625	sagc:DN94_07575
ko:K02356	sagc:DN94_07585
ko:K01262	sagc:DN94_07620
ko:K03701	sagc:DN94_07635
ko:K03284	sagc:DN94_07645
ko:K02963	sagc:DN94_07650
ko:K02990	sagc:DN94_07660
ko:K03575	sagc:DN94_07665
ko:K03671	sagc:DN94_07675
ko:K07456	sagc:DN94_07685
ko:K03471	sagc:DN94_07700
ko:K03100	sagc:DN94_07705
ko:K03581	sagc:DN94_07710
ko:K00656	sagc:DN94_07725
ko:K02440	sagc:DN94_07750
ko:K03495	sagc:DN94_09190
ko:K05595	sagc:DN94_09195
ko:K00566	sagc:DN94_09200
ko:K01752	sagc:DN94_09205
ko:K01752	sagc:DN94_09210
ko:K16785	sagc:DN94_09225
ko:K16787	sagc:DN94_09230
ko:K16786	sagc:DN94_09235
ko:K00995	sagc:DN94_09240
ko:K03629	sagc:DN94_09260
ko:K05340	sagc:DN94_09265
ko:K00088	sagc:DN94_09275
ko:K03402	sagc:DN94_09280
ko:K01478	sagc:DN94_09295
ko:K00611	sagc:DN94_09305
ko:K03758	sagc:DN94_09310
ko:K00926	sagc:DN94_09315
ko:K01867	sagc:DN94_09320
ko:K00783	sagc:DN94_09360
ko:K07282	sagc:DN94_06090
ko:K03151	sagc:DN94_06095
ko:K04487	sagc:DN94_06100
ko:K00383	sagc:DN94_06110
ko:K01736	sagc:DN94_06120
ko:K01735	sagc:DN94_06125
ko:K03785	sagc:DN94_06130
ko:K06969	sagc:DN94_06135
ko:K02887	sagc:DN94_06145
ko:K02916	sagc:DN94_06150
ko:K02520	sagc:DN94_06155
ko:K00945	sagc:DN94_06160
ko:K05337	sagc:DN94_06170
ko:K01258	sagc:DN94_06180
ko:K05362	sagc:DN94_06190
ko:K02013	sagc:DN94_06195
ko:K02016	sagc:DN94_06200
ko:K15986	sagc:DN94_06220
ko:K04069	sagc:DN94_06225
ko:K03699	sagc:DN94_06230
ko:K07139	sagc:DN94_06240
ko:K03100	sagc:DN94_06260
ko:K00991	sagc:DN94_06305
ko:K07271	sagc:DN94_06310
ko:K09153	sagc:DN94_06320
ko:K12997	sagc:DN94_06330
ko:K12996	sagc:DN94_06335
ko:K00067	sagc:DN94_06340
ko:K03086	sagc:DN94_06350
ko:K01281	sagc:DN94_07770
ko:K00805	sagc:DN94_07780
ko:K16012	sagc:DN94_07785
ko:K16013	sagc:DN94_07790
ko:K00426	sagc:DN94_07795
ko:K00425	sagc:DN94_07800
ko:K03885	sagc:DN94_07805
ko:K09747	sagc:DN94_07830
ko:K02342	sagc:DN94_07845
ko:K07007	sagc:DN94_07855
ko:K02954	sagc:DN94_07865
ko:K01620	sagc:DN94_07870
ko:K01409	sagc:DN94_07875
ko:K03789	sagc:DN94_07880
ko:K12574	sagc:DN94_07895
ko:K01915	sagc:DN94_07905
ko:K03713	sagc:DN94_07910
ko:K00927	sagc:DN94_07920
ko:K00134	sagc:DN94_07930
ko:K02355	sagc:DN94_07935
ko:K02992	sagc:DN94_07940
ko:K02950	sagc:DN94_07945
ko:K09685	sagc:DN94_07950
ko:K03698	sagc:DN94_07955
ko:K09760	sagc:DN94_07960
ko:K00949	sagc:DN94_07965
ko:K01783	sagc:DN94_07970
ko:K06949	sagc:DN94_07975
ko:K00563	sagc:DN94_07980
ko:K02528	sagc:DN94_07985
ko:K05985	sagc:DN94_08000
ko:K03424	sagc:DN94_08005
ko:K03740	sagc:DN94_08030
ko:K14188	sagc:DN94_08035
ko:K03739	sagc:DN94_08040
ko:K03282	sagc:DN94_06360
ko:K02970	sagc:DN94_06365
ko:K06940	sagc:DN94_06370
ko:K02030	sagc:DN94_06375
ko:K03320	sagc:DN94_06380
ko:K07146	sagc:DN94_06390
ko:K00688	sagc:DN94_06405
ko:K00705	sagc:DN94_06410
ko:K02529	sagc:DN94_06415
ko:K15770	sagc:DN94_06420
ko:K15772	sagc:DN94_06430
ko:K03305	sagc:DN94_06435
ko:K03305	sagc:DN94_06450
ko:K03574	sagc:DN94_06455
ko:K03070	sagc:DN94_06475
ko:K12270	sagc:DN94_06480
ko:K12269	sagc:DN94_06485
ko:K12268	sagc:DN94_06490
ko:K03702	sagc:DN94_06540
ko:K02029	sagc:DN94_06550
ko:K02030	sagc:DN94_06550
ko:K02028	sagc:DN94_06555
ko:K03979	sagc:DN94_06570
ko:K06183	sagc:DN94_06595
ko:K01759	sagc:DN94_06610
