ko:K11749	dmy:X793_01535
ko:K19221	dmy:X793_05550
ko:K01985	dmy:X793_00275
ko:K07667	dmy:X793_07120
ko:K01734	dmy:X793_07250
ko:K01007	dmy:X793_02445
ko:K06204	dmy:X793_06290
ko:K19175	dmy:X793_00435
ko:K19221	dmy:X793_05140
ko:K19171	dmy:X793_03855
ko:K19166	dmy:X793_03910
ko:K09981	dmy:X793_07295
ko:K03744	dmy:X793_07300
ko:K03799	dmy:X793_07305
ko:K00640	dmy:X793_07310
ko:K03926	dmy:X793_07315
ko:K03517	dmy:X793_07320
ko:K03183	dmy:X793_07325
ko:K03734	dmy:X793_07340
ko:K03118	dmy:X793_07360
ko:K03116	dmy:X793_07365
ko:K03116	dmy:X793_07370
ko:K03116	dmy:X793_07375
ko:K00796	dmy:X793_07380
ko:K00950	dmy:X793_07385
ko:K01737	dmy:X793_07390
ko:K03565	dmy:X793_07400
ko:K18682	dmy:X793_07405
ko:K09769	dmy:X793_07410
ko:K07053	dmy:X793_07415
ko:K07457	dmy:X793_07425
ko:K02594	dmy:X793_07435
ko:K01990	dmy:X793_07465
ko:K01992	dmy:X793_07470
ko:K00145	dmy:X793_07500
ko:K03455	dmy:X793_07505
ko:K02469	dmy:X793_07520
ko:K00928	dmy:X793_07535
ko:K15635	dmy:X793_07545
ko:K02499	dmy:X793_07560
ko:K06973	dmy:X793_07565
ko:K02968	dmy:X793_07570
ko:K01356	dmy:X793_07575
ko:K01628	dmy:X793_07580
ko:K00604	dmy:X793_07585
ko:K02313	dmy:X793_00005
ko:K03979	dmy:X793_00015
ko:K00969	dmy:X793_00020
ko:K02470	dmy:X793_00025
ko:K00951	dmy:X793_00030
ko:K01892	dmy:X793_00035
ko:K08591	dmy:X793_00045
ko:K00826	dmy:X793_00050
ko:K02346	dmy:X793_00055
ko:K01591	dmy:X793_00065
ko:K11754	dmy:X793_00080
ko:K07560	dmy:X793_00095
ko:K03711	dmy:X793_00100
ko:K02238	dmy:X793_00120
ko:K02237	dmy:X793_00125
ko:K03499	dmy:X793_00130
ko:K03499	dmy:X793_00135
ko:K03498	dmy:X793_00145
ko:K03499	dmy:X793_00150
ko:K07220	dmy:X793_00165
ko:K03306	dmy:X793_00170
ko:K00942	dmy:X793_00175
ko:K09777	dmy:X793_00180
ko:K00528	dmy:X793_00185
ko:K00266	dmy:X793_00190
ko:K06942	dmy:X793_00225
ko:K02340	dmy:X793_00235
ko:K00845	dmy:X793_00245
ko:K01872	dmy:X793_00250
ko:K07447	dmy:X793_00255
ko:K00773	dmy:X793_00260
ko:K03696	dmy:X793_00280
ko:K04485	dmy:X793_00285
ko:K00991	dmy:X793_00290
ko:K01770	dmy:X793_00295
ko:K01883	dmy:X793_00300
ko:K04763	dmy:X793_00370
ko:K16264	dmy:X793_00160
ko:K04759	dmy:X793_00505
ko:K04758	dmy:X793_00510
ko:K03709	dmy:X793_00515
ko:K03752	dmy:X793_00525
ko:K00185	dmy:X793_00540
ko:K00184	dmy:X793_00545
ko:K03605	dmy:X793_00580
ko:K06281	dmy:X793_00585
ko:K06282	dmy:X793_00590
ko:K00124	dmy:X793_00595
ko:K01992	dmy:X793_00600
ko:K01990	dmy:X793_00610
ko:K03152	dmy:X793_00620
ko:K01960	dmy:X793_00625
ko:K01959	dmy:X793_00630
ko:K00766	dmy:X793_00655
ko:K02224	dmy:X793_00665
ko:K07636	dmy:X793_00705
ko:K01734	dmy:X793_00710
ko:K02040	dmy:X793_00715
ko:K02037	dmy:X793_00720
ko:K02038	dmy:X793_00725
ko:K02036	dmy:X793_00730
ko:K02039	dmy:X793_00735
ko:K00335	dmy:X793_00755
ko:K07043	dmy:X793_00780
ko:K07667	dmy:X793_00820
ko:K05794	dmy:X793_00850
ko:K02380	dmy:X793_00855
ko:K00123	dmy:X793_00865
ko:K00954	dmy:X793_00880
ko:K03558	dmy:X793_00890
ko:K00286	dmy:X793_00895
ko:K01869	dmy:X793_00900
ko:K07007	dmy:X793_00905
ko:K01784	dmy:X793_00945
ko:K07031	dmy:X793_00955
ko:K03271	dmy:X793_00960
ko:K00441	dmy:X793_00995
ko:K01843	dmy:X793_01030
ko:K13963	dmy:X793_01035
ko:K11068	dmy:X793_01040
ko:K06158	dmy:X793_01045
ko:K07007	dmy:X793_01055
ko:K03399	dmy:X793_01115
ko:K04487	dmy:X793_01155
ko:K07006	dmy:X793_01170
ko:K07667	dmy:X793_01260
ko:K07667	dmy:X793_01265
ko:K07001	dmy:X793_01315
ko:K06915	dmy:X793_01320
ko:K03074	dmy:X793_01350
ko:K03072	dmy:X793_01355
ko:K04066	dmy:X793_01370
ko:K02884	dmy:X793_01375
ko:K00554	dmy:X793_01380
ko:K03925	dmy:X793_01385
ko:K03438	dmy:X793_01390
ko:K03590	dmy:X793_01395
ko:K03531	dmy:X793_01400
ko:K07738	dmy:X793_01405
ko:K09117	dmy:X793_01430
ko:K02970	dmy:X793_01435
ko:K03797	dmy:X793_01505
ko:K01889	dmy:X793_01510
ko:K01890	dmy:X793_01515
ko:K01507	dmy:X793_01520
ko:K01881	dmy:X793_01525
ko:K03526	dmy:X793_01530
