ko:K03183	cmg:NC81_03595
ko:K02888	cmg:NC81_03550
ko:K02899	cmg:NC81_03545
ko:K03979	cmg:NC81_03540
ko:K07081	cmg:NC81_03590
ko:K07042	cmg:NC81_03565
ko:K03582	cmg:NC81_00040
ko:K01698	cmg:NC81_00005
ko:K00346	cmg:NC81_00010
ko:K00813	cmg:NC81_00030
ko:K03583	cmg:NC81_00045
ko:K01778	cmg:NC81_03605
ko:K01214	cmg:NC81_01565
ko:K21053	cmg:NC81_02195
ko:K00604	cmg:NC81_04145
ko:K00677	cmg:NC81_04150
ko:K02372	cmg:NC81_04155
ko:K02535	cmg:NC81_04160
ko:K03820	cmg:NC81_04165
ko:K02342	cmg:NC81_04175
ko:K06925	cmg:NC81_04180
ko:K03671	cmg:NC81_04195
ko:K03216	cmg:NC81_04200
ko:K01876	cmg:NC81_04210
ko:K01892	cmg:NC81_04215
ko:K07783	cmg:NC81_04220
ko:K02337	cmg:NC81_04225
ko:K00761	cmg:NC81_04230
ko:K07258	cmg:NC81_04260
ko:K03311	cmg:NC81_04275
ko:K00382	cmg:NC81_04290
ko:K03644	cmg:NC81_04295
ko:K03222	cmg:NC81_04300
ko:K03223	cmg:NC81_04310
ko:K03226	cmg:NC81_04315
ko:K03227	cmg:NC81_04320
ko:K03228	cmg:NC81_04325
ko:K02455	cmg:NC81_04355
ko:K02454	cmg:NC81_04360
ko:K02453	cmg:NC81_04365
ko:K01262	cmg:NC81_04375
ko:K03572	cmg:NC81_04380
ko:K01868	cmg:NC81_04410
ko:K01358	cmg:NC81_03610
ko:K00600	cmg:NC81_03615
ko:K01719	cmg:NC81_03620
ko:K01770	cmg:NC81_03625
ko:K00380	cmg:NC81_03630
ko:K02946	cmg:NC81_03635
ko:K02355	cmg:NC81_03640
ko:K02992	cmg:NC81_03645
ko:K02950	cmg:NC81_03650
ko:K03797	cmg:NC81_03660
ko:K01885	cmg:NC81_03690
ko:K07462	cmg:NC81_03700
ko:K12257	cmg:NC81_03705
ko:K00806	cmg:NC81_03715
ko:K00981	cmg:NC81_03720
ko:K00945	cmg:NC81_03725
ko:K00655	cmg:NC81_03730
ko:K01887	cmg:NC81_03735
ko:K00790	cmg:NC81_03740
ko:K02836	cmg:NC81_03760
ko:K07098	cmg:NC81_03770
ko:K00991	cmg:NC81_03775
ko:K06173	cmg:NC81_03780
ko:K07710	cmg:NC81_03805
ko:K07714	cmg:NC81_03810
ko:K03584	cmg:NC81_03825
ko:K08998	cmg:NC81_03850
ko:K01890	cmg:NC81_03860
ko:K00567	cmg:NC81_03870
ko:K02034	cmg:NC81_03875
ko:K01867	cmg:NC81_04430
ko:K03702	cmg:NC81_04435
ko:K01689	cmg:NC81_04440
ko:K07315	cmg:NC81_04445
ko:K00240	cmg:NC81_04460
ko:K00239	cmg:NC81_04465
ko:K00241	cmg:NC81_04470
ko:K03424	cmg:NC81_04475
ko:K04084	cmg:NC81_04480
ko:K03562	cmg:NC81_04485
ko:K03559	cmg:NC81_04490
ko:K03641	cmg:NC81_04500
ko:K03640	cmg:NC81_04505
ko:K03386	cmg:NC81_04520
ko:K02428	cmg:NC81_04540
ko:K03648	cmg:NC81_04550
ko:K03657	cmg:NC81_04555
ko:K03092	cmg:NC81_04560
ko:K06137	cmg:NC81_04565
ko:K13941	cmg:NC81_04580
ko:K01633	cmg:NC81_04585
ko:K03086	cmg:NC81_04590
ko:K02968	cmg:NC81_04605
ko:K03980	cmg:NC81_04640
ko:K01151	cmg:NC81_04645
ko:K02986	cmg:NC81_04650
ko:K07146	cmg:NC81_04655
ko:K13789	cmg:NC81_04660
ko:K02033	cmg:NC81_03880
ko:K02035	cmg:NC81_03885
ko:K01772	cmg:NC81_03910
ko:K02030	cmg:NC81_03915
ko:K07099	cmg:NC81_03925
ko:K00975	cmg:NC81_03930
ko:K03628	cmg:NC81_03940
ko:K00859	cmg:NC81_03945
ko:K03301	cmg:NC81_03960
ko:K00995	cmg:NC81_03965
ko:K03495	cmg:NC81_03980
ko:K03800	cmg:NC81_03985
ko:K00940	cmg:NC81_03990
ko:K03550	cmg:NC81_03995
ko:K01159	cmg:NC81_04000
ko:K00134	cmg:NC81_04020
ko:K02879	cmg:NC81_04025
ko:K03040	cmg:NC81_04030
ko:K02948	cmg:NC81_04035
ko:K02952	cmg:NC81_04040
ko:K03076	cmg:NC81_04045
ko:K02876	cmg:NC81_04050
ko:K02988	cmg:NC81_04055
ko:K02881	cmg:NC81_04060
ko:K02933	cmg:NC81_04065
ko:K02994	cmg:NC81_04070
ko:K02931	cmg:NC81_04075
ko:K02895	cmg:NC81_04080
ko:K02874	cmg:NC81_04085
ko:K02961	cmg:NC81_04090
ko:K02904	cmg:NC81_04095
ko:K02878	cmg:NC81_04100
ko:K02982	cmg:NC81_04105
ko:K02890	cmg:NC81_04110
ko:K02965	cmg:NC81_04115
ko:K02886	cmg:NC81_04120
ko:K02892	cmg:NC81_04125
ko:K02926	cmg:NC81_04130
ko:K02906	cmg:NC81_04135
ko:K03168	cmg:NC81_00065
ko:K02221	cmg:NC81_00075
ko:K06180	cmg:NC81_00150
ko:K00075	cmg:NC81_01100
ko:K06960	cmg:NC81_00155
ko:K03611	cmg:NC81_02230
ko:K03625	cmg:NC81_01105
ko:K00059	cmg:NC81_02575
ko:K04564	cmg:NC81_02865
ko:K04485	cmg:NC81_02885
ko:K01749	cmg:NC81_02890
ko:K01873	cmg:NC81_02910
ko:K02124	cmg:NC81_02920
ko:K02123	cmg:NC81_02925
ko:K02120	cmg:NC81_02930
ko:K02118	cmg:NC81_02935
ko:K02117	cmg:NC81_02940
ko:K02121	cmg:NC81_02950
ko:K00616	cmg:NC81_02965
ko:K03046	cmg:NC81_02970
ko:K03043	cmg:NC81_02975
ko:K02935	cmg:NC81_02980
ko:K02864	cmg:NC81_02985
ko:K02863	cmg:NC81_02990
ko:K02867	cmg:NC81_02995
ko:K02601	cmg:NC81_03000
ko:K03073	cmg:NC81_03005
ko:K02358	cmg:NC81_03015
ko:K02518	cmg:NC81_03025
ko:K01803	cmg:NC81_03060
ko:K03601	cmg:NC81_03065
ko:K03602	cmg:NC81_03070
ko:K01662	cmg:NC81_03080
ko:K00873	cmg:NC81_03085
ko:K03701	cmg:NC81_03090
ko:K02343	cmg:NC81_03095
ko:K09747	cmg:NC81_03100
ko:K08483	cmg:NC81_03105
ko:K11189	cmg:NC81_03110
ko:K11381	cmg:NC81_03130
ko:K03686	cmg:NC81_03135
ko:K02970	cmg:NC81_03140
ko:K01338	cmg:NC81_03150
ko:K00784	cmg:NC81_03160
ko:K03685	cmg:NC81_02880
ko:K06287	cmg:NC81_03175
ko:K01462	cmg:NC81_03195
ko:K06888	cmg:NC81_03210
ko:K03523	cmg:NC81_03230
ko:K01714	cmg:NC81_03240
ko:K00928	cmg:NC81_03245
ko:K00133	cmg:NC81_03250
ko:K00215	cmg:NC81_03255
ko:K00800	cmg:NC81_03265
ko:K00891	cmg:NC81_03270
ko:K01736	cmg:NC81_03275
ko:K01735	cmg:NC81_03280
ko:K13832	cmg:NC81_03285
ko:K03758	cmg:NC81_03305
ko:K00024	cmg:NC81_03315
ko:K08274	cmg:NC81_03320
ko:K01810	cmg:NC81_03325
ko:K03665	cmg:NC81_03330
