ko:K08744	mte:CCDC5079_1680
ko:K07029	mte:CCDC5079_2090
ko:K07016	mte:CCDC5079_2585
ko:K01992	mte:CCDC5079_1125
ko:K01992	mte:CCDC5079_1353
ko:K01992	mte:CCDC5079_2697
ko:K01992	mte:CCDC5079_2698
ko:K16786	mte:CCDC5079_2151
ko:K16787	mte:CCDC5079_2151
ko:K12349	mte:CCDC5079_0621
ko:K01006	mte:CCDC5079_1039
ko:K03574	mte:CCDC5079_1072
ko:K03297	mte:CCDC5079_2821
ko:K01897	mte:CCDC5079_2023
ko:K21431	mte:CCDC5079_0788
ko:K22316	mte:CCDC5079_2065
ko:K01939	mte:CCDC5079_0333
ko:K06213	mte:CCDC5079_0338
ko:K01624	mte:CCDC5079_0339
ko:K03975	mte:CCDC5079_0340
ko:K07141	mte:CCDC5079_0348
ko:K07402	mte:CCDC5079_0349
ko:K07402	mte:CCDC5079_0353
ko:K00762	mte:CCDC5079_0357
ko:K03695	mte:CCDC5079_0359
ko:K08289	mte:CCDC5079_0363
ko:K10764	mte:CCDC5079_0365
ko:K03885	mte:CCDC5079_0366
ko:K00252	mte:CCDC5079_0374
ko:K13788	mte:CCDC5079_0382
ko:K00925	mte:CCDC5079_0383
ko:K01647	mte:CCDC5079_0828
ko:K06996	mte:CCDC5079_0841
ko:K02168	mte:CCDC5079_0846
ko:K03322	mte:CCDC5079_0853
ko:K02040	mte:CCDC5079_0857
ko:K02037	mte:CCDC5079_0858
ko:K02038	mte:CCDC5079_0859
ko:K02040	mte:CCDC5079_0861
ko:K02036	mte:CCDC5079_0862
ko:K02040	mte:CCDC5079_0863
ko:K02037	mte:CCDC5079_0864
ko:K02038	mte:CCDC5079_0865
ko:K10979	mte:CCDC5079_0866
ko:K01810	mte:CCDC5079_0874
ko:K03657	mte:CCDC5079_0875
ko:K09013	mte:CCDC5079_1359
ko:K11717	mte:CCDC5079_1360
ko:K01681	mte:CCDC5079_1371
ko:K03924	mte:CCDC5079_1375
ko:K01772	mte:CCDC5079_1381
ko:K02805	mte:CCDC5079_1399
ko:K01711	mte:CCDC5079_1407
ko:K02377	mte:CCDC5079_1408
ko:K11738	mte:CCDC5079_1967
ko:K06153	mte:CCDC5079_1974
ko:K09772	mte:CCDC5079_1984
ko:K06997	mte:CCDC5079_1985
ko:K05810	mte:CCDC5079_1986
ko:K03531	mte:CCDC5079_1987
ko:K03589	mte:CCDC5079_1988
ko:K01924	mte:CCDC5079_1989
ko:K02563	mte:CCDC5079_1990
ko:K03588	mte:CCDC5079_1991
ko:K01925	mte:CCDC5079_1992
ko:K01000	mte:CCDC5079_1993
ko:K01929	mte:CCDC5079_1994
ko:K01928	mte:CCDC5079_1996
ko:K03587	mte:CCDC5079_2001
ko:K03438	mte:CCDC5079_2003
ko:K03925	mte:CCDC5079_2004
ko:K01626	mte:CCDC5079_2014
ko:K00655	mte:CCDC5079_2018
ko:K00788	mte:CCDC5079_0388
ko:K03149	mte:CCDC5079_0390
ko:K07020	mte:CCDC5079_0394
ko:K00941	mte:CCDC5079_0395
ko:K03147	mte:CCDC5079_0396
ko:K01142	mte:CCDC5079_0399
ko:K01462	mte:CCDC5079_0401
ko:K06048	mte:CCDC5079_0404
ko:K07157	mte:CCDC5079_0405
ko:K13525	mte:CCDC5079_0406
ko:K01613	mte:CCDC5079_0408
ko:K03750	mte:CCDC5079_0409
ko:K04077	mte:CCDC5079_0411
ko:K03088	mte:CCDC5079_0417
ko:K00574	mte:CCDC5079_0419
ko:K09701	mte:CCDC5079_0420
ko:K09959	mte:CCDC5079_0432
ko:K00382	mte:CCDC5079_0434
ko:K07110	mte:CCDC5079_0436
ko:K01637	mte:CCDC5079_0438
ko:K01903	mte:CCDC5079_0877
ko:K01902	mte:CCDC5079_0878
ko:K11175	mte:CCDC5079_0882
ko:K00602	mte:CCDC5079_0884
ko:K03282	mte:CCDC5079_0909
ko:K02003	mte:CCDC5079_0910
ko:K00963	mte:CCDC5079_0917
ko:K03750	mte:CCDC5079_0918
ko:K03790	mte:CCDC5079_0919
ko:K07056	mte:CCDC5079_0927
ko:K01870	mte:CCDC5079_1432
ko:K02346	mte:CCDC5079_1433
ko:K03101	mte:CCDC5079_1435
ko:K06180	mte:CCDC5079_1436
ko:K06886	mte:CCDC5079_1438
ko:K07124	mte:CCDC5079_1440
ko:K02337	mte:CCDC5079_1442
ko:K00631	mte:CCDC5079_1446
ko:K00246	mte:CCDC5079_1450
ko:K01754	mte:CCDC5079_1455
ko:K01236	mte:CCDC5079_1457
ko:K06044	mte:CCDC5079_1458
ko:K00833	mte:CCDC5079_1462
ko:K01935	mte:CCDC5079_1464
