ko:K18137	abab:BJAB0715_02253
ko:K03602	abab:BJAB0715_01384
ko:K18923	abab:BJAB0715_00964
ko:K00529	abab:BJAB0715_01064
ko:K20319	abab:BJAB0715_02770
ko:K18138	abab:BJAB0715_03115
ko:K03297	abab:BJAB0715_02700
ko:K03297	abab:BJAB0715_03244
ko:K18145	abab:BJAB0715_00264
ko:K18146	abab:BJAB0715_00263
ko:K21029	abab:BJAB0715_02530
ko:K19302	abab:BJAB0715_00033
ko:K16238	abab:BJAB0715_02412
ko:K07278	abab:BJAB0715_02515
ko:K11741	abab:BJAB0715_00700
ko:K08151	abab:BJAB0715_02886
ko:K03327	abab:BJAB0715_03804
ko:K00131	abab:BJAB0715_00528
ko:K18552	abab:BJAB0715_p0013
ko:K01990	abab:BJAB0715_01885
ko:K22617	abab:BJAB0715_03343
ko:K16235	abab:BJAB0715_03564
ko:K01791	abab:BJAB0715_00106
ko:K01791	abab:BJAB0715_03297
ko:K01791	abab:BJAB0715_02895
ko:K03417	abab:BJAB0715_00122
ko:K03559	abab:BJAB0715_01785
ko:K03559	abab:BJAB0715_01812
ko:K03559	abab:BJAB0715_01813
ko:K08316	abab:BJAB0715_01133
ko:K03559	abab:BJAB0715_00493
ko:K17716	abab:BJAB0715_00104
ko:K05835	abab:BJAB0715_00863
ko:K02226	abab:BJAB0715_01873
ko:K14229	abab:BJAB0715_tRNA17
ko:K14229	abab:BJAB0715_tRNA18
ko:K19611	abab:BJAB0715_01093
ko:K11209	abab:BJAB0715_00636
ko:K00265	abab:BJAB0715_03543
ko:K00951	abab:BJAB0715_00622
ko:K17713	abab:BJAB0715_00545
ko:K01866	abab:BJAB0715_00003
ko:K09001	abab:BJAB0715_00004
ko:K15724	abab:BJAB0715_00006
ko:K06158	abab:BJAB0715_00010
ko:K15536	abab:BJAB0715_00012
ko:K02470	abab:BJAB0715_00013
ko:K07262	abab:BJAB0715_00285
ko:K01733	abab:BJAB0715_00286
ko:K00003	abab:BJAB0715_00287
ko:K03981	abab:BJAB0715_00288
ko:K04758	abab:BJAB0715_00290
ko:K04759	abab:BJAB0715_00291
ko:K01925	abab:BJAB0715_00293
ko:K03588	abab:BJAB0715_00294
ko:K01894	abab:BJAB0715_00295
ko:K06204	abab:BJAB0715_00296
ko:K03651	abab:BJAB0715_00297
ko:K03147	abab:BJAB0715_00299
ko:K12340	abab:BJAB0715_00303
ko:K02039	abab:BJAB0715_00304
ko:K01755	abab:BJAB0715_00306
ko:K08082	abab:BJAB0715_00307
ko:K08083	abab:BJAB0715_00308
ko:K01749	abab:BJAB0715_00309
ko:K07107	abab:BJAB0715_00313
ko:K02452	abab:BJAB0715_00317
ko:K02453	abab:BJAB0715_00318
ko:K01091	abab:BJAB0715_00320
ko:K01657	abab:BJAB0715_00321
ko:K02358	abab:BJAB0715_00322
ko:K03073	abab:BJAB0715_00323
ko:K02601	abab:BJAB0715_00324
ko:K02867	abab:BJAB0715_00325
ko:K02863	abab:BJAB0715_00326
ko:K02864	abab:BJAB0715_00327
ko:K02935	abab:BJAB0715_00328
ko:K03043	abab:BJAB0715_00329
ko:K03046	abab:BJAB0715_00330
ko:K01753	abab:BJAB0715_01085
ko:K03327	abab:BJAB0715_00431
ko:K09936	abab:BJAB0715_00432
ko:K13776	abab:BJAB0715_00436
ko:K08300	abab:BJAB0715_00437
ko:K01091	abab:BJAB0715_00440
ko:K05817	abab:BJAB0715_00444
ko:K03782	abab:BJAB0715_00446
ko:K08484	abab:BJAB0715_00447
ko:K08311	abab:BJAB0715_00448
ko:K01703	abab:BJAB0715_00454
ko:K01704	abab:BJAB0715_00455
ko:K00052	abab:BJAB0715_00457
ko:K02518	abab:BJAB0715_00460
ko:K06173	abab:BJAB0715_00462
ko:K00133	abab:BJAB0715_00466
ko:K11102	abab:BJAB0715_00468
ko:K02517	abab:BJAB0715_00470
ko:K15738	abab:BJAB0715_00472
ko:K03745	abab:BJAB0715_00473
ko:K03168	abab:BJAB0715_00477
ko:K13893	abab:BJAB0715_01242
ko:K13894	abab:BJAB0715_01243
ko:K13895	abab:BJAB0715_01244
ko:K13896	abab:BJAB0715_01245
ko:K03683	abab:BJAB0715_01248
ko:K01465	abab:BJAB0715_01249
ko:K01940	abab:BJAB0715_01251
ko:K14052	abab:BJAB0715_01266
ko:K00840	abab:BJAB0715_01272
ko:K00673	abab:BJAB0715_01273
ko:K11737	abab:BJAB0715_01274
ko:K15125	abab:BJAB0715_01276
ko:K00154	abab:BJAB0715_01284
ko:K02013	abab:BJAB0715_02043
ko:K02015	abab:BJAB0715_02044
ko:K02016	abab:BJAB0715_02045
ko:K13979	abab:BJAB0715_02047
ko:K03543	abab:BJAB0715_02058
ko:K09936	abab:BJAB0715_02061
ko:K09936	abab:BJAB0715_02062
ko:K03710	abab:BJAB0715_02066
ko:K03453	abab:BJAB0715_02075
ko:K00566	abab:BJAB0715_02826
ko:K07153	abab:BJAB0715_02827
ko:K01756	abab:BJAB0715_02828
ko:K08984	abab:BJAB0715_02829
ko:K02036	abab:BJAB0715_02832
ko:K02038	abab:BJAB0715_02833
ko:K02037	abab:BJAB0715_02834
ko:K02040	abab:BJAB0715_02835
ko:K11734	abab:BJAB0715_02836
ko:K13745	abab:BJAB0715_02840
ko:K01868	abab:BJAB0715_00634
ko:K02520	abab:BJAB0715_00635
ko:K02916	abab:BJAB0715_00639
ko:K03629	abab:BJAB0715_00014
ko:K02338	abab:BJAB0715_00015
ko:K02313	abab:BJAB0715_00016
ko:K02914	abab:BJAB0715_00017
ko:K03536	abab:BJAB0715_00018
ko:K08998	abab:BJAB0715_00019
ko:K03217	abab:BJAB0715_00020
ko:K03650	abab:BJAB0715_00021
ko:K03981	abab:BJAB0715_00024
ko:K00760	abab:BJAB0715_00026
ko:K02558	abab:BJAB0715_00035
ko:K09922	abab:BJAB0715_00036
ko:K01588	abab:BJAB0715_00038
ko:K01589	abab:BJAB0715_00039
ko:K01494	abab:BJAB0715_00777
ko:K05541	abab:BJAB0715_00783
ko:K03106	abab:BJAB0715_00785
ko:K03525	abab:BJAB0715_00786
ko:K03524	abab:BJAB0715_00787
ko:K03529	abab:BJAB0715_00790
ko:K03528	abab:BJAB0715_00791
ko:K01972	abab:BJAB0715_00792
ko:K03594	abab:BJAB0715_00793
ko:K00697	abab:BJAB0715_00795
ko:K01087	abab:BJAB0715_00796
ko:K02170	abab:BJAB0715_00797
ko:K00833	abab:BJAB0715_00798
ko:K02169	abab:BJAB0715_00800
ko:K01935	abab:BJAB0715_00801
ko:K06178	abab:BJAB0715_00802
ko:K06024	abab:BJAB0715_00803
ko:K05896	abab:BJAB0715_00804
ko:K09906	abab:BJAB0715_00806
ko:K07040	abab:BJAB0715_00807
ko:K02911	abab:BJAB0715_00808
ko:K00645	abab:BJAB0715_00809
ko:K02078	abab:BJAB0715_00811
ko:K00941	abab:BJAB0715_00813
ko:K01091	abab:BJAB0715_00814
ko:K01579	abab:BJAB0715_00818
ko:K01056	abab:BJAB0715_00819
ko:K02897	abab:BJAB0715_00820
ko:K00948	abab:BJAB0715_00821
ko:K13766	abab:BJAB0715_01590
ko:K01969	abab:BJAB0715_01591
ko:K00253	abab:BJAB0715_01592
ko:K15256	abab:BJAB0715_01595
ko:K03781	abab:BJAB0715_01607
ko:K06975	abab:BJAB0715_01620
ko:K02029	abab:BJAB0715_01621
ko:K02029	abab:BJAB0715_01622
ko:K11717	abab:BJAB0715_01628
ko:K00640	abab:BJAB0715_01630
ko:K03824	abab:BJAB0715_02384
ko:K16053	abab:BJAB0715_02389
ko:K01256	abab:BJAB0715_02402
ko:K00878	abab:BJAB0715_02405
ko:K13954	abab:BJAB0715_02408
ko:K03735	abab:BJAB0715_02413
ko:K03736	abab:BJAB0715_02414
ko:K01951	abab:BJAB0715_02415
ko:K01886	abab:BJAB0715_02416
ko:K03269	abab:BJAB0715_02418
ko:K10679	abab:BJAB0715_02420
ko:K03666	abab:BJAB0715_02422
ko:K00791	abab:BJAB0715_02423
ko:K03572	abab:BJAB0715_02424
ko:K06925	abab:BJAB0715_02425
ko:K05523	abab:BJAB0715_03166
ko:K06153	abab:BJAB0715_03169
ko:K02616	abab:BJAB0715_03170
ko:K00355	abab:BJAB0715_03173
ko:K06076	abab:BJAB0715_03174
ko:K02203	abab:BJAB0715_03175
ko:K00390	abab:BJAB0715_03176
ko:K08301	abab:BJAB0715_03179
ko:K06287	abab:BJAB0715_03180
ko:K03571	abab:BJAB0715_03181
ko:K03570	abab:BJAB0715_03182
ko:K03569	abab:BJAB0715_03183
ko:K02435	abab:BJAB0715_03184
ko:K02434	abab:BJAB0715_03186
ko:K05520	abab:BJAB0715_03187
ko:K01754	abab:BJAB0715_03193
ko:K07001	abab:BJAB0715_03194
ko:K03310	abab:BJAB0715_03195
ko:K07552	abab:BJAB0715_03199
ko:K09790	abab:BJAB0715_03205
ko:K09977	abab:BJAB0715_03206
ko:K00285	abab:BJAB0715_00144
ko:K01775	abab:BJAB0715_00145
ko:K11737	abab:BJAB0715_00147
ko:K11737	abab:BJAB0715_00148
ko:K00140	abab:BJAB0715_00150
ko:K01895	abab:BJAB0715_00152
ko:K06133	abab:BJAB0715_00168
ko:K05527	abab:BJAB0715_00169
ko:K03975	abab:BJAB0715_00174
ko:K15977	abab:BJAB0715_00175
ko:K01951	abab:BJAB0715_00177
ko:K06911	abab:BJAB0715_00181
ko:K07397	abab:BJAB0715_00182
ko:K01887	abab:BJAB0715_00185
ko:K07345	abab:BJAB0715_01734
ko:K01012	abab:BJAB0715_01737
ko:K01159	abab:BJAB0715_01740
ko:K03823	abab:BJAB0715_01743
ko:K07113	abab:BJAB0715_01745
ko:K00789	abab:BJAB0715_01748
ko:K00615	abab:BJAB0715_01750
ko:K07397	abab:BJAB0715_01751
ko:K13821	abab:BJAB0715_01758
ko:K12410	abab:BJAB0715_01761
ko:K02437	abab:BJAB0715_01762
ko:K09912	abab:BJAB0715_01766
ko:K07862	abab:BJAB0715_01768
ko:K00927	abab:BJAB0715_01774
ko:K01624	abab:BJAB0715_01776
ko:K03771	abab:BJAB0715_01777
ko:K04744	abab:BJAB0715_01778
ko:K07102	abab:BJAB0715_01779
ko:K03501	abab:BJAB0715_01781
ko:K02493	abab:BJAB0715_02536
ko:K02835	abab:BJAB0715_02537
ko:K11936	abab:BJAB0715_02545
ko:K09773	abab:BJAB0715_02548
ko:K02297	abab:BJAB0715_02551
ko:K02298	abab:BJAB0715_02552
ko:K02299	abab:BJAB0715_02553
ko:K02300	abab:BJAB0715_02554
ko:K02990	abab:BJAB0715_02556
ko:K02963	abab:BJAB0715_02557
ko:K02939	abab:BJAB0715_02558
ko:K01775	abab:BJAB0715_02560
ko:K07395	abab:BJAB0715_02561
ko:K03495	abab:BJAB0715_02566
ko:K02687	abab:BJAB0715_02568
ko:K03557	abab:BJAB0715_02570
ko:K00602	abab:BJAB0715_02571
ko:K01945	abab:BJAB0715_02572
ko:K02073	abab:BJAB0715_02573
ko:K02071	abab:BJAB0715_02574
ko:K02072	abab:BJAB0715_02575
ko:K11103	abab:BJAB0715_02578
ko:K07568	abab:BJAB0715_03310
ko:K03744	abab:BJAB0715_03313
ko:K00773	abab:BJAB0715_03314
ko:K03210	abab:BJAB0715_03315
ko:K03072	abab:BJAB0715_03316
ko:K03074	abab:BJAB0715_03317
