ko:K03559	cttj:CTRC971_03150
ko:K14228	cttj:CTRC971_t04744
ko:K14219	cttj:CTRC971_t04746
ko:K14219	cttj:CTRC971_t04762
ko:K14228	cttj:CTRC971_t04752
ko:K14228	cttj:CTRC971_t04754
ko:K14232	cttj:CTRC971_t04758
ko:K14218	cttj:CTRC971_t04760
ko:K04084	cttj:CTRC971_03140
ko:K05837	cttj:CTRC971_03850
ko:K01875	cttj:CTRC971_03865
ko:K11752	cttj:CTRC971_03870
ko:K14652	cttj:CTRC971_03875
ko:K00794	cttj:CTRC971_03880
ko:K03310	cttj:CTRC971_03895
ko:K03466	cttj:CTRC971_03915
ko:K00351	cttj:CTRC971_03925
ko:K03210	cttj:CTRC971_03930
ko:K00231	cttj:CTRC971_03950
ko:K01599	cttj:CTRC971_03960
ko:K03723	cttj:CTRC971_03965
ko:K01872	cttj:CTRC971_03970
ko:K00615	cttj:CTRC971_03980
ko:K01241	cttj:CTRC971_03985
ko:K02356	cttj:CTRC971_03995
ko:K01929	cttj:CTRC971_04015
ko:K01000	cttj:CTRC971_04020
ko:K01925	cttj:CTRC971_04025
ko:K03588	cttj:CTRC971_04035
ko:K02563	cttj:CTRC971_04040
ko:K06960	cttj:CTRC971_04050
ko:K02913	cttj:CTRC971_00790
ko:K09808	cttj:CTRC971_00795
ko:K09810	cttj:CTRC971_00800
ko:K03720	cttj:CTRC971_00875
ko:K01696	cttj:CTRC971_00885
ko:K01695	cttj:CTRC971_00890
ko:K03611	cttj:CTRC971_00910
ko:K00979	cttj:CTRC971_00940
ko:K01937	cttj:CTRC971_00945
ko:K07447	cttj:CTRC971_00950
ko:K00036	cttj:CTRC971_00955
ko:K01057	cttj:CTRC971_00960
ko:K02343	cttj:CTRC971_00965
ko:K00943	cttj:CTRC971_00970
ko:K02469	cttj:CTRC971_00975
ko:K02470	cttj:CTRC971_00980
ko:K00773	cttj:CTRC971_00995
ko:K06213	cttj:CTRC971_01000
ko:K15580	cttj:CTRC971_01020
ko:K15581	cttj:CTRC971_01025
ko:K03319	cttj:CTRC971_01050
ko:K00850	cttj:CTRC971_01055
ko:K06287	cttj:CTRC971_01805
ko:K03075	cttj:CTRC971_01820
ko:K01462	cttj:CTRC971_01825
ko:K02528	cttj:CTRC971_01830
ko:K06888	cttj:CTRC971_01840
ko:K03523	cttj:CTRC971_01865
ko:K01714	cttj:CTRC971_01880
ko:K00928	cttj:CTRC971_01885
ko:K00133	cttj:CTRC971_01890
ko:K00215	cttj:CTRC971_01895
ko:K00800	cttj:CTRC971_01905
ko:K00891	cttj:CTRC971_01910
ko:K01736	cttj:CTRC971_01915
ko:K01735	cttj:CTRC971_01920
ko:K13832	cttj:CTRC971_01925
ko:K03758	cttj:CTRC971_01945
ko:K00024	cttj:CTRC971_01955
ko:K01810	cttj:CTRC971_01965
ko:K03665	cttj:CTRC971_01970
ko:K06167	cttj:CTRC971_01975
ko:K09996	cttj:CTRC971_01980
ko:K06966	cttj:CTRC971_02010
ko:K09131	cttj:CTRC971_02015
ko:K10206	cttj:CTRC971_02025
ko:K01881	cttj:CTRC971_02040
ko:K03705	cttj:CTRC971_02045
ko:K03687	cttj:CTRC971_02050
ko:K04043	cttj:CTRC971_02055
ko:K12573	cttj:CTRC971_02060
ko:K07164	cttj:CTRC971_02065
ko:K03820	cttj:CTRC971_02815
ko:K06925	cttj:CTRC971_02830
ko:K03671	cttj:CTRC971_02840
ko:K03216	cttj:CTRC971_02845
ko:K01876	cttj:CTRC971_02855
ko:K01892	cttj:CTRC971_02860
ko:K07783	cttj:CTRC971_02865
ko:K02337	cttj:CTRC971_02870
ko:K03311	cttj:CTRC971_02925
ko:K00382	cttj:CTRC971_02940
ko:K03644	cttj:CTRC971_02945
ko:K03222	cttj:CTRC971_02950
ko:K03223	cttj:CTRC971_02965
ko:K03226	cttj:CTRC971_02970
ko:K03228	cttj:CTRC971_02980
ko:K02455	cttj:CTRC971_03010
ko:K02453	cttj:CTRC971_03020
ko:K03572	cttj:CTRC971_03035
ko:K01868	cttj:CTRC971_03065
ko:K09779	cttj:CTRC971_00010
ko:K02435	cttj:CTRC971_00015
ko:K14218	cttj:CTRC971_t04722
ko:K02434	cttj:CTRC971_00025
ko:K02517	cttj:CTRC971_00060
ko:K00425	cttj:CTRC971_00075
ko:K00426	cttj:CTRC971_00080
ko:K07175	cttj:CTRC971_00085
ko:K01870	cttj:CTRC971_00110
ko:K03100	cttj:CTRC971_00115
ko:K02909	cttj:CTRC971_00125
ko:K02835	cttj:CTRC971_00130
ko:K02493	cttj:CTRC971_00135
ko:K03106	cttj:CTRC971_00140
ko:K02959	cttj:CTRC971_00145
ko:K00554	cttj:CTRC971_00150
ko:K02884	cttj:CTRC971_00155
ko:K03470	cttj:CTRC971_00160
ko:K00942	cttj:CTRC971_00165
ko:K01874	cttj:CTRC971_00175
ko:K03581	cttj:CTRC971_00180
ko:K01494	cttj:CTRC971_00205
ko:K03551	cttj:CTRC971_00215
ko:K01255	cttj:CTRC971_00245
ko:K02340	cttj:CTRC971_00255
ko:K07056	cttj:CTRC971_00260
ko:K00791	cttj:CTRC971_04065
ko:K09710	cttj:CTRC971_04080
ko:K09458	cttj:CTRC971_04085
ko:K00263	cttj:CTRC971_04105
ko:K00655	cttj:CTRC971_04115
ko:K04066	cttj:CTRC971_04130
ko:K04567	cttj:CTRC971_04145
ko:K01883	cttj:CTRC971_04150
ko:K03536	cttj:CTRC971_04165
ko:K02919	cttj:CTRC971_04170
ko:K02954	cttj:CTRC971_04175
ko:K03703	cttj:CTRC971_04200
ko:K03555	cttj:CTRC971_04205
ko:K14164	cttj:CTRC971_04230
ko:K00995	cttj:CTRC971_04235
ko:K00703	cttj:CTRC971_04240
ko:K02897	cttj:CTRC971_04245
ko:K01056	cttj:CTRC971_04250
ko:K02990	cttj:CTRC971_04255
ko:K02963	cttj:CTRC971_04260
ko:K02939	cttj:CTRC971_04265
ko:K00919	cttj:CTRC971_04270
ko:K00630	cttj:CTRC971_04290
ko:K08301	cttj:CTRC971_04295
ko:K02911	cttj:CTRC971_04310
ko:K03621	cttj:CTRC971_04315
ko:K00895	cttj:CTRC971_01065
ko:K02527	cttj:CTRC971_01070
ko:K01869	cttj:CTRC971_01075
ko:K01845	cttj:CTRC971_01080
ko:K07735	cttj:CTRC971_01085
ko:K08999	cttj:CTRC971_01090
ko:K01807	cttj:CTRC971_01095
ko:K03787	cttj:CTRC971_01120
ko:K03179	cttj:CTRC971_01125
ko:K03186	cttj:CTRC971_01130
ko:K03308	cttj:CTRC971_01190
ko:K02078	cttj:CTRC971_01215
ko:K00645	cttj:CTRC971_01225
ko:K00648	cttj:CTRC971_01230
ko:K06187	cttj:CTRC971_01235
ko:K07277	cttj:CTRC971_01240
ko:K06142	cttj:CTRC971_01245
ko:K02536	cttj:CTRC971_01250
ko:K00161	cttj:CTRC971_01260
ko:K00162	cttj:CTRC971_01265
ko:K00627	cttj:CTRC971_01270
ko:K00688	cttj:CTRC971_01275
ko:K02313	cttj:CTRC971_01285
ko:K03217	cttj:CTRC971_01290
ko:K01980	cttj:CTRC971_r04794
ko:K01980	cttj:CTRC971_r04796
ko:K14220	cttj:CTRC971_t04712
ko:K14234	cttj:CTRC971_t04716
ko:K14234	cttj:CTRC971_t04734
ko:K14236	cttj:CTRC971_t04718
ko:K14227	cttj:CTRC971_t04720
ko:K14230	cttj:CTRC971_t04724
ko:K14230	cttj:CTRC971_t04736
ko:K14221	cttj:CTRC971_t04728
ko:K14235	cttj:CTRC971_t04732
ko:K14233	cttj:CTRC971_t04740
ko:K14233	cttj:CTRC971_t04750
ko:K14229	cttj:CTRC971_t04766
ko:K14224	cttj:CTRC971_t04768
ko:K14226	cttj:CTRC971_t04774
ko:K01985	cttj:CTRC971_r04786
ko:K01985	cttj:CTRC971_r04788
ko:K14222	cttj:CTRC971_t04776
ko:K14223	cttj:CTRC971_t04778
ko:K14233	cttj:CTRC971_t04782
ko:K14233	cttj:CTRC971_t04738
ko:K06041	cttj:CTRC971_02070
ko:K00658	cttj:CTRC971_02075
ko:K00912	cttj:CTRC971_02090
ko:K03437	cttj:CTRC971_02095
ko:K06969	cttj:CTRC971_02100
ko:K00793	cttj:CTRC971_02105
ko:K07738	cttj:CTRC971_02110
ko:K06204	cttj:CTRC971_02115
ko:K03101	cttj:CTRC971_02120
ko:K03310	cttj:CTRC971_02125
ko:K00748	cttj:CTRC971_02135
ko:K09817	cttj:CTRC971_02160
ko:K09816	cttj:CTRC971_02165
ko:K03979	cttj:CTRC971_02170
ko:K02899	cttj:CTRC971_02175
ko:K02888	cttj:CTRC971_02180
ko:K07042	cttj:CTRC971_02200
ko:K03183	cttj:CTRC971_02230
ko:K01778	cttj:CTRC971_02240
ko:K01358	cttj:CTRC971_02245
ko:K00600	cttj:CTRC971_02250
ko:K01770	cttj:CTRC971_02265
ko:K02946	cttj:CTRC971_02275
ko:K02355	cttj:CTRC971_02280
ko:K02992	cttj:CTRC971_02285
ko:K02950	cttj:CTRC971_02290
ko:K03797	cttj:CTRC971_02300
ko:K01867	cttj:CTRC971_03085
ko:K03702	cttj:CTRC971_03090
ko:K01689	cttj:CTRC971_03095
ko:K00240	cttj:CTRC971_03115
ko:K00239	cttj:CTRC971_03120
ko:K03424	cttj:CTRC971_03135
ko:K03562	cttj:CTRC971_03145
ko:K03641	cttj:CTRC971_03160
ko:K03640	cttj:CTRC971_03165
ko:K03648	cttj:CTRC971_03210
ko:K03657	cttj:CTRC971_03215
ko:K03092	cttj:CTRC971_03220
ko:K06137	cttj:CTRC971_03225
ko:K13941	cttj:CTRC971_03240
ko:K01633	cttj:CTRC971_03245
ko:K03086	cttj:CTRC971_03250
ko:K02968	cttj:CTRC971_03260
ko:K03980	cttj:CTRC971_03295
ko:K01151	cttj:CTRC971_03300
ko:K02986	cttj:CTRC971_03310
ko:K07146	cttj:CTRC971_03315
ko:K13789	cttj:CTRC971_03320
ko:K00164	cttj:CTRC971_00295
ko:K00658	cttj:CTRC971_00300
ko:K05810	cttj:CTRC971_00305
ko:K03526	cttj:CTRC971_00310
ko:K02400	cttj:CTRC971_00325
