ko:K06946	ecy:ECSE_0289
ko:K15581	ecy:ECSE_1292
ko:K00932	ecy:ECSE_3399
ko:K13888	ecy:ECSE_0936
ko:K02495	ecy:ECSE_4150
ko:K02412	ecy:ECSE_2172
ko:K05367	ecy:ECSE_2805
ko:K02411	ecy:ECSE_2171
ko:K01720	ecy:ECSE_0358
ko:K07229	ecy:ECSE_3351
ko:K11746	ecy:ECSE_0047
ko:K11733	ecy:ECSE_2424
ko:K00850	ecy:ECSE_4204
ko:K02409	ecy:ECSE_2169
ko:K00244	ecy:ECSE_4456
ko:K11734	ecy:ECSE_0112
ko:K06889	ecy:ECSE_4488
ko:K02760	ecy:ECSE_1908
ko:K02760	ecy:ECSE_1627
ko:K02511	ecy:ECSE_4623
ko:K00833	ecy:ECSE_0827
ko:K03587	ecy:ECSE_0086
ko:K02506	ecy:ECSE_3597
ko:K00652	ecy:ECSE_0829
ko:K01610	ecy:ECSE_3666
ko:K18919	ecy:ECSE_0015
ko:K18919	ecy:ECSE_1678
ko:K13895	ecy:ECSE_2448
ko:K05515	ecy:ECSE_0703
ko:K01961	ecy:ECSE_3537
ko:K04022	ecy:ECSE_2734
ko:K11264	ecy:ECSE_3181
ko:K02680	ecy:ECSE_3082
ko:K02681	ecy:ECSE_3080
ko:K02682	ecy:ECSE_0108
ko:K01223	ecy:ECSE_4007
ko:K07700	ecy:ECSE_0687
ko:K07701	ecy:ECSE_4423
ko:K02761	ecy:ECSE_1907
ko:K01223	ecy:ECSE_2964
ko:K08723	ecy:ECSE_4648
ko:K01223	ecy:ECSE_3164
ko:K02759	ecy:ECSE_1906
ko:K02679	ecy:ECSE_3083
ko:K06222	ecy:ECSE_0203
ko:K01222	ecy:ECSE_1904
ko:K02417	ecy:ECSE_2177
ko:K06221	ecy:ECSE_3296
ko:K08298	ecy:ECSE_0039
ko:K05366	ecy:ECSE_3657
ko:K00331	ecy:ECSE_2544
ko:K18928	ecy:ECSE_0323
ko:K10823	ecy:ECSE_1295
ko:K18138	ecy:ECSE_0487
ko:K03077	ecy:ECSE_4496
