ko:K01212	bamn:BASU_3671
ko:K08153	bamn:BASU_1014
ko:K21900	bamn:BASU_3397
ko:K02277	bamn:BASU_1435
ko:K15327	bamn:BASU_1651
ko:K22044	bamn:BASU_1360
ko:K19689	bamn:BASU_1381
ko:K03297	bamn:BASU_0432
ko:K18924	bamn:BASU_1247
ko:K05592	bamn:BASU_3530
ko:K11741	bamn:BASU_0572
ko:K18924	bamn:BASU_0573
ko:K19417	bamn:BASU_3082
ko:K18939	bamn:BASU_0256
ko:K18939	bamn:BASU_3138
ko:K18926	bamn:BASU_0255
ko:K01732	bamn:BASU_3548
ko:K19427	bamn:BASU_3072
ko:K03296	bamn:BASU_0663
ko:K13613	bamn:BASU_1660
ko:K15656	bamn:BASU_0325
ko:K00571	bamn:BASU_2588
ko:K18682	bamn:BASU_1636
ko:K07260	bamn:BASU_1892
ko:K09022	bamn:BASU_0052
ko:K07045	bamn:BASU_0848
ko:K07029	bamn:BASU_0664
ko:K01218	bamn:BASU_3501
ko:K03417	bamn:BASU_2165
ko:K15555	bamn:BASU_0849
ko:K03483	bamn:BASU_0398
ko:K06113	bamn:BASU_3555
ko:K00951	bamn:BASU_2414
ko:K02004	bamn:BASU_0356
ko:K07250	bamn:BASU_0373
ko:K00135	bamn:BASU_0374
ko:K00034	bamn:BASU_0376
ko:K02799	bamn:BASU_0381
ko:K02800	bamn:BASU_0381
ko:K02798	bamn:BASU_0382
ko:K06351	bamn:BASU_0390
ko:K01784	bamn:BASU_1148
ko:K02786	bamn:BASU_1151
ko:K01220	bamn:BASU_1152
ko:K02530	bamn:BASU_1153
ko:K01719	bamn:BASU_1165
ko:K16168	bamn:BASU_1949
ko:K16167	bamn:BASU_1950
ko:K06877	bamn:BASU_1966
ko:K03700	bamn:BASU_1974
ko:K02086	bamn:BASU_1978
ko:K00974	bamn:BASU_1988
ko:K01569	bamn:BASU_1995
ko:K02549	bamn:BASU_2716
ko:K08680	bamn:BASU_2719
ko:K02552	bamn:BASU_2721
ko:K16789	bamn:BASU_2726
ko:K07192	bamn:BASU_2727
ko:K03499	bamn:BASU_2736
ko:K01222	bamn:BASU_3483
ko:K03491	bamn:BASU_3487
ko:K16012	bamn:BASU_3506
ko:K16013	bamn:BASU_3507
ko:K10112	bamn:BASU_3512
ko:K01784	bamn:BASU_3516
ko:K01258	bamn:BASU_3517
ko:K07017	bamn:BASU_2828
ko:K00010	bamn:BASU_3581
ko:K06610	bamn:BASU_3582
ko:K03386	bamn:BASU_3606
ko:K07315	bamn:BASU_0464
ko:K03090	bamn:BASU_0467
ko:K05518	bamn:BASU_0468
ko:K03095	bamn:BASU_0471
ko:K06988	bamn:BASU_0481
ko:K06421	bamn:BASU_1281
ko:K00567	bamn:BASU_1289
ko:K08969	bamn:BASU_1293
ko:K07052	bamn:BASU_2044
ko:K05337	bamn:BASU_2047
ko:K00058	bamn:BASU_2049
ko:K09763	bamn:BASU_2065
ko:K03768	bamn:BASU_2074
ko:K05568	bamn:BASU_2792
ko:K05570	bamn:BASU_2794
ko:K03518	bamn:BASU_3611
ko:K03492	bamn:BASU_0569
ko:K01409	bamn:BASU_0585
ko:K07052	bamn:BASU_0592
ko:K07098	bamn:BASU_1345
ko:K05822	bamn:BASU_1357
ko:K03635	bamn:BASU_1368
ko:K02005	bamn:BASU_1371
ko:K02004	bamn:BASU_1373
ko:K03436	bamn:BASU_1374
ko:K00882	bamn:BASU_1375
ko:K03499	bamn:BASU_1387
ko:K00784	bamn:BASU_2140
ko:K00033	bamn:BASU_2142
ko:K01966	bamn:BASU_2147
ko:K02028	bamn:BASU_2151
ko:K02030	bamn:BASU_2153
ko:K00929	bamn:BASU_2160
ko:K00626	bamn:BASU_2170
ko:K04488	bamn:BASU_2896
ko:K07770	bamn:BASU_2930
ko:K01679	bamn:BASU_2934
ko:K01607	bamn:BASU_3684
ko:K07052	bamn:BASU_3691
ko:K01759	bamn:BASU_3693
ko:K06346	bamn:BASU_3712
ko:K11618	bamn:BASU_2939
ko:K00158	bamn:BASU_0415
ko:K01990	bamn:BASU_0443
ko:K03406	bamn:BASU_2747
ko:K03406	bamn:BASU_2748
ko:K03406	bamn:BASU_2749
ko:K07570	bamn:BASU_2769
ko:K02056	bamn:BASU_2786
ko:K05565	bamn:BASU_2789
ko:K03488	bamn:BASU_3528
ko:K09167	bamn:BASU_0453
ko:K08981	bamn:BASU_0454
ko:K03294	bamn:BASU_1226
ko:K06902	bamn:BASU_3529
ko:K02755	bamn:BASU_3552
ko:K02756	bamn:BASU_3552
ko:K02757	bamn:BASU_3552
ko:K03574	bamn:BASU_3554
ko:K01479	bamn:BASU_3560
ko:K01619	bamn:BASU_3564
ko:K16202	bamn:BASU_1236
ko:K01297	bamn:BASU_1238
ko:K07404	bamn:BASU_1242
ko:K03886	bamn:BASU_2000
ko:K04517	bamn:BASU_2005
ko:K00575	bamn:BASU_2016
ko:K00805	bamn:BASU_2018
ko:K00805	bamn:BASU_2020
ko:K01823	bamn:BASU_2030
ko:K06313	bamn:BASU_2035
ko:K03406	bamn:BASU_2746
ko:K00294	bamn:BASU_0303
ko:K00121	bamn:BASU_0314
ko:K08093	bamn:BASU_0321
ko:K16961	bamn:BASU_0350
ko:K16962	bamn:BASU_0351
ko:K16963	bamn:BASU_0352
ko:K07816	bamn:BASU_1100
ko:K03455	bamn:BASU_1104
ko:K03153	bamn:BASU_1107
ko:K01990	bamn:BASU_1127
ko:K01760	bamn:BASU_1133
ko:K06322	bamn:BASU_1910
ko:K06319	bamn:BASU_1912
ko:K07305	bamn:BASU_1916
ko:K07304	bamn:BASU_1917
ko:K00121	bamn:BASU_0540
ko:K00657	bamn:BASU_0552
ko:K08964	bamn:BASU_1296
ko:K03697	bamn:BASU_1304
ko:K11189	bamn:BASU_1329
ko:K08483	bamn:BASU_1330
ko:K03406	bamn:BASU_1333
ko:K00841	bamn:BASU_1338
ko:K07258	bamn:BASU_2087
ko:K03783	bamn:BASU_2088
ko:K04763	bamn:BASU_2090
ko:K03711	bamn:BASU_2092
ko:K00027	bamn:BASU_2095
ko:K01424	bamn:BASU_2098
ko:K03469	bamn:BASU_1941
ko:K03469	bamn:BASU_1943
ko:K10118	bamn:BASU_2666
ko:K01048	bamn:BASU_2694
ko:K02051	bamn:BASU_2702
ko:K02049	bamn:BASU_2703
ko:K02050	bamn:BASU_2704
ko:K03488	bamn:BASU_3440
ko:K01759	bamn:BASU_3471
ko:K06889	bamn:BASU_2104
ko:K00867	bamn:BASU_2115
ko:K00059	bamn:BASU_2130
ko:K15329	bamn:BASU_2134
ko:K01990	bamn:BASU_2842
ko:K01992	bamn:BASU_2843
ko:K13628	bamn:BASU_2848
ko:K03317	bamn:BASU_2850
ko:K01466	bamn:BASU_2871
ko:K09684	bamn:BASU_2872
ko:K01515	bamn:BASU_2101
ko:K10112	bamn:BASU_2878
ko:K10118	bamn:BASU_2882
ko:K00819	bamn:BASU_3633
ko:K07652	bamn:BASU_3648
ko:K07668	bamn:BASU_3649
ko:K06329	bamn:BASU_3666
ko:K15986	bamn:BASU_3668
ko:K21064	bamn:BASU_1052
ko:K12574	bamn:BASU_1389
ko:K12574	bamn:BASU_1618
ko:K17734	bamn:BASU_1668
ko:K01897	bamn:BASU_2505
ko:K01897	bamn:BASU_0986
ko:K02484	bamn:BASU_3642
ko:K00265	bamn:BASU_1815
ko:K06298	bamn:BASU_2488
ko:K16235	bamn:BASU_0236
ko:K06427	bamn:BASU_2964
ko:K15654	bamn:BASU_0323
ko:K11634	bamn:BASU_3577
ko:K01585	bamn:BASU_1410
ko:K15035	bamn:BASU_misc_RNA_26
ko:K01990	bamn:BASU_0205
ko:K01990	bamn:BASU_0874
ko:K01990	bamn:BASU_2972
ko:K14224	bamn:BASU_tRNA23
ko:K14224	bamn:BASU_tRNA86
ko:K14224	bamn:BASU_tRNA30
ko:K14224	bamn:BASU_tRNA59
ko:K14224	bamn:BASU_tRNA3
ko:K14224	bamn:BASU_tRNA41
ko:K03307	bamn:BASU_0657
ko:K02433	bamn:BASU_0660
ko:K14338	bamn:BASU_0699
ko:K08724	bamn:BASU_1458
ko:K02824	bamn:BASU_1487
ko:K02823	bamn:BASU_1492
ko:K16509	bamn:BASU_2235
ko:K00845	bamn:BASU_2242
ko:K01934	bamn:BASU_2246
ko:K02076	bamn:BASU_2263
ko:K13300	bamn:BASU_2272
ko:K16959	bamn:BASU_2995
ko:K16958	bamn:BASU_2996
ko:K16957	bamn:BASU_2997
ko:K00059	bamn:BASU_3001
ko:K05595	bamn:BASU_3028
ko:K01092	bamn:BASU_0170
ko:K01990	bamn:BASU_0192
ko:K03455	bamn:BASU_0946
ko:K01990	bamn:BASU_0951
ko:K01992	bamn:BASU_0952
ko:K03307	bamn:BASU_1885
ko:K03784	bamn:BASU_1893
ko:K04767	bamn:BASU_2625
ko:K00027	bamn:BASU_2644
ko:K01439	bamn:BASU_2653
ko:K01992	bamn:BASU_2655
ko:K01990	bamn:BASU_2656
ko:K06183	bamn:BASU_2659
ko:K05020	bamn:BASU_2662
ko:K03294	bamn:BASU_3383
ko:K10947	bamn:BASU_3388
ko:K01990	bamn:BASU_3390
ko:K01992	bamn:BASU_3391
ko:K00625	bamn:BASU_3399
ko:K00294	bamn:BASU_3412
ko:K07257	bamn:BASU_3421
ko:K09685	bamn:BASU_0051
ko:K02499	bamn:BASU_0062
ko:K07586	bamn:BASU_0826
ko:K11085	bamn:BASU_0827
ko:K09825	bamn:BASU_0831
ko:K02035	bamn:BASU_0842
ko:K02033	bamn:BASU_0843
ko:K09764	bamn:BASU_1604
ko:K03177	bamn:BASU_1606
ko:K06994	bamn:BASU_1625
ko:K00059	bamn:BASU_1628
ko:K00639	bamn:BASU_1640
ko:K01243	bamn:BASU_2380
ko:K10041	bamn:BASU_2396
ko:K14231	bamn:BASU_tRNA45
ko:K14231	bamn:BASU_tRNA80
ko:K14231	bamn:BASU_tRNA61
ko:K06023	bamn:BASU_3134
ko:K02564	bamn:BASU_3136
ko:K12263	bamn:BASU_3159
ko:K02242	bamn:BASU_3177
ko:K02241	bamn:BASU_3178
ko:K02240	bamn:BASU_3179
ko:K07692	bamn:BASU_3181
ko:K01227	bamn:BASU_3208
ko:K14220	bamn:BASU_tRNA28
ko:K14220	bamn:BASU_tRNA84
ko:K14220	bamn:BASU_tRNA39
ko:K14237	bamn:BASU_tRNA56
ko:K14219	bamn:BASU_tRNA89
ko:K14228	bamn:BASU_tRNA69
ko:K14234	bamn:BASU_tRNA14
ko:K03698	bamn:BASU_0955
ko:K07533	bamn:BASU_0957
ko:K01990	bamn:BASU_0967
ko:K01992	bamn:BASU_0968
ko:K00626	bamn:BASU_0992
ko:K00652	bamn:BASU_1782
ko:K00666	bamn:BASU_1793
ko:K01209	bamn:BASU_2521
ko:K17236	bamn:BASU_2522
ko:K17235	bamn:BASU_2523
ko:K00853	bamn:BASU_2528
ko:K06113	bamn:BASU_2530
ko:K07025	bamn:BASU_2541
ko:K11144	bamn:BASU_2545
ko:K03346	bamn:BASU_2546
ko:K10563	bamn:BASU_2555
ko:K07658	bamn:BASU_2558
ko:K01181	bamn:BASU_3290
ko:K07114	bamn:BASU_3301
ko:K07114	bamn:BASU_3303
ko:K08234	bamn:BASU_3330
ko:K01985	bamn:BASU_5s_rRNA_4
ko:K14233	bamn:BASU_tRNA85
ko:K14233	bamn:BASU_tRNA29
ko:K03294	bamn:BASU_0707
ko:K11637	bamn:BASU_0729
ko:K01226	bamn:BASU_0749
ko:K03486	bamn:BASU_0750
ko:K02303	bamn:BASU_1500
ko:K01537	bamn:BASU_1504
ko:K00949	bamn:BASU_1519
ko:K06414	bamn:BASU_1520
