ko:K14233	ctrh:SOTONIA1_00896
ko:K11645	ctrh:SOTONIA1_00224
ko:K01358	ctrh:SOTONIA1_00457
ko:K00600	ctrh:SOTONIA1_00458
ko:K01770	ctrh:SOTONIA1_00460
ko:K02946	ctrh:SOTONIA1_00462
ko:K02355	ctrh:SOTONIA1_00463
ko:K02992	ctrh:SOTONIA1_00464
ko:K02950	ctrh:SOTONIA1_00465
ko:K03797	ctrh:SOTONIA1_00467
ko:K07462	ctrh:SOTONIA1_00474
ko:K12257	ctrh:SOTONIA1_00475
ko:K00806	ctrh:SOTONIA1_00477
ko:K00981	ctrh:SOTONIA1_00478
ko:K00945	ctrh:SOTONIA1_00479
ko:K00655	ctrh:SOTONIA1_00480
ko:K01887	ctrh:SOTONIA1_00481
ko:K00790	ctrh:SOTONIA1_00482
ko:K02836	ctrh:SOTONIA1_00486
ko:K00991	ctrh:SOTONIA1_00489
ko:K06173	ctrh:SOTONIA1_00490
ko:K07710	ctrh:SOTONIA1_00495
ko:K07714	ctrh:SOTONIA1_00496
ko:K03584	ctrh:SOTONIA1_00499
ko:K08998	ctrh:SOTONIA1_00503
ko:K01890	ctrh:SOTONIA1_00505
ko:K02034	ctrh:SOTONIA1_00508
ko:K03524	ctrh:SOTONIA1_00773
ko:K05837	ctrh:SOTONIA1_00774
ko:K01875	ctrh:SOTONIA1_00777
ko:K11752	ctrh:SOTONIA1_00778
ko:K14652	ctrh:SOTONIA1_00779
ko:K00794	ctrh:SOTONIA1_00780
ko:K03310	ctrh:SOTONIA1_00783
ko:K03466	ctrh:SOTONIA1_00787
ko:K00351	ctrh:SOTONIA1_00792
ko:K03210	ctrh:SOTONIA1_00793
ko:K00231	ctrh:SOTONIA1_00797
ko:K01599	ctrh:SOTONIA1_00799
ko:K03723	ctrh:SOTONIA1_00800
ko:K01872	ctrh:SOTONIA1_00801
ko:K00615	ctrh:SOTONIA1_00805
ko:K02470	ctrh:SOTONIA1_00197
ko:K00773	ctrh:SOTONIA1_00200
ko:K06213	ctrh:SOTONIA1_00201
ko:K15580	ctrh:SOTONIA1_00205
ko:K15581	ctrh:SOTONIA1_00206
ko:K03319	ctrh:SOTONIA1_00211
ko:K00850	ctrh:SOTONIA1_00212
ko:K00895	ctrh:SOTONIA1_00214
ko:K02527	ctrh:SOTONIA1_00217
ko:K01869	ctrh:SOTONIA1_00218
ko:K01845	ctrh:SOTONIA1_00219
ko:K07735	ctrh:SOTONIA1_00220
ko:K08999	ctrh:SOTONIA1_00221
ko:K01807	ctrh:SOTONIA1_00222
ko:K03787	ctrh:SOTONIA1_00227
ko:K03179	ctrh:SOTONIA1_00228
ko:K03186	ctrh:SOTONIA1_00229
ko:K03308	ctrh:SOTONIA1_00242
ko:K02078	ctrh:SOTONIA1_00247
ko:K03559	ctrh:SOTONIA1_00634
ko:K01241	ctrh:SOTONIA1_00806
ko:K02356	ctrh:SOTONIA1_00807
ko:K01929	ctrh:SOTONIA1_00812
ko:K01000	ctrh:SOTONIA1_00813
ko:K01925	ctrh:SOTONIA1_00814
ko:K03588	ctrh:SOTONIA1_00816
ko:K02563	ctrh:SOTONIA1_00817
ko:K06960	ctrh:SOTONIA1_00819
ko:K00791	ctrh:SOTONIA1_00822
ko:K09779	ctrh:SOTONIA1_00002
ko:K02435	ctrh:SOTONIA1_00003
ko:K02434	ctrh:SOTONIA1_00005
ko:K02517	ctrh:SOTONIA1_00011
ko:K00425	ctrh:SOTONIA1_00014
ko:K00426	ctrh:SOTONIA1_00015
ko:K07175	ctrh:SOTONIA1_00016
ko:K00645	ctrh:SOTONIA1_00249
ko:K00648	ctrh:SOTONIA1_00250
ko:K06187	ctrh:SOTONIA1_00251
ko:K07277	ctrh:SOTONIA1_00252
ko:K06142	ctrh:SOTONIA1_00253
ko:K02536	ctrh:SOTONIA1_00254
ko:K00161	ctrh:SOTONIA1_00256
ko:K00162	ctrh:SOTONIA1_00257
ko:K00627	ctrh:SOTONIA1_00258
