ko:K09796	nms:NMBM01240355_1469
ko:K02483	nms:NMBM01240355_0597
ko:K21345	nms:NMBM01240355_2009
ko:K18929	nms:NMBM01240355_1367
ko:K14742	nms:NMBM01240355_1801
ko:K04771	nms:NMBM01240355_0530
ko:K18893	nms:NMBM01240355_0268
ko:K18133	nms:NMBM01240355_1974
ko:K07482	nms:NMBM01240355_1668
ko:K18928	nms:NMBM01240355_1365
ko:K16087	nms:NMBM01240355_1917
ko:K18138	nms:NMBM01240355_1638
ko:K01207	nms:NMBM01240355_0528
ko:K10773	nms:NMBM01240355_0531
ko:K02429	nms:NMBM01240355_0533
ko:K03315	nms:NMBM01240355_0534
ko:K06189	nms:NMBM01240355_0535
ko:K07042	nms:NMBM01240355_0536
ko:K01749	nms:NMBM01240355_0537
ko:K03303	nms:NMBM01240355_0541
ko:K03269	nms:NMBM01240355_0542
ko:K03529	nms:NMBM01240355_0543
ko:K02655	nms:NMBM01240355_0545
ko:K13888	nms:NMBM01240355_0546
ko:K05685	nms:NMBM01240355_0547
ko:K03981	nms:NMBM01240355_0548
ko:K04066	nms:NMBM01240355_0549
ko:K04043	nms:NMBM01240355_0551
ko:K15724	nms:NMBM01240355_0554
ko:K03688	nms:NMBM01240355_0556
ko:K00640	nms:NMBM01240355_0557
ko:K03687	nms:NMBM01240355_0558
ko:K05952	nms:NMBM01240355_0559
ko:K03734	nms:NMBM01240355_0560
ko:K00351	nms:NMBM01240355_0563
ko:K00350	nms:NMBM01240355_0564
ko:K00349	nms:NMBM01240355_0565
ko:K00348	nms:NMBM01240355_0566
ko:K00347	nms:NMBM01240355_0567
ko:K00346	nms:NMBM01240355_0568
ko:K09790	nms:NMBM01240355_0570
ko:K09941	nms:NMBM01240355_0571
ko:K13643	nms:NMBM01240355_1313
ko:K04487	nms:NMBM01240355_1314
ko:K01991	nms:NMBM01240355_0073
ko:K10107	nms:NMBM01240355_0074
ko:K09688	nms:NMBM01240355_0075
ko:K09689	nms:NMBM01240355_0076
ko:K06959	nms:NMBM01240355_0077
ko:K01790	nms:NMBM01240355_0083
ko:K07266	nms:NMBM01240355_0084
ko:K07265	nms:NMBM01240355_0085
ko:K03312	nms:NMBM01240355_0087
ko:K06076	nms:NMBM01240355_0091
ko:K00873	nms:NMBM01240355_0092
ko:K13408	nms:NMBM01240355_0094
ko:K13409	nms:NMBM01240355_0095
ko:K00609	nms:NMBM01240355_0103
ko:K00610	nms:NMBM01240355_0104
ko:K01462	nms:NMBM01240355_0107
ko:K00604	nms:NMBM01240355_0108
ko:K03500	nms:NMBM01240355_0109
ko:K04096	nms:NMBM01240355_0113
ko:K03168	nms:NMBM01240355_0115
ko:K00919	nms:NMBM01240355_0868
ko:K00948	nms:NMBM01240355_0872
ko:K02897	nms:NMBM01240355_0873
ko:K01754	nms:NMBM01240355_0875
ko:K02045	nms:NMBM01240355_0876
ko:K02047	nms:NMBM01240355_0877
ko:K02046	nms:NMBM01240355_0878
ko:K04564	nms:NMBM01240355_0882
ko:K08084	nms:NMBM01240355_0884
ko:K02671	nms:NMBM01240355_0885
ko:K02672	nms:NMBM01240355_0886
ko:K02673	nms:NMBM01240355_0887
ko:K02655	nms:NMBM01240355_0888
ko:K14267	nms:NMBM01240355_0891
ko:K09861	nms:NMBM01240355_0892
ko:K07341	nms:NMBM01240355_0916
ko:K03675	nms:NMBM01240355_1656
ko:K12340	nms:NMBM01240355_1660
ko:K11003	nms:NMBM01240355_1661
ko:K07154	nms:NMBM01240355_1676
ko:K15125	nms:NMBM01240355_1682
ko:K07259	nms:NMBM01240355_1701
ko:K09890	nms:NMBM01240355_1318
ko:K04082	nms:NMBM01240355_1319
ko:K02469	nms:NMBM01240355_1320
ko:K01810	nms:NMBM01240355_1322
ko:K01057	nms:NMBM01240355_1325
ko:K00036	nms:NMBM01240355_1326
ko:K01690	nms:NMBM01240355_1327
ko:K01625	nms:NMBM01240355_1328
ko:K03575	nms:NMBM01240355_1330
ko:K11004	nms:NMBM01240355_1333
ko:K01256	nms:NMBM01240355_1343
ko:K07501	nms:NMBM01240355_1344
ko:K02517	nms:NMBM01240355_1346
ko:K01159	nms:NMBM01240355_1347
ko:K03557	nms:NMBM01240355_1348
ko:K04567	nms:NMBM01240355_1356
ko:K03624	nms:NMBM01240355_1360
ko:K09125	nms:NMBM01240355_0327
ko:K09457	nms:NMBM01240355_0328
ko:K03543	nms:NMBM01240355_0329
ko:K03446	nms:NMBM01240355_0330
ko:K02902	nms:NMBM01240355_0331
ko:K02913	nms:NMBM01240355_0332
ko:K02899	nms:NMBM01240355_0334
ko:K02888	nms:NMBM01240355_0335
ko:K02523	nms:NMBM01240355_0336
ko:K02652	nms:NMBM01240355_0339
ko:K09862	nms:NMBM01240355_0340
ko:K00859	nms:NMBM01240355_0341
ko:K02654	nms:NMBM01240355_0342
ko:K01810	nms:NMBM01240355_0344
ko:K00208	nms:NMBM01240355_0346
ko:K00826	nms:NMBM01240355_0347
ko:K06190	nms:NMBM01240355_0352
ko:K09780	nms:NMBM01240355_0353
ko:K05527	nms:NMBM01240355_0354
ko:K07560	nms:NMBM01240355_0357
ko:K05539	nms:NMBM01240355_0358
ko:K01894	nms:NMBM01240355_0359
ko:K06041	nms:NMBM01240355_0361
ko:K03270	nms:NMBM01240355_0362
ko:K11719	nms:NMBM01240355_0363
ko:K09774	nms:NMBM01240355_0364
ko:K06861	nms:NMBM01240355_0365
ko:K03814	nms:NMBM01240355_0367
ko:K00014	nms:NMBM01240355_0368
ko:K01915	nms:NMBM01240355_0369
ko:K08218	nms:NMBM01240355_0370
ko:K07461	nms:NMBM01240355_0371
ko:K00390	nms:NMBM01240355_1119
ko:K02302	nms:NMBM01240355_1120
ko:K06207	nms:NMBM01240355_1123
ko:K12573	nms:NMBM01240355_1127
ko:K00990	nms:NMBM01240355_1130
ko:K03594	nms:NMBM01240355_1132
ko:K03594	nms:NMBM01240355_1133
ko:K03644	nms:NMBM01240355_1134
ko:K03801	nms:NMBM01240355_1135
ko:K09158	nms:NMBM01240355_1136
ko:K03648	nms:NMBM01240355_1140
ko:K06158	nms:NMBM01240355_1145
ko:K00003	nms:NMBM01240355_1147
ko:K03530	nms:NMBM01240355_1149
ko:K01338	nms:NMBM01240355_1150
ko:K03581	nms:NMBM01240355_1152
ko:K09808	nms:NMBM01240355_1154
ko:K06187	nms:NMBM01240355_1156
ko:K03770	nms:NMBM01240355_1157
ko:K03551	nms:NMBM01240355_1162
ko:K01783	nms:NMBM01240355_1163
ko:K06923	nms:NMBM01240355_1165
ko:K00793	nms:NMBM01240355_1166
ko:K03752	nms:NMBM01240355_1167
ko:K07248	nms:NMBM01240355_1898
ko:K04077	nms:NMBM01240355_1903
ko:K04078	nms:NMBM01240355_1904
ko:K03308	nms:NMBM01240355_1906
ko:K01586	nms:NMBM01240355_1907
ko:K06202	nms:NMBM01240355_1909
ko:K07173	nms:NMBM01240355_1911
ko:K03650	nms:NMBM01240355_1916
ko:K02016	nms:NMBM01240355_1918
ko:K02015	nms:NMBM01240355_1919
ko:K02015	nms:NMBM01240355_1920
ko:K02013	nms:NMBM01240355_1922
ko:K04751	nms:NMBM01240355_1924
ko:K01952	nms:NMBM01240355_1925
ko:K06213	nms:NMBM01240355_1928
ko:K04083	nms:NMBM01240355_1929
ko:K00620	nms:NMBM01240355_1934
ko:K03578	nms:NMBM01240355_1936
ko:K03578	nms:NMBM01240355_1939
ko:K07458	nms:NMBM01240355_1940
ko:K09812	nms:NMBM01240355_0007
ko:K09811	nms:NMBM01240355_0008
ko:K00927	nms:NMBM01240355_0010
ko:K00790	nms:NMBM01240355_0011
ko:K09943	nms:NMBM01240355_0014
ko:K02527	nms:NMBM01240355_0015
ko:K02535	nms:NMBM01240355_0017
ko:K02670	nms:NMBM01240355_0770
ko:K02341	nms:NMBM01240355_0771
ko:K02676	nms:NMBM01240355_0772
ko:K03424	nms:NMBM01240355_0773
ko:K09712	nms:NMBM01240355_0774
ko:K07390	nms:NMBM01240355_0775
ko:K00761	nms:NMBM01240355_0776
ko:K02496	nms:NMBM01240355_0780
ko:K02498	nms:NMBM01240355_0781
ko:K01599	nms:NMBM01240355_0782
ko:K04485	nms:NMBM01240355_0783
ko:K03582	nms:NMBM01240355_0786
ko:K07223	nms:NMBM01240355_0787
ko:K15778	nms:NMBM01240355_0791
ko:K14445	nms:NMBM01240355_0793
ko:K01056	nms:NMBM01240355_0795
ko:K09801	nms:NMBM01240355_0796
ko:K03798	nms:NMBM01240355_0798
ko:K01698	nms:NMBM01240355_0801
ko:K09007	nms:NMBM01240355_0803
ko:K06182	nms:NMBM01240355_0805
