ko:K11720	syq:SYNPCCP_2878
ko:K06998	syq:SYNPCCP_0576
ko:K07495	syq:SYNPCCP_1469
ko:K07495	syq:SYNPCCP_2102
ko:K07495	syq:SYNPCCP_2198
ko:K07495	syq:SYNPCCP_2234
ko:K19003	syq:SYNPCCP_1678
ko:K17892	syq:SYNPCCP_2514
ko:K01776	syq:SYNPCCP_1208
ko:K01897	syq:SYNPCCP_0448
ko:K02005	syq:SYNPCCP_0813
ko:K04487	syq:SYNPCCP_2143
ko:K03072	syq:SYNPCCP_2152
ko:K03074	syq:SYNPCCP_2153
ko:K02536	syq:SYNPCCP_2154
ko:K02887	syq:SYNPCCP_2155
ko:K02916	syq:SYNPCCP_2156
ko:K03630	syq:SYNPCCP_2157
ko:K07146	syq:SYNPCCP_2158
ko:K00764	syq:SYNPCCP_2166
ko:K07738	syq:SYNPCCP_2168
ko:K02834	syq:SYNPCCP_2171
ko:K01491	syq:SYNPCCP_2173
ko:K01803	syq:SYNPCCP_2178
ko:K02635	syq:SYNPCCP_2182
ko:K03685	syq:SYNPCCP_2186
ko:K04656	syq:SYNPCCP_2187
ko:K03684	syq:SYNPCCP_2190
ko:K03527	syq:SYNPCCP_2192
ko:K02970	syq:SYNPCCP_2202
ko:K01892	syq:SYNPCCP_2206
ko:K03547	syq:SYNPCCP_2214
ko:K03696	syq:SYNPCCP_2215
ko:K00099	syq:SYNPCCP_2216
ko:K01624	syq:SYNPCCP_2217
ko:K01845	syq:SYNPCCP_2218
ko:K08304	syq:SYNPCCP_2219
ko:K03797	syq:SYNPCCP_2222
ko:K07507	syq:SYNPCCP_2227
ko:K00748	syq:SYNPCCP_2229
ko:K02639	syq:SYNPCCP_2230
ko:K00790	syq:SYNPCCP_2232
ko:K07347	syq:SYNPCCP_2235
ko:K05356	syq:SYNPCCP_0001
ko:K06181	syq:SYNPCCP_0002
ko:K02377	syq:SYNPCCP_0006
ko:K01711	syq:SYNPCCP_0007
ko:K01972	syq:SYNPCCP_0010
ko:K02015	syq:SYNPCCP_0012
ko:K02015	syq:SYNPCCP_0013
ko:K02013	syq:SYNPCCP_0014
ko:K02016	syq:SYNPCCP_0015
ko:K02016	syq:SYNPCCP_0020
ko:K03561	syq:SYNPCCP_0026
ko:K03100	syq:SYNPCCP_0084
ko:K01738	syq:SYNPCCP_0086
ko:K00919	syq:SYNPCCP_0087
ko:K02528	syq:SYNPCCP_0090
ko:K09761	syq:SYNPCCP_0091
ko:K04487	syq:SYNPCCP_0100
ko:K03733	syq:SYNPCCP_0105
ko:K02692	syq:SYNPCCP_0111
ko:K01657	syq:SYNPCCP_0112
ko:K13789	syq:SYNPCCP_0113
ko:K02039	syq:SYNPCCP_0116
ko:K09748	syq:SYNPCCP_0117
ko:K02600	syq:SYNPCCP_0118
ko:K07742	syq:SYNPCCP_0119
ko:K02519	syq:SYNPCCP_0120
ko:K05936	syq:SYNPCCP_0125
ko:K03564	syq:SYNPCCP_0128
ko:K00266	syq:SYNPCCP_0201
ko:K01442	syq:SYNPCCP_0204
ko:K00259	syq:SYNPCCP_0214
ko:K03474	syq:SYNPCCP_0215
ko:K06374	syq:SYNPCCP_0222
ko:K06373	syq:SYNPCCP_0223
ko:K00705	syq:SYNPCCP_0224
ko:K00946	syq:SYNPCCP_0226
ko:K08973	syq:SYNPCCP_0232
ko:K00390	syq:SYNPCCP_0233
ko:K03705	syq:SYNPCCP_0234
ko:K00891	syq:SYNPCCP_0235
ko:K03818	syq:SYNPCCP_0362
ko:K01903	syq:SYNPCCP_0368
ko:K03979	syq:SYNPCCP_0372
ko:K01465	syq:SYNPCCP_0375
ko:K03320	syq:SYNPCCP_0376
ko:K00860	syq:SYNPCCP_0381
ko:K03561	syq:SYNPCCP_0382
ko:K03500	syq:SYNPCCP_0384
ko:K07301	syq:SYNPCCP_0386
ko:K00013	syq:SYNPCCP_0387
ko:K09940	syq:SYNPCCP_0396
ko:K03189	syq:SYNPCCP_0397
ko:K00788	syq:SYNPCCP_0407
ko:K04653	syq:SYNPCCP_1604
ko:K02259	syq:SYNPCCP_1606
ko:K14652	syq:SYNPCCP_1614
ko:K02500	syq:SYNPCCP_1616
ko:K02230	syq:SYNPCCP_1620
ko:K03666	syq:SYNPCCP_1622
ko:K03977	syq:SYNPCCP_1630
ko:K00620	syq:SYNPCCP_1632
ko:K06203	syq:SYNPCCP_1641
ko:K02071	syq:SYNPCCP_1650
ko:K02945	syq:SYNPCCP_1652
ko:K07566	syq:SYNPCCP_1655
ko:K06872	syq:SYNPCCP_1656
ko:K06042	syq:SYNPCCP_1663
ko:K02914	syq:SYNPCCP_1665
ko:K03536	syq:SYNPCCP_1666
ko:K03217	syq:SYNPCCP_1668
ko:K02639	syq:SYNPCCP_1672
ko:K00609	syq:SYNPCCP_1676
ko:K07259	syq:SYNPCCP_1686
ko:K03046	syq:SYNPCCP_1690
ko:K00612	syq:SYNPCCP_1691
ko:K03588	syq:SYNPCCP_1693
ko:K02662	syq:SYNPCCP_1699
ko:K02666	syq:SYNPCCP_1702
ko:K04075	syq:SYNPCCP_1705
ko:K01733	syq:SYNPCCP_1706
ko:K05582	syq:SYNPCCP_1708
ko:K05581	syq:SYNPCCP_1709
ko:K01704	syq:SYNPCCP_1722
ko:K01937	syq:SYNPCCP_1723
ko:K10257	syq:SYNPCCP_1726
ko:K00275	syq:SYNPCCP_1727
ko:K05896	syq:SYNPCCP_1728
ko:K03106	syq:SYNPCCP_1730
ko:K02434	syq:SYNPCCP_1733
ko:K02946	syq:SYNPCCP_1744
ko:K02358	syq:SYNPCCP_1745
ko:K02355	syq:SYNPCCP_1746
