ko:K15039	sii:LD85_1697
ko:K04518	sii:LD85_2114
ko:K10026	sii:LD85_1716
ko:K05830	sii:LD85_2240
ko:K22223	sii:LD85_2295
ko:K01992	sii:LD85_0198
ko:K15016	sii:LD85_0308
ko:K13787	sii:LD85_2325
ko:K08980	sii:LD85_0790
ko:K06001	sii:LD85_1205
ko:K06001	sii:LD85_1444
ko:K18978	sii:LD85_2431
ko:K15778	sii:LD85_2187
ko:K00020	sii:LD85_1361
ko:K04479	sii:LD85_0242
ko:K07064	sii:LD85_2566
ko:K00666	sii:LD85_2748
ko:K01934	sii:LD85_1905
ko:K00058	sii:LD85_1428
ko:K07073	sii:LD85_2301
ko:K08093	sii:LD85_2191
ko:K02304	sii:LD85_2216
ko:K07076	sii:LD85_1060
ko:K09737	sii:LD85_1397
ko:K09386	sii:LD85_0226
ko:K03058	sii:LD85_2319
ko:K06984	sii:LD85_1990
ko:K02827	sii:LD85_2973
ko:K02050	sii:LD85_0261
ko:K02049	sii:LD85_0262
ko:K03726	sii:LD85_0256
ko:K07496	sii:LD85_0897
ko:K13525	sii:LD85_2219
ko:K13525	sii:LD85_1943
ko:K13798	sii:LD85_2132
ko:K01191	sii:LD85_2653
ko:K13953	sii:LD85_0423
ko:K03500	sii:LD85_2268
ko:K10773	sii:LD85_2275
ko:K03724	sii:LD85_2278
ko:K01890	sii:LD85_2287
ko:K01889	sii:LD85_2288
ko:K01265	sii:LD85_2290
ko:K06885	sii:LD85_2293
ko:K02936	sii:LD85_2297
ko:K04567	sii:LD85_2299
ko:K06965	sii:LD85_2304
ko:K03789	sii:LD85_2305
ko:K01866	sii:LD85_2308
ko:K00111	sii:LD85_0319
ko:K00170	sii:LD85_0350
ko:K00169	sii:LD85_0351
ko:K00171	sii:LD85_0352
ko:K03303	sii:LD85_0355
ko:K02952	sii:LD85_2312
ko:K02986	sii:LD85_2313
ko:K02948	sii:LD85_2314
ko:K03047	sii:LD85_2315
ko:K02883	sii:LD85_2316
ko:K02871	sii:LD85_2317
ko:K02996	sii:LD85_2318
ko:K02967	sii:LD85_2320
ko:K06981	sii:LD85_2323
ko:K01001	sii:LD85_2326
ko:K03424	sii:LD85_2338
ko:K04768	sii:LD85_2355
ko:K08289	sii:LD85_2356
ko:K03638	sii:LD85_2363
ko:K00943	sii:LD85_0378
ko:K00943	sii:LD85_0379
ko:K08296	sii:LD85_0381
ko:K00170	sii:LD85_0383
ko:K00169	sii:LD85_0384
ko:K00171	sii:LD85_0385
ko:K00172	sii:LD85_0386
ko:K00140	sii:LD85_0401
ko:K01652	sii:LD85_0417
ko:K06911	sii:LD85_0419
ko:K00688	sii:LD85_0427
ko:K06920	sii:LD85_2367
ko:K07090	sii:LD85_2368
ko:K07022	sii:LD85_2385
ko:K02227	sii:LD85_2398
ko:K02233	sii:LD85_2399
ko:K02232	sii:LD85_2400
ko:K01951	sii:LD85_2401
ko:K03799	sii:LD85_2402
ko:K00823	sii:LD85_2416
ko:K01652	sii:LD85_2417
ko:K06044	sii:LD85_0436
ko:K01236	sii:LD85_0438
ko:K01061	sii:LD85_0443
ko:K04651	sii:LD85_0481
ko:K01644	sii:LD85_0485
ko:K07241	sii:LD85_0487
ko:K03924	sii:LD85_1115
ko:K00067	sii:LD85_1122
ko:K01790	sii:LD85_1123
ko:K03281	sii:LD85_2425
ko:K07301	sii:LD85_2432
ko:K11473	sii:LD85_2481
ko:K03800	sii:LD85_2482
ko:K03644	sii:LD85_2483
