ko:K03885	pmj:P9211_00911
ko:K03564	pmj:P9211_15101
ko:K02340	pmj:P9211_17731
ko:K01695	pmj:P9211_05751
ko:K06898	pmj:P9211_13241
ko:K10960	pmj:P9211_10031
ko:K01883	pmj:P9211_12151
ko:K03046	pmj:P9211_16061
ko:K03168	pmj:P9211_04331
ko:K00833	pmj:P9211_15921
ko:K00954	pmj:P9211_08801
ko:K02471	pmj:P9211_00731
ko:K01602	pmj:P9211_05531
ko:K01955	pmj:P9211_09421
ko:K01448	pmj:P9211_10331
ko:K01878	pmj:P9211_12601
ko:K03786	pmj:P9211_03831
ko:K03686	pmj:P9211_00171
ko:K02116	pmj:P9211_15761
ko:K01585	pmj:P9211_00521
ko:K00324	pmj:P9211_12201
ko:K03503	pmj:P9211_07081
ko:K00162	pmj:P9211_07151
ko:K01889	pmj:P9211_13141
ko:K01653	pmj:P9211_12301
ko:K08479	pmj:P9211_11111
ko:K03652	pmj:P9211_02561
ko:K00208	pmj:P9211_03091
ko:K07456	pmj:P9211_02381
ko:K04040	pmj:P9211_04241
ko:K02077	pmj:P9211_15221
ko:K02075	pmj:P9211_15251
ko:K02074	pmj:P9211_15231
ko:K07056	pmj:P9211_12801
ko:K01709	pmj:P9211_12911
ko:K01790	pmj:P9211_12921
ko:K03113	pmj:P9211_01821
ko:K00860	pmj:P9211_01831
ko:K01443	pmj:P9211_01851
ko:K03428	pmj:P9211_01861
ko:K03438	pmj:P9211_01891
ko:K05579	pmj:P9211_01901
ko:K02549	pmj:P9211_01931
ko:K02548	pmj:P9211_01941
ko:K01920	pmj:P9211_01961
ko:K00901	pmj:P9211_02011
ko:K00817	pmj:P9211_02041
ko:K01887	pmj:P9211_02051
ko:K00767	pmj:P9211_02061
ko:K03650	pmj:P9211_02071
ko:K09928	pmj:P9211_02081
ko:K00927	pmj:P9211_02131
ko:K02935	pmj:P9211_02191
ko:K02864	pmj:P9211_02201
ko:K02863	pmj:P9211_02211
ko:K02867	pmj:P9211_02221
ko:K02601	pmj:P9211_02231
ko:K03073	pmj:P9211_02241
ko:K01689	pmj:P9211_02271
ko:K00384	pmj:P9211_02311
ko:K02837	pmj:P9211_07731
ko:K04083	pmj:P9211_07751
ko:K02041	pmj:P9211_07851
ko:K09761	pmj:P9211_07811
ko:K09919	pmj:P9211_01201
ko:K02956	pmj:P9211_07011
ko:K03550	pmj:P9211_07021
ko:K02316	pmj:P9211_07051
ko:K00783	pmj:P9211_07091
ko:K02528	pmj:P9211_07111
ko:K00919	pmj:P9211_07121
ko:K03072	pmj:P9211_07161
ko:K03074	pmj:P9211_07171
ko:K06917	pmj:P9211_07211
ko:K03312	pmj:P9211_07361
