ko:K07492	bsup:BSPT1_II0505
ko:K07050	bsup:BSPT1_I0658
ko:K13967	bsup:BSPT1_II0364
ko:K22617	bsup:BSPT1_I1965
ko:K21909	bsup:BSPT1_II0807
ko:K13581	bsup:BSPT1_I1227
ko:K00001	bsup:BSPT1_I0868
ko:K01271	bsup:BSPT1_I0650
ko:K02031	bsup:BSPT1_II0722
ko:K03297	bsup:BSPT1_I0787
ko:K22616	bsup:BSPT1_I1588
ko:K02031	bsup:BSPT1_II0358
ko:K02031	bsup:BSPT1_II1053
ko:K00035	bsup:BSPT1_II0887
ko:K11741	bsup:BSPT1_I0940
ko:K14218	bsup:BSPT1_I0018
ko:K14218	bsup:BSPT1_I1679
ko:K14218	bsup:BSPT1_II1298
ko:K14218	bsup:BSPT1_II1076
ko:K14227	bsup:BSPT1_I1680
ko:K14227	bsup:BSPT1_II1299
ko:K14227	bsup:BSPT1_II1077
ko:K01271	bsup:BSPT1_I1564
ko:K07005	bsup:BSPT1_I1404
ko:K21911	bsup:BSPT1_II0812
ko:K13895	bsup:BSPT1_I0001
ko:K13894	bsup:BSPT1_I0002
ko:K13893	bsup:BSPT1_I0003
ko:K01999	bsup:BSPT1_I0007
ko:K13893	bsup:BSPT1_I0004
ko:K00130	bsup:BSPT1_I1167
ko:K13766	bsup:BSPT1_I0008
ko:K01640	bsup:BSPT1_I0009
ko:K01969	bsup:BSPT1_I0011
ko:K01968	bsup:BSPT1_I0010
ko:K00253	bsup:BSPT1_I0012
ko:K01907	bsup:BSPT1_I0014
ko:K19231	bsup:BSPT1_II1334
ko:K01907	bsup:BSPT1_I0015
ko:K19232	bsup:BSPT1_I0068
ko:K19232	bsup:BSPT1_I0067
ko:K19231	bsup:BSPT1_II1332
ko:K19231	bsup:BSPT1_II1333
ko:K03639	bsup:BSPT1_I0757
ko:K03752	bsup:BSPT1_I0758
ko:K03753	bsup:BSPT1_I0759
ko:K02030	bsup:BSPT1_I0761
ko:K02029	bsup:BSPT1_I0762
ko:K02029	bsup:BSPT1_I0763
ko:K06076	bsup:BSPT1_I0766
ko:K01873	bsup:BSPT1_I0768
ko:K09991	bsup:BSPT1_I0769
ko:K12340	bsup:BSPT1_I0770
ko:K00573	bsup:BSPT1_I0771
ko:K07213	bsup:BSPT1_I0773
