ko:K01006	lmz:LMOSLCC2482_1929
ko:K01699	lmz:LMOSLCC2482_1192
ko:K15780	lmz:LMOSLCC2482_0219
ko:K02313	lmz:LMOSLCC2482_0001
ko:K02338	lmz:LMOSLCC2482_0002
ko:K03629	lmz:LMOSLCC2482_0005
ko:K02470	lmz:LMOSLCC2482_0006
ko:K02469	lmz:LMOSLCC2482_0007
ko:K06131	lmz:LMOSLCC2482_0008
ko:K00657	lmz:LMOSLCC2482_0009
ko:K07172	lmz:LMOSLCC2482_p0032
ko:K03799	lmz:LMOSLCC2482_0318
ko:K02793	lmz:LMOSLCC2482_0104
ko:K02794	lmz:LMOSLCC2482_0104
ko:K02795	lmz:LMOSLCC2482_0105
ko:K06147	lmz:LMOSLCC2482_0120
ko:K06147	lmz:LMOSLCC2482_0121
ko:K01081	lmz:LMOSLCC2482_0143
ko:K00088	lmz:LMOSLCC2482_0145
ko:K02035	lmz:LMOSLCC2482_0148
ko:K02033	lmz:LMOSLCC2482_0149
ko:K02035	lmz:LMOSLCC2482_0155
ko:K09815	lmz:LMOSLCC2482_0157
ko:K01182	lmz:LMOSLCC2482_0184
ko:K03478	lmz:LMOSLCC2482_0191
ko:K09685	lmz:LMOSLCC2482_0192
ko:K02005	lmz:LMOSLCC2482_0193
ko:K02004	lmz:LMOSLCC2482_0195
ko:K01771	lmz:LMOSLCC2482_0201
ko:K11031	lmz:LMOSLCC2482_0202
ko:K00016	lmz:LMOSLCC2482_0210
ko:K01478	lmz:LMOSLCC2482_0048
ko:K03708	lmz:LMOSLCC2482_0229
ko:K00869	lmz:LMOSLCC2482_0011
ko:K09698	lmz:LMOSLCC2482_0237
ko:K00938	lmz:LMOSLCC2482_0012
ko:K07045	lmz:LMOSLCC2482_0911
ko:K02826	lmz:LMOSLCC2482_0013
ko:K07238	lmz:LMOSLCC2482_0421
ko:K07652	lmz:LMOSLCC2482_0296
ko:K01507	lmz:LMOSLCC2482_0342
ko:K00616	lmz:LMOSLCC2482_0345
ko:K08969	lmz:LMOSLCC2482_0294
ko:K07668	lmz:LMOSLCC2482_0295
ko:K05937	lmz:LMOSLCC2482_0385
ko:K02004	lmz:LMOSLCC2482_0403
ko:K15524	lmz:LMOSLCC2482_0409
ko:K01759	lmz:LMOSLCC2482_0414
ko:K07729	lmz:LMOSLCC2482_0423
ko:K00244	lmz:LMOSLCC2482_0358
ko:K03491	lmz:LMOSLCC2482_0309
ko:K00564	lmz:LMOSLCC2482_0251
ko:K01182	lmz:LMOSLCC2482_0257
ko:K01439	lmz:LMOSLCC2482_0271
ko:K01426	lmz:LMOSLCC2482_0890
ko:K02025	lmz:LMOSLCC2482_0901
ko:K01226	lmz:LMOSLCC2482_0903
ko:K09167	lmz:LMOSLCC2482_0924
ko:K08981	lmz:LMOSLCC2482_0925
ko:K07315	lmz:LMOSLCC2482_0935
ko:K03090	lmz:LMOSLCC2482_0938
ko:K05518	lmz:LMOSLCC2482_0939
ko:K03095	lmz:LMOSLCC2482_0942
ko:K03492	lmz:LMOSLCC2482_0948
ko:K00383	lmz:LMOSLCC2482_0952
ko:K00135	lmz:LMOSLCC2482_0959
ko:K03491	lmz:LMOSLCC2482_0964
ko:K00867	lmz:LMOSLCC2482_0968
ko:K01104	lmz:LMOSLCC2482_0984
ko:K02564	lmz:LMOSLCC2482_1002
ko:K07816	lmz:LMOSLCC2482_1012
ko:K01222	lmz:LMOSLCC2482_0524
ko:K01222	lmz:LMOSLCC2482_0538
ko:K01635	lmz:LMOSLCC2482_0541
ko:K02782	lmz:LMOSLCC2482_0545
ko:K02783	lmz:LMOSLCC2482_0545
ko:K02783	lmz:LMOSLCC2482_0546
ko:K07404	lmz:LMOSLCC2482_0560
ko:K02017	lmz:LMOSLCC2482_1086
ko:K03635	lmz:LMOSLCC2482_1091
ko:K01092	lmz:LMOSLCC2482_1109
ko:K01958	lmz:LMOSLCC2482_1115
ko:K09693	lmz:LMOSLCC2482_1118
ko:K02004	lmz:LMOSLCC2482_1264
ko:K06994	lmz:LMOSLCC2482_1266
ko:K03471	lmz:LMOSLCC2482_1268
ko:K02428	lmz:LMOSLCC2482_1280
ko:K02371	lmz:LMOSLCC2482_0857
ko:K00054	lmz:LMOSLCC2482_0868
ko:K06147	lmz:LMOSLCC2482_0878
ko:K07784	lmz:LMOSLCC2482_0879
ko:K01523	lmz:LMOSLCC2482_0563
ko:K01496	lmz:LMOSLCC2482_0564
ko:K03492	lmz:LMOSLCC2482_0577
ko:K07030	lmz:LMOSLCC2482_0592
ko:K03294	lmz:LMOSLCC2482_0697
ko:K07104	lmz:LMOSLCC2482_0698
ko:K07457	lmz:LMOSLCC2482_0710
ko:K01580	lmz:LMOSLCC2482_0451
ko:K10254	lmz:LMOSLCC2482_0475
ko:K10947	lmz:LMOSLCC2482_0601
ko:K02775	lmz:LMOSLCC2482_0504
ko:K00158	lmz:LMOSLCC2482_0778
ko:K03406	lmz:LMOSLCC2482_0779
ko:K07098	lmz:LMOSLCC2482_0807
ko:K09704	lmz:LMOSLCC2482_0809
ko:K03316	lmz:LMOSLCC2482_0846
ko:K11072	lmz:LMOSLCC2482_0850
ko:K11071	lmz:LMOSLCC2482_0851
ko:K11069	lmz:LMOSLCC2482_0853
ko:K01674	lmz:LMOSLCC2482_0854
ko:K06147	lmz:LMOSLCC2482_0609
ko:K06147	lmz:LMOSLCC2482_0610
ko:K07025	lmz:LMOSLCC2482_0638
ko:K00575	lmz:LMOSLCC2482_0739
ko:K02795	lmz:LMOSLCC2482_0825
ko:K02793	lmz:LMOSLCC2482_0827
ko:K03976	lmz:LMOSLCC2482_0834
ko:K00059	lmz:LMOSLCC2482_1869
ko:K07030	lmz:LMOSLCC2482_1876
ko:K00949	lmz:LMOSLCC2482_1879
ko:K06889	lmz:LMOSLCC2482_1165
ko:K03486	lmz:LMOSLCC2482_1301
ko:K01226	lmz:LMOSLCC2482_1302
ko:K00929	lmz:LMOSLCC2482_1422
ko:K00033	lmz:LMOSLCC2482_1429
ko:K01823	lmz:LMOSLCC2482_1436
ko:K02056	lmz:LMOSLCC2482_1443
ko:K00059	lmz:LMOSLCC2482_1448
ko:K02443	lmz:LMOSLCC2482_1459
ko:K02238	lmz:LMOSLCC2482_1537
ko:K06948	lmz:LMOSLCC2482_1546
ko:K01243	lmz:LMOSLCC2482_1549
ko:K01719	lmz:LMOSLCC2482_1612
ko:K11144	lmz:LMOSLCC2482_1617
ko:K03346	lmz:LMOSLCC2482_1618
ko:K10563	lmz:LMOSLCC2482_1621
ko:K01439	lmz:LMOSLCC2482_1681
ko:K01258	lmz:LMOSLCC2482_1841
ko:K01916	lmz:LMOSLCC2482_1137
ko:K04750	lmz:LMOSLCC2482_1289
ko:K02248	lmz:LMOSLCC2482_1394
ko:K02246	lmz:LMOSLCC2482_1396
ko:K02245	lmz:LMOSLCC2482_1397
ko:K02244	lmz:LMOSLCC2482_1398
ko:K02243	lmz:LMOSLCC2482_1399
ko:K01262	lmz:LMOSLCC2482_1406
ko:K07533	lmz:LMOSLCC2482_1499
ko:K02076	lmz:LMOSLCC2482_1500
ko:K15986	lmz:LMOSLCC2482_1503
ko:K01489	lmz:LMOSLCC2482_1518
ko:K00016	lmz:LMOSLCC2482_1589
ko:K04518	lmz:LMOSLCC2482_1591
ko:K07584	lmz:LMOSLCC2482_1596
ko:K02236	lmz:LMOSLCC2482_1605
ko:K06286	lmz:LMOSLCC2482_1654
ko:K00016	lmz:LMOSLCC2482_1730
ko:K09815	lmz:LMOSLCC2482_1734
ko:K08680	lmz:LMOSLCC2482_1738
ko:K02552	lmz:LMOSLCC2482_1740
ko:K01760	lmz:LMOSLCC2482_1743
ko:K02025	lmz:LMOSLCC2482_1792
ko:K02004	lmz:LMOSLCC2482_1807
ko:K02433	lmz:LMOSLCC2482_1816
ko:K07094	lmz:LMOSLCC2482_1821
ko:K01104	lmz:LMOSLCC2482_1862
ko:K09787	lmz:LMOSLCC2482_1864
ko:K13921	lmz:LMOSLCC2482_1205
ko:K00841	lmz:LMOSLCC2482_1053
ko:K05822	lmz:LMOSLCC2482_1058
ko:K04720	lmz:LMOSLCC2482_1208
ko:K03399	lmz:LMOSLCC2482_1236
