ko:K11707	cpsg:B598_0483
ko:K01921	cpsg:B598_0915
ko:K01924	cpsg:B598_0915
ko:K08719	cpsg:B598_0978
ko:K02117	cpsg:B598_0729
ko:K02121	cpsg:B598_0731
ko:K00616	cpsg:B598_0734
ko:K03046	cpsg:B598_0735
ko:K03043	cpsg:B598_0736
ko:K02935	cpsg:B598_0737
ko:K02864	cpsg:B598_0738
ko:K02863	cpsg:B598_0739
ko:K02867	cpsg:B598_0740
ko:K02601	cpsg:B598_0741
ko:K03073	cpsg:B598_0742
ko:K02358	cpsg:B598_0744
ko:K02518	cpsg:B598_0746
ko:K03523	cpsg:B598_0750
ko:K01714	cpsg:B598_0757
ko:K00928	cpsg:B598_0758
ko:K00133	cpsg:B598_0759
ko:K00215	cpsg:B598_0760
ko:K09125	cpsg:B598_0762
ko:K01012	cpsg:B598_0765
ko:K00652	cpsg:B598_0766
ko:K01935	cpsg:B598_0767
ko:K00833	cpsg:B598_0768
ko:K00800	cpsg:B598_0770
ko:K00891	cpsg:B598_0771
ko:K01736	cpsg:B598_0772
ko:K01735	cpsg:B598_0773
ko:K13832	cpsg:B598_0774
ko:K03758	cpsg:B598_0778
ko:K00024	cpsg:B598_0781
ko:K01810	cpsg:B598_0783
ko:K06287	cpsg:B598_0350
ko:K04763	cpsg:B598_0784
ko:K03527	cpsg:B598_0792
ko:K03321	cpsg:B598_0795
ko:K01679	cpsg:B598_0796
ko:K01265	cpsg:B598_0800
ko:K02956	cpsg:B598_0810
ko:K00962	cpsg:B598_0811
ko:K03798	cpsg:B598_0812
ko:K04075	cpsg:B598_0813
ko:K07091	cpsg:B598_0814
ko:K11720	cpsg:B598_0815
ko:K01889	cpsg:B598_0818
ko:K02887	cpsg:B598_0819
ko:K02520	cpsg:B598_0820
ko:K03625	cpsg:B598_0821
ko:K00075	cpsg:B598_0822
ko:K03439	cpsg:B598_0825
ko:K09760	cpsg:B598_0829
ko:K01902	cpsg:B598_0833
ko:K01903	cpsg:B598_0834
ko:K03110	cpsg:B598_0835
ko:K06890	cpsg:B598_0836
ko:K03834	cpsg:B598_0837
ko:K03733	cpsg:B598_0352
ko:K00784	cpsg:B598_0353
ko:K01338	cpsg:B598_0355
ko:K02970	cpsg:B598_0358
ko:K03686	cpsg:B598_0359
ko:K11381	cpsg:B598_0360
ko:K11189	cpsg:B598_0364
ko:K08483	cpsg:B598_0365
ko:K09747	cpsg:B598_0366
ko:K02343	cpsg:B598_0367
ko:K07037	cpsg:B598_0368
ko:K01749	cpsg:B598_0372
ko:K04485	cpsg:B598_0373
ko:K03685	cpsg:B598_0374
ko:K04564	cpsg:B598_0377
ko:K01963	cpsg:B598_0378
ko:K02806	cpsg:B598_0380
ko:K02806	cpsg:B598_0381
ko:K00566	cpsg:B598_0386
ko:K03696	cpsg:B598_0387
ko:K03800	cpsg:B598_0389
ko:K02437	cpsg:B598_0393
ko:K00350	cpsg:B598_0396
ko:K00349	cpsg:B598_0397
ko:K00348	cpsg:B598_0398
ko:K00347	cpsg:B598_0399
ko:K02313	cpsg:B598_0402
ko:K01698	cpsg:B598_0001
ko:K00346	cpsg:B598_0002
ko:K00813	cpsg:B598_0006
ko:K03582	cpsg:B598_0010
ko:K03583	cpsg:B598_0011
ko:K07146	cpsg:B598_0015
ko:K00820	cpsg:B598_0838
ko:K03431	cpsg:B598_0839
ko:K00970	cpsg:B598_0840
ko:K00748	cpsg:B598_0841
ko:K03621	cpsg:B598_0861
ko:K02911	cpsg:B598_0862
ko:K08301	cpsg:B598_0864
ko:K00630	cpsg:B598_0865
ko:K01408	cpsg:B598_0867
ko:K00919	cpsg:B598_0870
ko:K02939	cpsg:B598_0871
ko:K02963	cpsg:B598_0872
ko:K02990	cpsg:B598_0873
ko:K01056	cpsg:B598_0874
ko:K02897	cpsg:B598_0875
ko:K00703	cpsg:B598_0877
ko:K00995	cpsg:B598_0878
ko:K14164	cpsg:B598_0880
ko:K03555	cpsg:B598_0887
ko:K03703	cpsg:B598_0888
ko:K02954	cpsg:B598_0890
ko:K03438	cpsg:B598_0405
ko:K03587	cpsg:B598_0407
ko:K01928	cpsg:B598_0410
ko:K01448	cpsg:B598_0411
ko:K01962	cpsg:B598_0416
ko:K07083	cpsg:B598_0419
ko:K02342	cpsg:B598_0420
ko:K00208	cpsg:B598_0424
ko:K06179	cpsg:B598_0428
ko:K03575	cpsg:B598_0429
ko:K07052	cpsg:B598_0431
ko:K04487	cpsg:B598_0439
ko:K01494	cpsg:B598_0443
ko:K03551	cpsg:B598_0445
ko:K01255	cpsg:B598_0451
ko:K02340	cpsg:B598_0453
ko:K07056	cpsg:B598_0454
ko:K02919	cpsg:B598_0891
ko:K06861	cpsg:B598_0025
ko:K02986	cpsg:B598_0016
ko:K01151	cpsg:B598_0017
ko:K03980	cpsg:B598_0019
ko:K00164	cpsg:B598_0461
ko:K00658	cpsg:B598_0462
ko:K05810	cpsg:B598_0463
ko:K03526	cpsg:B598_0464
ko:K02400	cpsg:B598_0474
ko:K02405	cpsg:B598_0475
ko:K01866	cpsg:B598_0477
ko:K00033	cpsg:B598_0478
ko:K03596	cpsg:B598_0479
ko:K03301	cpsg:B598_0481
ko:K00099	cpsg:B598_0487
ko:K03629	cpsg:B598_0490
ko:K02338	cpsg:B598_0491
ko:K03664	cpsg:B598_0492
ko:K03734	cpsg:B598_0493
ko:K01491	cpsg:B598_0494
ko:K02902	cpsg:B598_0501
ko:K00705	cpsg:B598_0502
ko:K04058	cpsg:B598_0504
ko:K03230	cpsg:B598_0505
ko:K03229	cpsg:B598_0506
ko:K06942	cpsg:B598_0507
ko:K11753	cpsg:B598_0508
ko:K03177	cpsg:B598_0509
ko:K02834	cpsg:B598_0510
ko:K01627	cpsg:B598_0027
ko:K06960	cpsg:B598_0029
ko:K06180	cpsg:B598_0030
ko:K02469	cpsg:B598_0033
ko:K02470	cpsg:B598_0034
ko:K02492	cpsg:B598_0035
