ko:K11741	lrg:LRHM_2681
ko:K01990	lrg:LRHM_0493
ko:K01990	lrg:LRHM_1173
ko:K01990	lrg:LRHM_0029
ko:K01990	lrg:LRHM_0205
ko:K07045	lrg:LRHM_0519
ko:K01990	lrg:LRHM_1186
ko:K01990	lrg:LRHM_1853
ko:K01990	lrg:LRHM_2157
ko:K01990	lrg:LRHM_2228
ko:K01990	lrg:LRHM_2509
ko:K00887	lrg:LRHM_1489
ko:K00226	lrg:LRHM_1725
ko:K02549	lrg:LRHM_0418
ko:K16958	lrg:LRHM_0465
ko:K02004	lrg:LRHM_0472
ko:K07386	lrg:LRHM_1419
ko:K03700	lrg:LRHM_1426
ko:K02086	lrg:LRHM_1430
ko:K00869	lrg:LRHM_1438
ko:K01597	lrg:LRHM_1439
ko:K01823	lrg:LRHM_1440
ko:K01619	lrg:LRHM_0308
ko:K03784	lrg:LRHM_0310
ko:K02795	lrg:LRHM_0325
ko:K02793	lrg:LRHM_0327
ko:K00917	lrg:LRHM_0328
ko:K00068	lrg:LRHM_0329
ko:K02775	lrg:LRHM_0330
ko:K00712	lrg:LRHM_0335
ko:K00712	lrg:LRHM_0336
ko:K01262	lrg:LRHM_0339
ko:K03491	lrg:LRHM_0344
ko:K01258	lrg:LRHM_0345
ko:K06147	lrg:LRHM_0350
ko:K08724	lrg:LRHM_1227
ko:K01515	lrg:LRHM_1244
ko:K01243	lrg:LRHM_1246
ko:K01092	lrg:LRHM_1272
ko:K10254	lrg:LRHM_0486
ko:K00158	lrg:LRHM_0508
ko:K01479	lrg:LRHM_1531
ko:K03976	lrg:LRHM_1533
ko:K03177	lrg:LRHM_1546
ko:K03294	lrg:LRHM_1568
ko:K09976	lrg:LRHM_1572
ko:K09787	lrg:LRHM_1581
ko:K02793	lrg:LRHM_0402
ko:K00616	lrg:LRHM_0404
ko:K07048	lrg:LRHM_0410
ko:K01958	lrg:LRHM_1275
ko:K07177	lrg:LRHM_1279
ko:K02238	lrg:LRHM_1281
ko:K01607	lrg:LRHM_1292
ko:K11085	lrg:LRHM_1294
ko:K00882	lrg:LRHM_1304
ko:K03436	lrg:LRHM_1305
ko:K00784	lrg:LRHM_1308
ko:K01119	lrg:LRHM_1314
ko:K04763	lrg:LRHM_1322
ko:K05337	lrg:LRHM_1328
ko:K00852	lrg:LRHM_0362
ko:K02806	lrg:LRHM_0380
ko:K00616	lrg:LRHM_0384
ko:K02822	lrg:LRHM_0387
ko:K03475	lrg:LRHM_0390
ko:K01760	lrg:LRHM_0550
ko:K03486	lrg:LRHM_0580
ko:K01226	lrg:LRHM_0581
ko:K02755	lrg:LRHM_0582
ko:K02756	lrg:LRHM_0582
ko:K02757	lrg:LRHM_0582
ko:K03294	lrg:LRHM_0584
ko:K00016	lrg:LRHM_0585
ko:K02035	lrg:LRHM_1588
ko:K02033	lrg:LRHM_1590
ko:K07030	lrg:LRHM_1597
ko:K00949	lrg:LRHM_1600
ko:K01262	lrg:LRHM_1623
ko:K07584	lrg:LRHM_1625
ko:K01281	lrg:LRHM_1631
ko:K03713	lrg:LRHM_1633
ko:K09762	lrg:LRHM_0886
ko:K07729	lrg:LRHM_0905
ko:K00625	lrg:LRHM_0916
ko:K07658	lrg:LRHM_0861
ko:K06023	lrg:LRHM_0874
ko:K01835	lrg:LRHM_0878
ko:K00691	lrg:LRHM_0902
ko:K01259	lrg:LRHM_0714
ko:K06889	lrg:LRHM_0720
ko:K03709	lrg:LRHM_0736
ko:K08974	lrg:LRHM_0763
ko:K00974	lrg:LRHM_1338
ko:K07304	lrg:LRHM_1347
ko:K15986	lrg:LRHM_1368
ko:K02004	lrg:LRHM_1370
ko:K01523	lrg:LRHM_1380
ko:K01496	lrg:LRHM_1381
ko:K01515	lrg:LRHM_1390
ko:K03475	lrg:LRHM_0194
ko:K07457	lrg:LRHM_0196
ko:K01560	lrg:LRHM_0230
ko:K06988	lrg:LRHM_0234
ko:K07009	lrg:LRHM_0236
ko:K06147	lrg:LRHM_1110
ko:K06147	lrg:LRHM_1111
ko:K07104	lrg:LRHM_1113
ko:K01439	lrg:LRHM_1140
ko:K04488	lrg:LRHM_1149
ko:K10040	lrg:LRHM_1929
ko:K07105	lrg:LRHM_0768
ko:K03693	lrg:LRHM_0771
ko:K01560	lrg:LRHM_0772
ko:K03768	lrg:LRHM_0787
ko:K07570	lrg:LRHM_0788
ko:K07027	lrg:LRHM_0793
ko:K00841	lrg:LRHM_0795
ko:K09825	lrg:LRHM_0798
ko:K07035	lrg:LRHM_1395
ko:K02824	lrg:LRHM_1403
ko:K00088	lrg:LRHM_0245
ko:K07258	lrg:LRHM_0250
ko:K00010	lrg:LRHM_0262
ko:K00010	lrg:LRHM_0263
ko:K00033	lrg:LRHM_0270
ko:K00851	lrg:LRHM_0271
