ko:K02030	kpu:KP1_2889
ko:K02057	kpu:KP1_2776
ko:K07246	kpu:KP1_2292
ko:K14333	kpu:KP1_0140
ko:K02028	kpu:KP1_3186
ko:K10823	kpu:KP1_3304
ko:K15770	kpu:KP1_1302
ko:K16238	kpu:KP1_1165
ko:K15581	kpu:KP1_3307
ko:K18922	kpu:KP1_4364
ko:K01961	kpu:KP1_4982
ko:K00065	kpu:KP1_2274
ko:K15555	kpu:KP1_1940
ko:K01193	kpu:KP1_1429
ko:K06135	kpu:KP1_5525
ko:K13920	kpu:KP1_4475
ko:K09473	kpu:KP1_2005
ko:K04784	kpu:KP1_3588
ko:K00965	kpu:KP1_1716
ko:K01784	kpu:KP1_1717
ko:K01835	kpu:KP1_1664
ko:K00278	kpu:KP1_4156
ko:K00626	kpu:KP1_4545
ko:K07347	kpu:KP1_4558
ko:K07345	kpu:KP1_4561
ko:K07345	kpu:KP1_4571
ko:K07347	kpu:KP1_4574
ko:K06975	kpu:KP1_4580
ko:K03305	kpu:KP1_4589
ko:K03893	kpu:KP1_4591
ko:K01823	kpu:KP1_4604
ko:K04567	kpu:KP1_4606
ko:K02836	kpu:KP1_4607
ko:K07462	kpu:KP1_4608
ko:K03981	kpu:KP1_4609
ko:K04763	kpu:KP1_4610
ko:K03840	kpu:KP1_4611
ko:K07722	kpu:KP1_5194
ko:K06213	kpu:KP1_5196
ko:K07007	kpu:KP1_5197
ko:K06144	kpu:KP1_5199
ko:K06149	kpu:KP1_5200
ko:K03305	kpu:KP1_5201
ko:K01414	kpu:KP1_5203
ko:K07115	kpu:KP1_5205
ko:K00383	kpu:KP1_5206
ko:K01194	kpu:KP1_5209
ko:K07058	kpu:KP1_5213
ko:K07290	kpu:KP1_5215
ko:K00874	kpu:KP1_5217
ko:K11103	kpu:KP1_5219
ko:K12372	kpu:KP1_5241
ko:K12371	kpu:KP1_5242
ko:K12370	kpu:KP1_5243
ko:K12369	kpu:KP1_5244
ko:K12368	kpu:KP1_5245
ko:K03826	kpu:KP1_5253
ko:K05590	kpu:KP1_4158
ko:K06866	kpu:KP1_4159
ko:K03648	kpu:KP1_4160
ko:K03214	kpu:KP1_4161
ko:K03672	kpu:KP1_4162
ko:K09181	kpu:KP1_4164
