ko:K03602	abw:BL01_13710
ko:K18923	abw:BL01_00185
ko:K20319	abw:BL01_04635
ko:K14225	abw:BL01_01105
ko:K14225	abw:BL01_13600
ko:K14225	abw:BL01_01110
ko:K03297	abw:BL01_09065
ko:K03297	abw:BL01_10540
ko:K21029	abw:BL01_17205
ko:K19302	abw:BL01_14935
ko:K16238	abw:BL01_16440
ko:K07278	abw:BL01_17270
ko:K11741	abw:BL01_11060
ko:K08151	abw:BL01_17575
ko:K03327	abw:BL01_06830
ko:K01990	abw:BL01_08385
ko:K22617	abw:BL01_15630
ko:K19611	abw:BL01_11615
ko:K11209	abw:BL01_16590
ko:K00821	abw:BL01_04125
ko:K00146	abw:BL01_00780
ko:K00108	abw:BL01_11340
ko:K00001	abw:BL01_03440
ko:K11939	abw:BL01_13500
ko:K01007	abw:BL01_12755
ko:K09017	abw:BL01_01595
ko:K01980	abw:BL01_01645
ko:K01977	abw:BL01_01660
ko:K07645	abw:BL01_05320
ko:K01263	abw:BL01_08760
ko:K03446	abw:BL01_12595
ko:K00984	abw:BL01_01055
ko:K03296	abw:BL01_14100
ko:K21758	abw:BL01_00700
ko:K01800	abw:BL01_06855
ko:K18147	abw:BL01_12470
ko:K00042	abw:BL01_16055
ko:K18698	abw:BL01_19105
ko:K14221	abw:BL01_14010
ko:K14221	abw:BL01_14020
ko:K14221	abw:BL01_14025
ko:K01985	abw:BL01_01640
ko:K01985	abw:BL01_18895
ko:K06187	abw:BL01_08295
ko:K09747	abw:BL01_08300
ko:K10764	abw:BL01_08310
ko:K02503	abw:BL01_08350
ko:K02553	abw:BL01_08655
ko:K02968	abw:BL01_08665
ko:K01082	abw:BL01_08675
ko:K02031	abw:BL01_08690
ko:K02032	abw:BL01_08690
ko:K02034	abw:BL01_08695
ko:K02033	abw:BL01_08700
ko:K01495	abw:BL01_08720
ko:K13481	abw:BL01_08725
ko:K13482	abw:BL01_08730
ko:K07402	abw:BL01_08735
ko:K01609	abw:BL01_08745
ko:K00766	abw:BL01_08750
ko:K01658	abw:BL01_08765
ko:K01262	abw:BL01_08770
ko:K03305	abw:BL01_08775
