ko:K14233	ctrg:SOTONG1_00894
ko:K11645	ctrg:SOTONG1_00222
ko:K03438	ctrg:SOTONG1_00281
ko:K02313	ctrg:SOTONG1_00284
ko:K00347	ctrg:SOTONG1_00287
ko:K00348	ctrg:SOTONG1_00288
ko:K00349	ctrg:SOTONG1_00289
ko:K00350	ctrg:SOTONG1_00290
ko:K02437	ctrg:SOTONG1_00291
ko:K03800	ctrg:SOTONG1_00294
ko:K03696	ctrg:SOTONG1_00295
ko:K00566	ctrg:SOTONG1_00296
ko:K01963	ctrg:SOTONG1_00302
ko:K04564	ctrg:SOTONG1_00303
ko:K03685	ctrg:SOTONG1_00306
ko:K04485	ctrg:SOTONG1_00307
ko:K01749	ctrg:SOTONG1_00308
ko:K01873	ctrg:SOTONG1_00311
ko:K03046	ctrg:SOTONG1_00323
ko:K03043	ctrg:SOTONG1_00324
ko:K02935	ctrg:SOTONG1_00325
ko:K02864	ctrg:SOTONG1_00326
ko:K02863	ctrg:SOTONG1_00327
ko:K02867	ctrg:SOTONG1_00328
ko:K02601	ctrg:SOTONG1_00329
ko:K03073	ctrg:SOTONG1_00330
ko:K02358	ctrg:SOTONG1_00332
ko:K02518	ctrg:SOTONG1_00334
ko:K01803	ctrg:SOTONG1_00343
ko:K03601	ctrg:SOTONG1_00344
ko:K03602	ctrg:SOTONG1_00345
ko:K01662	ctrg:SOTONG1_00347
ko:K00873	ctrg:SOTONG1_00348
ko:K03701	ctrg:SOTONG1_00349
ko:K02343	ctrg:SOTONG1_00350
ko:K09747	ctrg:SOTONG1_00351
ko:K11381	ctrg:SOTONG1_00357
ko:K03686	ctrg:SOTONG1_00358
ko:K02970	ctrg:SOTONG1_00359
ko:K01338	ctrg:SOTONG1_00361
ko:K03733	ctrg:SOTONG1_00364
ko:K06287	ctrg:SOTONG1_00366
ko:K03075	ctrg:SOTONG1_00369
ko:K01462	ctrg:SOTONG1_00370
ko:K02528	ctrg:SOTONG1_00371
ko:K06888	ctrg:SOTONG1_00373
ko:K03523	ctrg:SOTONG1_00377
ko:K01714	ctrg:SOTONG1_00380
ko:K00928	ctrg:SOTONG1_00381
ko:K00133	ctrg:SOTONG1_00382
ko:K00215	ctrg:SOTONG1_00383
ko:K00800	ctrg:SOTONG1_00385
ko:K03224	ctrg:SOTONG1_00709
ko:K02417	ctrg:SOTONG1_00712
ko:K03219	ctrg:SOTONG1_00714
ko:K02838	ctrg:SOTONG1_00720
ko:K09903	ctrg:SOTONG1_00721
ko:K02357	ctrg:SOTONG1_00722
ko:K02967	ctrg:SOTONG1_00723
ko:K03162	ctrg:SOTONG1_00726
ko:K09013	ctrg:SOTONG1_00730
ko:K09015	ctrg:SOTONG1_00731
ko:K11717	ctrg:SOTONG1_00732
ko:K07220	ctrg:SOTONG1_00736
ko:K03306	ctrg:SOTONG1_00737
ko:K00927	ctrg:SOTONG1_00738
ko:K10773	ctrg:SOTONG1_00742
ko:K03650	ctrg:SOTONG1_00743
ko:K01613	ctrg:SOTONG1_00744
ko:K03070	ctrg:SOTONG1_00746
ko:K03977	ctrg:SOTONG1_00748
ko:K03544	ctrg:SOTONG1_00750
ko:K01358	ctrg:SOTONG1_00751
ko:K03545	ctrg:SOTONG1_00752
ko:K03569	ctrg:SOTONG1_00755
ko:K00057	ctrg:SOTONG1_00760
ko:K00891	ctrg:SOTONG1_00386
ko:K01736	ctrg:SOTONG1_00387
ko:K01735	ctrg:SOTONG1_00388
ko:K13832	ctrg:SOTONG1_00389
ko:K03758	ctrg:SOTONG1_00393
ko:K00024	ctrg:SOTONG1_00395
ko:K01810	ctrg:SOTONG1_00397
ko:K03665	ctrg:SOTONG1_00398
ko:K06167	ctrg:SOTONG1_00399
ko:K09996	ctrg:SOTONG1_00400
ko:K06966	ctrg:SOTONG1_00407
ko:K09131	ctrg:SOTONG1_00408
ko:K10206	ctrg:SOTONG1_00410
ko:K01881	ctrg:SOTONG1_00413
ko:K03705	ctrg:SOTONG1_00414
ko:K03687	ctrg:SOTONG1_00415
ko:K04043	ctrg:SOTONG1_00416
ko:K12573	ctrg:SOTONG1_00417
ko:K07164	ctrg:SOTONG1_00418
ko:K06041	ctrg:SOTONG1_00419
ko:K00658	ctrg:SOTONG1_00420
ko:K00912	ctrg:SOTONG1_00422
ko:K03437	ctrg:SOTONG1_00423
ko:K06969	ctrg:SOTONG1_00424
ko:K00793	ctrg:SOTONG1_00425
ko:K07738	ctrg:SOTONG1_00426
ko:K06204	ctrg:SOTONG1_00427
ko:K03101	ctrg:SOTONG1_00428
ko:K03310	ctrg:SOTONG1_00429
ko:K00748	ctrg:SOTONG1_00431
ko:K09817	ctrg:SOTONG1_00437
ko:K09816	ctrg:SOTONG1_00438
ko:K00425	ctrg:SOTONG1_00014
ko:K00426	ctrg:SOTONG1_00015
ko:K07175	ctrg:SOTONG1_00016
