ko:K01006	fcf:FNFX1_0054
ko:K03602	fcf:FNFX1_1215
ko:K17103	fcf:FNFX1_0356
ko:K14742	fcf:FNFX1_1194
ko:K00239	fcf:FNFX1_1677
ko:K00242	fcf:FNFX1_1678
ko:K01647	fcf:FNFX1_1680
ko:K08218	fcf:FNFX1_1681
ko:K04564	fcf:FNFX1_1683
ko:K07390	fcf:FNFX1_1684
ko:K02114	fcf:FNFX1_1686
ko:K02112	fcf:FNFX1_1687
ko:K02115	fcf:FNFX1_1688
ko:K02111	fcf:FNFX1_1689
ko:K02113	fcf:FNFX1_1690
ko:K02109	fcf:FNFX1_1691
ko:K02110	fcf:FNFX1_1692
ko:K02108	fcf:FNFX1_1693
ko:K06916	fcf:FNFX1_1698
ko:K01892	fcf:FNFX1_1700
ko:K02834	fcf:FNFX1_1701
ko:K02519	fcf:FNFX1_1702
ko:K02600	fcf:FNFX1_1703
ko:K09748	fcf:FNFX1_1704
ko:K01599	fcf:FNFX1_1705
ko:K07391	fcf:FNFX1_1706
ko:K00343	fcf:FNFX1_1708
ko:K00342	fcf:FNFX1_1709
ko:K00341	fcf:FNFX1_1710
ko:K00340	fcf:FNFX1_1711
ko:K00240	fcf:FNFX1_1676
ko:K01591	fcf:FNFX1_0043
ko:K07560	fcf:FNFX1_0046
ko:K01193	fcf:FNFX1_0048
ko:K00052	fcf:FNFX1_0049
ko:K01704	fcf:FNFX1_0050
ko:K01703	fcf:FNFX1_0051
ko:K01649	fcf:FNFX1_0052
ko:K00826	fcf:FNFX1_0053
ko:K04759	fcf:FNFX1_0056
ko:K13288	fcf:FNFX1_0058
ko:K02356	fcf:FNFX1_0059
ko:K02655	fcf:FNFX1_0060
ko:K02517	fcf:FNFX1_0061
ko:K02517	fcf:FNFX1_0062
ko:K03217	fcf:FNFX1_0063
ko:K08998	fcf:FNFX1_0064
ko:K03536	fcf:FNFX1_0065
ko:K02914	fcf:FNFX1_0066
ko:K00014	fcf:FNFX1_0068
ko:K01924	fcf:FNFX1_0069
ko:K07056	fcf:FNFX1_0070
ko:K07015	fcf:FNFX1_0072
ko:K07160	fcf:FNFX1_0078
ko:K01114	fcf:FNFX1_0080
ko:K07220	fcf:FNFX1_0081
ko:K03306	fcf:FNFX1_0082
ko:K03834	fcf:FNFX1_0088
ko:K03501	fcf:FNFX1_0089
ko:K06997	fcf:FNFX1_0090
ko:K06186	fcf:FNFX1_0097
ko:K02968	fcf:FNFX1_0098
ko:K03596	fcf:FNFX1_0099
ko:K00566	fcf:FNFX1_0100
ko:K00228	fcf:FNFX1_0987
ko:K00831	fcf:FNFX1_0989
ko:K00945	fcf:FNFX1_0990
ko:K04761	fcf:FNFX1_0993
ko:K06193	fcf:FNFX1_1005
ko:K06134	fcf:FNFX1_1012
ko:K00024	fcf:FNFX1_1014
ko:K06158	fcf:FNFX1_1018
ko:K02346	fcf:FNFX1_1020
ko:K02687	fcf:FNFX1_1024
ko:K08325	fcf:FNFX1_1025
ko:K01866	fcf:FNFX1_1029
ko:K03800	fcf:FNFX1_1030
ko:K01419	fcf:FNFX1_1032
ko:K03667	fcf:FNFX1_1033
ko:K03305	fcf:FNFX1_1036
ko:K10716	fcf:FNFX1_1037
ko:K00322	fcf:FNFX1_1038
ko:K02654	fcf:FNFX1_1039
ko:K01056	fcf:FNFX1_1042
ko:K06942	fcf:FNFX1_1043
ko:K06999	fcf:FNFX1_0128
ko:K01462	fcf:FNFX1_0102
ko:K00794	fcf:FNFX1_0103
ko:K14652	fcf:FNFX1_0104
ko:K00793	fcf:FNFX1_0105
ko:K11752	fcf:FNFX1_0106
ko:K04773	fcf:FNFX1_0110
ko:K03071	fcf:FNFX1_0113
ko:K03565	fcf:FNFX1_0115
ko:K00925	fcf:FNFX1_0118
ko:K13788	fcf:FNFX1_0119
ko:K01876	fcf:FNFX1_0122
ko:K01147	fcf:FNFX1_0126
ko:K01749	fcf:FNFX1_0129
ko:K06199	fcf:FNFX1_0130
ko:K02494	fcf:FNFX1_0140
ko:K00919	fcf:FNFX1_0141
ko:K02221	fcf:FNFX1_0144
ko:K07566	fcf:FNFX1_0154
ko:K02945	fcf:FNFX1_0155
ko:K01921	fcf:FNFX1_0157
ko:K03589	fcf:FNFX1_0158
ko:K03590	fcf:FNFX1_0159
ko:K03531	fcf:FNFX1_0160
ko:K02535	fcf:FNFX1_0161
ko:K02897	fcf:FNFX1_1046
ko:K00948	fcf:FNFX1_1047
ko:K06987	fcf:FNFX1_1048
ko:K03811	fcf:FNFX1_1053
ko:K03652	fcf:FNFX1_1056
ko:K01590	fcf:FNFX1_1058
ko:K09760	fcf:FNFX1_1063
ko:K03550	fcf:FNFX1_1064
ko:K01159	fcf:FNFX1_1066
ko:K03644	fcf:FNFX1_1069
ko:K02217	fcf:FNFX1_1070
ko:K03305	fcf:FNFX1_1071
ko:K03675	fcf:FNFX1_1074
ko:K10773	fcf:FNFX1_1076
ko:K03723	fcf:FNFX1_1080
ko:K00053	fcf:FNFX1_1081
ko:K01653	fcf:FNFX1_1082
ko:K01652	fcf:FNFX1_1083
ko:K01687	fcf:FNFX1_1085
ko:K01733	fcf:FNFX1_1086
ko:K03978	fcf:FNFX1_1087
ko:K04087	fcf:FNFX1_1089
ko:K04088	fcf:FNFX1_1090
ko:K03665	fcf:FNFX1_1092
ko:K03666	fcf:FNFX1_1093
ko:K00791	fcf:FNFX1_1094
ko:K03770	fcf:FNFX1_1095
ko:K03530	fcf:FNFX1_1096
ko:K01338	fcf:FNFX1_1097
ko:K03544	fcf:FNFX1_1098
ko:K01358	fcf:FNFX1_1099
ko:K03545	fcf:FNFX1_1100
ko:K04758	fcf:FNFX1_1403
ko:K00283	fcf:FNFX1_0493
ko:K00014	fcf:FNFX1_0498
ko:K00975	fcf:FNFX1_0502
ko:K00703	fcf:FNFX1_0503
ko:K00688	fcf:FNFX1_0504
ko:K00705	fcf:FNFX1_0505
ko:K01878	fcf:FNFX1_0507
ko:K01928	fcf:FNFX1_0508
ko:K01929	fcf:FNFX1_0510
ko:K00133	fcf:FNFX1_0511
ko:K12524	fcf:FNFX1_0512
ko:K03500	fcf:FNFX1_1385
ko:K01972	fcf:FNFX1_1388
ko:K00606	fcf:FNFX1_1390
ko:K01918	fcf:FNFX1_1391
ko:K01579	fcf:FNFX1_1392
ko:K03525	fcf:FNFX1_1393
ko:K03581	fcf:FNFX1_1394
ko:K03582	fcf:FNFX1_1395
ko:K03583	fcf:FNFX1_1397
ko:K02343	fcf:FNFX1_0162
ko:K02836	fcf:FNFX1_0163
ko:K04567	fcf:FNFX1_0164
ko:K01425	fcf:FNFX1_0167
ko:K01915	fcf:FNFX1_0168
ko:K02340	fcf:FNFX1_0169
ko:K03098	fcf:FNFX1_0170
ko:K00602	fcf:FNFX1_0172
ko:K01939	fcf:FNFX1_0173
ko:K00760	fcf:FNFX1_0174
ko:K06077	fcf:FNFX1_0181
ko:K03809	fcf:FNFX1_0182
ko:K07058	fcf:FNFX1_0183
ko:K04066	fcf:FNFX1_0185
ko:K01713	fcf:FNFX1_0187
ko:K00426	fcf:FNFX1_0189
ko:K00425	fcf:FNFX1_0190
ko:K02297	fcf:FNFX1_0193
ko:K02298	fcf:FNFX1_0194
ko:K02299	fcf:FNFX1_0195
ko:K02300	fcf:FNFX1_0196
ko:K02536	fcf:FNFX1_0198
ko:K00868	fcf:FNFX1_0200
ko:K03924	fcf:FNFX1_0204
ko:K01304	fcf:FNFX1_0211
ko:K02339	fcf:FNFX1_0213
ko:K01873	fcf:FNFX1_0214
ko:K10679	fcf:FNFX1_0218
ko:K06168	fcf:FNFX1_1104
ko:K07042	fcf:FNFX1_1106
ko:K06189	fcf:FNFX1_1107
ko:K03820	fcf:FNFX1_1108
ko:K01173	fcf:FNFX1_1114
ko:K05810	fcf:FNFX1_1116
ko:K00820	fcf:FNFX1_1125
ko:K06956	fcf:FNFX1_1127
ko:K01673	fcf:FNFX1_1133
ko:K00800	fcf:FNFX1_1137
ko:K03089	fcf:FNFX1_1138
ko:K03074	fcf:FNFX1_1140
ko:K03072	fcf:FNFX1_1141
ko:K03210	fcf:FNFX1_1142
ko:K00773	fcf:FNFX1_1147
ko:K08591	fcf:FNFX1_1152
ko:K02071	fcf:FNFX1_1153
ko:K01770	fcf:FNFX1_1157
ko:K03802	fcf:FNFX1_1159
ko:K02426	fcf:FNFX1_1409
ko:K01881	fcf:FNFX1_1412
ko:K14287	fcf:FNFX1_1413
ko:K03625	fcf:FNFX1_1418
ko:K09160	fcf:FNFX1_1421
ko:K07090	fcf:FNFX1_1423
ko:K03439	fcf:FNFX1_1434
ko:K00858	fcf:FNFX1_1436
ko:K00872	fcf:FNFX1_0513
ko:K01733	fcf:FNFX1_0514
ko:K12308	fcf:FNFX1_0516
ko:K03269	fcf:FNFX1_0517
ko:K00762	fcf:FNFX1_0518
ko:K02558	fcf:FNFX1_0519
ko:K03218	fcf:FNFX1_0520
ko:K15738	fcf:FNFX1_0526
ko:K03305	fcf:FNFX1_0527
ko:K01886	fcf:FNFX1_0529
ko:K01610	fcf:FNFX1_0530
ko:K01000	fcf:FNFX1_0531
ko:K01925	fcf:FNFX1_0532
ko:K03588	fcf:FNFX1_0533
