ko:K06900	bmab:BM45_4020
ko:K16238	bmab:BM45_2924
ko:K00632	bmab:BM45_524
ko:K15634	bmab:BM45_2518
ko:K18816	bmab:BM45_4710
ko:K01458	bmab:BM45_3845
ko:K05375	bmab:BM45_3511
ko:K19416	bmab:BM45_1550
ko:K11209	bmab:BM45_2514
ko:K11209	bmab:BM45_1736
ko:K00821	bmab:BM45_2292
ko:K02351	bmab:BM45_989
ko:K07485	bmab:BM45_2193
ko:K07485	bmab:BM45_1400
ko:K07485	bmab:BM45_2260
ko:K07485	bmab:BM45_2393
ko:K07485	bmab:BM45_2813
ko:K07485	bmab:BM45_3386
ko:K07485	bmab:BM45_823
ko:K07492	bmab:BM45_1666
ko:K12979	bmab:BM45_4891
ko:K21449	bmab:BM45_4964
ko:K22589	bmab:BM45_764
ko:K21678	bmab:BM45_4449
ko:K21345	bmab:BM45_2737
ko:K21344	bmab:BM45_2351
ko:K05882	bmab:BM45_3240
ko:K00344	bmab:BM45_2168
ko:K07749	bmab:BM45_1542
ko:K02483	bmab:BM45_3691
ko:K01738	bmab:BM45_1302
ko:K01697	bmab:BM45_1302
ko:K15355	bmab:BM45_3389
ko:K00108	bmab:BM45_3624
ko:K00344	bmab:BM45_4501
ko:K05874	bmab:BM45_1718
ko:K00091	bmab:BM45_4568
ko:K00108	bmab:BM45_2972
ko:K01801	bmab:BM45_2863
ko:K21757	bmab:BM45_4314
ko:K03332	bmab:BM45_4786
ko:K06020	bmab:BM45_4830
ko:K00344	bmab:BM45_2210
ko:K22468	bmab:BM45_3537
ko:K01560	bmab:BM45_4829
ko:K01126	bmab:BM45_4832
ko:K11735	bmab:BM45_4835
ko:K00331	bmab:BM45_4837
ko:K06942	bmab:BM45_4839
ko:K03981	bmab:BM45_4843
ko:K01118	bmab:BM45_4845
ko:K03648	bmab:BM45_4846
ko:K01609	bmab:BM45_4848
ko:K00766	bmab:BM45_4849
ko:K01658	bmab:BM45_4850
ko:K01657	bmab:BM45_4851
ko:K01091	bmab:BM45_4852
ko:K01783	bmab:BM45_4853
ko:K06195	bmab:BM45_4854
ko:K14232	bmab:BM45_2006
ko:K14232	bmab:BM45_2688
ko:K14232	bmab:BM45_1679
ko:K14234	bmab:BM45_128
ko:K14224	bmab:BM45_1321
ko:K14218	bmab:BM45_1320
ko:K14218	bmab:BM45_3101
ko:K14219	bmab:BM45_820
ko:K14219	bmab:BM45_821
ko:K14230	bmab:BM45_597
