ko:K01212	bso:BSNT_10032
ko:K21900	bso:BSNT_10423
ko:K02338	bso:BSNT_00002
ko:K05985	bso:BSNT_00076
ko:K00943	bso:BSNT_00060
ko:K02313	bso:BSNT_00001
ko:K03629	bso:BSNT_00004
ko:K02470	bso:BSNT_00006
ko:K02469	bso:BSNT_00008
ko:K22044	bso:BSNT_07915
ko:K05592	bso:BSNT_10582
ko:K02499	bso:BSNT_00097
ko:K03296	bso:BSNT_07050
ko:K09022	bso:BSNT_00084
ko:K02528	bso:BSNT_00078
ko:K06436	bso:BSNT_00079
ko:K06423	bso:BSNT_00081
ko:K06412	bso:BSNT_00085
ko:K04042	bso:BSNT_00087
ko:K00948	bso:BSNT_00088
ko:K01056	bso:BSNT_00091
ko:K03723	bso:BSNT_00094
ko:K07571	bso:BSNT_00104
ko:K21064	bso:BSNT_07547
ko:K14218	bso:BSNT_00013
ko:K09770	bso:BSNT_00062
ko:K02341	bso:BSNT_00063
ko:K01874	bso:BSNT_00072
ko:K03424	bso:BSNT_00073
ko:K14230	bso:BSNT_00105
ko:K14227	bso:BSNT_00011
ko:K08221	bso:BSNT_07127
ko:K03892	bso:BSNT_06888
ko:K05799	bso:BSNT_06561
ko:K05799	bso:BSNT_10000
ko:K21471	bso:BSNT_10107
ko:K21469	bso:BSNT_06472
ko:K21472	bso:BSNT_09716
ko:K21466	bso:BSNT_07891
ko:K03100	bso:BSNT_90005
ko:K14223	bso:BSNT_08918
ko:K14223	bso:BSNT_06482
ko:K22579	bso:BSNT_10146
ko:K01487	bso:BSNT_07804
ko:K15640	bso:BSNT_07472
ko:K14218	bso:BSNT_06369
ko:K14218	bso:BSNT_06316
ko:K14218	bso:BSNT_06453
ko:K14218	bso:BSNT_09535
ko:K14233	bso:BSNT_09523
ko:K14233	bso:BSNT_06829
ko:K01612	bso:BSNT_06700
ko:K07097	bso:BSNT_08407
ko:K02483	bso:BSNT_06713
ko:K16170	bso:BSNT_09725
ko:K00525	bso:BSNT_08257
ko:K01980	bso:BSNT_06318
ko:K01980	bso:BSNT_06295
ko:K01980	bso:BSNT_06460
ko:K01980	bso:BSNT_06358
ko:K01980	bso:BSNT_06372
ko:K21755	bso:BSNT_06698
ko:K01785	bso:BSNT_08424
ko:K00681	bso:BSNT_08431
ko:K13955	bso:BSNT_08433
ko:K00266	bso:BSNT_08434
ko:K00265	bso:BSNT_08435
ko:K09681	bso:BSNT_08436
