ko:K12978	fpi:BF30_727
ko:K14219	fpi:BF30_1338
ko:K14235	fpi:BF30_1278
ko:K14227	fpi:BF30_1105
ko:K14227	fpi:BF30_560
ko:K14227	fpi:BF30_1634
ko:K03602	fpi:BF30_244
ko:K19416	fpi:BF30_1824
ko:K19561	fpi:BF30_52
ko:K01990	fpi:BF30_374
ko:K02650	fpi:BF30_1
ko:K18431	fpi:BF30_1414
ko:K00604	fpi:BF30_70
ko:K03325	fpi:BF30_74
ko:K03297	fpi:BF30_75
ko:K12297	fpi:BF30_76
ko:K03313	fpi:BF30_91
ko:K07733	fpi:BF30_95
ko:K03554	fpi:BF30_98
ko:K07146	fpi:BF30_100
ko:K00228	fpi:BF30_101
ko:K00831	fpi:BF30_102
ko:K00945	fpi:BF30_104
ko:K00278	fpi:BF30_106
ko:K00767	fpi:BF30_107
ko:K03517	fpi:BF30_108
ko:K00942	fpi:BF30_109
ko:K05592	fpi:BF30_110
ko:K03769	fpi:BF30_111
ko:K08137	fpi:BF30_114
ko:K00965	fpi:BF30_115
ko:K00849	fpi:BF30_116
ko:K00979	fpi:BF30_121
ko:K09791	fpi:BF30_122
ko:K03703	fpi:BF30_125
ko:K03684	fpi:BF30_126
ko:K09966	fpi:BF30_127
ko:K01879	fpi:BF30_129
ko:K07015	fpi:BF30_961
ko:K07056	fpi:BF30_963
ko:K01924	fpi:BF30_964
ko:K00014	fpi:BF30_965
ko:K02914	fpi:BF30_967
ko:K03536	fpi:BF30_968
ko:K08998	fpi:BF30_969
ko:K03217	fpi:BF30_970
ko:K02517	fpi:BF30_971
ko:K02517	fpi:BF30_972
ko:K02655	fpi:BF30_973
ko:K02356	fpi:BF30_974
ko:K13288	fpi:BF30_975
ko:K01006	fpi:BF30_977
ko:K00826	fpi:BF30_978
ko:K01649	fpi:BF30_979
ko:K01703	fpi:BF30_980
ko:K01704	fpi:BF30_981
ko:K00052	fpi:BF30_982
ko:K03305	fpi:BF30_983
ko:K01193	fpi:BF30_984
ko:K07560	fpi:BF30_987
ko:K00254	fpi:BF30_990
ko:K01591	fpi:BF30_991
ko:K02956	fpi:BF30_408
ko:K03587	fpi:BF30_409
ko:K03586	fpi:BF30_410
ko:K03438	fpi:BF30_411
ko:K10563	fpi:BF30_413
ko:K08681	fpi:BF30_414
ko:K06215	fpi:BF30_415
ko:K02470	fpi:BF30_416
ko:K05539	fpi:BF30_418
ko:K01903	fpi:BF30_421
ko:K01902	fpi:BF30_422
ko:K03305	fpi:BF30_428
ko:K01424	fpi:BF30_429
ko:K06201	fpi:BF30_431
ko:K01091	fpi:BF30_433
ko:K00384	fpi:BF30_434
ko:K03572	fpi:BF30_436
ko:K06949	fpi:BF30_439
ko:K11073	fpi:BF30_440
ko:K03548	fpi:BF30_442
ko:K07462	fpi:BF30_443
ko:K03524	fpi:BF30_444
ko:K04568	fpi:BF30_445
ko:K16052	fpi:BF30_446
ko:K01961	fpi:BF30_448
ko:K02160	fpi:BF30_449
ko:K03786	fpi:BF30_450
ko:K01525	fpi:BF30_451
ko:K02528	fpi:BF30_452
ko:K03771	fpi:BF30_453
ko:K04744	fpi:BF30_454
ko:K01887	fpi:BF30_455
ko:K03305	fpi:BF30_456
ko:K01424	fpi:BF30_457
ko:K03216	fpi:BF30_458
ko:K01698	fpi:BF30_459
ko:K07574	fpi:BF30_460
ko:K01409	fpi:BF30_1288
ko:K00789	fpi:BF30_1290
ko:K02959	fpi:BF30_1291
ko:K02860	fpi:BF30_1292
ko:K00554	fpi:BF30_1293
ko:K02884	fpi:BF30_1294
ko:K04763	fpi:BF30_1295
ko:K08311	fpi:BF30_1302
ko:K03806	fpi:BF30_1304
ko:K02622	fpi:BF30_1307
ko:K17713	fpi:BF30_1309
ko:K02492	fpi:BF30_1311
ko:K02835	fpi:BF30_1312
ko:K02493	fpi:BF30_1314
ko:K00783	fpi:BF30_1313
ko:K09861	fpi:BF30_1315
ko:K07107	fpi:BF30_1320
ko:K02078	fpi:BF30_1326
ko:K02078	fpi:BF30_1327
ko:K00647	fpi:BF30_1330
ko:K00059	fpi:BF30_1332
ko:K09458	fpi:BF30_1333
ko:K04759	fpi:BF30_1336
ko:K04758	fpi:BF30_1337
ko:K04078	fpi:BF30_1340
ko:K04079	fpi:BF30_759
ko:K10716	fpi:BF30_760
ko:K02879	fpi:BF30_761
ko:K03040	fpi:BF30_762
ko:K02986	fpi:BF30_763
ko:K02948	fpi:BF30_764
ko:K02952	fpi:BF30_765
ko:K02919	fpi:BF30_766
ko:K03076	fpi:BF30_767
ko:K02876	fpi:BF30_768
ko:K02907	fpi:BF30_769
ko:K02988	fpi:BF30_770
ko:K02881	fpi:BF30_771
ko:K02933	fpi:BF30_772
ko:K02994	fpi:BF30_773
ko:K02954	fpi:BF30_774
ko:K02931	fpi:BF30_775
ko:K02895	fpi:BF30_776
ko:K02874	fpi:BF30_777
ko:K02961	fpi:BF30_778
ko:K02904	fpi:BF30_779
ko:K02878	fpi:BF30_780
ko:K02982	fpi:BF30_781
ko:K02890	fpi:BF30_782
ko:K02965	fpi:BF30_783
ko:K02886	fpi:BF30_784
ko:K02892	fpi:BF30_785
ko:K02926	fpi:BF30_786
ko:K02906	fpi:BF30_787
