ko:K19296	ppud:DW66_4804
ko:K18893	ppud:DW66_4326
ko:K10747	ppud:DW66_4541
ko:K22350	ppud:DW66_3001
ko:K18923	ppud:DW66_2337
ko:K00130	ppud:DW66_0715
ko:K03297	ppud:DW66_5161
ko:K07749	ppud:DW66_1408
ko:K22617	ppud:DW66_4695
ko:K16238	ppud:DW66_0554
ko:K00344	ppud:DW66_5579
ko:K01729	ppud:DW66_4801
ko:K11741	ppud:DW66_1634
ko:K11741	ppud:DW66_1273
ko:K03111	ppud:DW66_0495
ko:K07497	ppud:DW66_4980
ko:K18968	ppud:DW66_4497
ko:K16841	ppud:DW66_4141
ko:K19611	ppud:DW66_2100
ko:K01777	ppud:DW66_4412
ko:K00505	ppud:DW66_2934
ko:K19745	ppud:DW66_2653
ko:K19746	ppud:DW66_2104
ko:K22616	ppud:DW66_3625
ko:K22616	ppud:DW66_3782
ko:K12253	ppud:DW66_3462
ko:K01007	ppud:DW66_1937
ko:K21430	ppud:DW66_2056
ko:K22349	ppud:DW66_3228
ko:K16088	ppud:DW66_0277
ko:K05799	ppud:DW66_3933
ko:K01139	ppud:DW66_5721
ko:K00249	ppud:DW66_3708
ko:K00248	ppud:DW66_5180
ko:K00042	ppud:DW66_4131
ko:K01800	ppud:DW66_4835
ko:K07391	ppud:DW66_5612
ko:K11747	ppud:DW66_5666
ko:K03473	ppud:DW66_1971
ko:K00826	ppud:DW66_2831
ko:K02234	ppud:DW66_2834
ko:K02230	ppud:DW66_2835
ko:K03405	ppud:DW66_2836
ko:K13580	ppud:DW66_2837
ko:K11209	ppud:DW66_2840
ko:K00428	ppud:DW66_2846
ko:K06991	ppud:DW66_2853
ko:K11102	ppud:DW66_2854
ko:K04064	ppud:DW66_2858
ko:K03119	ppud:DW66_2861
ko:K07002	ppud:DW66_2868
ko:K07003	ppud:DW66_2872
ko:K00666	ppud:DW66_2874
ko:K00567	ppud:DW66_2875
ko:K00383	ppud:DW66_3731
ko:K00963	ppud:DW66_3732
ko:K00459	ppud:DW66_3738
ko:K02020	ppud:DW66_3739
ko:K02018	ppud:DW66_3740
ko:K02017	ppud:DW66_3741
ko:K03168	ppud:DW66_3742
ko:K03563	ppud:DW66_3743
ko:K08482	ppud:DW66_3745
ko:K15977	ppud:DW66_3748
ko:K13953	ppud:DW66_3750
ko:K03566	ppud:DW66_3752
ko:K07233	ppud:DW66_3759
ko:K17686	ppud:DW66_3761
ko:K07644	ppud:DW66_3768
ko:K07665	ppud:DW66_3769
ko:K03776	ppud:DW66_3772
ko:K07091	ppud:DW66_3776
ko:K11720	ppud:DW66_3777
ko:K07276	ppud:DW66_3781
ko:K06980	ppud:DW66_4617
ko:K07649	ppud:DW66_4619
ko:K07774	ppud:DW66_4620
ko:K07795	ppud:DW66_4622
ko:K07794	ppud:DW66_4623
ko:K07793	ppud:DW66_4624
ko:K07120	ppud:DW66_4625
ko:K03648	ppud:DW66_4626
ko:K06183	ppud:DW66_4630
ko:K08988	ppud:DW66_4635
ko:K05349	ppud:DW66_4636
ko:K10125	ppud:DW66_4637
ko:K10126	ppud:DW66_4638
ko:K01652	ppud:DW66_4647
ko:K03566	ppud:DW66_4648
ko:K07118	ppud:DW66_4649
ko:K03577	ppud:DW66_4654
ko:K03585	ppud:DW66_4655
ko:K18138	ppud:DW66_4656
ko:K18139	ppud:DW66_4657
ko:K01607	ppud:DW66_4660
ko:K01055	ppud:DW66_4661
ko:K01857	ppud:DW66_4662
ko:K07823	ppud:DW66_4664
ko:K01040	ppud:DW66_4665
ko:K01039	ppud:DW66_4666
ko:K08195	ppud:DW66_4667
ko:K02624	ppud:DW66_4668
ko:K16322	ppud:DW66_4670
ko:K06915	ppud:DW66_4671
ko:K02004	ppud:DW66_0198
ko:K02003	ppud:DW66_0199
ko:K03710	ppud:DW66_0205
ko:K02051	ppud:DW66_0208
ko:K02050	ppud:DW66_0209
ko:K02049	ppud:DW66_0210
ko:K00135	ppud:DW66_0214
ko:K14268	ppud:DW66_0215
ko:K02072	ppud:DW66_0221
ko:K02071	ppud:DW66_0222
ko:K02073	ppud:DW66_0223
ko:K10010	ppud:DW66_0228
ko:K10009	ppud:DW66_0229
ko:K02424	ppud:DW66_0230
ko:K00640	ppud:DW66_0231
ko:K02168	ppud:DW66_0232
ko:K03119	ppud:DW66_0233
ko:K15552	ppud:DW66_0234
ko:K10831	ppud:DW66_0235
ko:K15551	ppud:DW66_0236
ko:K00299	ppud:DW66_0239
ko:K15553	ppud:DW66_0240
ko:K04091	ppud:DW66_0241
ko:K15554	ppud:DW66_0242
ko:K15555	ppud:DW66_0243
ko:K01919	ppud:DW66_0246
ko:K02614	ppud:DW66_0247
ko:K06959	ppud:DW66_0248
ko:K02053	ppud:DW66_1081
ko:K02054	ppud:DW66_1082
ko:K02052	ppud:DW66_1083
ko:K02055	ppud:DW66_1084
ko:K13487	ppud:DW66_1086
ko:K13488	ppud:DW66_1087
ko:K13486	ppud:DW66_1088
ko:K13489	ppud:DW66_1089
ko:K13490	ppud:DW66_1090
ko:K13491	ppud:DW66_1091
ko:K11444	ppud:DW66_1092
ko:K02836	ppud:DW66_1093
ko:K04567	ppud:DW66_1094
ko:K06889	ppud:DW66_1098
ko:K01595	ppud:DW66_1103
ko:K00939	ppud:DW66_1104
ko:K15984	ppud:DW66_1111
ko:K18301	ppud:DW66_1113
ko:K18302	ppud:DW66_1114
ko:K18303	ppud:DW66_1115
ko:K09914	ppud:DW66_1117
ko:K09914	ppud:DW66_1119
ko:K00631	ppud:DW66_1120
ko:K03704	ppud:DW66_1122
ko:K00563	ppud:DW66_1124
ko:K01439	ppud:DW66_1125
ko:K02426	ppud:DW66_1128
ko:K01766	ppud:DW66_1129
ko:K00674	ppud:DW66_1130
ko:K00537	ppud:DW66_1131
ko:K03316	ppud:DW66_1132
ko:K14267	ppud:DW66_1133
ko:K00990	ppud:DW66_1134
ko:K01265	ppud:DW66_1135
ko:K02967	ppud:DW66_1136
ko:K02357	ppud:DW66_1137
ko:K06147	ppud:DW66_1974
ko:K03406	ppud:DW66_1976
ko:K00116	ppud:DW66_1977
ko:K03638	ppud:DW66_1979
ko:K03750	ppud:DW66_1980
ko:K03415	ppud:DW66_1986
ko:K07140	ppud:DW66_1987
ko:K08309	ppud:DW66_1988
ko:K15738	ppud:DW66_1989
ko:K06149	ppud:DW66_1990
ko:K01825	ppud:DW66_1992
ko:K03168	ppud:DW66_1995
ko:K13053	ppud:DW66_1998
ko:K01356	ppud:DW66_1999
ko:K01207	ppud:DW66_2002
ko:K01207	ppud:DW66_2003
ko:K03723	ppud:DW66_2006
ko:K00134	ppud:DW66_2007
ko:K06966	ppud:DW66_5107
ko:K02939	ppud:DW66_5110
ko:K02963	ppud:DW66_5112
ko:K02990	ppud:DW66_5113
ko:K03218	ppud:DW66_5114
ko:K12573	ppud:DW66_5115
ko:K02012	ppud:DW66_5117
ko:K02011	ppud:DW66_5118
ko:K11903	ppud:DW66_5120
ko:K01939	ppud:DW66_5122
ko:K02502	ppud:DW66_5123
ko:K04087	ppud:DW66_5124
ko:K04088	ppud:DW66_5125
ko:K03665	ppud:DW66_5126
ko:K03666	ppud:DW66_5127
ko:K00791	ppud:DW66_5128
ko:K03572	ppud:DW66_5129
ko:K01448	ppud:DW66_5130
ko:K06925	ppud:DW66_5131
ko:K17758	ppud:DW66_5132
ko:K13288	ppud:DW66_5135
ko:K06949	ppud:DW66_5136
ko:K02557	ppud:DW66_5137
ko:K02556	ppud:DW66_5138
ko:K01011	ppud:DW66_5141
ko:K01613	ppud:DW66_5142
ko:K01079	ppud:DW66_5143
ko:K09857	ppud:DW66_5145
ko:K02621	ppud:DW66_5146
ko:K06985	ppud:DW66_5147
ko:K02622	ppud:DW66_5149
ko:K07000	ppud:DW66_5150
ko:K03651	ppud:DW66_5151
ko:K09920	ppud:DW66_5152
ko:K01515	ppud:DW66_5153
ko:K03147	ppud:DW66_5156
ko:K12340	ppud:DW66_5157
ko:K02527	ppud:DW66_5159
ko:K03734	ppud:DW66_2008
ko:K00322	ppud:DW66_2009
ko:K01126	ppud:DW66_2010
ko:K09808	ppud:DW66_2012
ko:K09810	ppud:DW66_2013
ko:K09808	ppud:DW66_2014
ko:K07644	ppud:DW66_2016
ko:K06879	ppud:DW66_2018
ko:K04754	ppud:DW66_2021
ko:K03769	ppud:DW66_2884
ko:K01907	ppud:DW66_2885
ko:K08276	ppud:DW66_2886
ko:K00019	ppud:DW66_2887
ko:K13895	ppud:DW66_2890
ko:K13894	ppud:DW66_2891
ko:K13893	ppud:DW66_2892
ko:K03769	ppud:DW66_2893
ko:K01626	ppud:DW66_2894
ko:K06910	ppud:DW66_2897
ko:K01150	ppud:DW66_2899
ko:K01652	ppud:DW66_2902
ko:K07112	ppud:DW66_2908
ko:K07112	ppud:DW66_2909
ko:K07001	ppud:DW66_2913
ko:K00156	ppud:DW66_2914
ko:K14189	ppud:DW66_2927
ko:K07124	ppud:DW66_2928
ko:K05800	ppud:DW66_2935
ko:K07006	ppud:DW66_3806
ko:K00799	ppud:DW66_3807
ko:K07491	ppud:DW66_3818
ko:K04774	ppud:DW66_3829
ko:K07090	ppud:DW66_3841
ko:K03406	ppud:DW66_4672
ko:K14335	ppud:DW66_4673
ko:K06986	ppud:DW66_4674
ko:K01433	ppud:DW66_4676
ko:K01141	ppud:DW66_4678
ko:K00873	ppud:DW66_4681
ko:K01676	ppud:DW66_4684
ko:K05520	ppud:DW66_4688
ko:K05596	ppud:DW66_4701
ko:K06895	ppud:DW66_4702
ko:K04564	ppud:DW66_4703
ko:K00117	ppud:DW66_4707
ko:K07231	ppud:DW66_4709
ko:K07338	ppud:DW66_4711
ko:K09947	ppud:DW66_4712
ko:K03585	ppud:DW66_4713
ko:K18138	ppud:DW66_4714
ko:K04077	ppud:DW66_4721
ko:K04078	ppud:DW66_4722
ko:K07113	ppud:DW66_4724
ko:K07226	ppud:DW66_4725
ko:K07659	ppud:DW66_0250
ko:K07638	ppud:DW66_0251
ko:K05844	ppud:DW66_0252
ko:K04762	ppud:DW66_0254
ko:K04083	ppud:DW66_0256
ko:K01610	ppud:DW66_0257
ko:K07107	ppud:DW66_0258
ko:K02379	ppud:DW66_0261
ko:K08312	ppud:DW66_0264
ko:K01082	ppud:DW66_0265
ko:K10126	ppud:DW66_0267
ko:K10125	ppud:DW66_0268
ko:K01790	ppud:DW66_0270
ko:K10536	ppud:DW66_0271
ko:K02014	ppud:DW66_0272
ko:K02029	ppud:DW66_0282
ko:K02029	ppud:DW66_0283
ko:K02030	ppud:DW66_0284
ko:K02028	ppud:DW66_0285
ko:K11735	ppud:DW66_0286
ko:K03575	ppud:DW66_0290
ko:K07289	ppud:DW66_0291
ko:K01693	ppud:DW66_0294
ko:K02501	ppud:DW66_0295
ko:K01814	ppud:DW66_0297
ko:K02500	ppud:DW66_0298
ko:K02000	ppud:DW66_0299
ko:K02001	ppud:DW66_0300
ko:K02002	ppud:DW66_0301
ko:K09903	ppud:DW66_1138
ko:K02838	ppud:DW66_1139
ko:K00806	ppud:DW66_1140
ko:K00981	ppud:DW66_1141
ko:K00099	ppud:DW66_1142
ko:K11749	ppud:DW66_1143
ko:K07277	ppud:DW66_1144
ko:K06142	ppud:DW66_1145
ko:K02536	ppud:DW66_1146
ko:K02372	ppud:DW66_1147
ko:K00677	ppud:DW66_1148
ko:K00748	ppud:DW66_1149
ko:K03470	ppud:DW66_1150
ko:K02337	ppud:DW66_1152
ko:K01962	ppud:DW66_1153
ko:K04075	ppud:DW66_1154
ko:K01937	ppud:DW66_1155
ko:K01627	ppud:DW66_1156
ko:K01689	ppud:DW66_1157
ko:K05589	ppud:DW66_1158
ko:K00991	ppud:DW66_1159
ko:K00121	ppud:DW66_1161
ko:K01070	ppud:DW66_1162
ko:K01770	ppud:DW66_1163
ko:K06176	ppud:DW66_1164
ko:K03787	ppud:DW66_1165
ko:K00573	ppud:DW66_1166
ko:K06194	ppud:DW66_1167
ko:K03087	ppud:DW66_1168
ko:K05524	ppud:DW66_1169
ko:K03555	ppud:DW66_1170
ko:K03743	ppud:DW66_1171
ko:K15785	ppud:DW66_1174
ko:K15784	ppud:DW66_1176
ko:K02028	ppud:DW66_1178
ko:K02029	ppud:DW66_1180
ko:K02029	ppud:DW66_1181
ko:K02030	ppud:DW66_1182
ko:K15783	ppud:DW66_1185
ko:K00285	ppud:DW66_1189
ko:K03823	ppud:DW66_1192
ko:K00616	ppud:DW66_2026
ko:K05539	ppud:DW66_2027
ko:K13652	ppud:DW66_2028
ko:K00058	ppud:DW66_2034
ko:K01053	ppud:DW66_2038
ko:K00127	ppud:DW66_2041
ko:K00124	ppud:DW66_2042
ko:K00123	ppud:DW66_2043
ko:K00126	ppud:DW66_2044
ko:K06169	ppud:DW66_2046
ko:K07165	ppud:DW66_2050
ko:K02014	ppud:DW66_2051
ko:K11073	ppud:DW66_2053
ko:K01480	ppud:DW66_2054
ko:K06916	ppud:DW66_2057
ko:K08303	ppud:DW66_2064
ko:K05306	ppud:DW66_2067
ko:K03430	ppud:DW66_2068
ko:K01895	ppud:DW66_2073
ko:K00626	ppud:DW66_2075
ko:K01692	ppud:DW66_2077
ko:K06204	ppud:DW66_2078
ko:K05564	ppud:DW66_2082
ko:K07154	ppud:DW66_2941
ko:K02616	ppud:DW66_2943
ko:K02617	ppud:DW66_2944
ko:K01692	ppud:DW66_2945
ko:K15866	ppud:DW66_2946
ko:K00074	ppud:DW66_2947
ko:K02614	ppud:DW66_2948
ko:K01912	ppud:DW66_2950
ko:K02609	ppud:DW66_2951
ko:K02610	ppud:DW66_2952
ko:K02611	ppud:DW66_2953
ko:K02612	ppud:DW66_2954
ko:K02613	ppud:DW66_2955
ko:K14393	ppud:DW66_2957
ko:K02618	ppud:DW66_2959
ko:K13924	ppud:DW66_2963
ko:K07027	ppud:DW66_2970
ko:K10979	ppud:DW66_2979
ko:K01243	ppud:DW66_2981
