ko:K19079	sauk:SAI3T3_1005120
ko:K00130	sauk:SAI3T3_1019510
ko:K19005	sauk:SAI3T3_1005570
ko:K19285	sauk:SAI3T3_1002890
ko:K00561	sauk:SAI3T3_1015840
ko:K00561	sauk:SAI3T3_1019340
ko:K05352	sauk:SAI3T3_1001970
ko:K00561	sauk:SAI3T3_1006340
ko:K18938	sauk:SAI3T3_20060
ko:K18934	sauk:SAI3T3_1016090
ko:K18934	sauk:SAI3T3_1016100
ko:K11442	sauk:SAI3T3_1016140
ko:K08168	sauk:SAI3T3_1000920
ko:K18936	sauk:SAI3T3_1017900
ko:K18935	sauk:SAI3T3_1016120
ko:K03328	sauk:SAI3T3_1000870
ko:K03328	sauk:SAI3T3_1003750
ko:K18940	sauk:SAI3T3_1010230
ko:K19975	sauk:SAI3T3_1004860
ko:K19973	sauk:SAI3T3_1004880
ko:K19080	sauk:SAI3T3_1005130
ko:K02479	sauk:SAI3T3_1013670
ko:K02483	sauk:SAI3T3_1017500
ko:K14204	sauk:SAI3T3_1014700
ko:K01046	sauk:SAI3T3_1020030
ko:K03293	sauk:SAI3T3_1009590
ko:K22580	sauk:SAI3T3_1007490
ko:K21462	sauk:SAI3T3_1020020
ko:K21463	sauk:SAI3T3_1017460
ko:K00625	sauk:SAI3T3_1004530
ko:K16869	sauk:SAI3T3_1004540
ko:K00869	sauk:SAI3T3_1004550
ko:K01597	sauk:SAI3T3_1004560
ko:K00938	sauk:SAI3T3_1004570
ko:K06885	sauk:SAI3T3_1004660
ko:K13953	sauk:SAI3T3_1004680
ko:K01887	sauk:SAI3T3_1004690
ko:K07457	sauk:SAI3T3_1004700
ko:K02016	sauk:SAI3T3_1004710
ko:K02015	sauk:SAI3T3_1004720
ko:K07025	sauk:SAI3T3_1004730
ko:K09936	sauk:SAI3T3_1004780
ko:K05565	sauk:SAI3T3_1004800
ko:K05568	sauk:SAI3T3_1004810
ko:K05569	sauk:SAI3T3_1004820
ko:K05571	sauk:SAI3T3_1004830
ko:K03316	sauk:SAI3T3_1004840
ko:K03709	sauk:SAI3T3_1004890
ko:K05946	sauk:SAI3T3_1004910
ko:K09693	sauk:SAI3T3_1004920
ko:K07258	sauk:SAI3T3_1004960
ko:K18104	sauk:SAI3T3_1004970
ko:K16323	sauk:SAI3T3_1004980
ko:K02013	sauk:SAI3T3_1005000
ko:K02015	sauk:SAI3T3_1005010
ko:K02015	sauk:SAI3T3_1005020
ko:K05878	sauk:SAI3T3_1005030
ko:K05879	sauk:SAI3T3_1005040
ko:K03570	sauk:SAI3T3_1011960
ko:K04763	sauk:SAI3T3_1012020
ko:K03630	sauk:SAI3T3_1012030
ko:K02236	sauk:SAI3T3_1012040
ko:K11754	sauk:SAI3T3_1012050
ko:K01873	sauk:SAI3T3_1012060
ko:K01246	sauk:SAI3T3_1012070
ko:K07120	sauk:SAI3T3_1012080
ko:K01845	sauk:SAI3T3_1012100
ko:K01698	sauk:SAI3T3_1012110
ko:K01719	sauk:SAI3T3_1012120
ko:K01749	sauk:SAI3T3_1012130
ko:K02497	sauk:SAI3T3_1012140
ko:K02492	sauk:SAI3T3_1012150
ko:K03978	sauk:SAI3T3_1012160
ko:K03544	sauk:SAI3T3_1012170
ko:K03545	sauk:SAI3T3_1012180
ko:K02520	sauk:SAI3T3_1012210
ko:K11733	sauk:SAI3T3_1012220
ko:K01868	sauk:SAI3T3_1012230
ko:K11144	sauk:SAI3T3_1012240
ko:K03346	sauk:SAI3T3_1012250
ko:K07738	sauk:SAI3T3_1012260
ko:K00134	sauk:SAI3T3_1012270
ko:K00859	sauk:SAI3T3_1012280
ko:K10563	sauk:SAI3T3_1012290
ko:K07636	sauk:SAI3T3_1012320
ko:K07658	sauk:SAI3T3_1012330
ko:K00031	sauk:SAI3T3_1012340
ko:K01647	sauk:SAI3T3_1012350
