ko:K02030	bsh:BSU6051_23980
ko:K07149	bsh:BSU6051_40730
ko:K21900	bsh:BSU6051_37650
ko:K21613	bsh:BSU6051_29290
ko:K06979	bsh:BSU6051_02520
ko:K16961	bsh:BSU6051_39500
ko:K02032	bsh:BSU6051_11370
ko:K19551	bsh:BSU6051_34950
ko:K22044	bsh:BSU6051_14210
ko:K10040	bsh:BSU6051_27460
ko:K19578	bsh:BSU6051_24010
ko:K05592	bsh:BSU6051_39110
ko:K19689	bsh:BSU6051_14450
ko:K03297	bsh:BSU6051_33570
ko:K18198	bsh:BSU6051_07060
ko:K11741	bsh:BSU6051_34500
ko:K18924	bsh:BSU6051_34490
ko:K19563	bsh:BSU6051_30230
ko:K18924	bsh:BSU6051_13090
ko:K18939	bsh:BSU6051_39990
ko:K07260	bsh:BSU6051_19620
ko:K18926	bsh:BSU6051_02670
ko:K18939	bsh:BSU6051_02680
ko:K07155	bsh:BSU6051_39980
ko:K01732	bsh:BSU6051_18650
ko:K19427	bsh:BSU6051_34280
ko:K03296	bsh:BSU6051_06710
ko:K14742	bsh:BSU6051_05920
ko:K03293	bsh:BSU6051_34010
ko:K00571	bsh:BSU6051_29480
ko:K18682	bsh:BSU6051_16960
ko:K09022	bsh:BSU6051_00480
ko:K17234	bsh:BSU6051_28750
ko:K07029	bsh:BSU6051_06720
ko:K01233	bsh:BSU6051_26890
ko:K06421	bsh:BSU6051_13470
ko:K16202	bsh:BSU6051_12950
ko:K13614	bsh:BSU6051_17210
ko:K13611	bsh:BSU6051_17180
ko:K11620	bsh:BSU6051_33120
ko:K13037	bsh:BSU6051_37710
ko:K13274	bsh:BSU6051_10770
ko:K15656	bsh:BSU6051_03510
ko:K06337	bsh:BSU6051_30900
ko:K11640	bsh:BSU6051_02730
ko:K08166	bsh:BSU6051_37570
ko:K06344	bsh:BSU6051_11740
ko:K06343	bsh:BSU6051_11750
ko:K16962	bsh:BSU6051_39490
ko:K07315	bsh:BSU6051_34110
ko:K03339	bsh:BSU6051_39670
ko:K16706	bsh:BSU6051_35560
ko:K16699	bsh:BSU6051_35540
ko:K13276	bsh:BSU6051_15300
ko:K16043	bsh:BSU6051_10850
ko:K16593	bsh:BSU6051_30190
ko:K00128	bsh:BSU6051_37960
ko:K00128	bsh:BSU6051_39860
ko:K06389	bsh:BSU6051_12820
ko:K15657	bsh:BSU6051_03520
ko:K16247	bsh:BSU6051_06140
ko:K06359	bsh:BSU6051_12430
ko:K11440	bsh:BSU6051_31050
ko:K06290	bsh:BSU6051_33070
ko:K06339	bsh:BSU6051_12090
ko:K16170	bsh:BSU6051_32430
ko:K11195	bsh:BSU6051_27060
ko:K13615	bsh:BSU6051_17220
ko:K06331	bsh:BSU6051_30920
ko:K02253	bsh:BSU6051_31700
ko:K06321	bsh:BSU6051_19770
ko:K13612	bsh:BSU6051_17190
ko:K06319	bsh:BSU6051_19780
ko:K15654	bsh:BSU6051_03480
ko:K06322	bsh:BSU6051_19760
ko:K16044	bsh:BSU6051_33530
ko:K06358	bsh:BSU6051_18920
ko:K06338	bsh:BSU6051_30910
ko:K13277	bsh:BSU6051_38400
ko:K06376	bsh:BSU6051_13640
ko:K11639	bsh:BSU6051_07610
ko:K06362	bsh:BSU6051_36380
ko:K04757	bsh:BSU6051_04720
ko:K00980	bsh:BSU6051_35740
ko:K02277	bsh:BSU6051_14920
ko:K06400	bsh:BSU6051_25770
ko:K09681	bsh:BSU6051_18460
ko:K06320	bsh:BSU6051_19790
ko:K06336	bsh:BSU6051_24620
ko:K06340	bsh:BSU6051_11780
ko:K07698	bsh:BSU6051_14490
ko:K11814	bsh:BSU6051_17300
ko:K11815	bsh:BSU6051_17290
ko:K06323	bsh:BSU6051_19750
ko:K06352	bsh:BSU6051_12440
ko:K06360	bsh:BSU6051_36690
ko:K06364	bsh:BSU6051_37460
ko:K06366	bsh:BSU6051_06830
ko:K06368	bsh:BSU6051_02820
ko:K06372	bsh:BSU6051_24600
ko:K15327	bsh:BSU6051_17100
ko:K15468	bsh:BSU6051_17230
ko:K06292	bsh:BSU6051_35810
ko:K13613	bsh:BSU6051_17200
ko:K16248	bsh:BSU6051_06160
ko:K06293	bsh:BSU6051_35820
ko:K06361	bsh:BSU6051_03770
ko:K14219	bsh:BSU6051_0082019
ko:K14219	bsh:BSU6051_0157016
ko:K14219	bsh:BSU6051_0589010
ko:K06420	bsh:BSU6051_19950
ko:K01985	bsh:BSU6051_0875012
ko:K01985	bsh:BSU6051_0589014
ko:K10009	bsh:BSU6051_03370
ko:K02424	bsh:BSU6051_03380
ko:K01906	bsh:BSU6051_30240
ko:K06388	bsh:BSU6051_12830
ko:K12263	bsh:BSU6051_35270
ko:K06351	bsh:BSU6051_04080
ko:K06113	bsh:BSU6051_28810
ko:K03483	bsh:BSU6051_04160
ko:K07705	bsh:BSU6051_28920
ko:K11991	bsh:BSU6051_00180
ko:K07979	bsh:BSU6051_30460
ko:K16963	bsh:BSU6051_39480
ko:K16918	bsh:BSU6051_30410
ko:K16920	bsh:BSU6051_30420
ko:K16919	bsh:BSU6051_30440
ko:K16919	bsh:BSU6051_30430
ko:K16921	bsh:BSU6051_30450
ko:K15555	bsh:BSU6051_08830
ko:K14234	bsh:BSU6051_0082014
ko:K14234	bsh:BSU6051_0172012
ko:K14234	bsh:BSU6051_0875020
ko:K06113	bsh:BSU6051_39330
ko:K02303	bsh:BSU6051_15610
ko:K00951	bsh:BSU6051_27600
ko:K03417	bsh:BSU6051_24120
ko:K02015	bsh:BSU6051_07500
ko:K02015	bsh:BSU6051_07510
ko:K02016	bsh:BSU6051_07520
ko:K01728	bsh:BSU6051_07560
ko:K03319	bsh:BSU6051_07570
ko:K00491	bsh:BSU6051_07630
ko:K01512	bsh:BSU6051_07640
ko:K07175	bsh:BSU6051_14810
ko:K01425	bsh:BSU6051_14830
ko:K03588	bsh:BSU6051_14850
ko:K02259	bsh:BSU6051_14870
ko:K02275	bsh:BSU6051_14890
