ko:K19416	sbb:Sbal175_2211
ko:K22317	sbb:Sbal175_2782
ko:K02028	sbb:Sbal175_0977
ko:K19092	sbb:Sbal175_3921
ko:K00632	sbb:Sbal175_1591
ko:K18928	sbb:Sbal175_2985
ko:K18138	sbb:Sbal175_4205
ko:K19591	sbb:Sbal175_2827
ko:K21029	sbb:Sbal175_0170
ko:K18831	sbb:Sbal175_0134
ko:K11741	sbb:Sbal175_1526
ko:K01436	sbb:Sbal175_4039
ko:K21429	sbb:Sbal175_3823
ko:K03111	sbb:Sbal175_0649
ko:K10716	sbb:Sbal175_1851
ko:K03553	sbb:Sbal175_1235
ko:K19736	sbb:Sbal175_3948
ko:K02014	sbb:Sbal175_2926
ko:K15035	sbb:Sbal175_R0115
ko:K14229	sbb:Sbal175_R0104
ko:K14229	sbb:Sbal175_R0106
ko:K14229	sbb:Sbal175_R0107
ko:K14229	sbb:Sbal175_R0109
ko:K14229	sbb:Sbal175_R0105
ko:K14229	sbb:Sbal175_R0108
ko:K14229	sbb:Sbal175_R0110
ko:K16089	sbb:Sbal175_4028
ko:K14221	sbb:Sbal175_R0004
ko:K14221	sbb:Sbal175_R0029
ko:K14221	sbb:Sbal175_R0102
ko:K14221	sbb:Sbal175_R0135
ko:K16088	sbb:Sbal175_2185
ko:K16090	sbb:Sbal175_0804
ko:K16091	sbb:Sbal175_3342
ko:K16088	sbb:Sbal175_2182
ko:K16089	sbb:Sbal175_1955
ko:K16088	sbb:Sbal175_1637
ko:K15726	sbb:Sbal175_3768
ko:K16137	sbb:Sbal175_3979
ko:K15726	sbb:Sbal175_4229
ko:K02358	sbb:Sbal175_0237
ko:K02014	sbb:Sbal175_0603
ko:K00130	sbb:Sbal175_3013
ko:K14234	sbb:Sbal175_R0010
ko:K14234	sbb:Sbal175_R0050
ko:K14234	sbb:Sbal175_R0048
ko:K02014	sbb:Sbal175_3953
ko:K00526	sbb:Sbal175_2115
ko:K16087	sbb:Sbal175_3313
ko:K16087	sbb:Sbal175_2941
ko:K03564	sbb:Sbal175_1774
ko:K03567	sbb:Sbal175_1775
ko:K01714	sbb:Sbal175_1776
ko:K07287	sbb:Sbal175_1777
ko:K04079	sbb:Sbal175_1780
ko:K05838	sbb:Sbal175_1781
ko:K01772	sbb:Sbal175_1783
ko:K00892	sbb:Sbal175_1784
ko:K07154	sbb:Sbal175_1818
ko:K03562	sbb:Sbal175_2599
ko:K07107	sbb:Sbal175_2600
ko:K03683	sbb:Sbal175_2603
ko:K07084	sbb:Sbal175_2605
ko:K00761	sbb:Sbal175_2606
ko:K01933	sbb:Sbal175_2607
ko:K11175	sbb:Sbal175_2608
ko:K01953	sbb:Sbal175_2611
