ko:K19405	ctlc:L2BCAN1_00712
ko:K01921	ctlc:L2BCAN1_00812
ko:K01924	ctlc:L2BCAN1_00812
ko:K03471	ctlc:L2BCAN1_00009
ko:K00033	ctlc:L2BCAN1_00066
ko:K11707	ctlc:L2BCAN1_00070
ko:K11710	ctlc:L2BCAN1_00071
ko:K11708	ctlc:L2BCAN1_00072
ko:K11709	ctlc:L2BCAN1_00073
ko:K01409	ctlc:L2BCAN1_00200
ko:K15582	ctlc:L2BCAN1_00203
ko:K10823	ctlc:L2BCAN1_00204
ko:K15583	ctlc:L2BCAN1_00205
ko:K06889	ctlc:L2BCAN1_00209
ko:K03177	ctlc:L2BCAN1_00097
ko:K06179	ctlc:L2BCAN1_00109
ko:K00059	ctlc:L2BCAN1_00244
ko:K07052	ctlc:L2BCAN1_00261
ko:K02342	ctlc:L2BCAN1_00268
ko:K08483	ctlc:L2BCAN1_00348
ko:K11189	ctlc:L2BCAN1_00349
ko:K00784	ctlc:L2BCAN1_00359
ko:K01719	ctlc:L2BCAN1_00452
ko:K00380	ctlc:L2BCAN1_00454
ko:K01885	ctlc:L2BCAN1_00465
ko:K07098	ctlc:L2BCAN1_00481
ko:K02342	ctlc:L2BCAN1_00563
ko:K07258	ctlc:L2BCAN1_00579
ko:K03227	ctlc:L2BCAN1_00591
ko:K02454	ctlc:L2BCAN1_00599
ko:K00970	ctlc:L2BCAN1_00745
ko:K01596	ctlc:L2BCAN1_00752
ko:K00972	ctlc:L2BCAN1_00757
ko:K01679	ctlc:L2BCAN1_00917
ko:K00939	ctlc:L2BCAN1_00131
ko:K02035	ctlc:L2BCAN1_00142
ko:K02035	ctlc:L2BCAN1_00175
ko:K02049	ctlc:L2BCAN1_00180
ko:K02806	ctlc:L2BCAN1_00297
ko:K02806	ctlc:L2BCAN1_00298
ko:K06889	ctlc:L2BCAN1_00154
ko:K02124	ctlc:L2BCAN1_00310
ko:K02123	ctlc:L2BCAN1_00311
ko:K02120	ctlc:L2BCAN1_00312
ko:K02118	ctlc:L2BCAN1_00313
ko:K02117	ctlc:L2BCAN1_00314
ko:K02121	ctlc:L2BCAN1_00317
ko:K00616	ctlc:L2BCAN1_00320
ko:K03856	ctlc:L2BCAN1_00397
ko:K00970	ctlc:L2BCAN1_00426
ko:K09815	ctlc:L2BCAN1_00431
ko:K00567	ctlc:L2BCAN1_00500
ko:K02033	ctlc:L2BCAN1_00502
ko:K02035	ctlc:L2BCAN1_00503
ko:K02030	ctlc:L2BCAN1_00511
ko:K01262	ctlc:L2BCAN1_00602
ko:K07315	ctlc:L2BCAN1_00616
ko:K00241	ctlc:L2BCAN1_00621
ko:K00241	ctlc:L2BCAN1_00622
ko:K03386	ctlc:L2BCAN1_00632
ko:K02428	ctlc:L2BCAN1_00636
ko:K01834	ctlc:L2BCAN1_00764
ko:K06910	ctlc:L2BCAN1_00778
ko:K07117	ctlc:L2BCAN1_00779
ko:K04763	ctlc:L2BCAN1_00928
ko:K00700	ctlc:L2BCAN1_00930
ko:K02433	ctlc:L2BCAN1_00004
ko:K00813	ctlc:L2BCAN1_00671
ko:K01934	ctlc:L2BCAN1_00683
ko:K01507	ctlc:L2BCAN1_00822
ko:K01082	ctlc:L2BCAN1_00824
ko:K01909	ctlc:L2BCAN1_00826
ko:K00652	ctlc:L2BCAN1_00827
ko:K01408	ctlc:L2BCAN1_00857
ko:K14233	ctlc:L2BCAN1_00892
ko:K11645	ctlc:L2BCAN1_00220
ko:K01358	ctlc:L2BCAN1_00747
ko:K03545	ctlc:L2BCAN1_00748
ko:K03569	ctlc:L2BCAN1_00751
ko:K00057	ctlc:L2BCAN1_00756
ko:K02412	ctlc:L2BCAN1_00759
ko:K02411	ctlc:L2BCAN1_00760
ko:K02409	ctlc:L2BCAN1_00761
ko:K13819	ctlc:L2BCAN1_00762
ko:K04487	ctlc:L2BCAN1_00763
