ko:K02022	rpo:MA1_01525
ko:K01006	rpo:MA1_02375
ko:K02029	rpo:MA1_00620
ko:K01823	rpo:MA1_02200
ko:K00674	rpo:MA1_00945
ko:K06147	rpo:MA1_01005
ko:K02258	rpo:MA1_01475
ko:K09815	rpo:MA1_00060
ko:K03294	rpo:MA1_01490
ko:K00970	rpo:MA1_00065
ko:K02116	rpo:MA1_00110
ko:K01409	rpo:MA1_00170
ko:K01934	rpo:MA1_02240
ko:K01262	rpo:MA1_02330
ko:K03294	rpo:MA1_02335
ko:K13628	rpo:MA1_02340
ko:K04488	rpo:MA1_02345
ko:K00799	rpo:MA1_02370
ko:K03177	rpo:MA1_02415
ko:K01092	rpo:MA1_01160
ko:K01885	rpo:MA1_01580
ko:K03386	rpo:MA1_01590
ko:K01782	rpo:MA1_02675
ko:K05570	rpo:MA1_02685
ko:K00625	rpo:MA1_00520
ko:K03593	rpo:MA1_00580
ko:K00241	rpo:MA1_00605
ko:K11085	rpo:MA1_01880
ko:K07258	rpo:MA1_01885
ko:K01297	rpo:MA1_01950
ko:K02274	rpo:MA1_01965
ko:K03769	rpo:MA1_02760
ko:K01507	rpo:MA1_02820
ko:K04763	rpo:MA1_01750
ko:K01989	rpo:MA1_01785
ko:K05832	rpo:MA1_01790
ko:K05833	rpo:MA1_01795
ko:K02433	rpo:MA1_00735
ko:K02427	rpo:MA1_00785
ko:K01322	rpo:MA1_00840
ko:K08738	rpo:MA1_01230
ko:K06179	rpo:MA1_01250
ko:K05568	rpo:MA1_01360
ko:K05568	rpo:MA1_01365
ko:K05568	rpo:MA1_01370
ko:K01082	rpo:MA1_01440
ko:K03560	rpo:MA1_01505
ko:K00024	rpo:MA1_01830
ko:K01937	rpo:MA1_01840
ko:K00979	rpo:MA1_01845
ko:K01495	rpo:MA1_01855
ko:K01881	rpo:MA1_01860
ko:K03550	rpo:MA1_01870
ko:K01358	rpo:MA1_02495
ko:K02945	rpo:MA1_02500
ko:K00945	rpo:MA1_02505
ko:K05788	rpo:MA1_02510
ko:K04773	rpo:MA1_02515
ko:K03628	rpo:MA1_02520
ko:K07462	rpo:MA1_02530
ko:K02835	rpo:MA1_02535
ko:K00627	rpo:MA1_02540
ko:K02520	rpo:MA1_02545
ko:K03524	rpo:MA1_02555
ko:K07001	rpo:MA1_02560
ko:K04564	rpo:MA1_02565
ko:K11754	rpo:MA1_02570
ko:K00343	rpo:MA1_02575
ko:K01698	rpo:MA1_02585
ko:K04066	rpo:MA1_02590
ko:K03186	rpo:MA1_02595
ko:K06178	rpo:MA1_02610
ko:K04485	rpo:MA1_02620
ko:K03584	rpo:MA1_02630
ko:K02519	rpo:MA1_02645
ko:K02600	rpo:MA1_02650
ko:K09748	rpo:MA1_02655
ko:K06442	rpo:MA1_02660
ko:K01866	rpo:MA1_02665
ko:K06894	rpo:MA1_02670
ko:K03185	rpo:MA1_02680
ko:K13599	rpo:MA1_02690
ko:K05515	rpo:MA1_02705
ko:K03587	rpo:MA1_02715
ko:K03438	rpo:MA1_02725
ko:K03925	rpo:MA1_02730
ko:K03703	rpo:MA1_02740
ko:K00925	rpo:MA1_00525
ko:K00554	rpo:MA1_00530
ko:K02884	rpo:MA1_00535
ko:K03074	rpo:MA1_00545
ko:K03100	rpo:MA1_00555
ko:K03685	rpo:MA1_00560
ko:K01159	rpo:MA1_00570
ko:K07276	rpo:MA1_00575
ko:K04088	rpo:MA1_00585
ko:K04087	rpo:MA1_00590
ko:K07146	rpo:MA1_00600
ko:K00242	rpo:MA1_00610
ko:K00239	rpo:MA1_00615
ko:K02950	rpo:MA1_00625
ko:K02992	rpo:MA1_00630
ko:K02355	rpo:MA1_00635
ko:K03073	rpo:MA1_00640
ko:K03551	rpo:MA1_01875
ko:K03642	rpo:MA1_01890
ko:K06190	rpo:MA1_01900
ko:K07243	rpo:MA1_01905
ko:K00449	rpo:MA1_01920
ko:K08309	rpo:MA1_01940
ko:K07010	rpo:MA1_01960
ko:K02275	rpo:MA1_01970
ko:K03101	rpo:MA1_01980
ko:K01925	rpo:MA1_01990
ko:K03588	rpo:MA1_01995
ko:K02563	rpo:MA1_02000
ko:K01778	rpo:MA1_02015
ko:K01889	rpo:MA1_02025
ko:K01890	rpo:MA1_02030
ko:K02338	rpo:MA1_02035
ko:K01869	rpo:MA1_02045
ko:K03684	rpo:MA1_02050
ko:K00981	rpo:MA1_02060
ko:K00806	rpo:MA1_02065
ko:K07638	rpo:MA1_02070
ko:K07659	rpo:MA1_02075
ko:K00826	rpo:MA1_02080
ko:K03070	rpo:MA1_02755
ko:K00997	rpo:MA1_02765
ko:K03060	rpo:MA1_02770
ko:K00790	rpo:MA1_02775
ko:K02470	rpo:MA1_02780
ko:K06213	rpo:MA1_02790
ko:K03210	rpo:MA1_02795
ko:K03072	rpo:MA1_02800
ko:K07152	rpo:MA1_02805
ko:K02197	rpo:MA1_02815
ko:K03980	rpo:MA1_02825
ko:K03655	rpo:MA1_02840
ko:K01000	rpo:MA1_02845
ko:K01929	rpo:MA1_02850
ko:K01928	rpo:MA1_02855
ko:K03723	rpo:MA1_02860
ko:K02986	rpo:MA1_01675
ko:K02860	rpo:MA1_01690
ko:K03602	rpo:MA1_01700
ko:K03652	rpo:MA1_01705
ko:K08998	rpo:MA1_01710
ko:K00334	rpo:MA1_01715
ko:K00333	rpo:MA1_01720
ko:K00332	rpo:MA1_01725
ko:K00331	rpo:MA1_01730
ko:K00330	rpo:MA1_01735
ko:K00208	rpo:MA1_01775
ko:K03820	rpo:MA1_01780
ko:K04566	rpo:MA1_01805
ko:K07088	rpo:MA1_01810
ko:K00029	rpo:MA1_01815
ko:K00995	rpo:MA1_00230
ko:K03301	rpo:MA1_00250
ko:K02445	rpo:MA1_00255
ko:K00940	rpo:MA1_00260
ko:K03495	rpo:MA1_00265
ko:K03501	rpo:MA1_00270
ko:K01627	rpo:MA1_00295
ko:K01129	rpo:MA1_00305
ko:K01887	rpo:MA1_00310
ko:K02621	rpo:MA1_00320
ko:K01494	rpo:MA1_00330
ko:K03071	rpo:MA1_00335
ko:K13584	rpo:MA1_00340
ko:K06879	rpo:MA1_00345
ko:K09987	rpo:MA1_00350
ko:K00325	rpo:MA1_00355
ko:K07275	rpo:MA1_00360
ko:K03762	rpo:MA1_00370
ko:K03075	rpo:MA1_00375
ko:K01883	rpo:MA1_00400
ko:K02967	rpo:MA1_00405
ko:K02357	rpo:MA1_00410
ko:K02527	rpo:MA1_00420
ko:K09778	rpo:MA1_00425
ko:K00812	rpo:MA1_00430
ko:K04754	rpo:MA1_00440
ko:K01775	rpo:MA1_00450
ko:K02066	rpo:MA1_00455
ko:K02065	rpo:MA1_00460
ko:K02902	rpo:MA1_00470
ko:K02909	rpo:MA1_00475
ko:K03978	rpo:MA1_00480
ko:K02601	rpo:MA1_00645
ko:K02867	rpo:MA1_00650
ko:K02863	rpo:MA1_00655
ko:K02864	rpo:MA1_00660
ko:K02935	rpo:MA1_00665
ko:K03043	rpo:MA1_00670
ko:K03046	rpo:MA1_00675
ko:K01255	rpo:MA1_00680
ko:K01876	rpo:MA1_00695
ko:K06890	rpo:MA1_00710
ko:K00215	rpo:MA1_00715
ko:K02434	rpo:MA1_00730
ko:K02435	rpo:MA1_00740
ko:K02838	rpo:MA1_00745
ko:K09903	rpo:MA1_00750
ko:K05569	rpo:MA1_00755
ko:K07277	rpo:MA1_00770
ko:K11749	rpo:MA1_00775
ko:K03625	rpo:MA1_00780
ko:K09761	rpo:MA1_00810
ko:K09779	rpo:MA1_00815
ko:K03530	rpo:MA1_00825
ko:K02341	rpo:MA1_00830
ko:K03106	rpo:MA1_00835
ko:K01924	rpo:MA1_01200
ko:K00075	rpo:MA1_01205
ko:K01921	rpo:MA1_01210
ko:K03589	rpo:MA1_01215
ko:K03590	rpo:MA1_01220
ko:K02535	rpo:MA1_01235
ko:K08300	rpo:MA1_01240
ko:K02259	rpo:MA1_01245
ko:K01142	rpo:MA1_01260
ko:K00161	rpo:MA1_01265
ko:K00162	rpo:MA1_01270
ko:K06207	rpo:MA1_01275
ko:K00031	rpo:MA1_01285
ko:K05571	rpo:MA1_01290
ko:K05566	rpo:MA1_01295
ko:K02194	rpo:MA1_01300
ko:K00411	rpo:MA1_01310
ko:K00412	rpo:MA1_01315
ko:K00413	rpo:MA1_01320
ko:K02836	rpo:MA1_01330
ko:K03596	rpo:MA1_01335
ko:K05837	rpo:MA1_01350
ko:K01354	rpo:MA1_01355
ko:K05567	rpo:MA1_01380
ko:K01524	rpo:MA1_01425
ko:K03555	rpo:MA1_01445
ko:K01808	rpo:MA1_01450
ko:K01714	rpo:MA1_02085
ko:K03664	rpo:MA1_02090
ko:K01902	rpo:MA1_02100
ko:K01903	rpo:MA1_02105
ko:K02834	rpo:MA1_02115
ko:K06187	rpo:MA1_02130
ko:K00858	rpo:MA1_02140
ko:K00057	rpo:MA1_02150
ko:K07088	rpo:MA1_02155
ko:K00384	rpo:MA1_02165
ko:K03657	rpo:MA1_02175
ko:K01754	rpo:MA1_02185
ko:K01338	rpo:MA1_02190
ko:K02919	rpo:MA1_02215
ko:K09773	rpo:MA1_00005
ko:K03671	rpo:MA1_00010
ko:K00677	rpo:MA1_00030
ko:K02372	rpo:MA1_00035
ko:K02536	rpo:MA1_00040
ko:K06925	rpo:MA1_00055
ko:K02109	rpo:MA1_00090
ko:K02109	rpo:MA1_00095
ko:K02110	rpo:MA1_00100
