ko:K19302	hpyd:HPOKI128_04090
ko:K14233	hpyd:HPOKI128_00535
ko:K14220	hpyd:HPOKI128_01255
ko:K14232	hpyd:HPOKI128_04890
ko:K14219	hpyd:HPOKI128_04025
ko:K14219	hpyd:HPOKI128_04875
ko:K14232	hpyd:HPOKI128_02285
ko:K14230	hpyd:HPOKI128_03530
ko:K14230	hpyd:HPOKI128_04295
ko:K14230	hpyd:HPOKI128_05640
ko:K14225	hpyd:HPOKI128_04525
ko:K14225	hpyd:HPOKI128_05785
ko:K14228	hpyd:HPOKI128_04530
ko:K14228	hpyd:HPOKI128_05130
ko:K14228	hpyd:HPOKI128_05820
ko:K14233	hpyd:HPOKI128_04540
ko:K14234	hpyd:HPOKI128_05780
ko:K14234	hpyd:HPOKI128_05795
ko:K14236	hpyd:HPOKI128_05790
ko:K14231	hpyd:HPOKI128_06350
ko:K02483	hpyd:HPOKI128_00915
ko:K01733	hpyd:HPOKI128_00570
ko:K03406	hpyd:HPOKI128_00580
ko:K09765	hpyd:HPOKI128_00585
ko:K01119	hpyd:HPOKI128_00605
ko:K07173	hpyd:HPOKI128_00610
ko:K01760	hpyd:HPOKI128_00615
ko:K01738	hpyd:HPOKI128_00620
ko:K04043	hpyd:HPOKI128_00630
ko:K03687	hpyd:HPOKI128_00635
ko:K03705	hpyd:HPOKI128_00640
ko:K01628	hpyd:HPOKI128_00645
ko:K02406	hpyd:HPOKI128_00660
ko:K03168	hpyd:HPOKI128_00665
ko:K01868	hpyd:HPOKI128_00690
ko:K02520	hpyd:HPOKI128_00695
ko:K02916	hpyd:HPOKI128_00700
ko:K02887	hpyd:HPOKI128_00705
ko:K01874	hpyd:HPOKI128_04850
ko:K00574	hpyd:HPOKI128_04855
ko:K16052	hpyd:HPOKI128_04860
ko:K15846	hpyd:HPOKI128_04900
ko:K01951	hpyd:HPOKI128_04905
ko:K07812	hpyd:HPOKI128_04915
ko:K02503	hpyd:HPOKI128_04930
ko:K01889	hpyd:HPOKI128_04940
ko:K01890	hpyd:HPOKI128_04945
ko:K00800	hpyd:HPOKI128_04950
ko:K03527	hpyd:HPOKI128_04955
ko:K02945	hpyd:HPOKI128_04960
ko:K00058	hpyd:HPOKI128_04970
ko:K03182	hpyd:HPOKI128_04975
ko:K06997	hpyd:HPOKI128_04980
ko:K03415	hpyd:HPOKI128_04990
ko:K03407	hpyd:HPOKI128_04995
ko:K03408	hpyd:HPOKI128_05000
ko:K11065	hpyd:HPOKI128_05005
ko:K04564	hpyd:HPOKI128_05010
ko:K15256	hpyd:HPOKI128_05015
ko:K04066	hpyd:HPOKI128_05020
ko:K02493	hpyd:HPOKI128_05050
ko:K00262	hpyd:HPOKI128_05055
ko:K01772	hpyd:HPOKI128_05075
ko:K09761	hpyd:HPOKI128_05085
ko:K01494	hpyd:HPOKI128_05095
ko:K02160	hpyd:HPOKI128_05100
ko:K01961	hpyd:HPOKI128_05105
ko:K07090	hpyd:HPOKI128_03215
ko:K13016	hpyd:HPOKI128_03220
ko:K04042	hpyd:HPOKI128_03240
ko:K02419	hpyd:HPOKI128_03250
ko:K16091	hpyd:HPOKI128_03255
ko:K04759	hpyd:HPOKI128_03260
ko:K07501	hpyd:HPOKI128_03265
ko:K07501	hpyd:HPOKI128_03280
ko:K00626	hpyd:HPOKI128_03285
ko:K01028	hpyd:HPOKI128_03290
ko:K01029	hpyd:HPOKI128_03295
ko:K02106	hpyd:HPOKI128_03300
ko:K10856	hpyd:HPOKI128_03320
ko:K00901	hpyd:HPOKI128_03330
ko:K02469	hpyd:HPOKI128_03335
ko:K03701	hpyd:HPOKI128_03350
ko:K03438	hpyd:HPOKI128_03360
ko:K07023	hpyd:HPOKI128_03380
ko:K03092	hpyd:HPOKI128_03395
ko:K06861	hpyd:HPOKI128_03400
ko:K06925	hpyd:HPOKI128_03405
ko:K02343	hpyd:HPOKI128_03410
ko:K06895	hpyd:HPOKI128_03415
ko:K01424	hpyd:HPOKI128_03435
ko:K07791	hpyd:HPOKI128_03440
ko:K15848	hpyd:HPOKI128_03445
ko:K05540	hpyd:HPOKI128_03455
ko:K04075	hpyd:HPOKI128_03460
ko:K00339	hpyd:HPOKI128_07570
ko:K00338	hpyd:HPOKI128_07575
ko:K00337	hpyd:HPOKI128_07580
ko:K00336	hpyd:HPOKI128_07585
ko:K00335	hpyd:HPOKI128_07590
ko:K00334	hpyd:HPOKI128_07595
ko:K00333	hpyd:HPOKI128_07600
ko:K00332	hpyd:HPOKI128_07605
ko:K00331	hpyd:HPOKI128_07610
ko:K00330	hpyd:HPOKI128_07615
ko:K12410	hpyd:HPOKI128_07620
ko:K00762	hpyd:HPOKI128_07630
ko:K02838	hpyd:HPOKI128_07635
ko:K03075	hpyd:HPOKI128_07640
ko:K02169	hpyd:HPOKI128_07645
ko:K01867	hpyd:HPOKI128_07650
ko:K13893	hpyd:HPOKI128_07655
ko:K13894	hpyd:HPOKI128_07660
ko:K00014	hpyd:HPOKI128_07670
ko:K12573	hpyd:HPOKI128_07675
ko:K02340	hpyd:HPOKI128_07680
ko:K02990	hpyd:HPOKI128_07690
ko:K03111	hpyd:HPOKI128_07695
ko:K02963	hpyd:HPOKI128_07700
ko:K01918	hpyd:HPOKI128_07740
ko:K01591	hpyd:HPOKI128_07745
ko:K01673	hpyd:HPOKI128_07750
ko:K01627	hpyd:HPOKI128_07755
ko:K00794	hpyd:HPOKI128_07760
ko:K03296	hpyd:HPOKI128_02900
ko:K00245	hpyd:HPOKI128_01050
ko:K00244	hpyd:HPOKI128_01055
ko:K00246	hpyd:HPOKI128_01060
ko:K01803	hpyd:HPOKI128_01065
ko:K00208	hpyd:HPOKI128_01070
