ko:K19744	pag:PLES_11121
ko:K00595	pag:PLES_21571
ko:K02483	pag:PLES_08711
ko:K11891	pag:PLES_36581
ko:K15864	pag:PLES_05161
ko:K01890	pag:PLES_23441
ko:K02055	pag:PLES_18171
ko:K18094	pag:PLES_33041
ko:K05799	pag:PLES_51541
ko:K02303	pag:PLES_35511
ko:K15555	pag:PLES_16181
ko:K00254	pag:PLES_20091
ko:K08086	pag:PLES_19441
ko:K13541	pag:PLES_21611
ko:K07221	pag:PLES_17861
ko:K11688	pag:PLES_55591
ko:K11689	pag:PLES_44311
ko:K11688	pag:PLES_44321
ko:K08167	pag:PLES_40301
ko:K03827	pag:PLES_02461
ko:K00124	pag:PLES_51951
ko:K09684	pag:PLES_34081
ko:K06958	pag:PLES_48441
ko:K02619	pag:PLES_20991
ko:K07222	pag:PLES_57891
ko:K03316	pag:PLES_10901
ko:K03316	pag:PLES_13751
ko:K07090	pag:PLES_35031
ko:K00821	pag:PLES_05271
ko:K00832	pag:PLES_19201
ko:K00567	pag:PLES_43301
ko:K03767	pag:PLES_18401
ko:K01104	pag:PLES_20841
ko:K07090	pag:PLES_11991
ko:K07090	pag:PLES_54141
ko:K07090	pag:PLES_16031
ko:K00027	pag:PLES_15411
ko:K07052	pag:PLES_21801
ko:K00265	pag:PLES_54261
ko:K04063	pag:PLES_00601
ko:K07052	pag:PLES_55221
ko:K00703	pag:PLES_31611
ko:K00262	pag:PLES_49711
ko:K00799	pag:PLES_34341
ko:K11731	pag:PLES_21751
ko:K00523	pag:PLES_56301
ko:K11073	pag:PLES_25961
ko:K02362	pag:PLES_41561
ko:K01426	pag:PLES_07641
ko:K12266	pag:PLES_24391
ko:K04049	pag:PLES_36141
ko:K12297	pag:PLES_20121
ko:K12340	pag:PLES_53621
ko:K12256	pag:PLES_02951
ko:K01420	pag:PLES_37841
ko:K12242	pag:PLES_06981
ko:K12251	pag:PLES_02891
ko:K11754	pag:PLES_19491
ko:K08964	pag:PLES_36441
ko:K07304	pag:PLES_54081
ko:K06970	pag:PLES_11341
ko:K04782	pag:PLES_06971
ko:K10814	pag:PLES_31321
ko:K10815	pag:PLES_31311
ko:K07506	pag:PLES_10791
ko:K12254	pag:PLES_57071
ko:K12239	pag:PLES_07011
ko:K12241	pag:PLES_07031
ko:K08085	pag:PLES_49331
ko:K08721	pag:PLES_49821
ko:K12243	pag:PLES_07001
ko:K00575	pag:PLES_01761
ko:K00575	pag:PLES_17161
ko:K04091	pag:PLES_16161
ko:K00299	pag:PLES_16141
ko:K01426	pag:PLES_16981
ko:K01426	pag:PLES_47201
ko:K01426	pag:PLES_46261
ko:K11928	pag:PLES_45601
ko:K03768	pag:PLES_35361
ko:K00108	pag:PLES_57671
ko:K03496	pag:PLES_59591
ko:K01485	pag:PLES_04351
ko:K04052	pag:PLES_36081
ko:K11311	pag:PLES_27811
ko:K05600	pag:PLES_27821
ko:K05599	pag:PLES_27831
ko:K03496	pag:PLES_39511
ko:K11900	pag:PLES_00851
ko:K04050	pag:PLES_36111
ko:K04053	pag:PLES_36071
ko:K04054	pag:PLES_36051
ko:K04056	pag:PLES_36311
ko:K12253	pag:PLES_53651
ko:K11902	pag:PLES_00831
ko:K04060	pag:PLES_36251
ko:K11741	pag:PLES_45571
ko:K00970	pag:PLES_51121
ko:K01894	pag:PLES_51091
ko:K01961	pag:PLES_52331
ko:K00652	pag:PLES_04971
ko:K00029	pag:PLES_54361
ko:K11690	pag:PLES_55611
ko:K11690	pag:PLES_44301
ko:K11689	pag:PLES_55601
ko:K03636	pag:PLES_10601
ko:K01092	pag:PLES_11561
ko:K11903	pag:PLES_29361
ko:K18095	pag:PLES_33051
ko:K11896	pag:PLES_36671
ko:K11896	pag:PLES_00891
ko:K13483	pag:PLES_33921
ko:K13486	pag:PLES_12761
ko:K06905	pag:PLES_06241
ko:K11903	pag:PLES_02591
ko:K01759	pag:PLES_15091
ko:K01759	pag:PLES_55011
ko:K01759	pag:PLES_46201
ko:K09880	pag:PLES_36421
ko:K11811	pag:PLES_30241
ko:K11177	pag:PLES_33901
ko:K03719	pag:PLES_51691
ko:K11927	pag:PLES_04261
ko:K11918	pag:PLES_29391
ko:K07126	pag:PLES_09971
ko:K07126	pag:PLES_54781
ko:K12979	pag:PLES_48921
ko:K00569	pag:PLES_22331
ko:K02458	pag:PLES_24311
ko:K02458	pag:PLES_19611
ko:K09946	pag:PLES_03261
ko:K12979	pag:PLES_43801
ko:K07793	pag:PLES_45911
ko:K12962	pag:PLES_14761
ko:K02458	pag:PLES_46491
ko:K02671	pag:PLES_49341
ko:K00066	pag:PLES_14931
ko:K02414	pag:PLES_39721
ko:K02663	pag:PLES_54331
ko:K12992	pag:PLES_30711
ko:K07794	pag:PLES_45901
ko:K00906	pag:PLES_38091
ko:K00219	pag:PLES_51991
ko:K01534	pag:PLES_12941
ko:K06138	pag:PLES_33351
ko:K12370	pag:PLES_48841
ko:K00620	pag:PLES_47811
ko:K01075	pag:PLES_43461
ko:K00657	pag:PLES_08571
ko:K00537	pag:PLES_43651
ko:K12943	pag:PLES_53101
ko:K07126	pag:PLES_03571
ko:K07126	pag:PLES_48961
ko:K06600	pag:PLES_04151
ko:K06598	pag:PLES_04131
ko:K06599	pag:PLES_04141
ko:K08305	pag:PLES_09751
ko:K03446	pag:PLES_55511
ko:K03446	pag:PLES_19221
ko:K02001	pag:PLES_54851
ko:K02001	pag:PLES_57721
ko:K01297	pag:PLES_55921
ko:K12976	pag:PLES_50471
ko:K03791	pag:PLES_13471
ko:K07687	pag:PLES_08961
ko:K07687	pag:PLES_12681
ko:K00520	pag:PLES_26321
ko:K07074	pag:PLES_49671
ko:K00274	pag:PLES_04191
ko:K11892	pag:PLES_36591
ko:K05597	pag:PLES_38441
ko:K03324	pag:PLES_58691
ko:K11747	pag:PLES_41021
ko:K11898	pag:PLES_00871
ko:K11904	pag:PLES_02581
ko:K00117	pag:PLES_30141
ko:K03457	pag:PLES_54891
ko:K11890	pag:PLES_00771
ko:K11891	pag:PLES_29421
ko:K08364	pag:PLES_26881
ko:K13063	pag:PLES_07131
ko:K01720	pag:PLES_45501
ko:K00602	pag:PLES_52391
ko:K12255	pag:PLES_39921
ko:K15371	pag:PLES_19921
ko:K08195	pag:PLES_02321
ko:K09974	pag:PLES_37551
ko:K08195	pag:PLES_28241
ko:K11749	pag:PLES_13861
ko:K08195	pag:PLES_33171
ko:K10804	pag:PLES_22081
ko:K11742	pag:PLES_37881
ko:K12410	pag:PLES_41941
ko:K05540	pag:PLES_52371
ko:K12410	pag:PLES_41121
ko:K00228	pag:PLES_00231
ko:K00045	pag:PLES_29611
ko:K13053	pag:PLES_20541
ko:K03791	pag:PLES_06251
ko:K07027	pag:PLES_31721
ko:K01497	pag:PLES_09291
ko:K06889	pag:PLES_12891
ko:K02824	pag:PLES_50331
ko:K06889	pag:PLES_31581
ko:K06889	pag:PLES_36471
ko:K12372	pag:PLES_48861
ko:K01150	pag:PLES_23321
ko:K01266	pag:PLES_39261
ko:K12536	pag:PLES_40661
ko:K11178	pag:PLES_33911
ko:K00564	pag:PLES_50121
ko:K07215	pag:PLES_46571
ko:K12368	pag:PLES_48801
ko:K08967	pag:PLES_36431
ko:K02455	pag:PLES_19581
ko:K02455	pag:PLES_24281
ko:K02455	pag:PLES_46431
ko:K12240	pag:PLES_07021
ko:K12238	pag:PLES_06991
ko:K00748	pag:PLES_13921
ko:K05595	pag:PLES_55991
ko:K05595	pag:PLES_52421
ko:K07038	pag:PLES_53481
ko:K09017	pag:PLES_04341
ko:K09017	pag:PLES_01681
ko:K00666	pag:PLES_30991
ko:K00666	pag:PLES_10531
ko:K00666	pag:PLES_11141
ko:K00666	pag:PLES_27371
ko:K00666	pag:PLES_07291
ko:K03719	pag:PLES_27171
ko:K03719	pag:PLES_57031
ko:K06889	pag:PLES_11451
ko:K01628	pag:PLES_02211
ko:K13292	pag:PLES_03381
ko:K14055	pag:PLES_47061
ko:K12987	pag:PLES_46251
ko:K12988	pag:PLES_53891
ko:K12993	pag:PLES_58441
ko:K12994	pag:PLES_58431
ko:K12995	pag:PLES_58421
ko:K13014	pag:PLES_14781
ko:K12963	pag:PLES_14751
ko:K00626	pag:PLES_10521
ko:K00626	pag:PLES_35931
ko:K00626	pag:PLES_14451
ko:K00626	pag:PLES_27411
ko:K00626	pag:PLES_33221
ko:K00626	pag:PLES_51701
ko:K03760	pag:PLES_33511
ko:K01358	pag:PLES_17381
ko:K11897	pag:PLES_00881
ko:K07659	pag:PLES_55941
ko:K07788	pag:PLES_27671
ko:K09810	pag:PLES_20751
ko:K00832	pag:PLES_44461
ko:K01061	pag:PLES_24221
ko:K06168	pag:PLES_09951
ko:K11901	pag:PLES_36701
ko:K00568	pag:PLES_18971
ko:K02054	pag:PLES_18151
ko:K02053	pag:PLES_18141
ko:K11069	pag:PLES_14251
ko:K11901	pag:PLES_00841
ko:K11914	pag:PLES_36641
ko:K11915	pag:PLES_36571
ko:K11919	pag:PLES_29351
ko:K02017	pag:PLES_34631
ko:K11903	pag:PLES_38981
ko:K11903	pag:PLES_56611
ko:K11893	pag:PLES_36601
ko:K11893	pag:PLES_29401
ko:K11907	pag:PLES_36651
ko:K11907	pag:PLES_00911
ko:K11907	pag:PLES_29321
ko:K11892	pag:PLES_29411
ko:K03574	pag:PLES_47791
ko:K11072	pag:PLES_14281
ko:K03496	pag:PLES_54181
ko:K11891	pag:PLES_00781
ko:K11905	pag:PLES_36681
ko:K11906	pag:PLES_00811
ko:K11901	pag:PLES_29381
ko:K11902	pag:PLES_29431
ko:K11900	pag:PLES_29371
ko:K03417	pag:PLES_45461
ko:K11910	pag:PLES_36711
ko:K03524	pag:PLES_06481
ko:K02055	pag:PLES_05991
ko:K02052	pag:PLES_06001
ko:K02054	pag:PLES_06021
ko:K02053	pag:PLES_06031
ko:K11906	pag:PLES_36611
ko:K11752	pag:PLES_09201
ko:K01069	pag:PLES_35141
ko:K11903	pag:PLES_00861
ko:K11904	pag:PLES_17721
ko:K11904	pag:PLES_38991
ko:K11895	pag:PLES_29331
ko:K04487	pag:PLES_11601
ko:K03472	pag:PLES_05491
ko:K04487	pag:PLES_32591
ko:K11719	pag:PLES_48381
ko:K11894	pag:PLES_36621
ko:K11895	pag:PLES_36661
ko:K11904	pag:PLES_56601
ko:K11895	pag:PLES_00901
ko:K01710	pag:PLES_55531
ko:K11893	pag:PLES_00801
ko:K07107	pag:PLES_22711
ko:K04754	pag:PLES_22721
ko:K00616	pag:PLES_22761
ko:K05539	pag:PLES_22771
ko:K01295	pag:PLES_22871
ko:K07727	pag:PLES_22891
ko:K09471	pag:PLES_22981
ko:K07223	pag:PLES_23111
ko:K06995	pag:PLES_23161
ko:K08276	pag:PLES_23231
ko:K03088	pag:PLES_28691
ko:K06911	pag:PLES_28781
ko:K01194	pag:PLES_28801
ko:K00836	pag:PLES_28831
ko:K05375	pag:PLES_28841
ko:K09816	pag:PLES_28871
ko:K09817	pag:PLES_28881
ko:K09815	pag:PLES_28891
ko:K02014	pag:PLES_28981
ko:K06160	pag:PLES_28991
ko:K03088	pag:PLES_29151
ko:K00101	pag:PLES_29201
ko:K07302	pag:PLES_29231
ko:K07303	pag:PLES_29241
ko:K02300	pag:PLES_38611
ko:K02299	pag:PLES_38621
ko:K02298	pag:PLES_38631
ko:K02297	pag:PLES_38641
ko:K05306	pag:PLES_38711
ko:K03430	pag:PLES_38721
ko:K07396	pag:PLES_44591
ko:K07146	pag:PLES_44601
ko:K05527	pag:PLES_44611
ko:K09924	pag:PLES_44621
ko:K01679	pag:PLES_44641
ko:K03933	pag:PLES_44661
ko:K01754	pag:PLES_44671
ko:K06203	pag:PLES_44721
ko:K01114	pag:PLES_44741
ko:K03721	pag:PLES_44431
ko:K00500	pag:PLES_44441
ko:K01724	pag:PLES_44451
ko:K07262	pag:PLES_44471
ko:K00457	pag:PLES_44511
ko:K01633	pag:PLES_05791
ko:K00950	pag:PLES_05801
ko:K09786	pag:PLES_05841
ko:K07180	pag:PLES_05851
ko:K02439	pag:PLES_05861
ko:K01525	pag:PLES_05871
ko:K06195	pag:PLES_05881
ko:K02528	pag:PLES_05891
ko:K00097	pag:PLES_05901
ko:K03771	pag:PLES_05911
ko:K04744	pag:PLES_05921
ko:K07102	pag:PLES_05931
ko:K05801	pag:PLES_05951
ko:K01783	pag:PLES_06041
ko:K01091	pag:PLES_06051
ko:K01657	pag:PLES_06061
ko:K06903	pag:PLES_06141
ko:K06907	pag:PLES_06181
ko:K06908	pag:PLES_06191
ko:K06906	pag:PLES_06221
ko:K01658	pag:PLES_06281
ko:K00766	pag:PLES_06291
ko:K01609	pag:PLES_06301
ko:K10914	pag:PLES_06311
ko:K01611	pag:PLES_06331
ko:K06134	pag:PLES_06341
ko:K07124	pag:PLES_06371
ko:K08973	pag:PLES_06401
ko:K00940	pag:PLES_11671
ko:K06941	pag:PLES_11681
ko:K02656	pag:PLES_11691
ko:K01892	pag:PLES_11721
ko:K03977	pag:PLES_11751
ko:K01649	pag:PLES_11821
ko:K02014	pag:PLES_11841
ko:K03601	pag:PLES_11971
ko:K00088	pag:PLES_12041
ko:K01951	pag:PLES_12051
ko:K07119	pag:PLES_12101
ko:K09965	pag:PLES_12141
ko:K01952	pag:PLES_12161
ko:K00820	pag:PLES_12211
ko:K01443	pag:PLES_12221
ko:K03710	pag:PLES_12231
ko:K02042	pag:PLES_17501
ko:K02041	pag:PLES_17511
ko:K02044	pag:PLES_17521
ko:K03580	pag:PLES_17581
ko:K03578	pag:PLES_17691
ko:K03088	pag:PLES_17801
ko:K09930	pag:PLES_17831
ko:K09929	pag:PLES_17841
ko:K09771	pag:PLES_17921
ko:K03724	pag:PLES_17951
ko:K03704	pag:PLES_18011
ko:K03453	pag:PLES_18031
ko:K03554	pag:PLES_18041
ko:K03773	pag:PLES_18051
ko:K07058	pag:PLES_23291
ko:K01265	pag:PLES_23331
ko:K01868	pag:PLES_23391
ko:K02520	pag:PLES_23401
ko:K02916	pag:PLES_23411
ko:K02887	pag:PLES_23421
ko:K01889	pag:PLES_23431
ko:K04764	pag:PLES_23451
ko:K01154	pag:PLES_23601
ko:K06915	pag:PLES_23631
ko:K04068	pag:PLES_23781
ko:K06916	pag:PLES_29501
ko:K01126	pag:PLES_29511
ko:K02072	pag:PLES_29521
ko:K02071	pag:PLES_29531
ko:K02073	pag:PLES_29541
ko:K00847	pag:PLES_29591
ko:K10229	pag:PLES_29631
ko:K10228	pag:PLES_29641
ko:K10227	pag:PLES_29651
ko:K02049	pag:PLES_29741
ko:K02051	pag:PLES_29751
ko:K03299	pag:PLES_29831
ko:K00851	pag:PLES_29841
