ko:K19079	suk:SAA6008_00677
ko:K09022	suk:SAA6008_00501
ko:K19005	suk:SAA6008_00734
ko:K02086	suk:SAA6008_01422
ko:K01791	suk:SAA6008_00142
ko:K19279	suk:SAA6008_01624
ko:K07498	suk:SAA6008_01950
ko:K07498	suk:SAA6008_01972
ko:K07498	suk:SAA6008_02001
ko:K19285	suk:SAA6008_00382
ko:K00626	suk:SAA6008_00331
ko:K01760	suk:SAA6008_00335
ko:K03475	suk:SAA6008_00306
ko:K02822	suk:SAA6008_00307
ko:K03784	suk:SAA6008_00114
ko:K01619	suk:SAA6008_00116
ko:K01771	suk:SAA6008_00080
ko:K10254	suk:SAA6008_00086
ko:K01104	suk:SAA6008_00129
ko:K01784	suk:SAA6008_00140
ko:K02049	suk:SAA6008_00149
ko:K02051	suk:SAA6008_00150
ko:K02050	suk:SAA6008_00151
ko:K00819	suk:SAA6008_00163
ko:K09963	suk:SAA6008_00169
ko:K02035	suk:SAA6008_00178
ko:K10112	suk:SAA6008_00182
ko:K15770	suk:SAA6008_00183
ko:K07784	suk:SAA6008_00190
ko:K07720	suk:SAA6008_00191
ko:K02035	suk:SAA6008_00207
ko:K00016	suk:SAA6008_00211
ko:K02775	suk:SAA6008_00220
ko:K00852	suk:SAA6008_00243
ko:K02033	suk:SAA6008_00176
ko:K01784	suk:SAA6008_00106
ko:K07668	suk:SAA6008_00018
ko:K07652	suk:SAA6008_00019
ko:K02004	suk:SAA6008_00284
ko:K03307	suk:SAA6008_00290
ko:K01639	suk:SAA6008_00291
ko:K01788	suk:SAA6008_00294
ko:K07729	suk:SAA6008_00326
ko:K02821	suk:SAA6008_00308
ko:K07145	suk:SAA6008_00143
ko:K11737	suk:SAA6008_01663
ko:K12574	suk:SAA6008_01044
ko:K02313	suk:SAA6008_00001
ko:K02338	suk:SAA6008_00002
ko:K03629	suk:SAA6008_00004
ko:K02470	suk:SAA6008_00005
ko:K02469	suk:SAA6008_00006
ko:K01745	suk:SAA6008_00008
ko:K01875	suk:SAA6008_00009
ko:K00641	suk:SAA6008_00012
ko:K02939	suk:SAA6008_00015
ko:K01939	suk:SAA6008_00017
ko:K00783	suk:SAA6008_00025
ko:K01126	suk:SAA6008_00037
ko:K07090	suk:SAA6008_00047
ko:K01534	suk:SAA6008_00049
ko:K01839	suk:SAA6008_00117
ko:K02042	suk:SAA6008_00118
ko:K02042	suk:SAA6008_00119
ko:K08170	suk:SAA6008_00084
ko:K03324	suk:SAA6008_00085
ko:K03303	suk:SAA6008_00088
ko:K02041	suk:SAA6008_00120
ko:K02044	suk:SAA6008_00121
ko:K04072	suk:SAA6008_00126
ko:K13012	suk:SAA6008_00139
ko:K02472	suk:SAA6008_00141
ko:K09790	suk:SAA6008_00144
ko:K08996	suk:SAA6008_00159
ko:K00930	suk:SAA6008_00160
ko:K00620	suk:SAA6008_00161
ko:K00145	suk:SAA6008_00162
ko:K03311	suk:SAA6008_00164
ko:K07106	suk:SAA6008_00170
ko:K02034	suk:SAA6008_00177
ko:K01118	suk:SAA6008_00180
ko:K15771	suk:SAA6008_00184
ko:K15772	suk:SAA6008_00185
ko:K02012	suk:SAA6008_00193
ko:K00656	suk:SAA6008_00194
ko:K04069	suk:SAA6008_00195
ko:K01126	suk:SAA6008_00197
ko:K01153	suk:SAA6008_00173
ko:K05916	suk:SAA6008_00210
ko:K02773	suk:SAA6008_00218
ko:K02774	suk:SAA6008_00219
ko:K05352	suk:SAA6008_00225
ko:K07322	suk:SAA6008_00233
ko:K07704	suk:SAA6008_00234
ko:K05338	suk:SAA6008_00236
ko:K05339	suk:SAA6008_00237
ko:K04561	suk:SAA6008_00238
