ko:K11707	ctw:G9768_00355
ko:K06137	ctw:G9768_03205
ko:K13941	ctw:G9768_03220
ko:K01633	ctw:G9768_03225
ko:K03086	ctw:G9768_03230
ko:K02968	ctw:G9768_03240
ko:K03980	ctw:G9768_03275
ko:K01151	ctw:G9768_03280
ko:K02986	ctw:G9768_03290
ko:K07146	ctw:G9768_03295
ko:K13789	ctw:G9768_03300
ko:K01698	ctw:G9768_03330
ko:K00346	ctw:G9768_03335
ko:K03582	ctw:G9768_03360
ko:K03583	ctw:G9768_03365
ko:K03168	ctw:G9768_03380
ko:K02221	ctw:G9768_03390
ko:K03581	ctw:G9768_03430
ko:K06861	ctw:G9768_03440
ko:K01627	ctw:G9768_03450
ko:K06180	ctw:G9768_03470
ko:K09817	ctw:G9768_02145
ko:K09816	ctw:G9768_02150
ko:K03979	ctw:G9768_02155
ko:K02899	ctw:G9768_02160
ko:K02888	ctw:G9768_02165
ko:K07042	ctw:G9768_02185
ko:K03183	ctw:G9768_02215
ko:K01778	ctw:G9768_02225
ko:K01358	ctw:G9768_02230
ko:K00600	ctw:G9768_02235
ko:K01770	ctw:G9768_02250
ko:K02946	ctw:G9768_02260
ko:K02355	ctw:G9768_02265
ko:K02992	ctw:G9768_02270
ko:K02950	ctw:G9768_02275
ko:K03797	ctw:G9768_02285
ko:K07462	ctw:G9768_02325
ko:K12257	ctw:G9768_02335
ko:K00806	ctw:G9768_02345
ko:K00981	ctw:G9768_02355
ko:K00945	ctw:G9768_02360
ko:K00655	ctw:G9768_02365
ko:K01887	ctw:G9768_02370
ko:K00790	ctw:G9768_02375
ko:K02836	ctw:G9768_02395
ko:K07083	ctw:G9768_01345
ko:K01962	ctw:G9768_01360
ko:K01448	ctw:G9768_01375
ko:K01928	ctw:G9768_01380
ko:K03587	ctw:G9768_01385
ko:K03438	ctw:G9768_01395
ko:K02313	ctw:G9768_01410
ko:K00347	ctw:G9768_01425
ko:K00348	ctw:G9768_01430
ko:K00349	ctw:G9768_01435
ko:K00350	ctw:G9768_01440
ko:K02437	ctw:G9768_01445
ko:K03800	ctw:G9768_01460
ko:K03696	ctw:G9768_01465
ko:K00566	ctw:G9768_01470
ko:K01963	ctw:G9768_01505
ko:K04564	ctw:G9768_01510
ko:K03685	ctw:G9768_01525
ko:K04485	ctw:G9768_01530
ko:K01749	ctw:G9768_01535
ko:K01873	ctw:G9768_01545
ko:K01241	ctw:G9768_03980
ko:K02356	ctw:G9768_03990
ko:K01929	ctw:G9768_04010
ko:K01000	ctw:G9768_04015
ko:K01925	ctw:G9768_04020
ko:K03588	ctw:G9768_04030
ko:K02563	ctw:G9768_04035
ko:K06960	ctw:G9768_04045
ko:K00791	ctw:G9768_04060
ko:K09710	ctw:G9768_04075
ko:K09458	ctw:G9768_04080
ko:K00263	ctw:G9768_04095
ko:K00655	ctw:G9768_04105
ko:K04066	ctw:G9768_04120
ko:K04567	ctw:G9768_04140
ko:K01883	ctw:G9768_04145
ko:K03536	ctw:G9768_04155
ko:K02919	ctw:G9768_04160
ko:K02954	ctw:G9768_04165
ko:K03703	ctw:G9768_04190
ko:K03555	ctw:G9768_04195
ko:K14164	ctw:G9768_04215
ko:K00995	ctw:G9768_04225
ko:K00703	ctw:G9768_04230
ko:K02897	ctw:G9768_04235
ko:K01056	ctw:G9768_04240
ko:K06960	ctw:G9768_03475
ko:K02469	ctw:G9768_03480
ko:K02470	ctw:G9768_03485
ko:K02492	ctw:G9768_03490
ko:K03224	ctw:G9768_03530
ko:K02417	ctw:G9768_03545
ko:K03219	ctw:G9768_03555
ko:K02838	ctw:G9768_03575
ko:K09903	ctw:G9768_03580
ko:K02357	ctw:G9768_03585
ko:K02967	ctw:G9768_03590
ko:K09013	ctw:G9768_03630
ko:K09015	ctw:G9768_03635
ko:K11717	ctw:G9768_03640
ko:K07220	ctw:G9768_03660
ko:K03306	ctw:G9768_03665
ko:K00927	ctw:G9768_03670
ko:K10773	ctw:G9768_03690
ko:K03650	ctw:G9768_03695
ko:K01613	ctw:G9768_03700
ko:K03070	ctw:G9768_03710
ko:K03977	ctw:G9768_03720
ko:K03544	ctw:G9768_03730
ko:K01358	ctw:G9768_03735
ko:K03545	ctw:G9768_03740
ko:K00991	ctw:G9768_02410
ko:K06173	ctw:G9768_02415
ko:K07710	ctw:G9768_02435
ko:K03584	ctw:G9768_02450
ko:K08998	ctw:G9768_02475
ko:K01890	ctw:G9768_02485
ko:K02034	ctw:G9768_02500
ko:K01772	ctw:G9768_02545
ko:K07099	ctw:G9768_02560
ko:K00975	ctw:G9768_02565
ko:K03628	ctw:G9768_02575
ko:K00859	ctw:G9768_02580
ko:K03301	ctw:G9768_02595
ko:K00995	ctw:G9768_02600
ko:K03495	ctw:G9768_02620
ko:K03800	ctw:G9768_02625
ko:K00940	ctw:G9768_02630
ko:K03550	ctw:G9768_02635
ko:K01159	ctw:G9768_02640
ko:K00134	ctw:G9768_02655
ko:K02879	ctw:G9768_02660
