ko:K19405	ctrm:L2BAMS1_00710
ko:K14233	ctrm:L2BAMS1_00890
ko:K11645	ctrm:L2BAMS1_00218
ko:K01214	ctrm:L2BAMS1_00044
ko:K09779	ctrm:L2BAMS1_00002
ko:K02435	ctrm:L2BAMS1_00003
ko:K02434	ctrm:L2BAMS1_00005
ko:K02517	ctrm:L2BAMS1_00011
ko:K00425	ctrm:L2BAMS1_00014
ko:K00426	ctrm:L2BAMS1_00015
ko:K07175	ctrm:L2BAMS1_00016
ko:K01870	ctrm:L2BAMS1_00021
ko:K03100	ctrm:L2BAMS1_00022
ko:K02909	ctrm:L2BAMS1_00024
ko:K02835	ctrm:L2BAMS1_00025
ko:K02493	ctrm:L2BAMS1_00026
ko:K03106	ctrm:L2BAMS1_00027
ko:K02959	ctrm:L2BAMS1_00028
ko:K00554	ctrm:L2BAMS1_00029
ko:K02884	ctrm:L2BAMS1_00030
ko:K03470	ctrm:L2BAMS1_00031
ko:K00942	ctrm:L2BAMS1_00032
ko:K01874	ctrm:L2BAMS1_00034
ko:K03581	ctrm:L2BAMS1_00035
ko:K01494	ctrm:L2BAMS1_00041
ko:K03551	ctrm:L2BAMS1_00042
ko:K01255	ctrm:L2BAMS1_00047
ko:K02340	ctrm:L2BAMS1_00049
ko:K07056	ctrm:L2BAMS1_00050
ko:K02963	ctrm:L2BAMS1_00851
ko:K02939	ctrm:L2BAMS1_00852
ko:K00919	ctrm:L2BAMS1_00853
ko:K00630	ctrm:L2BAMS1_00857
ko:K08301	ctrm:L2BAMS1_00858
ko:K02911	ctrm:L2BAMS1_00861
ko:K03621	ctrm:L2BAMS1_00862
ko:K03431	ctrm:L2BAMS1_00867
ko:K00820	ctrm:L2BAMS1_00868
ko:K03834	ctrm:L2BAMS1_00869
ko:K03834	ctrm:L2BAMS1_00871
ko:K06890	ctrm:L2BAMS1_00872
ko:K03110	ctrm:L2BAMS1_00873
ko:K01903	ctrm:L2BAMS1_00874
ko:K01902	ctrm:L2BAMS1_00875
ko:K09760	ctrm:L2BAMS1_00878
ko:K00075	ctrm:L2BAMS1_00884
ko:K02520	ctrm:L2BAMS1_00886
ko:K02916	ctrm:L2BAMS1_00887
ko:K02887	ctrm:L2BAMS1_00888
ko:K01889	ctrm:L2BAMS1_00889
ko:K11720	ctrm:L2BAMS1_00892
ko:K07091	ctrm:L2BAMS1_00893
ko:K04075	ctrm:L2BAMS1_00894
ko:K03798	ctrm:L2BAMS1_00895
ko:K00962	ctrm:L2BAMS1_00896
ko:K02956	ctrm:L2BAMS1_00897
ko:K00164	ctrm:L2BAMS1_00056
ko:K00658	ctrm:L2BAMS1_00057
ko:K05810	ctrm:L2BAMS1_00058
ko:K03526	ctrm:L2BAMS1_00059
ko:K02400	ctrm:L2BAMS1_00063
ko:K02405	ctrm:L2BAMS1_00064
ko:K01866	ctrm:L2BAMS1_00065
ko:K03596	ctrm:L2BAMS1_00067
ko:K03301	ctrm:L2BAMS1_00068
ko:K00099	ctrm:L2BAMS1_00074
ko:K03629	ctrm:L2BAMS1_00077
ko:K02338	ctrm:L2BAMS1_00078
ko:K03664	ctrm:L2BAMS1_00079
ko:K03734	ctrm:L2BAMS1_00080
ko:K01491	ctrm:L2BAMS1_00081
ko:K02902	ctrm:L2BAMS1_00087
ko:K00705	ctrm:L2BAMS1_00088
ko:K04058	ctrm:L2BAMS1_00090
ko:K03230	ctrm:L2BAMS1_00091
ko:K03229	ctrm:L2BAMS1_00092
ko:K06942	ctrm:L2BAMS1_00093
ko:K11753	ctrm:L2BAMS1_00094
ko:K02834	ctrm:L2BAMS1_00096
ko:K02519	ctrm:L2BAMS1_00097
ko:K02600	ctrm:L2BAMS1_00098
ko:K02945	ctrm:L2BAMS1_00099
ko:K00384	ctrm:L2BAMS1_00100
ko:K00997	ctrm:L2BAMS1_00101
ko:K00208	ctrm:L2BAMS1_00105
ko:K01265	ctrm:L2BAMS1_00906
ko:K03321	ctrm:L2BAMS1_00913
ko:K03527	ctrm:L2BAMS1_00916
ko:K09817	ctrm:L2BAMS1_00431
ko:K09816	ctrm:L2BAMS1_00432
ko:K03979	ctrm:L2BAMS1_00433
ko:K02899	ctrm:L2BAMS1_00434
ko:K02888	ctrm:L2BAMS1_00435
ko:K07042	ctrm:L2BAMS1_00440
ko:K03183	ctrm:L2BAMS1_00446
ko:K01778	ctrm:L2BAMS1_00448
ko:K01358	ctrm:L2BAMS1_00449
ko:K00600	ctrm:L2BAMS1_00450
ko:K01770	ctrm:L2BAMS1_00452
ko:K02946	ctrm:L2BAMS1_00454
ko:K02355	ctrm:L2BAMS1_00455
ko:K02992	ctrm:L2BAMS1_00456
ko:K02950	ctrm:L2BAMS1_00457
ko:K03797	ctrm:L2BAMS1_00459
ko:K07462	ctrm:L2BAMS1_00466
ko:K12257	ctrm:L2BAMS1_00467
ko:K00806	ctrm:L2BAMS1_00469
ko:K00981	ctrm:L2BAMS1_00470
ko:K00945	ctrm:L2BAMS1_00471
ko:K00655	ctrm:L2BAMS1_00472
ko:K01887	ctrm:L2BAMS1_00473
ko:K00790	ctrm:L2BAMS1_00474
ko:K02836	ctrm:L2BAMS1_00478
ko:K03575	ctrm:L2BAMS1_00108
ko:K04077	ctrm:L2BAMS1_00111
ko:K04078	ctrm:L2BAMS1_00112
ko:K08602	ctrm:L2BAMS1_00114
ko:K03695	ctrm:L2BAMS1_00115
ko:K01783	ctrm:L2BAMS1_00123
ko:K02356	ctrm:L2BAMS1_00124
ko:K02160	ctrm:L2BAMS1_00125
ko:K01961	ctrm:L2BAMS1_00126
ko:K02871	ctrm:L2BAMS1_00127
ko:K02996	ctrm:L2BAMS1_00128
ko:K02029	ctrm:L2BAMS1_00131
ko:K07058	ctrm:L2BAMS1_00134
ko:K06999	ctrm:L2BAMS1_00138
ko:K07566	ctrm:L2BAMS1_00139
ko:K09125	ctrm:L2BAMS1_00142
ko:K07039	ctrm:L2BAMS1_00143
ko:K01972	ctrm:L2BAMS1_00150
ko:K02913	ctrm:L2BAMS1_00154
ko:K09808	ctrm:L2BAMS1_00155
ko:K09810	ctrm:L2BAMS1_00156
ko:K00991	ctrm:L2BAMS1_00481
ko:K06173	ctrm:L2BAMS1_00482
ko:K07710	ctrm:L2BAMS1_00487
ko:K07714	ctrm:L2BAMS1_00488
ko:K03584	ctrm:L2BAMS1_00491
ko:K08998	ctrm:L2BAMS1_00495
ko:K01890	ctrm:L2BAMS1_00497
ko:K02034	ctrm:L2BAMS1_00500
ko:K01772	ctrm:L2BAMS1_00509
ko:K07099	ctrm:L2BAMS1_00512
ko:K00975	ctrm:L2BAMS1_00513
ko:K03628	ctrm:L2BAMS1_00515
ko:K00859	ctrm:L2BAMS1_00516
ko:K03301	ctrm:L2BAMS1_00519
ko:K00995	ctrm:L2BAMS1_00520
ko:K03495	ctrm:L2BAMS1_00523
ko:K03800	ctrm:L2BAMS1_00524
ko:K00940	ctrm:L2BAMS1_00525
ko:K03550	ctrm:L2BAMS1_00526
ko:K01159	ctrm:L2BAMS1_00527
ko:K00134	ctrm:L2BAMS1_00531
ko:K02879	ctrm:L2BAMS1_00532
ko:K03222	ctrm:L2BAMS1_00586
ko:K03223	ctrm:L2BAMS1_00588
ko:K03226	ctrm:L2BAMS1_00589
ko:K03228	ctrm:L2BAMS1_00591
ko:K02455	ctrm:L2BAMS1_00597
ko:K02453	ctrm:L2BAMS1_00599
ko:K03572	ctrm:L2BAMS1_00602
ko:K01868	ctrm:L2BAMS1_00608
ko:K01867	ctrm:L2BAMS1_00612
ko:K03702	ctrm:L2BAMS1_00613
ko:K01689	ctrm:L2BAMS1_00614
ko:K00240	ctrm:L2BAMS1_00618
ko:K00239	ctrm:L2BAMS1_00619
ko:K03424	ctrm:L2BAMS1_00622
ko:K03562	ctrm:L2BAMS1_00624
ko:K03641	ctrm:L2BAMS1_00627
ko:K03640	ctrm:L2BAMS1_00628
ko:K03648	ctrm:L2BAMS1_00637
ko:K03657	ctrm:L2BAMS1_00638
ko:K03720	ctrm:L2BAMS1_00169
ko:K01696	ctrm:L2BAMS1_00170
ko:K01695	ctrm:L2BAMS1_00171
ko:K03611	ctrm:L2BAMS1_00175
ko:K00979	ctrm:L2BAMS1_00183
ko:K01937	ctrm:L2BAMS1_00184
ko:K07447	ctrm:L2BAMS1_00185
ko:K00036	ctrm:L2BAMS1_00186
ko:K01057	ctrm:L2BAMS1_00187
ko:K02343	ctrm:L2BAMS1_00188
ko:K00943	ctrm:L2BAMS1_00189
ko:K02469	ctrm:L2BAMS1_00190
ko:K02470	ctrm:L2BAMS1_00191
ko:K00773	ctrm:L2BAMS1_00194
ko:K06213	ctrm:L2BAMS1_00195
ko:K15580	ctrm:L2BAMS1_00199
ko:K15581	ctrm:L2BAMS1_00200
ko:K03319	ctrm:L2BAMS1_00205
ko:K00850	ctrm:L2BAMS1_00206
ko:K00895	ctrm:L2BAMS1_00208
ko:K02527	ctrm:L2BAMS1_00211
ko:K01869	ctrm:L2BAMS1_00212
ko:K01845	ctrm:L2BAMS1_00213
ko:K07735	ctrm:L2BAMS1_00214
ko:K03040	ctrm:L2BAMS1_00533
ko:K02948	ctrm:L2BAMS1_00534
ko:K02952	ctrm:L2BAMS1_00535
ko:K03076	ctrm:L2BAMS1_00536
ko:K02876	ctrm:L2BAMS1_00537
ko:K02988	ctrm:L2BAMS1_00538
ko:K02881	ctrm:L2BAMS1_00539
ko:K02933	ctrm:L2BAMS1_00540
ko:K02994	ctrm:L2BAMS1_00541
ko:K02931	ctrm:L2BAMS1_00542
ko:K02895	ctrm:L2BAMS1_00543
ko:K02874	ctrm:L2BAMS1_00544
ko:K02961	ctrm:L2BAMS1_00545
ko:K02904	ctrm:L2BAMS1_00546
ko:K02878	ctrm:L2BAMS1_00547
ko:K02982	ctrm:L2BAMS1_00548
ko:K02890	ctrm:L2BAMS1_00549
ko:K02965	ctrm:L2BAMS1_00550
ko:K02886	ctrm:L2BAMS1_00551
ko:K02892	ctrm:L2BAMS1_00552
ko:K02926	ctrm:L2BAMS1_00553
ko:K02906	ctrm:L2BAMS1_00554
ko:K00604	ctrm:L2BAMS1_00556
ko:K00677	ctrm:L2BAMS1_00557
ko:K03092	ctrm:L2BAMS1_00639
ko:K06137	ctrm:L2BAMS1_00640
ko:K13941	ctrm:L2BAMS1_00643
ko:K01633	ctrm:L2BAMS1_00644
ko:K03086	ctrm:L2BAMS1_00645
ko:K02968	ctrm:L2BAMS1_00647
ko:K03980	ctrm:L2BAMS1_00654
ko:K01151	ctrm:L2BAMS1_00655
ko:K02986	ctrm:L2BAMS1_00656
ko:K07146	ctrm:L2BAMS1_00657
ko:K13789	ctrm:L2BAMS1_00658
ko:K01698	ctrm:L2BAMS1_00664
ko:K00346	ctrm:L2BAMS1_00665
ko:K03582	ctrm:L2BAMS1_00671
ko:K03583	ctrm:L2BAMS1_00672
ko:K03168	ctrm:L2BAMS1_00675
ko:K02221	ctrm:L2BAMS1_00677
ko:K03581	ctrm:L2BAMS1_00684
ko:K06861	ctrm:L2BAMS1_00686
ko:K01627	ctrm:L2BAMS1_00688
ko:K08999	ctrm:L2BAMS1_00215
ko:K01807	ctrm:L2BAMS1_00216
ko:K03787	ctrm:L2BAMS1_00221
ko:K03179	ctrm:L2BAMS1_00222
ko:K03186	ctrm:L2BAMS1_00223
ko:K03308	ctrm:L2BAMS1_00236
ko:K02078	ctrm:L2BAMS1_00241
ko:K00645	ctrm:L2BAMS1_00243
ko:K00648	ctrm:L2BAMS1_00244
ko:K06187	ctrm:L2BAMS1_00245
ko:K07277	ctrm:L2BAMS1_00246
ko:K06142	ctrm:L2BAMS1_00247
ko:K02536	ctrm:L2BAMS1_00248
ko:K00161	ctrm:L2BAMS1_00250
ko:K00162	ctrm:L2BAMS1_00251
ko:K00627	ctrm:L2BAMS1_00252
ko:K00688	ctrm:L2BAMS1_00253
ko:K02313	ctrm:L2BAMS1_00255
ko:K03217	ctrm:L2BAMS1_00256
ko:K04487	ctrm:L2BAMS1_00263
ko:K07083	ctrm:L2BAMS1_00267
ko:K02372	ctrm:L2BAMS1_00558
ko:K02535	ctrm:L2BAMS1_00559
ko:K03820	ctrm:L2BAMS1_00560
ko:K06925	ctrm:L2BAMS1_00563
ko:K03671	ctrm:L2BAMS1_00566
ko:K03216	ctrm:L2BAMS1_00567
ko:K01876	ctrm:L2BAMS1_00569
ko:K01892	ctrm:L2BAMS1_00570
ko:K07783	ctrm:L2BAMS1_00571
ko:K02337	ctrm:L2BAMS1_00572
ko:K03311	ctrm:L2BAMS1_00581
ko:K00382	ctrm:L2BAMS1_00584
ko:K03644	ctrm:L2BAMS1_00585
ko:K06180	ctrm:L2BAMS1_00692
ko:K06960	ctrm:L2BAMS1_00693
ko:K02469	ctrm:L2BAMS1_00694
ko:K02470	ctrm:L2BAMS1_00695
ko:K02492	ctrm:L2BAMS1_00696
ko:K03224	ctrm:L2BAMS1_00703
ko:K02417	ctrm:L2BAMS1_00706
ko:K03219	ctrm:L2BAMS1_00708
ko:K02838	ctrm:L2BAMS1_00714
ko:K09903	ctrm:L2BAMS1_00715
ko:K02357	ctrm:L2BAMS1_00716
ko:K02967	ctrm:L2BAMS1_00717
ko:K03162	ctrm:L2BAMS1_00720
ko:K09013	ctrm:L2BAMS1_00724
ko:K09015	ctrm:L2BAMS1_00725
ko:K11717	ctrm:L2BAMS1_00726
ko:K07220	ctrm:L2BAMS1_00730
ko:K03306	ctrm:L2BAMS1_00731
ko:K00927	ctrm:L2BAMS1_00732
ko:K10773	ctrm:L2BAMS1_00736
ko:K03650	ctrm:L2BAMS1_00737
ko:K01613	ctrm:L2BAMS1_00738
ko:K03070	ctrm:L2BAMS1_00740
ko:K03977	ctrm:L2BAMS1_00742
ko:K03544	ctrm:L2BAMS1_00744
ko:K01358	ctrm:L2BAMS1_00745
ko:K01962	ctrm:L2BAMS1_00270
ko:K01448	ctrm:L2BAMS1_00273
ko:K01928	ctrm:L2BAMS1_00274
ko:K03587	ctrm:L2BAMS1_00275
ko:K03438	ctrm:L2BAMS1_00277
ko:K02313	ctrm:L2BAMS1_00280
ko:K00347	ctrm:L2BAMS1_00283
ko:K00348	ctrm:L2BAMS1_00284
ko:K00349	ctrm:L2BAMS1_00285
ko:K00350	ctrm:L2BAMS1_00286
ko:K02437	ctrm:L2BAMS1_00287
ko:K03800	ctrm:L2BAMS1_00290
ko:K03696	ctrm:L2BAMS1_00291
ko:K00566	ctrm:L2BAMS1_00292
ko:K01963	ctrm:L2BAMS1_00298
ko:K04564	ctrm:L2BAMS1_00299
ko:K03685	ctrm:L2BAMS1_00302
ko:K04485	ctrm:L2BAMS1_00303
ko:K01749	ctrm:L2BAMS1_00304
ko:K01873	ctrm:L2BAMS1_00307
ko:K03046	ctrm:L2BAMS1_00319
ko:K03559	ctrm:L2BAMS1_00625
ko:K03545	ctrm:L2BAMS1_00746
ko:K03569	ctrm:L2BAMS1_00749
ko:K00057	ctrm:L2BAMS1_00754
ko:K02412	ctrm:L2BAMS1_00757
ko:K02411	ctrm:L2BAMS1_00758
ko:K02409	ctrm:L2BAMS1_00759
ko:K13819	ctrm:L2BAMS1_00760
ko:K04487	ctrm:L2BAMS1_00761
ko:K06178	ctrm:L2BAMS1_00763
ko:K03524	ctrm:L2BAMS1_00765
ko:K05837	ctrm:L2BAMS1_00766
ko:K01875	ctrm:L2BAMS1_00769
ko:K11752	ctrm:L2BAMS1_00770
ko:K14652	ctrm:L2BAMS1_00771
ko:K00794	ctrm:L2BAMS1_00772
