ko:K00477	rse:F504_3648
ko:K14220	rse:F504_rna12
ko:K21344	rse:F504_892
ko:K14742	rse:F504_1410
ko:K18145	rse:F504_3755
ko:K14233	rse:F504_rna38
ko:K14218	rse:F504_rna14
ko:K14218	rse:F504_rna60
ko:K14218	rse:F504_rna52
ko:K14218	rse:F504_rna45
ko:K14221	rse:F504_rna16
ko:K14221	rse:F504_rna24
ko:K14228	rse:F504_rna17
ko:K14228	rse:F504_rna57
ko:K14228	rse:F504_rna35
ko:K14226	rse:F504_rna18
ko:K01977	rse:F504_rna19
ko:K01977	rse:F504_rna43
ko:K01977	rse:F504_rna58
ko:K01977	rse:F504_rna50
ko:K14237	rse:F504_rna30
ko:K14234	rse:F504_rna36
ko:K14234	rse:F504_rna48
ko:K14219	rse:F504_rna37
ko:K14232	rse:F504_rna42
ko:K14235	rse:F504_rna49
ko:K18146	rse:F504_3754
ko:K07045	rse:F504_4064
ko:K15634	rse:F504_528
ko:K07497	rse:F504_2271
ko:K10217	rse:F504_4327
ko:K01992	rse:F504_2921
ko:K01791	rse:F504_4186
ko:K01739	rse:F504_4442
ko:K05874	rse:F504_3862
ko:K03417	rse:F504_3573
ko:K01800	rse:F504_1056
ko:K03559	rse:F504_1911
ko:K03559	rse:F504_2475
ko:K15555	rse:F504_1383
ko:K07245	rse:F504_4564
ko:K17713	rse:F504_1244
ko:K19416	rse:F504_1236
ko:K03417	rse:F504_1950
ko:K02226	rse:F504_2355
ko:K01990	rse:F504_175
ko:K02455	rse:F504_2266
ko:K02456	rse:F504_2267
ko:K07124	rse:F504_2278
ko:K01875	rse:F504_2286
ko:K07478	rse:F504_2287
ko:K03634	rse:F504_2289
ko:K03466	rse:F504_2290
ko:K00384	rse:F504_2291
ko:K04751	rse:F504_2294
ko:K01950	rse:F504_2296
ko:K09919	rse:F504_2297
ko:K02498	rse:F504_2308
ko:K01749	rse:F504_2310
ko:K01595	rse:F504_2311
ko:K03088	rse:F504_2314
ko:K01755	rse:F504_2316
ko:K06949	rse:F504_919
ko:K13288	rse:F504_921
ko:K03831	rse:F504_922
ko:K09889	rse:F504_923
ko:K03592	rse:F504_924
ko:K01754	rse:F504_927
ko:K10001	rse:F504_937
ko:K15738	rse:F504_939
ko:K02622	rse:F504_940
ko:K02621	rse:F504_942
ko:K07240	rse:F504_943
ko:K03303	rse:F504_944
ko:K05825	rse:F504_948
ko:K04079	rse:F504_953
ko:K09989	rse:F504_959
ko:K09019	rse:F504_968
ko:K10773	rse:F504_969
ko:K14155	rse:F504_1549
ko:K00179	rse:F504_1560
ko:K00180	rse:F504_1561
ko:K01075	rse:F504_1562
ko:K09461	rse:F504_1563
ko:K00450	rse:F504_1564
ko:K01502	rse:F504_1566
ko:K01799	rse:F504_1567
ko:K01874	rse:F504_1571
ko:K03897	rse:F504_1572
ko:K04786	rse:F504_1579
ko:K15721	rse:F504_1582
ko:K00627	rse:F504_1590
ko:K00162	rse:F504_1591
ko:K00161	rse:F504_1592
ko:K02337	rse:F504_2163
ko:K07146	rse:F504_2164
ko:K03809	rse:F504_2165
ko:K06911	rse:F504_2166
ko:K01894	rse:F504_2168
ko:K03086	rse:F504_2174
ko:K09117	rse:F504_2176
ko:K07007	rse:F504_2177
ko:K09007	rse:F504_2179
ko:K01662	rse:F504_2180
ko:K00795	rse:F504_2181
ko:K03602	rse:F504_2182
ko:K01061	rse:F504_2188
ko:K03885	rse:F504_2189
ko:K06966	rse:F504_2192
ko:K02204	rse:F504_2194
ko:K03657	rse:F504_2196
ko:K01873	rse:F504_2197
ko:K00963	rse:F504_2198
ko:K02518	rse:F504_2200
ko:K00481	rse:F504_2203
ko:K01999	rse:F504_2205
ko:K01996	rse:F504_2206
ko:K01995	rse:F504_2207
ko:K01998	rse:F504_2208
ko:K01997	rse:F504_2209
ko:K01055	rse:F504_2210
ko:K01857	rse:F504_2211
ko:K12266	rse:F504_4246
ko:K07322	rse:F504_4247
ko:K00325	rse:F504_4251
ko:K00324	rse:F504_4252
ko:K00324	rse:F504_4253
ko:K00098	rse:F504_4254
ko:K00812	rse:F504_4259
ko:K02160	rse:F504_4261
ko:K01961	rse:F504_4262
ko:K07160	rse:F504_4266
ko:K02029	rse:F504_4268
ko:K02029	rse:F504_4269
ko:K07787	rse:F504_4275
ko:K07798	rse:F504_4276
ko:K01915	rse:F504_4331
ko:K03466	rse:F504_4333
ko:K03219	rse:F504_4344
ko:K03228	rse:F504_4346
ko:K03224	rse:F504_4348
ko:K03223	rse:F504_4349
ko:K03222	rse:F504_4351
ko:K03229	rse:F504_4354
ko:K03230	rse:F504_4355
ko:K03225	rse:F504_4357
ko:K03226	rse:F504_4358
ko:K03220	rse:F504_4361
ko:K03088	rse:F504_4369
ko:K11891	rse:F504_4455
ko:K11890	rse:F504_4456
ko:K11902	rse:F504_4459
ko:K11907	rse:F504_4472
ko:K11895	rse:F504_4473
ko:K11896	rse:F504_4474
ko:K11897	rse:F504_4475
ko:K11903	rse:F504_4476
ko:K11900	rse:F504_4477
ko:K11901	rse:F504_4478
ko:K11906	rse:F504_4480
ko:K11893	rse:F504_4481
ko:K11892	rse:F504_4482
ko:K00697	rse:F504_4489
ko:K06989	rse:F504_4495
ko:K00824	rse:F504_4504
ko:K05936	rse:F504_4605
ko:K02189	rse:F504_4606
ko:K02234	rse:F504_4608
ko:K02224	rse:F504_4610
ko:K04719	rse:F504_4611
ko:K02613	rse:F504_4617
ko:K02612	rse:F504_4618
ko:K02611	rse:F504_4619
ko:K02610	rse:F504_4620
ko:K02609	rse:F504_4621
ko:K03415	rse:F504_4628
ko:K10001	rse:F504_4636
ko:K01425	rse:F504_4640
ko:K02018	rse:F504_4641
ko:K01821	rse:F504_4646
ko:K02019	rse:F504_4647
ko:K00426	rse:F504_4704
ko:K00425	rse:F504_4705
ko:K06131	rse:F504_4710
ko:K09965	rse:F504_4713
ko:K00372	rse:F504_4715
ko:K00362	rse:F504_4716
ko:K00363	rse:F504_4717
ko:K00362	rse:F504_4718
ko:K02575	rse:F504_4719
ko:K10218	rse:F504_4727
ko:K00812	rse:F504_4728
ko:K00425	rse:F504_4740
ko:K00077	rse:F504_4741
ko:K13652	rse:F504_4744
ko:K07154	rse:F504_4750
ko:K01061	rse:F504_4803
ko:K08987	rse:F504_4804
ko:K00457	rse:F504_4813
ko:K00164	rse:F504_4820
ko:K03734	rse:F504_4822
ko:K00376	rse:F504_4824
ko:K07218	rse:F504_4826
ko:K06193	rse:F504_4845
ko:K15553	rse:F504_4847
ko:K02221	rse:F504_4850
ko:K04062	rse:F504_4852
ko:K01874	rse:F504_4903
ko:K00640	rse:F504_4904
ko:K00574	rse:F504_4913
ko:K00873	rse:F504_4915
ko:K02003	rse:F504_4930
ko:K03781	rse:F504_5051
ko:K01740	rse:F504_5053
ko:K01999	rse:F504_5056
ko:K05819	rse:F504_5064
ko:K07246	rse:F504_5082
ko:K01685	rse:F504_5085
ko:K06145	rse:F504_5086
ko:K07687	rse:F504_5092
ko:K07677	rse:F504_5093
ko:K07687	rse:F504_5096
ko:K07677	rse:F504_5097
ko:K02053	rse:F504_1597
ko:K02053	rse:F504_1598
ko:K03424	rse:F504_1603
ko:K02676	rse:F504_1604
ko:K02341	rse:F504_1605
ko:K00943	rse:F504_1606
ko:K07082	rse:F504_1607
ko:K06980	rse:F504_1608
ko:K15125	rse:F504_1613
ko:K07107	rse:F504_1616
ko:K08281	rse:F504_1629
ko:K07516	rse:F504_1630
ko:K11733	rse:F504_1631
ko:K11733	rse:F504_1632
ko:K01996	rse:F504_1635
ko:K01995	rse:F504_1636
ko:K01998	rse:F504_1637
ko:K01997	rse:F504_1638
ko:K01999	rse:F504_1639
ko:K06190	rse:F504_1643
ko:K01032	rse:F504_2213
ko:K01031	rse:F504_2214
ko:K02624	rse:F504_2215
ko:K02029	rse:F504_2219
ko:K02029	rse:F504_2220
ko:K10001	rse:F504_2222
ko:K00285	rse:F504_2223
ko:K07152	rse:F504_2249
ko:K02456	rse:F504_2258
ko:K02456	rse:F504_2259
ko:K02453	rse:F504_2260
ko:K01118	rse:F504_4754
ko:K00278	rse:F504_4759
ko:K01895	rse:F504_4761
ko:K07090	rse:F504_4764
